date,mobility_overall,mobility_limited-service_restaurants,mobility_religious_organizations,mobility_department_stores,mobility_fitness_centers,mobility_grocery_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,6181286.4,403082.4,267692.5,169395.1,374665.2,366545.1,92785.9,989543.4,,,
2020/03/02,6247588.7,392862.9,106945.8,103798.6,410167.7,288058.7,105259.8,772567.5,,,
2020/03/03,6112594.8,374201.7,100441.3,95724.5,390435.6,265129.9,105683.9,762528.2,,,
2020/03/04,5813365.5,363455.0,98442.5,90570.7,373427.4,240591.8,95483.8,736357.1,,,
2020/03/05,6228418.0,388982.6,101309.5,94424.6,388380.6,259597.8,103554.9,805553.5,,,
2020/03/06,6775012.8,457101.8,109417.3,117930.2,388607.3,284881.3,109252.0,991028.6,,,
2020/03/07,7170637.1,505362.2,143110.1,189033.4,457642.1,344387.6,106667.7,1181057.9,,,
2020/03/08,5953174.8,403082.4,251844.0,152893.2,374665.2,366545.1,92785.9,936175.0,2.2,1.1,3.4
2020/03/09,5851168.2,392862.9,99569.4,85696.6,410167.7,288058.7,105259.8,699732.9,45.5,41.8,49.2
2020/03/10,5944125.8,374201.7,102014.4,93698.9,390435.6,265129.9,105683.9,733132.0,84.7,79.1,89.4
2020/03/11,5822315.4,363455.0,104156.7,93924.5,373427.4,240591.8,95483.8,735332.3,124.3,116.4,131.4
2020/03/12,6042775.3,388982.6,100728.2,113821.4,388380.6,259597.8,103554.9,765374.4,166.7,155.6,179.2
2020/03/13,6915360.2,457101.8,115677.6,145756.8,388607.3,284881.3,109252.0,968387.0,216.9,200.2,252.9
2020/03/14,5639188.1,505362.2,104717.4,150532.8,457642.1,344387.6,106667.7,896788.8,280.3,252.2,362.2
2020/03/15,4776241.5,403082.4,139702.8,129265.2,374665.2,366545.1,92785.9,702868.1,362.2,313.8,492.2
2020/03/16,4703078.4,392862.9,79680.0,91395.3,410167.7,288058.7,105259.8,558119.6,463.8,386.4,631.3
