date,mobility_overall,mobility_limited-service_restaurants,mobility_religious_organizations,mobility_department_stores,mobility_fitness_centers,mobility_grocery_stores,mobility_pharmacies_&_drug_stores,mobility_full-service_restaurants,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,6181286.4,403082.4,267692.5,169395.1,374665.2,366545.1,92785.9,989543.4,,,
2020/03/02,6247588.7,392862.9,106945.8,103798.6,410167.7,288058.7,105259.8,772567.5,,,
2020/03/03,6112594.8,374201.7,100441.3,95724.5,390435.6,265129.9,105683.9,762528.2,,,
2020/03/04,5813365.5,363455.0,98442.5,90570.7,373427.4,240591.8,95483.8,736357.1,,,
2020/03/05,6228418.0,388982.6,101309.5,94424.6,388380.6,259597.8,103554.9,805553.5,,,
2020/03/06,6775012.8,457101.8,109417.3,117930.2,388607.3,284881.3,109252.0,991028.6,,,
2020/03/07,7170637.1,505362.2,143110.1,189033.4,457642.1,344387.6,106667.7,1181057.9,,,
2020/03/08,5959370.4,403082.4,251844.0,152893.2,333128.5,366545.1,87149.7,989543.4,2.9,1.3,6.1
2020/03/09,5873996.6,392862.9,99569.4,85696.6,368435.4,288058.7,96985.9,772567.5,62.6,42.3,117.8
2020/03/10,5949000.5,374201.7,102014.4,93698.9,371418.2,265129.9,100179.8,762528.2,115.9,79.2,213.9
2020/03/11,5820924.9,363455.0,104156.7,93924.5,363262.6,240591.8,103233.4,736357.1,169.1,116.8,310.1
2020/03/12,6058704.5,388982.6,100728.2,113821.4,347853.5,259597.8,119832.1,805553.5,225.1,156.7,410.5
2020/03/13,6949394.0,457101.8,115677.6,145756.8,355983.5,284881.3,153267.9,991028.6,289.1,203.0,520.0
2020/03/14,5785954.8,505362.2,104717.4,150532.8,299322.2,344387.6,127485.2,1181057.9,366.9,252.5,654.2
2020/03/15,4924161.2,403082.4,139702.8,129265.2,225177.8,366545.1,103517.8,989543.4,464.3,314.2,816.2
2020/03/16,4759554.2,392862.9,79680.0,91395.3,237826.0,288058.7,119629.6,772567.5,583.5,390.6,1001.4
