date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11697764.8,492516.6,167457.9,734949.2,2679322.2,349562.8,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,13960378.6,555939.5,111918.9,911454.0,2747085.4,202508.0,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13301466.3,531385.2,104134.0,883517.4,2627834.0,201275.7,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13242820.4,529369.8,103903.2,866823.7,2660499.1,196471.0,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13033729.4,512618.4,111207.1,804322.1,2632468.6,189123.5,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,13871215.8,577695.6,118247.1,795409.3,2974918.1,205293.0,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11151172.7,480013.9,189595.5,643616.7,2569624.3,192215.6,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9097175.4,368649.7,167457.9,475920.5,2015981.9,221744.8,191088.7,673009.1,928.2,193.9,2467.8
2020/03/16,9425877.5,376145.9,111918.9,518043.6,1950894.7,152333.5,233907.7,716584.9,1284.5,303.9,3231.6
2020/03/17,8422703.0,327744.1,104134.0,389438.2,1735678.0,147610.5,203975.5,596312.8,1795.4,487.1,4215.6
2020/03/18,8387104.9,324675.7,103903.2,387192.8,1697618.7,146159.9,203895.6,572007.2,2536.6,780.2,5531.2
2020/03/19,7748377.1,294174.3,111207.1,349188.8,1579539.1,140195.6,185519.6,534859.1,3590.2,1243.0,7249.4
2020/03/20,7061384.1,259310.2,118247.1,314256.1,1433777.0,132949.5,156818.8,518038.5,5041.4,1945.7,9392.9
2020/03/21,5354501.2,185267.0,189595.5,209722.3,1079765.7,113656.6,110319.8,401554.4,7006.7,2981.7,12159.1
2020/03/22,5156319.8,192936.0,167457.9,191675.5,998374.9,116868.6,122423.2,438108.1,9565.8,4481.2,15582.7
2020/03/23,5284992.8,194404.9,111918.9,220640.7,1031217.8,105204.3,123985.7,366077.7,12687.5,6434.2,19551.7
2020/03/24,6140230.8,239989.9,104134.0,260124.4,1197841.6,124361.0,149015.4,422455.4,16304.2,8862.2,23994.9
2020/03/25,6546016.2,253661.2,103903.2,273448.1,1282530.0,135779.8,155080.3,452300.8,20363.8,11761.4,28781.0
2020/03/26,6075429.2,245090.7,111207.1,255512.8,1181649.9,119785.3,143560.8,403950.5,24865.1,15153.2,34017.2
2020/03/27,6215616.7,260616.6,118247.1,255840.4,1233830.1,123602.8,142569.7,434186.8,29821.0,19076.6,39610.1
2020/03/28,4802207.7,206660.6,189595.5,175664.0,955026.7,95596.2,115623.8,433008.6,35144.3,23502.1,45536.1
2020/03/29,4179741.5,165715.4,167457.9,147945.2,810563.0,93198.6,96620.0,388221.0,40719.6,28270.5,51685.9
2020/03/30,5537250.1,211471.8,111918.9,229381.0,1063937.7,112083.6,133639.0,396249.5,46363.4,33233.3,57927.5
2020/03/31,5403595.5,224196.1,104134.0,223835.0,1037366.7,109424.8,134969.0,387061.6,52144.5,38451.7,64303.8
2020/04/01,5745750.0,235089.4,103903.2,237980.1,1091166.3,115268.2,142244.8,399588.1,58119.5,44011.7,70872.9
2020/04/02,5552472.4,230191.1,111207.1,229651.6,1052175.1,110495.0,137314.7,403838.5,64508.7,50131.8,77893.2
2020/04/03,5014147.3,236154.4,118247.1,203051.7,993777.5,83669.5,137227.2,404064.8,71208.1,56678.2,85109.9
2020/04/04,5058852.8,241736.6,189595.5,196405.8,958515.3,84517.1,126654.5,430665.2,78123.3,63481.6,92855.0
2020/04/05,4210447.4,179268.8,167457.9,158805.2,781214.3,84292.1,101857.1,364108.8,85075.4,70320.4,100621.7
2020/04/06,5126925.9,216071.0,111918.9,215054.5,952408.0,90612.5,127838.5,369105.2,91815.5,76709.0,108016.5
2020/04/07,5110830.4,221022.9,104134.0,214231.6,946378.7,92100.4,129081.2,365540.0,98490.0,83282.6,115308.7
2020/04/08,4976424.5,211071.9,103903.2,208089.4,933518.3,91382.9,130877.5,363456.7,105243.9,90365.6,122655.0
2020/04/09,4616666.2,199959.0,111207.1,191226.7,868129.3,83567.3,121783.3,363823.5,112054.3,97441.0,129948.9
2020/04/10,4907837.2,219690.3,118247.1,200917.6,962913.6,83513.4,138884.7,414350.8,118938.3,104476.5,137264.8
2020/04/11,5117430.3,247481.6,189595.5,195793.7,966449.8,90018.4,145396.2,440817.3,125666.1,111442.1,144493.8
2020/04/12,3546634.6,140211.0,167457.9,127691.0,686356.3,81683.4,89136.9,234954.4,132127.1,117748.6,151377.6
2020/04/13,3735951.2,151992.2,111918.9,151189.4,706288.2,70490.5,88396.4,264728.9,138338.0,124271.6,157923.0
2020/04/14,5107675.2,237116.5,104134.0,211861.4,980958.1,93291.0,133846.8,369103.2,144361.4,129678.1,164282.5
2020/04/15,5101035.2,240233.3,103903.2,211651.1,980419.5,91591.5,128799.0,361397.3,150258.1,135149.8,170479.2
2020/04/16,5051160.6,235635.7,111207.1,204447.9,975038.7,95952.8,127102.5,360161.1,156041.5,140069.6,176516.5
2020/04/17,5419089.4,264743.2,118247.1,220805.6,1089051.1,98776.6,136089.0,393052.8,161642.0,144673.8,182345.6
2020/04/18,4715411.8,229864.9,189595.5,179983.3,935306.1,85314.6,116115.1,390733.7,167046.0,149407.0,188143.8
2020/04/19,4726782.9,220842.5,167457.9,175389.7,895694.1,96206.1,103034.3,354022.3,172310.9,153890.9,193797.7
2020/04/20,5311504.2,222536.7,111918.9,221249.2,1021551.6,102313.5,125071.8,357049.8,177408.6,158638.4,199350.1
2020/04/21,5337764.3,222119.1,104134.0,223964.9,1013812.2,104637.2,123008.0,361331.3,182241.5,163160.5,204624.8
2020/04/22,5936525.0,264593.8,103903.2,248678.4,1139712.7,111577.3,141710.4,409836.9,186875.7,167033.0,209713.8
2020/04/23,5918565.7,258307.6,111207.1,246857.8,1146036.9,111196.0,139119.3,406932.3,191467.3,170613.2,214529.4
2020/04/24,5640368.4,271389.4,118247.1,231041.1,1130977.3,107957.9,129925.3,392427.6,195991.5,174100.8,219199.5
2020/04/25,6408548.8,320537.4,189595.5,246434.2,1248024.3,122754.6,138103.6,447394.7,200435.5,177508.1,223795.9
2020/04/26,4164482.7,183522.6,167457.9,150283.8,776479.4,85675.0,91588.2,342631.1,204775.7,180767.6,228265.5
2020/04/27,5727694.6,237548.4,111918.9,239436.4,1059792.3,103293.2,131464.2,378719.3,208972.0,183894.6,232553.0
2020/04/28,6672002.2,291932.9,104134.0,282262.2,1230832.5,127457.7,146579.1,403152.1,213109.8,186959.1,237078.0
2020/04/29,5957053.0,252758.8,103903.2,252373.8,1092685.5,111284.7,133634.7,383163.5,217209.0,189958.1,241638.9
2020/04/30,5553569.6,241233.1,111207.1,229338.2,1025224.0,103174.6,124449.9,357624.1,221277.5,192942.7,246137.5
2020/05/01,6631324.8,307128.4,118247.1,276752.5,1283555.4,122142.3,150213.4,422836.7,225342.6,195901.3,250595.1
2020/05/02,6885064.9,338882.6,189595.5,260307.4,1288887.1,132095.7,135104.5,445289.2,229374.8,198858.9,254993.9
2020/05/03,,,,,,,,,233405.6,201926.2,259414.7
2020/05/04,,,,,,,,,237387.7,204945.5,263759.0
2020/05/05,,,,,,,,,241197.3,207796.5,267961.0
2020/05/06,,,,,,,,,245011.7,210674.3,271908.5
2020/05/07,,,,,,,,,248862.7,213536.7,275755.2
2020/05/08,,,,,,,,,252642.9,216370.7,279786.0
2020/05/09,,,,,,,,,256386.7,219150.3,283841.3
