date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11790034.0,492516.6,167457.9,827218.3,2679322.2,349562.8,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14047682.7,555939.5,111918.9,998758.1,2747085.4,202508.0,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13365334.1,531385.2,104134.0,947385.2,2627834.0,201275.7,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13309558.9,529369.8,103903.2,933562.2,2660499.1,196471.0,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13182543.6,512618.4,111207.1,953136.3,2632468.6,189123.5,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,13995094.2,577695.6,118247.1,919287.7,2974918.1,205293.0,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11458067.0,480013.9,189595.5,950510.9,2569624.3,192215.6,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9448473.3,368649.7,167457.9,827218.3,2015981.9,221744.8,191088.7,673009.1,928.0,194.4,2465.4
2020/03/16,9906592.1,376145.9,111918.9,998758.1,1950894.7,152333.5,233907.7,716584.9,1285.8,308.3,3232.3
2020/03/17,8980650.0,327744.1,104134.0,947385.2,1735678.0,147610.5,203975.5,596312.8,1800.9,486.1,4225.0
2020/03/18,8933474.2,324675.7,103903.2,933562.2,1697618.7,146159.9,203895.6,572007.2,2548.4,791.9,5538.6
2020/03/19,8352324.6,294174.3,111207.1,953136.3,1579539.1,140195.6,185519.6,534859.1,3612.5,1271.4,7282.4
2020/03/20,7666415.7,259310.2,118247.1,919287.7,1433777.0,132949.5,156818.8,518038.5,5078.6,1988.6,9491.9
2020/03/21,6095289.8,185267.0,189595.5,950510.9,1079765.7,113656.6,110319.8,401554.4,7069.4,3026.7,12255.3
2020/03/22,5791862.7,192936.0,167457.9,827218.3,998374.9,116868.6,122423.2,438108.1,9676.7,4493.0,15680.8
2020/03/23,6063110.2,194404.9,111918.9,998758.1,1031217.8,105204.3,123985.7,366077.7,12896.5,6440.9,19746.7
2020/03/24,6827491.6,239989.9,104134.0,947385.2,1197841.6,124361.0,149015.4,422455.4,16667.5,8951.1,24361.7
2020/03/25,7206130.2,253661.2,103903.2,933562.2,1282530.0,135779.8,155080.3,452300.8,20950.6,11956.2,29336.6
2020/03/26,6773052.7,245090.7,111207.1,953136.3,1181649.9,119785.3,143560.8,403950.5,25737.3,15549.9,34742.5
2020/03/27,6879063.9,260616.6,118247.1,919287.7,1233830.1,123602.8,142569.7,434186.8,31063.7,19751.8,40637.6
2020/03/28,5577054.6,206660.6,189595.5,950510.9,955026.7,95596.2,115623.8,433008.6,36849.4,24499.2,46963.4
2020/03/29,4859014.7,165715.4,167457.9,827218.3,810563.0,93198.6,96620.0,388221.0,43008.4,29745.3,53603.1
2020/03/30,6306627.2,211471.8,111918.9,998758.1,1063937.7,112083.6,133639.0,396249.5,49353.2,35322.1,60934.8
2020/03/31,6127145.7,224196.1,104134.0,947385.2,1037366.7,109424.8,134969.0,387061.6,55942.2,41341.3,68419.1
2020/04/01,6441332.0,235089.4,103903.2,933562.2,1091166.3,115268.2,142244.8,399588.1,62813.7,47741.9,75633.3
2020/04/02,6275957.1,230191.1,111207.1,953136.3,1052175.1,110495.0,137314.7,403838.5,70181.1,54876.3,83623.1
2020/04/03,5730383.3,236154.4,118247.1,919287.7,993777.5,83669.5,137227.2,404064.8,77938.5,62576.6,92353.9
2020/04/04,5812958.0,241736.6,189595.5,950510.9,958515.3,84517.1,126654.5,430665.2,85992.7,70675.5,101073.0
2020/04/05,4878860.5,179268.8,167457.9,827218.3,781214.3,84292.1,101857.1,364108.8,94190.3,78969.0,110307.5
2020/04/06,5910629.5,216071.0,111918.9,998758.1,952408.0,90612.5,127838.5,369105.2,102265.2,86730.3,119354.8
2020/04/07,5843984.0,221022.9,104134.0,947385.2,946378.7,92100.4,129081.2,365540.0,110345.3,95039.8,128199.2
2020/04/08,5701897.3,211071.9,103903.2,933562.2,933518.3,91382.9,130877.5,363456.7,118584.1,103236.9,137230.3
2020/04/09,5378575.8,199959.0,111207.1,953136.3,868129.3,83567.3,121783.3,363823.5,126921.6,111437.5,146510.7
2020/04/10,5626207.3,219690.3,118247.1,919287.7,962913.6,83513.4,138884.7,414350.8,135400.1,119998.8,155763.0
2020/04/11,5872147.5,247481.6,189595.5,950510.9,966449.8,90018.4,145396.2,440817.3,143762.3,128503.7,164852.7
2020/04/12,4246161.9,140211.0,167457.9,827218.3,686356.3,81683.4,89136.9,234954.4,151925.4,136602.2,173710.8
2020/04/13,4583519.9,151992.2,111918.9,998758.1,706288.2,70490.5,88396.4,264728.9,159907.2,144678.1,182295.0
2020/04/14,5843199.1,237116.5,104134.0,947385.2,980958.1,93291.0,133846.8,369103.2,167734.9,152704.2,190688.6
2020/04/15,5822946.3,240233.3,103903.2,933562.2,980419.5,91591.5,128799.0,361397.3,175486.2,160443.6,198997.1
2020/04/16,5799849.0,235635.7,111207.1,953136.3,975038.7,95952.8,127102.5,360161.1,183134.5,167416.5,207110.8
2020/04/17,6117571.5,264743.2,118247.1,919287.7,1089051.1,98776.6,136089.0,393052.8,190621.7,173845.8,215151.0
2020/04/18,5485939.3,229864.9,189595.5,950510.9,935306.1,85314.6,116115.1,390733.7,197911.9,180276.5,223000.6
2020/04/19,5378611.5,220842.5,167457.9,827218.3,895694.1,96206.1,103034.3,354022.3,205109.8,186091.0,230667.1
2020/04/20,6089013.2,222536.7,111918.9,998758.1,1021551.6,102313.5,125071.8,357049.8,212174.6,191760.2,238184.2
2020/04/21,6061184.6,222119.1,104134.0,947385.2,1013812.2,104637.2,123008.0,361331.3,218956.0,197123.6,245364.2
2020/04/22,6621408.8,264593.8,103903.2,933562.2,1139712.7,111577.3,141710.4,409836.9,225539.9,202357.3,252301.5
2020/04/23,6624844.2,258307.6,111207.1,953136.3,1146036.9,111196.0,139119.3,406932.3,232073.6,207587.1,259137.4
2020/04/24,6328615.0,271389.4,118247.1,919287.7,1130977.3,107957.9,129925.3,392427.6,238530.5,212710.6,265879.9
2020/04/25,7112625.5,320537.4,189595.5,950510.9,1248024.3,122754.6,138103.6,447394.7,244889.6,217734.5,272478.3
2020/04/26,4841417.3,183522.6,167457.9,827218.3,776479.4,85675.0,91588.2,342631.1,251151.3,222606.6,278952.4
2020/04/27,6487016.3,237548.4,111918.9,998758.1,1059792.3,103293.2,131464.2,378719.3,257275.5,227306.6,285230.7
2020/04/28,7337125.1,291932.9,104134.0,947385.2,1230832.5,127457.7,146579.1,403152.1,263328.7,231927.3,291520.7
2020/04/29,6638241.4,252758.8,103903.2,933562.2,1092685.5,111284.7,133634.7,383163.5,269338.6,236494.5,297641.3
2020/04/30,6277367.7,241233.1,111207.1,953136.3,1025224.0,103174.6,124449.9,357624.1,275291.9,240980.0,303586.9
2020/05/01,7273860.0,307128.4,118247.1,919287.7,1283555.4,122142.3,150213.4,422836.7,281226.8,245449.8,309475.8
2020/05/02,7575268.5,338882.6,189595.5,950510.9,1288887.1,132095.7,135104.5,445289.2,287101.1,249893.8,315288.1
2020/05/03,,,,,,,,,292977.6,254309.0,321078.5
2020/05/04,,,,,,,,,298804.1,258699.4,326865.9
2020/05/05,,,,,,,,,304403.8,262881.7,332374.9
2020/05/06,,,,,,,,,310000.1,267089.8,337882.4
2020/05/07,,,,,,,,,315611.1,271303.7,343358.6
2020/05/08,,,,,,,,,321106.5,275405.0,349005.3
2020/05/09,,,,,,,,,326527.9,279490.8,355273.4
