date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11958402.7,492516.6,167457.9,827218.3,2847691.0,349562.8,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14150915.8,555939.5,111918.9,998758.1,2850318.5,202508.0,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13406261.3,531385.2,104134.0,947385.2,2668761.2,201275.7,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13348040.0,529369.8,103903.2,933562.2,2698980.2,196471.0,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13403586.1,512618.4,111207.1,953136.3,2853511.0,189123.5,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,14094243.5,577695.6,118247.1,919287.7,3074067.4,205293.0,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,12191849.9,480013.9,189595.5,950510.9,3303407.2,192215.6,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,10280182.4,368649.7,167457.9,827218.3,2847691.0,221744.8,191088.7,673009.1,928.2,194.7,2466.6
2020/03/16,10806015.9,376145.9,111918.9,998758.1,2850318.5,152333.5,233907.7,716584.9,1288.0,302.7,3227.5
2020/03/17,9913733.1,327744.1,104134.0,947385.2,2668761.2,147610.5,203975.5,596312.8,1817.2,491.0,4259.2
2020/03/18,9934835.7,324675.7,103903.2,933562.2,2698980.2,146159.9,203895.6,572007.2,2587.7,810.6,5628.8
2020/03/19,9626296.6,294174.3,111207.1,953136.3,2853511.0,140195.6,185519.6,534859.1,3676.7,1307.8,7385.5
2020/03/20,9306706.1,259310.2,118247.1,919287.7,3074067.4,132949.5,156818.8,518038.5,5188.3,2054.9,9685.7
2020/03/21,8318931.3,185267.0,189595.5,950510.9,3303407.2,113656.6,110319.8,401554.4,7273.7,3183.3,12587.5
2020/03/22,7641178.8,192936.0,167457.9,827218.3,2847691.0,116868.6,122423.2,438108.1,10067.1,4853.5,16233.1
2020/03/23,7882210.9,194404.9,111918.9,998758.1,2850318.5,105204.3,123985.7,366077.7,13669.5,7179.1,20628.0
2020/03/24,8298411.1,239989.9,104134.0,947385.2,2668761.2,124361.0,149015.4,422455.4,18076.3,10276.0,25806.8
2020/03/25,8622580.4,253661.2,103903.2,933562.2,2698980.2,135779.8,155080.3,452300.8,23260.3,14204.9,31688.4
2020/03/26,8444913.9,245090.7,111207.1,953136.3,2853511.0,119785.3,143560.8,403950.5,29194.9,18975.0,38161.0
2020/03/27,8719301.2,260616.6,118247.1,919287.7,3074067.4,123602.8,142569.7,434186.8,35988.4,24791.3,45491.0
2020/03/28,7925435.1,206660.6,189595.5,950510.9,3303407.2,95596.2,115623.8,433008.6,43655.7,31679.2,53688.9
2020/03/29,6896142.7,165715.4,167457.9,827218.3,2847691.0,93198.6,96620.0,388221.0,52283.3,39676.8,62949.9
2020/03/30,8093008.1,211471.8,111918.9,998758.1,2850318.5,112083.6,133639.0,396249.5,61807.6,48571.7,73390.5
2020/03/31,7758540.1,224196.1,104134.0,947385.2,2668761.2,109424.8,134969.0,387061.6,72057.5,57848.0,84986.7
2020/04/01,8049145.9,235089.4,103903.2,933562.2,2698980.2,115268.2,142244.8,399588.1,82873.5,68171.9,97397.5
2020/04/02,8077293.0,230191.1,111207.1,953136.3,2853511.0,110495.0,137314.7,403838.5,94347.1,79311.9,110479.2
2020/04/03,7810673.2,236154.4,118247.1,919287.7,3074067.4,83669.5,137227.2,404064.8,106455.3,90838.3,124320.7
2020/04/04,8157849.9,241736.6,189595.5,950510.9,3303407.2,84517.1,126654.5,430665.2,119163.6,103403.2,138669.7
2020/04/05,6945337.3,179268.8,167457.9,827218.3,2847691.0,84292.1,101857.1,364108.8,132513.0,116967.8,153273.8
2020/04/06,7808540.0,216071.0,111918.9,998758.1,2850318.5,90612.5,127838.5,369105.2,146330.2,130245.9,168342.8
2020/04/07,7566366.4,221022.9,104134.0,947385.2,2668761.2,92100.4,129081.2,365540.0,160397.4,143956.0,183580.4
2020/04/08,7467359.2,211071.9,103903.2,933562.2,2698980.2,91382.9,130877.5,363456.7,174605.3,157801.0,198943.1
2020/04/09,7363957.5,199959.0,111207.1,953136.3,2853511.0,83567.3,121783.3,363823.5,188851.8,171726.1,214225.5
2020/04/10,7737361.1,219690.3,118247.1,919287.7,3074067.4,83513.4,138884.7,414350.8,203259.3,185512.7,229671.3
2020/04/11,8209104.8,247481.6,189595.5,950510.9,3303407.2,90018.4,145396.2,440817.3,217658.2,198828.1,245168.9
2020/04/12,6407496.6,140211.0,167457.9,827218.3,2847691.0,81683.4,89136.9,234954.4,232186.4,212494.5,260783.5
2020/04/13,6727550.3,151992.2,111918.9,998758.1,2850318.5,70490.5,88396.4,264728.9,246917.1,226208.4,276604.6
2020/04/14,7531002.2,237116.5,104134.0,947385.2,2668761.2,93291.0,133846.8,369103.2,261505.8,240417.2,292238.2
2020/04/15,7541507.0,240233.3,103903.2,933562.2,2698980.2,91591.5,128799.0,361397.3,275811.1,253388.5,307482.1
2020/04/16,7678321.4,235635.7,111207.1,953136.3,2853511.0,95952.8,127102.5,360161.1,289767.0,266232.0,322242.0
2020/04/17,8102587.7,264743.2,118247.1,919287.7,3074067.4,98776.6,136089.0,393052.8,303389.6,278645.3,336598.5
2020/04/18,7854040.4,229864.9,189595.5,950510.9,3303407.2,85314.6,116115.1,390733.7,316733.7,290833.0,351156.7
2020/04/19,7330608.4,220842.5,167457.9,827218.3,2847691.0,96206.1,103034.3,354022.3,330099.9,303035.2,365536.1
2020/04/20,7917780.1,222536.7,111918.9,998758.1,2850318.5,102313.5,125071.8,357049.8,343527.8,315247.5,380952.9
2020/04/21,7716133.5,222119.1,104134.0,947385.2,2668761.2,104637.2,123008.0,361331.3,356509.0,327116.9,395245.6
2020/04/22,8180676.3,264593.8,103903.2,933562.2,2698980.2,111577.3,141710.4,409836.9,368937.1,338550.1,408245.0
2020/04/23,8332318.3,258307.6,111207.1,953136.3,2853511.0,111196.0,139119.3,406932.3,380946.9,349614.9,420832.9
2020/04/24,8271705.0,271389.4,118247.1,919287.7,3074067.4,107957.9,129925.3,392427.6,392586.3,360349.5,433779.8
2020/04/25,9168008.4,320537.4,189595.5,950510.9,3303407.2,122754.6,138103.6,447394.7,403939.8,370876.1,446557.3
2020/04/26,6912628.9,183522.6,167457.9,827218.3,2847691.0,85675.0,91588.2,342631.1,415187.2,381325.3,459018.8
2020/04/27,8277542.5,237548.4,111918.9,998758.1,2850318.5,103293.2,131464.2,378719.3,426346.6,391700.4,471544.1
2020/04/28,8775053.8,291932.9,104134.0,947385.2,2668761.2,127457.7,146579.1,403152.1,437207.4,401823.9,483739.2
2020/04/29,8244536.2,252758.8,103903.2,933562.2,2698980.2,111284.7,133634.7,383163.5,447633.8,411024.3,495554.0
2020/04/30,8105654.7,241233.1,111207.1,953136.3,2853511.0,103174.6,124449.9,357624.1,457649.0,419707.7,506772.7
2020/05/01,9064372.0,307128.4,118247.1,919287.7,3074067.4,122142.3,150213.4,422836.7,467343.6,428300.8,517586.1
2020/05/02,9589788.5,338882.6,189595.5,950510.9,3303407.2,132095.7,135104.5,445289.2,476754.4,436974.1,528040.4
2020/05/03,,,,,,,,,486088.5,445526.2,538492.1
2020/05/04,,,,,,,,,495361.5,454237.4,548831.2
2020/05/05,,,,,,,,,504194.6,462644.0,558610.0
2020/05/06,,,,,,,,,512682.1,469954.5,567956.1
2020/05/07,,,,,,,,,520869.5,477014.6,576844.8
2020/05/08,,,,,,,,,528688.3,483660.6,585315.5
