date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11996307.9,492516.6,167457.9,827218.3,2847691.0,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14166414.4,555939.5,111918.9,998758.1,2850318.5,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13367838.6,531385.2,104134.0,947385.2,2668761.2,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13310050.2,529369.8,103903.2,933562.2,2698980.2,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13224102.2,512618.4,111207.1,953136.3,2853511.0,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13781131.7,577695.6,118247.1,919287.7,3074067.4,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,12115625.4,480013.9,189595.5,950510.9,3303407.2,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,10286543.9,368649.7,167457.9,827218.3,2847691.0,221744.8,191088.7,679370.7,928.2,194.1,2466.7
2020/03/16,10684707.1,376145.9,111918.9,998758.1,2850318.5,152333.5,233907.7,595276.1,1288.9,305.2,3239.7
2020/03/17,9839043.4,327744.1,104134.0,947385.2,2668761.2,147610.5,203975.5,521623.1,1819.5,495.9,4256.4
2020/03/18,9891703.5,324675.7,103903.2,933562.2,2698980.2,146159.9,203895.6,528874.9,2591.9,810.9,5611.2
2020/03/19,9639516.4,294174.3,111207.1,953136.3,2853511.0,140195.6,185519.6,548079.0,3682.3,1314.8,7382.1
2020/03/20,9354805.2,259310.2,118247.1,919287.7,3074067.4,132949.5,156818.8,566137.6,5195.4,2074.5,9651.7
2020/03/21,8564593.0,185267.0,189595.5,950510.9,3303407.2,113656.6,110319.8,647216.1,7277.1,3201.2,12537.2
2020/03/22,7882441.4,192936.0,167457.9,827218.3,2847691.0,116868.6,122423.2,679370.7,10062.9,4877.5,16191.5
2020/03/23,8111409.2,194404.9,111918.9,998758.1,2850318.5,105204.3,123985.7,595276.1,13666.2,7244.5,20654.2
2020/03/24,8397578.8,239989.9,104134.0,947385.2,2668761.2,124361.0,149015.4,521623.1,18079.9,10380.8,25841.3
2020/03/25,8699154.5,253661.2,103903.2,933562.2,2698980.2,135779.8,155080.3,528874.9,23279.3,14302.9,31720.0
2020/03/26,8589042.3,245090.7,111207.1,953136.3,2853511.0,119785.3,143560.8,548079.0,29234.1,19033.3,38213.0
2020/03/27,8851252.1,260616.6,118247.1,919287.7,3074067.4,123602.8,142569.7,566137.6,36058.4,24781.7,45442.2
2020/03/28,8139642.5,206660.6,189595.5,950510.9,3303407.2,95596.2,115623.8,647216.1,43773.2,31603.6,53594.2
2020/03/29,7187292.4,165715.4,167457.9,827218.3,2847691.0,93198.6,96620.0,679370.7,52473.4,39601.2,62888.2
2020/03/30,8292034.6,211471.8,111918.9,998758.1,2850318.5,112083.6,133639.0,595276.1,62129.4,48768.0,73542.6
2020/03/31,7893101.7,224196.1,104134.0,947385.2,2668761.2,109424.8,134969.0,521623.1,72570.8,58702.3,85367.6
2020/04/01,8178432.7,235089.4,103903.2,933562.2,2698980.2,115268.2,142244.8,528874.9,83597.4,68868.9,97934.6
2020/04/02,8221533.5,230191.1,111207.1,953136.3,2853511.0,110495.0,137314.7,548079.0,95263.8,80137.4,111116.8
2020/04/03,7972746.0,236154.4,118247.1,919287.7,3074067.4,83669.5,137227.2,566137.6,107568.4,91630.8,124855.0
2020/04/04,8374400.7,241736.6,189595.5,950510.9,3303407.2,84517.1,126654.5,647216.1,120488.6,104408.0,139178.9
2020/04/05,7260599.1,179268.8,167457.9,827218.3,2847691.0,84292.1,101857.1,679370.7,134063.5,118248.0,154323.0
2020/04/06,8034710.9,216071.0,111918.9,998758.1,2850318.5,90612.5,127838.5,595276.1,148177.8,131549.8,169881.9
2020/04/07,7722449.5,221022.9,104134.0,947385.2,2668761.2,92100.4,129081.2,521623.1,162572.2,145248.0,185602.2
2020/04/08,7632777.3,211071.9,103903.2,933562.2,2698980.2,91382.9,130877.5,528874.9,177108.5,159241.2,201380.4
2020/04/09,7548213.0,199959.0,111207.1,953136.3,2853511.0,83567.3,121783.3,548079.0,191659.0,173421.9,217130.7
2020/04/10,7889147.9,219690.3,118247.1,919287.7,3074067.4,83513.4,138884.7,566137.6,206356.0,187818.0,233003.4
2020/04/11,8415503.6,247481.6,189595.5,950510.9,3303407.2,90018.4,145396.2,647216.1,221039.6,202039.5,248793.2
2020/04/12,6851912.9,140211.0,167457.9,827218.3,2847691.0,81683.4,89136.9,679370.7,235850.5,216135.3,264746.5
2020/04/13,7058097.4,151992.2,111918.9,998758.1,2850318.5,70490.5,88396.4,595276.1,250909.0,230489.0,280889.8
2020/04/14,7683522.1,237116.5,104134.0,947385.2,2668761.2,93291.0,133846.8,521623.1,265847.8,245106.1,296891.8
2020/04/15,7708984.6,240233.3,103903.2,933562.2,2698980.2,91591.5,128799.0,528874.9,280486.8,258132.6,312434.5
2020/04/16,7866239.3,235635.7,111207.1,953136.3,2853511.0,95952.8,127102.5,548079.0,294750.4,270945.4,327513.1
2020/04/17,8275672.5,264743.2,118247.1,919287.7,3074067.4,98776.6,136089.0,566137.6,308658.6,283527.4,342358.8
2020/04/18,8110522.8,229864.9,189595.5,950510.9,3303407.2,85314.6,116115.1,647216.1,322269.7,295826.5,356906.7
2020/04/19,7655956.7,220842.5,167457.9,827218.3,2847691.0,96206.1,103034.3,679370.7,335892.8,308119.9,372028.7
2020/04/20,8156006.4,222536.7,111918.9,998758.1,2850318.5,102313.5,125071.8,595276.1,349596.3,320486.1,386255.4
2020/04/21,7876425.3,222119.1,104134.0,947385.2,2668761.2,104637.2,123008.0,521623.1,362879.8,332467.6,400477.7
2020/04/22,8299714.3,264593.8,103903.2,933562.2,2698980.2,111577.3,141710.4,528874.9,375587.0,344032.9,414921.5
2020/04/23,8473465.0,258307.6,111207.1,953136.3,2853511.0,111196.0,139119.3,548079.0,387849.9,355254.6,429002.8
2020/04/24,8445415.0,271389.4,118247.1,919287.7,3074067.4,107957.9,129925.3,566137.6,399713.5,366167.0,442560.9
2020/04/25,9367829.8,320537.4,189595.5,950510.9,3303407.2,122754.6,138103.6,647216.1,411271.8,376845.4,455688.0
2020/04/26,7249368.5,183522.6,167457.9,827218.3,2847691.0,85675.0,91588.2,679370.7,422713.4,387357.1,468122.3
2020/04/27,8494099.3,237548.4,111918.9,998758.1,2850318.5,103293.2,131464.2,595276.1,434084.6,397854.7,481075.7
2020/04/28,8893524.8,291932.9,104134.0,947385.2,2668761.2,127457.7,146579.1,521623.1,445161.0,408095.4,493551.9
2020/04/29,8390247.5,252758.8,103903.2,933562.2,2698980.2,111284.7,133634.7,528874.9,455785.4,418019.0,505512.4
2020/04/30,8296109.7,241233.1,111207.1,953136.3,2853511.0,103174.6,124449.9,548079.0,465967.7,427381.6,516912.2
2020/05/01,9207672.8,307128.4,118247.1,919287.7,3074067.4,122142.3,150213.4,566137.6,475808.0,436574.0,527665.2
2020/05/02,9791715.4,338882.6,189595.5,950510.9,3303407.2,132095.7,135104.5,647216.1,485348.0,445461.4,538113.6
2020/05/03,,,,,,,,,494809.4,454040.4,548585.7
2020/05/04,,,,,,,,,504212.3,462860.5,558993.9
2020/05/05,,,,,,,,,513186.6,471402.5,568799.2
2020/05/06,,,,,,,,,521795.5,479206.9,578104.8
2020/05/07,,,,,,,,,530084.3,486320.1,587063.3
2020/05/08,,,,,,,,,537995.7,493163.5,595552.2
