date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12019002.6,515211.4,167457.9,827218.3,2847691.0,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14190584.5,580109.6,111918.9,998758.1,2850318.5,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13390939.6,554486.2,104134.0,947385.2,2668761.2,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13344563.0,563882.5,103903.2,933562.2,2698980.2,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13299456.4,587972.6,111207.1,953136.3,2853511.0,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13820585.6,617149.5,118247.1,919287.7,3074067.4,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,12264417.5,628806.0,189595.5,950510.9,3303407.2,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,10433105.6,515211.4,167457.9,827218.3,2847691.0,221744.8,191088.7,679370.7,928.1,194.7,2467.5
2020/03/16,10888670.8,580109.6,111918.9,998758.1,2850318.5,152333.5,233907.7,595276.1,1289.0,305.1,3231.1
2020/03/17,10065785.5,554486.2,104134.0,947385.2,2668761.2,147610.5,203975.5,521623.1,1821.0,493.4,4251.4
2020/03/18,10130910.3,563882.5,103903.2,933562.2,2698980.2,146159.9,203895.6,528874.9,2597.4,812.2,5618.3
2020/03/19,9933314.7,587972.6,111207.1,953136.3,2853511.0,140195.6,185519.6,548079.0,3691.1,1309.9,7388.6
2020/03/20,9712644.5,617149.5,118247.1,919287.7,3074067.4,132949.5,156818.8,566137.6,5212.0,2055.9,9672.3
2020/03/21,9008132.0,628806.0,189595.5,950510.9,3303407.2,113656.6,110319.8,647216.1,7309.3,3182.9,12574.1
2020/03/22,8204716.8,515211.4,167457.9,827218.3,2847691.0,116868.6,122423.2,679370.7,10125.5,4842.1,16231.7
2020/03/23,8497113.9,580109.6,111918.9,998758.1,2850318.5,105204.3,123985.7,595276.1,13771.2,7187.0,20715.3
2020/03/24,8712075.2,554486.2,104134.0,947385.2,2668761.2,124361.0,149015.4,521623.1,18256.5,10344.1,25976.2
2020/03/25,9009375.8,563882.5,103903.2,933562.2,2698980.2,135779.8,155080.3,528874.9,23567.5,14360.6,31965.8
2020/03/26,8931924.2,587972.6,111207.1,953136.3,2853511.0,119785.3,143560.8,548079.0,29658.5,19197.4,38635.0
2020/03/27,9207784.9,617149.5,118247.1,919287.7,3074067.4,123602.8,142569.7,566137.6,36657.6,25081.0,46072.7
2020/03/28,8561788.0,628806.0,189595.5,950510.9,3303407.2,95596.2,115623.8,647216.1,44593.3,32139.7,54371.0
2020/03/29,7536788.4,515211.4,167457.9,827218.3,2847691.0,93198.6,96620.0,679370.7,53571.2,40467.6,64170.2
2020/03/30,8660672.4,580109.6,111918.9,998758.1,2850318.5,112083.6,133639.0,595276.1,63550.0,49815.5,75252.4
2020/03/31,8223391.8,554486.2,104134.0,947385.2,2668761.2,109424.8,134969.0,521623.1,74356.9,59741.0,87619.4
2020/04/01,8507225.8,563882.5,103903.2,933562.2,2698980.2,115268.2,142244.8,528874.9,85792.2,70739.1,100583.2
2020/04/02,8579315.0,587972.6,111207.1,953136.3,2853511.0,110495.0,137314.7,548079.0,97888.4,82580.6,114249.3
2020/04/03,8353741.1,617149.5,118247.1,919287.7,3074067.4,83669.5,137227.2,566137.6,110650.7,95106.4,128738.3
2020/04/04,8761470.1,628806.0,189595.5,950510.9,3303407.2,84517.1,126654.5,647216.1,124061.8,108121.0,143479.6
2020/04/05,7596541.7,515211.4,167457.9,827218.3,2847691.0,84292.1,101857.1,679370.7,138174.9,122262.8,158974.0
2020/04/06,8398749.5,580109.6,111918.9,998758.1,2850318.5,90612.5,127838.5,595276.1,152857.7,136347.2,175055.5
2020/04/07,8055912.8,554486.2,104134.0,947385.2,2668761.2,92100.4,129081.2,521623.1,167839.3,150705.8,191485.2
2020/04/08,7985588.0,563882.5,103903.2,933562.2,2698980.2,91382.9,130877.5,528874.9,182976.2,165221.8,207936.4
2020/04/09,7936226.7,587972.6,111207.1,953136.3,2853511.0,83567.3,121783.3,548079.0,198122.2,179870.9,224364.5
2020/04/10,8286607.1,617149.5,118247.1,919287.7,3074067.4,83513.4,138884.7,566137.6,213418.2,194844.5,240828.2
2020/04/11,8796828.0,628806.0,189595.5,950510.9,3303407.2,90018.4,145396.2,647216.1,228706.3,209355.2,257198.7
2020/04/12,7226913.2,515211.4,167457.9,827218.3,2847691.0,81683.4,89136.9,679370.7,244138.8,223111.2,273758.8
2020/04/13,7486214.8,580109.6,111918.9,998758.1,2850318.5,70490.5,88396.4,595276.1,259839.4,237826.0,290498.9
2020/04/14,8000891.8,554486.2,104134.0,947385.2,2668761.2,93291.0,133846.8,521623.1,275410.5,252726.4,307000.7
2020/04/15,8032633.8,563882.5,103903.2,933562.2,2698980.2,91591.5,128799.0,528874.9,290663.3,266334.0,323100.2
2020/04/16,8218576.2,587972.6,111207.1,953136.3,2853511.0,95952.8,127102.5,548079.0,305517.8,279582.5,338728.4
2020/04/17,8628078.8,617149.5,118247.1,919287.7,3074067.4,98776.6,136089.0,566137.6,319999.2,292576.2,353958.6
2020/04/18,8509463.9,628806.0,189595.5,950510.9,3303407.2,85314.6,116115.1,647216.1,334172.9,305292.4,369789.8
2020/04/19,7950325.6,515211.4,167457.9,827218.3,2847691.0,96206.1,103034.3,679370.7,348363.6,317939.1,385241.2
2020/04/20,8513579.3,580109.6,111918.9,998758.1,2850318.5,102313.5,125071.8,595276.1,362639.6,330679.4,400987.6
2020/04/21,8208792.5,554486.2,104134.0,947385.2,2668761.2,104637.2,123008.0,521623.1,376480.8,343163.7,416044.3
2020/04/22,8599003.0,563882.5,103903.2,933562.2,2698980.2,111577.3,141710.4,528874.9,389712.9,355201.9,431299.5
2020/04/23,8803130.1,587972.6,111207.1,953136.3,2853511.0,111196.0,139119.3,548079.0,402463.3,366878.4,446062.9
2020/04/24,8791175.1,617149.5,118247.1,919287.7,3074067.4,107957.9,129925.3,566137.6,414785.8,378349.8,459470.3
2020/04/25,9676098.4,628806.0,189595.5,950510.9,3303407.2,122754.6,138103.6,647216.1,426779.2,389493.6,473165.0
2020/04/26,7581057.3,515211.4,167457.9,827218.3,2847691.0,85675.0,91588.2,679370.7,438660.5,400577.8,486756.5
2020/04/27,8836660.4,580109.6,111918.9,998758.1,2850318.5,103293.2,131464.2,595276.1,450462.1,411601.5,499978.3
2020/04/28,9156078.1,554486.2,104134.0,947385.2,2668761.2,127457.7,146579.1,521623.1,461943.2,422363.1,513055.1
2020/04/29,8701371.3,563882.5,103903.2,933562.2,2698980.2,111284.7,133634.7,528874.9,472937.4,432740.9,525463.1
2020/04/30,8642849.1,587972.6,111207.1,953136.3,2853511.0,103174.6,124449.9,548079.0,483462.0,442768.7,537196.1
2020/05/01,9517693.9,617149.5,118247.1,919287.7,3074067.4,122142.3,150213.4,566137.6,493620.5,452501.3,548542.6
2020/05/02,10081638.8,628806.0,189595.5,950510.9,3303407.2,132095.7,135104.5,647216.1,503459.7,461956.2,559442.6
2020/05/03,,,,,,,,,513203.8,471342.3,570206.4
2020/05/04,,,,,,,,,522882.0,480363.8,580891.2
2020/05/05,,,,,,,,,532106.2,488456.5,591033.1
2020/05/06,,,,,,,,,540935.7,496438.1,600702.0
2020/05/07,,,,,,,,,549420.0,504591.3,609912.2
2020/05/08,,,,,,,,,557506.2,511841.7,618537.7
