date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12028300.4,515211.4,167457.9,827218.3,2847691.0,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14202110.9,580109.6,111918.9,998758.1,2850318.5,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13387922.1,554486.2,104134.0,947385.2,2668761.2,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13339238.4,563882.5,103903.2,933562.2,2698980.2,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13275469.2,587972.6,111207.1,953136.3,2853511.0,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13768606.9,617149.5,118247.1,919287.7,3074067.4,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,12265482.9,628806.0,189595.5,950510.9,3303407.2,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,10435625.5,515211.4,167457.9,827218.3,2847691.0,221744.8,193608.6,679370.7,928.1,194.7,2467.5
2020/03/16,10891726.3,580109.6,111918.9,998758.1,2850318.5,152333.5,236963.2,595276.1,1288.9,305.3,3237.1
2020/03/17,10083195.8,554486.2,104134.0,947385.2,2668761.2,147610.5,221385.8,521623.1,1820.8,490.8,4256.4
2020/03/18,10146763.0,563882.5,103903.2,933562.2,2698980.2,146159.9,219748.3,528874.9,2596.1,806.8,5616.8
2020/03/19,9977860.9,587972.6,111207.1,953136.3,2853511.0,140195.6,230065.8,548079.0,3687.9,1316.6,7387.2
2020/03/20,9787532.7,617149.5,118247.1,919287.7,3074067.4,132949.5,231707.0,566137.6,5206.6,2063.8,9646.1
2020/03/21,9127214.1,628806.0,189595.5,950510.9,3303407.2,113656.6,229402.0,647216.1,7302.1,3170.0,12571.4
2020/03/22,8275902.2,515211.4,167457.9,827218.3,2847691.0,116868.6,193608.6,679370.7,10113.9,4835.6,16215.1
2020/03/23,8610091.4,580109.6,111918.9,998758.1,2850318.5,105204.3,236963.2,595276.1,13757.5,7217.5,20711.3
2020/03/24,8784445.6,554486.2,104134.0,947385.2,2668761.2,124361.0,221385.8,521623.1,18243.6,10436.5,25973.2
2020/03/25,9074043.8,563882.5,103903.2,933562.2,2698980.2,135779.8,219748.3,528874.9,23552.9,14552.5,31959.2
2020/03/26,9018429.2,587972.6,111207.1,953136.3,2853511.0,119785.3,230065.8,548079.0,29650.0,19528.0,38630.0
2020/03/27,9296922.3,617149.5,118247.1,919287.7,3074067.4,123602.8,231707.0,566137.6,36658.8,25603.4,45990.0
2020/03/28,8675566.1,628806.0,189595.5,950510.9,3303407.2,95596.2,229402.0,647216.1,44612.4,32803.7,54323.5
2020/03/29,7633777.0,515211.4,167457.9,827218.3,2847691.0,93198.6,193608.6,679370.7,53614.7,41292.1,64346.9
2020/03/30,8763996.6,580109.6,111918.9,998758.1,2850318.5,112083.6,236963.2,595276.1,63627.0,50598.2,75676.6
2020/03/31,8309808.6,554486.2,104134.0,947385.2,2668761.2,109424.8,221385.8,521623.1,74467.7,60767.7,88189.0
2020/04/01,8584729.3,563882.5,103903.2,933562.2,2698980.2,115268.2,219748.3,528874.9,85946.1,71374.6,101280.9
2020/04/02,8672066.1,587972.6,111207.1,953136.3,2853511.0,110495.0,230065.8,548079.0,98086.6,83159.2,114965.4
2020/04/03,8448220.8,617149.5,118247.1,919287.7,3074067.4,83669.5,231707.0,566137.6,110901.8,95001.3,129280.9
2020/04/04,8864217.6,628806.0,189595.5,950510.9,3303407.2,84517.1,229402.0,647216.1,124364.8,107848.8,144139.5
2020/04/05,7688293.2,515211.4,167457.9,827218.3,2847691.0,84292.1,193608.6,679370.7,138526.3,122014.8,159676.0
2020/04/06,8507874.1,580109.6,111918.9,998758.1,2850318.5,90612.5,236963.2,595276.1,153265.7,136322.2,175804.7
2020/04/07,8148217.5,554486.2,104134.0,947385.2,2668761.2,92100.4,221385.8,521623.1,168302.4,150874.2,192119.9
2020/04/08,8074458.8,563882.5,103903.2,933562.2,2698980.2,91382.9,219748.3,528874.9,183491.0,165689.8,208627.8
2020/04/09,8044509.1,587972.6,111207.1,953136.3,2853511.0,83567.3,230065.8,548079.0,198691.9,180139.2,225067.9
2020/04/10,8379429.4,617149.5,118247.1,919287.7,3074067.4,83513.4,231707.0,566137.6,214040.0,194497.6,241478.8
2020/04/11,8880833.8,628806.0,189595.5,950510.9,3303407.2,90018.4,229402.0,647216.1,229371.8,209246.8,257897.9
2020/04/12,7331384.9,515211.4,167457.9,827218.3,2847691.0,81683.4,193608.6,679370.7,244854.2,224671.5,274407.8
2020/04/13,7634781.6,580109.6,111918.9,998758.1,2850318.5,70490.5,236963.2,595276.1,260604.1,239795.1,291221.8
2020/04/14,8088430.8,554486.2,104134.0,947385.2,2668761.2,93291.0,221385.8,521623.1,276218.5,253916.1,307753.7
2020/04/15,8123583.1,563882.5,103903.2,933562.2,2698980.2,91591.5,219748.3,528874.9,291517.1,267741.6,324762.3
2020/04/16,8321539.5,587972.6,111207.1,953136.3,2853511.0,95952.8,230065.8,548079.0,306411.5,281206.8,340476.9
2020/04/17,8723696.8,617149.5,118247.1,919287.7,3074067.4,98776.6,231707.0,566137.6,320933.5,294331.4,355704.2
2020/04/18,8622750.8,628806.0,189595.5,950510.9,3303407.2,85314.6,229402.0,647216.1,335145.9,307168.4,370927.4
2020/04/19,8040899.9,515211.4,167457.9,827218.3,2847691.0,96206.1,193608.6,679370.7,349375.4,319967.3,386521.9
2020/04/20,8625470.7,580109.6,111918.9,998758.1,2850318.5,102313.5,236963.2,595276.1,363691.0,332751.6,402456.2
2020/04/21,8307170.3,554486.2,104134.0,947385.2,2668761.2,104637.2,221385.8,521623.1,377562.0,345171.8,418285.6
2020/04/22,8677040.9,563882.5,103903.2,933562.2,2698980.2,111577.3,219748.3,528874.9,390828.1,357152.6,433476.7
2020/04/23,8894076.6,587972.6,111207.1,953136.3,2853511.0,111196.0,230065.8,548079.0,403611.7,368753.2,447997.9
2020/04/24,8892956.9,617149.5,118247.1,919287.7,3074067.4,107957.9,231707.0,566137.6,415965.5,380037.1,462023.2
2020/04/25,9767396.8,628806.0,189595.5,950510.9,3303407.2,122754.6,229402.0,647216.1,427992.5,391059.6,475278.7
2020/04/26,7683077.7,515211.4,167457.9,827218.3,2847691.0,85675.0,193608.6,679370.7,439899.7,401979.2,488935.5
2020/04/27,8942159.4,580109.6,111918.9,998758.1,2850318.5,103293.2,236963.2,595276.1,451734.7,412843.3,502466.6
2020/04/28,9230884.7,554486.2,104134.0,947385.2,2668761.2,127457.7,221385.8,521623.1,463242.3,423495.0,515493.7
2020/04/29,8787484.9,563882.5,103903.2,933562.2,2698980.2,111284.7,219748.3,528874.9,474259.7,433725.1,527986.1
2020/04/30,8748465.0,587972.6,111207.1,953136.3,2853511.0,103174.6,230065.8,548079.0,484808.5,443560.8,539754.8
2020/05/01,9599187.4,617149.5,118247.1,919287.7,3074067.4,122142.3,231707.0,566137.6,494988.7,453149.4,551103.5
2020/05/02,10175936.3,628806.0,189595.5,950510.9,3303407.2,132095.7,229402.0,647216.1,504849.0,462469.7,562082.9
2020/05/03,,,,,,,,,514611.0,471771.2,572878.8
2020/05/04,,,,,,,,,524310.5,480945.5,583550.3
2020/05/05,,,,,,,,,533554.5,489619.6,593599.9
2020/05/06,,,,,,,,,542402.4,497590.2,603191.5
2020/05/07,,,,,,,,,550902.7,505373.1,612367.1
2020/05/08,,,,,,,,,559002.4,513343.7,621060.9
