date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12057041.2,515211.4,167457.9,827218.3,2847691.0,387601.3,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14206017.2,580109.6,111918.9,998758.1,2850318.5,217940.7,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13379564.2,554486.2,104134.0,947385.2,2668761.2,189900.3,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13337711.4,563882.5,103903.2,933562.2,2698980.2,189619.3,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13303784.1,587972.6,111207.1,953136.3,2853511.0,193451.2,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13815827.2,617149.5,118247.1,919287.7,3074067.4,200534.6,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,12327222.9,628806.0,189595.5,950510.9,3303407.2,255021.1,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,10598962.1,515211.4,167457.9,827218.3,2847691.0,387601.3,191088.7,679370.7,928.2,194.4,2465.2
2020/03/16,10954278.0,580109.6,111918.9,998758.1,2850318.5,217940.7,233907.7,595276.1,1289.7,310.9,3239.0
2020/03/17,10108075.3,554486.2,104134.0,947385.2,2668761.2,189900.3,203975.5,521623.1,1821.9,503.1,4259.8
2020/03/18,10174369.7,563882.5,103903.2,933562.2,2698980.2,189619.3,203895.6,528874.9,2597.6,813.5,5616.0
2020/03/19,9986570.3,587972.6,111207.1,953136.3,2853511.0,193451.2,185519.6,548079.0,3689.4,1306.6,7390.4
2020/03/20,9780229.6,617149.5,118247.1,919287.7,3074067.4,200534.6,156818.8,566137.6,5207.6,2045.6,9621.8
2020/03/21,9149496.4,628806.0,189595.5,950510.9,3303407.2,255021.1,110319.8,647216.1,7306.9,3162.6,12564.9
2020/03/22,8475449.5,515211.4,167457.9,827218.3,2847691.0,387601.3,122423.2,679370.7,10129.7,4843.9,16274.2
2020/03/23,8609850.3,580109.6,111918.9,998758.1,2850318.5,217940.7,123985.7,595276.1,13838.8,7248.0,20846.8
2020/03/24,8777614.4,554486.2,104134.0,947385.2,2668761.2,189900.3,149015.4,521623.1,18424.0,10464.2,26217.7
2020/03/25,9063215.4,563882.5,103903.2,933562.2,2698980.2,189619.3,155080.3,528874.9,23841.8,14600.4,32309.0
2020/03/26,9005590.1,587972.6,111207.1,953136.3,2853511.0,193451.2,143560.8,548079.0,30049.9,19659.8,39077.7
2020/03/27,9284716.7,617149.5,118247.1,919287.7,3074067.4,200534.6,142569.7,566137.6,37178.7,25742.5,46586.9
2020/03/28,8721212.9,628806.0,189595.5,950510.9,3303407.2,255021.1,115623.8,647216.1,45265.9,32994.2,55164.2
2020/03/29,7831191.1,515211.4,167457.9,827218.3,2847691.0,387601.3,96620.0,679370.7,54464.2,41616.4,64824.9
2020/03/30,8766529.5,580109.6,111918.9,998758.1,2850318.5,217940.7,133639.0,595276.1,64883.6,51275.6,76795.5
2020/03/31,8303867.3,554486.2,104134.0,947385.2,2668761.2,189900.3,134969.0,521623.1,76254.0,61299.9,89812.3
2020/04/01,8581577.0,563882.5,103903.2,933562.2,2698980.2,189619.3,142244.8,528874.9,88253.6,73075.4,103414.5
2020/04/02,8662271.2,587972.6,111207.1,953136.3,2853511.0,193451.2,137314.7,548079.0,100891.1,86034.5,117671.0
2020/04/03,8470606.2,617149.5,118247.1,919287.7,3074067.4,200534.6,137227.2,566137.6,114190.2,98654.1,132579.7
2020/04/04,8931974.1,628806.0,189595.5,950510.9,3303407.2,255021.1,126654.5,647216.1,128152.5,111648.6,148377.8
2020/04/05,7899850.9,515211.4,167457.9,827218.3,2847691.0,387601.3,101857.1,679370.7,142889.2,125492.2,164710.4
2020/04/06,8526077.7,580109.6,111918.9,998758.1,2850318.5,217940.7,127838.5,595276.1,158477.7,140349.0,181797.0
2020/04/07,8153712.7,554486.2,104134.0,947385.2,2668761.2,189900.3,129081.2,521623.1,174487.5,155831.9,199209.3
2020/04/08,8083824.4,563882.5,103903.2,933562.2,2698980.2,189619.3,130877.5,528874.9,190580.3,171446.9,216635.6
2020/04/09,8046110.5,587972.6,111207.1,953136.3,2853511.0,193451.2,121783.3,548079.0,206611.6,187162.6,233959.3
2020/04/10,8403628.3,617149.5,118247.1,919287.7,3074067.4,200534.6,138884.7,566137.6,222739.3,203119.5,251371.6
2020/04/11,8961830.7,628806.0,189595.5,950510.9,3303407.2,255021.1,145396.2,647216.1,238835.1,217462.5,268659.5
2020/04/12,7532831.2,515211.4,167457.9,827218.3,2847691.0,387601.3,89136.9,679370.7,255129.2,233067.6,286165.5
2020/04/13,7633665.1,580109.6,111918.9,998758.1,2850318.5,217940.7,88396.4,595276.1,271950.0,248942.3,304165.4
2020/04/14,8097501.0,554486.2,104134.0,947385.2,2668761.2,189900.3,133846.8,521623.1,288721.7,263791.0,321957.6
2020/04/15,8130661.7,563882.5,103903.2,933562.2,2698980.2,189619.3,128799.0,528874.9,305065.4,278958.1,339264.7
2020/04/16,8316074.5,587972.6,111207.1,953136.3,2853511.0,193451.2,127102.5,548079.0,320903.9,293126.9,356284.1
2020/04/17,8729836.8,617149.5,118247.1,919287.7,3074067.4,200534.6,136089.0,566137.6,336282.6,307001.8,372548.4
2020/04/18,8679170.4,628806.0,189595.5,950510.9,3303407.2,255021.1,116115.1,647216.1,351293.9,320521.0,388940.6
2020/04/19,8241720.8,515211.4,167457.9,827218.3,2847691.0,387601.3,103034.3,679370.7,366321.4,334053.7,406017.6
2020/04/20,8629206.5,580109.6,111918.9,998758.1,2850318.5,217940.7,125071.8,595276.1,381618.0,347834.8,423430.7
2020/04/21,8294055.6,554486.2,104134.0,947385.2,2668761.2,189900.3,123008.0,521623.1,396494.6,361257.5,440539.4
2020/04/22,8677045.1,563882.5,103903.2,933562.2,2698980.2,189619.3,141710.4,528874.9,410645.1,374153.5,455664.0
2020/04/23,8885385.2,587972.6,111207.1,953136.3,2853511.0,193451.2,139119.3,548079.0,424190.7,386561.5,470620.2
2020/04/24,8883751.8,617149.5,118247.1,919287.7,3074067.4,200534.6,129925.3,566137.6,437220.5,398542.7,485323.7
2020/04/25,9808364.9,628806.0,189595.5,950510.9,3303407.2,255021.1,138103.6,647216.1,449842.3,410252.6,499648.3
2020/04/26,7882983.6,515211.4,167457.9,827218.3,2847691.0,387601.3,91588.2,679370.7,462311.5,421830.9,513666.7
2020/04/27,8951308.0,580109.6,111918.9,998758.1,2850318.5,217940.7,131464.2,595276.1,474836.3,433404.6,527882.3
2020/04/28,9218520.6,554486.2,104134.0,947385.2,2668761.2,189900.3,146579.1,521623.1,487026.3,444766.5,541635.7
2020/04/29,8779705.9,563882.5,103903.2,933562.2,2698980.2,189619.3,133634.7,528874.9,498618.4,455608.8,554665.4
2020/04/30,8733125.7,587972.6,111207.1,953136.3,2853511.0,193451.2,124449.9,548079.0,509630.7,465989.4,566925.5
2020/05/01,9596086.2,617149.5,118247.1,919287.7,3074067.4,200534.6,150213.4,566137.6,520196.1,476007.1,578550.0
2020/05/02,10204564.2,628806.0,189595.5,950510.9,3303407.2,255021.1,135104.5,647216.1,530367.1,485790.7,589680.9
2020/05/03,,,,,,,,,540395.7,495482.9,600633.9
2020/05/04,,,,,,,,,550428.5,505114.0,611546.5
2020/05/05,,,,,,,,,560010.5,514394.4,621886.8
2020/05/06,,,,,,,,,569108.9,523304.5,631608.0
2020/05/07,,,,,,,,,577781.8,531784.0,640718.4
2020/05/08,,,,,,,,,585997.3,539753.9,649236.5
