date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12043644.2,492516.6,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14193373.5,555939.5,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13353445.6,531385.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13297874.1,529369.8,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13204442.6,512618.4,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13724394.6,577695.6,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,12179496.2,480013.9,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,10454920.4,368649.7,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,928.3,195.0,2467.6
2020/03/16,10753369.7,376145.9,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,1289.0,303.1,3235.0
2020/03/17,9898743.5,327744.1,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,1820.5,495.7,4263.0
2020/03/18,9951015.7,324675.7,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,2593.8,814.1,5638.9
2020/03/19,9737318.2,294174.3,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,3684.0,1305.3,7417.0
2020/03/20,9497278.6,259310.2,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,5198.9,2058.6,9701.9
2020/03/21,8825039.6,185267.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,7283.1,3184.9,12608.6
2020/03/22,8224359.6,192936.0,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,10081.6,4854.5,16268.7
2020/03/23,8337123.1,194404.9,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,13754.1,7249.1,20811.3
2020/03/24,8535488.5,239989.9,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,18280.9,10388.6,26188.9
2020/03/25,8817662.1,253661.2,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,23607.1,14406.5,32250.6
2020/03/26,8749213.2,245090.7,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,29697.6,19296.1,38869.4
2020/03/27,9017321.2,260616.6,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,36676.4,25178.4,46204.9
2020/03/28,8412845.6,206660.6,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,44574.1,32192.3,54714.3
2020/03/29,7578683.7,165715.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,53522.2,40300.7,64088.2
2020/03/30,8501215.9,211471.8,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,63646.1,49946.4,75366.9
2020/03/31,8059993.9,224196.1,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,74681.2,60284.5,88186.1
2020/04/01,8330287.4,235089.4,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,86308.9,71974.9,101492.3
2020/04/02,8397240.7,230191.1,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,98551.4,83701.5,115370.7
2020/04/03,8184090.9,236154.4,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,111433.7,96152.7,129899.6
2020/04/04,8647652.1,241736.6,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,124948.3,108989.9,144885.5
2020/04/05,7655659.8,179268.8,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,139193.5,122482.5,160637.3
2020/04/06,8271163.8,216071.0,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,154254.5,136817.1,177395.7
2020/04/07,7912554.0,221022.9,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,169713.7,151642.0,194474.7
2020/04/08,7819884.6,211071.9,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,185241.9,166831.2,211533.0
2020/04/09,7766379.3,199959.0,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,200719.1,182139.6,228451.7
2020/04/10,8098991.4,219690.3,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,216290.3,197564.6,245391.7
2020/04/11,8664512.1,247481.6,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,231829.1,211943.7,262067.0
2020/04/12,7262302.5,140211.0,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,247542.5,226507.2,278862.0
2020/04/13,7354114.4,151992.2,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,263758.6,241166.6,296066.5
2020/04/14,7867670.3,237116.5,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,279932.6,256477.4,313108.0
2020/04/15,7897961.8,240233.3,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,295707.2,270668.0,329694.3
2020/04/16,8066700.9,235635.7,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,310993.9,284384.3,345633.4
2020/04/17,8473048.5,264743.2,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,325839.2,297717.2,361064.1
2020/04/18,8393516.1,229864.9,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,340325.0,310604.8,376977.2
2020/04/19,8037926.2,220842.5,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,354823.2,323503.9,392515.4
2020/04/20,8383525.0,222536.7,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,369582.8,336706.3,407876.7
2020/04/21,8060066.2,222119.1,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,383949.9,349864.6,423669.3
2020/04/22,8455794.2,264593.8,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,397622.4,362447.4,439263.3
2020/04/23,8646666.7,258307.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,410730.6,374589.0,454022.8
2020/04/24,8639773.4,271389.4,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,423352.8,386391.4,468576.9
2020/04/25,9591394.7,320537.4,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,435585.0,397795.6,481466.2
2020/04/26,7653315.2,183522.6,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,447668.8,409121.6,495082.8
2020/04/27,8714245.8,237548.4,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,459802.7,420508.4,508883.1
2020/04/28,9030774.0,291932.9,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,471640.5,431577.7,522281.3
2020/04/29,8554695.8,252758.8,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,482911.0,442133.3,534936.0
2020/04/30,8492002.1,241233.1,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,493636.8,452280.7,546928.1
2020/05/01,9367558.6,307128.4,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,503943.7,462034.3,558380.3
2020/05/02,10008938.2,338882.6,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,513870.0,471308.0,569205.0
2020/05/03,,,,,,,,,523667.8,480720.5,579858.1
2020/05/04,,,,,,,,,533481.5,490160.5,590517.0
2020/05/05,,,,,,,,,542868.3,499123.8,600704.8
2020/05/06,,,,,,,,,551803.8,507838.8,610284.5
2020/05/07,,,,,,,,,560335.3,516084.8,619373.7
2020/05/08,,,,,,,,,568420.2,523352.0,627902.0
