date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12034346.5,492516.6,167457.9,827218.3,2847691.0,387601.3,184310.9,679370.7,3.4,0.3,12.8
2020/03/09,14181847.1,555939.5,111918.9,998758.1,2850318.5,217940.7,225436.8,595276.1,80.3,12.7,277.9
2020/03/10,13356463.1,531385.2,104134.0,947385.2,2668761.2,189900.3,224403.4,521623.1,154.2,25.1,526.1
2020/03/11,13303198.6,529369.8,103903.2,933562.2,2698980.2,189619.3,225072.8,528874.9,234.9,40.4,788.3
2020/03/12,13228429.9,512618.4,111207.1,953136.3,2853511.0,193451.2,254053.0,548079.0,330.2,59.6,1082.0
2020/03/13,13776373.3,577695.6,118247.1,919287.7,3074067.4,200534.6,283685.7,566137.6,452.5,87.7,1439.1
2020/03/14,12178430.8,480013.9,189595.5,950510.9,3303407.2,255021.1,228336.6,647216.1,620.2,128.9,1887.6
2020/03/15,10452400.5,368649.7,167457.9,827218.3,2847691.0,387601.3,191088.7,679370.7,855.4,193.7,2470.9
2020/03/16,10750314.3,376145.9,111918.9,998758.1,2850318.5,217940.7,233907.7,595276.1,1196.5,303.5,3241.8
2020/03/17,9881333.2,327744.1,104134.0,947385.2,2668761.2,189900.3,203975.5,521623.1,1700.9,480.7,4276.2
2020/03/18,9935162.9,324675.7,103903.2,933562.2,2698980.2,189619.3,203895.6,528874.9,2442.9,786.5,5631.2
2020/03/19,9692772.0,294174.3,111207.1,953136.3,2853511.0,193451.2,185519.6,548079.0,3497.2,1257.6,7397.3
2020/03/20,9422390.4,259310.2,118247.1,919287.7,3074067.4,200534.6,156818.8,566137.6,4973.1,1981.6,9681.3
2020/03/21,8705957.4,185267.0,189595.5,950510.9,3303407.2,255021.1,110319.8,647216.1,7020.6,3061.5,12603.5
2020/03/22,8153174.1,192936.0,167457.9,827218.3,2847691.0,387601.3,122423.2,679370.7,9781.8,4679.0,16275.2
2020/03/23,8224145.6,194404.9,111918.9,998758.1,2850318.5,217940.7,123985.7,595276.1,13427.1,6984.8,20778.1
2020/03/24,8463118.1,239989.9,104134.0,947385.2,2668761.2,189900.3,149015.4,521623.1,17937.9,10035.2,26117.4
2020/03/25,8752994.0,253661.2,103903.2,933562.2,2698980.2,189619.3,155080.3,528874.9,23261.0,13850.6,32145.7
2020/03/26,8662708.2,245090.7,111207.1,953136.3,2853511.0,193451.2,143560.8,548079.0,29361.4,18578.3,38815.7
2020/03/27,8928183.8,260616.6,118247.1,919287.7,3074067.4,200534.6,142569.7,566137.6,36365.6,24285.7,46248.9
2020/03/28,8299067.4,206660.6,189595.5,950510.9,3303407.2,255021.1,115623.8,647216.1,44302.2,31095.5,54646.6
2020/03/29,7481695.2,165715.4,167457.9,827218.3,2847691.0,387601.3,96620.0,679370.7,53312.8,39161.0,64401.4
2020/03/30,8397891.7,211471.8,111918.9,998758.1,2850318.5,217940.7,133639.0,595276.1,63518.7,48651.9,75798.4
2020/03/31,7973577.1,224196.1,104134.0,947385.2,2668761.2,189900.3,134969.0,521623.1,74654.6,59486.6,88469.2
2020/04/01,8252783.9,235089.4,103903.2,933562.2,2698980.2,189619.3,142244.8,528874.9,86388.2,70737.4,101524.4
2020/04/02,8304489.6,230191.1,111207.1,953136.3,2853511.0,193451.2,137314.7,548079.0,98756.9,83053.6,115409.2
2020/04/03,8089611.1,236154.4,118247.1,919287.7,3074067.4,200534.6,137227.2,566137.6,111773.1,95188.8,129961.1
2020/04/04,8544904.7,241736.6,189595.5,950510.9,3303407.2,255021.1,126654.5,647216.1,125444.0,108353.6,145140.8
2020/04/05,7563908.3,179268.8,167457.9,827218.3,2847691.0,387601.3,101857.1,679370.7,139862.6,121985.6,160969.8
2020/04/06,8162039.1,216071.0,111918.9,998758.1,2850318.5,217940.7,127838.5,595276.1,155120.7,136391.3,177603.3
2020/04/07,7820249.4,221022.9,104134.0,947385.2,2668761.2,189900.3,129081.2,521623.1,170792.8,151260.9,194607.2
2020/04/08,7731013.8,211071.9,103903.2,933562.2,2698980.2,189619.3,130877.5,528874.9,186533.8,166404.0,211521.6
2020/04/09,7658096.8,199959.0,111207.1,953136.3,2853511.0,193451.2,121783.3,548079.0,202221.4,181664.8,228307.3
2020/04/10,8006169.1,219690.3,118247.1,919287.7,3074067.4,200534.6,138884.7,566137.6,218009.3,197107.7,245022.9
2020/04/11,8580506.3,247481.6,189595.5,950510.9,3303407.2,255021.1,145396.2,647216.1,233762.7,212601.3,261600.2
2020/04/12,7157830.8,140211.0,167457.9,827218.3,2847691.0,387601.3,89136.9,679370.7,249697.9,228394.4,278274.1
2020/04/13,7205547.7,151992.2,111918.9,998758.1,2850318.5,217940.7,88396.4,595276.1,266158.2,244804.7,295422.1
2020/04/14,7780131.3,237116.5,104134.0,947385.2,2668761.2,189900.3,133846.8,521623.1,282576.2,261274.1,312569.4
2020/04/15,7807012.5,240233.3,103903.2,933562.2,2698980.2,189619.3,128799.0,528874.9,298577.5,277454.3,329145.2
2020/04/16,7963737.6,235635.7,111207.1,953136.3,2853511.0,193451.2,127102.5,548079.0,314075.6,292466.9,345219.8
2020/04/17,8377430.5,264743.2,118247.1,919287.7,3074067.4,200534.6,136089.0,566137.6,329125.0,306298.9,360905.4
2020/04/18,8280229.2,229864.9,189595.5,950510.9,3303407.2,255021.1,116115.1,647216.1,343800.9,319813.1,376647.4
2020/04/19,7947351.9,220842.5,167457.9,827218.3,2847691.0,387601.3,103034.3,679370.7,358491.7,333004.4,393246.6
2020/04/20,8271633.6,222536.7,111918.9,998758.1,2850318.5,217940.7,125071.8,595276.1,373453.0,346334.2,409970.7
2020/04/21,7961688.4,222119.1,104134.0,947385.2,2668761.2,189900.3,123008.0,521623.1,388002.5,359233.3,425257.5
2020/04/22,8377756.3,264593.8,103903.2,933562.2,2698980.2,189619.3,141710.4,528874.9,401838.2,371524.5,440180.8
2020/04/23,8555720.2,258307.6,111207.1,953136.3,2853511.0,193451.2,139119.3,548079.0,415091.4,383382.0,454637.6
2020/04/24,8537991.7,271389.4,118247.1,919287.7,3074067.4,200534.6,129925.3,566137.6,427837.5,395090.4,468996.1
2020/04/25,9500096.3,320537.4,189595.5,950510.9,3303407.2,255021.1,138103.6,647216.1,440185.8,406369.3,482774.7
2020/04/26,7551294.8,183522.6,167457.9,827218.3,2847691.0,387601.3,91588.2,679370.7,452389.1,417321.5,496389.7
2020/04/27,8608746.8,237548.4,111918.9,998758.1,2850318.5,217940.7,131464.2,595276.1,464642.4,428299.7,510065.2
2020/04/28,8955967.3,291932.9,104134.0,947385.2,2668761.2,189900.3,146579.1,521623.1,476590.6,438646.7,523294.3
2020/04/29,8468582.2,252758.8,103903.2,933562.2,2698980.2,189619.3,133634.7,528874.9,487951.7,448411.4,535732.5
2020/04/30,8386386.2,241233.1,111207.1,953136.3,2853511.0,193451.2,124449.9,548079.0,498756.1,457674.1,547444.7
2020/05/01,9286065.1,307128.4,118247.1,919287.7,3074067.4,200534.6,150213.4,566137.6,509129.8,466567.5,558649.0
2020/05/02,9914640.8,338882.6,189595.5,950510.9,3303407.2,255021.1,135104.5,647216.1,519120.9,475141.5,569346.0
2020/05/03,,,,,,,,,528976.1,483614.2,579954.8
2020/05/04,,,,,,,,,538845.6,492144.3,590529.2
2020/05/05,,,,,,,,,548282.3,500333.6,600579.3
2020/05/06,,,,,,,,,557250.0,508069.6,610016.6
2020/05/07,,,,,,,,,565809.7,515500.7,618987.0
2020/05/08,,,,,,,,,573914.9,522509.8,627473.5
