date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12028433.8,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14202045.0,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13414969.4,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13370376.6,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13459280.7,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,14076960.2,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,12404512.8,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10595120.5,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,673009.1,928.2,194.2,2468.1
2020/03/16,11078642.3,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,716584.9,1289.7,306.8,3230.8
2020/03/17,10200175.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,596312.8,1821.2,496.9,4265.8
2020/03/18,10233354.8,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,572007.2,2596.1,803.5,5618.7
2020/03/19,10017896.7,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,534859.1,3688.0,1275.4,7378.0
2020/03/20,9807018.7,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,518038.5,5206.7,2032.9,9659.6
2020/03/21,9022917.0,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,401554.4,7313.1,3145.3,12601.8
2020/03/22,8305372.3,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,438108.1,10145.2,4771.6,16278.4
2020/03/23,8493629.4,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,366077.7,13854.9,7127.1,20831.9
2020/03/24,8750817.1,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,422455.4,18433.6,10346.8,26192.9
2020/03/25,9051309.3,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,452300.8,23841.3,14399.7,32218.4
2020/03/26,8947966.6,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,403950.5,30035.4,19350.5,38955.1
2020/03/27,9241903.2,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,434186.8,37139.1,25368.7,46456.7
2020/03/28,8620783.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,433008.6,45197.3,32530.5,55280.6
2020/03/29,7637030.0,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,388221.0,54333.0,40982.7,64983.0
2020/03/30,8670827.1,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,396249.5,64630.5,50922.6,76683.9
2020/03/31,8255722.5,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,387061.6,75829.4,61676.8,89527.2
2020/04/01,8529793.7,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,399588.1,87642.6,72636.4,102957.5
2020/04/02,8610781.7,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,403838.5,100113.1,84638.6,116990.1
2020/04/03,8403013.2,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,404064.8,113247.8,97637.9,131776.1
2020/04/04,8818170.7,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,430665.2,127042.4,111869.6,147191.2
2020/04/05,7676340.6,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,364108.8,141586.3,125827.7,163348.6
2020/04/06,8409031.5,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,369105.2,156938.4,140584.6,180337.8
2020/04/07,8089934.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,365540.0,172669.3,155807.5,197585.2
2020/04/08,8007277.1,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,363456.7,188489.1,171016.9,214789.9
2020/04/09,7970137.5,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,363823.5,204272.7,185467.0,232103.4
2020/04/10,8344663.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,414350.8,220173.4,200832.9,249376.4
2020/04/11,8839437.7,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,440817.3,236052.8,215223.3,266474.1
2020/04/12,7192886.6,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,234954.4,252122.5,230562.1,283736.6
2020/04/13,7451684.7,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,264728.9,268680.8,245926.1,301483.6
2020/04/14,8032520.1,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,369103.2,285165.6,260666.9,318949.0
2020/04/15,8054133.4,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,361397.3,301241.7,275063.3,335914.3
2020/04/16,8231119.9,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,360161.1,316839.4,289159.2,352364.7
2020/04/17,8652370.0,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,393052.8,331996.6,302831.8,368796.7
2020/04/18,8535974.9,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,390733.7,346807.5,316265.5,385486.1
2020/04/19,8006946.7,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,354022.3,361642.0,329655.8,400759.8
2020/04/20,8502871.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,357049.8,376720.3,343202.4,417312.6
2020/04/21,8232141.6,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,361331.3,391361.7,356438.2,434113.8
2020/04/22,8636045.0,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,409836.9,405291.9,369161.7,450173.4
2020/04/23,8835185.0,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,406932.3,418652.0,381362.6,464924.7
2020/04/24,8811823.5,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,392427.6,431516.8,393215.2,479423.4
2020/04/25,9699841.9,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,447394.7,443984.7,404806.2,493460.1
2020/04/26,7648264.4,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,342631.1,456309.9,416236.7,507305.2
2020/04/27,8840250.2,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,378719.3,468672.0,427672.5,521236.1
2020/04/28,9174856.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,403152.1,480697.2,438848.0,534665.1
2020/04/29,8720108.1,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,383163.5,492144.9,449623.5,547399.5
2020/04/30,8648286.7,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,357624.1,503039.3,459887.1,559393.5
2020/05/01,9534278.9,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,422836.7,513503.9,469807.3,570804.7
2020/05/02,10096934.7,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,445289.2,523590.1,479489.0,581725.0
2020/05/03,,,,,,,,,533541.0,489066.0,592528.9
2020/05/04,,,,,,,,,543485.8,498631.0,603291.5
2020/05/05,,,,,,,,,552975.0,507859.8,613503.3
2020/05/06,,,,,,,,,562000.0,516690.4,623120.7
2020/05/07,,,,,,,,,570608.1,525127.0,632255.7
2020/05/08,,,,,,,,,578766.7,532631.2,640835.1
