date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12019136.0,515211.4,167457.9,827218.3,2847691.0,387601.3,184310.9,641465.6,2.5,0.3,6.6
2020/03/09,14190518.7,580109.6,111918.9,998758.1,2850318.5,217940.7,225436.8,579777.5,57.7,12.7,141.0
2020/03/10,13417986.9,554486.2,104134.0,947385.2,2668761.2,189900.3,224403.4,560045.8,111.6,25.1,270.2
2020/03/11,13375701.1,563882.5,103903.2,933562.2,2698980.2,189619.3,225072.8,566864.6,171.9,40.4,409.0
2020/03/12,13483268.0,587972.6,111207.1,953136.3,2853511.0,193451.2,254053.0,727562.8,244.9,59.6,572.8
2020/03/13,14128938.9,617149.5,118247.1,919287.7,3074067.4,200534.6,283685.7,879249.3,341.8,87.7,783.4
2020/03/14,12403447.4,628806.0,189595.5,950510.9,3303407.2,255021.1,228336.6,723440.5,479.2,128.9,1059.9
2020/03/15,10592600.6,515211.4,167457.9,827218.3,2847691.0,387601.3,191088.7,673009.1,677.8,193.2,1429.5
2020/03/16,11075586.8,580109.6,111918.9,998758.1,2850318.5,217940.7,233907.7,716584.9,973.8,303.0,1945.9
2020/03/17,10182765.0,554486.2,104134.0,947385.2,2668761.2,189900.3,203975.5,596312.8,1426.2,484.3,2686.1
2020/03/18,10217502.0,563882.5,103903.2,933562.2,2698980.2,189619.3,203895.6,572007.2,2107.1,786.1,3709.9
2020/03/19,9973350.5,587972.6,111207.1,953136.3,2853511.0,193451.2,185519.6,534859.1,3090.9,1270.3,5088.5
2020/03/20,9732130.5,617149.5,118247.1,919287.7,3074067.4,200534.6,156818.8,518038.5,4489.6,2003.2,6921.4
2020/03/21,8903834.8,628806.0,189595.5,950510.9,3303407.2,255021.1,110319.8,401554.4,6466.5,3119.8,9433.4
2020/03/22,8234186.9,515211.4,167457.9,827218.3,2847691.0,387601.3,122423.2,438108.1,9164.7,4807.6,12664.6
2020/03/23,8380652.0,580109.6,111918.9,998758.1,2850318.5,217940.7,123985.7,366077.7,12743.5,7203.4,16983.2
2020/03/24,8678446.7,554486.2,104134.0,947385.2,2668761.2,189900.3,149015.4,422455.4,17204.0,10421.2,22313.7
2020/03/25,8986641.3,563882.5,103903.2,933562.2,2698980.2,189619.3,155080.3,452300.8,22510.0,14493.5,28698.5
2020/03/26,8861461.6,587972.6,111207.1,953136.3,2853511.0,193451.2,143560.8,403950.5,28615.3,19432.5,36188.0
2020/03/27,9152765.9,617149.5,118247.1,919287.7,3074067.4,200534.6,142569.7,434186.8,35658.4,25488.9,44705.5
2020/03/28,8507005.4,628806.0,189595.5,950510.9,3303407.2,255021.1,115623.8,433008.6,43677.5,32672.5,54234.2
2020/03/29,7540041.4,515211.4,167457.9,827218.3,2847691.0,387601.3,96620.0,388221.0,52804.0,41123.3,64781.8
2020/03/30,8567502.9,580109.6,111918.9,998758.1,2850318.5,217940.7,133639.0,396249.5,63118.5,50685.6,76593.5
2020/03/31,8169305.7,554486.2,104134.0,947385.2,2668761.2,189900.3,134969.0,387061.6,74368.2,60914.7,89367.9
2020/04/01,8452290.2,563882.5,103903.2,933562.2,2698980.2,189619.3,142244.8,399588.1,86247.0,72202.4,102824.5
2020/04/02,8518030.7,587972.6,111207.1,953136.3,2853511.0,193451.2,137314.7,403838.5,98803.9,84646.3,116991.1
2020/04/03,8308533.4,617149.5,118247.1,919287.7,3074067.4,200534.6,137227.2,404064.8,112046.7,97030.3,131782.7
2020/04/04,8715423.3,628806.0,189595.5,950510.9,3303407.2,255021.1,126654.5,430665.2,125973.5,109917.5,147163.2
2020/04/05,7584589.0,515211.4,167457.9,827218.3,2847691.0,387601.3,101857.1,364108.8,140686.3,123969.0,163302.0
2020/04/06,8299906.9,580109.6,111918.9,998758.1,2850318.5,217940.7,127838.5,369105.2,156234.3,138491.1,180216.6
2020/04/07,7997629.6,554486.2,104134.0,947385.2,2668761.2,189900.3,129081.2,365540.0,172182.3,153503.0,197391.6
2020/04/08,7918406.3,563882.5,103903.2,933562.2,2698980.2,189619.3,130877.5,363456.7,188213.7,168767.9,214700.8
2020/04/09,7861855.0,587972.6,111207.1,953136.3,2853511.0,193451.2,121783.3,363823.5,204210.1,184232.0,231849.5
2020/04/10,8251841.5,617149.5,118247.1,919287.7,3074067.4,200534.6,138884.7,414350.8,220332.4,199059.2,249049.5
2020/04/11,8755431.9,628806.0,189595.5,950510.9,3303407.2,255021.1,145396.2,440817.3,236436.2,214036.4,266077.3
2020/04/12,7088414.9,515211.4,167457.9,827218.3,2847691.0,387601.3,89136.9,234954.4,252741.8,229069.3,283092.2
2020/04/13,7303117.9,580109.6,111918.9,998758.1,2850318.5,217940.7,88396.4,264728.9,269568.4,245169.7,300584.5
2020/04/14,7944981.1,554486.2,104134.0,947385.2,2668761.2,189900.3,133846.8,369103.2,286308.4,260043.8,317898.8
2020/04/15,7963184.1,563882.5,103903.2,933562.2,2698980.2,189619.3,128799.0,361397.3,302621.7,274202.3,334669.5
2020/04/16,8128156.6,587972.6,111207.1,953136.3,2853511.0,193451.2,127102.5,360161.1,318429.9,288013.9,351041.9
2020/04/17,8556752.0,617149.5,118247.1,919287.7,3074067.4,200534.6,136089.0,393052.8,333779.5,301485.0,366805.8
2020/04/18,8422688.0,628806.0,189595.5,950510.9,3303407.2,255021.1,116115.1,390733.7,348771.1,314652.2,382952.6
2020/04/19,7916372.4,515211.4,167457.9,827218.3,2847691.0,387601.3,103034.3,354022.3,363789.6,327875.7,398823.3
2020/04/20,8390980.2,580109.6,111918.9,998758.1,2850318.5,217940.7,125071.8,357049.8,379066.7,341270.8,414318.5
2020/04/21,8133763.8,554486.2,104134.0,947385.2,2668761.2,189900.3,123008.0,361331.3,393896.0,354386.0,431144.1
2020/04/22,8558007.1,563882.5,103903.2,933562.2,2698980.2,189619.3,141710.4,409836.9,407968.0,366959.4,447225.6
2020/04/23,8744238.5,587972.6,111207.1,953136.3,2853511.0,193451.2,139119.3,406932.3,421444.2,379063.4,462634.6
2020/04/24,8710041.8,617149.5,118247.1,919287.7,3074067.4,200534.6,129925.3,392427.6,434408.9,390851.7,477084.0
2020/04/25,9608543.5,628806.0,189595.5,950510.9,3303407.2,255021.1,138103.6,447394.7,446970.1,402412.1,491327.7
2020/04/26,7546244.0,515211.4,167457.9,827218.3,2847691.0,387601.3,91588.2,342631.1,459388.4,413815.5,505408.5
2020/04/27,8734751.3,580109.6,111918.9,998758.1,2850318.5,217940.7,131464.2,378719.3,471841.6,425280.0,519533.1
2020/04/28,9100049.6,554486.2,104134.0,947385.2,2668761.2,189900.3,146579.1,403152.1,483956.3,436525.5,532964.5
2020/04/29,8633994.5,563882.5,103903.2,933562.2,2698980.2,189619.3,133634.7,383163.5,495465.6,447299.1,545614.3
2020/04/30,8542670.8,587972.6,111207.1,953136.3,2853511.0,193451.2,124449.9,357624.1,506407.9,457635.1,557605.2
2020/05/01,9452785.3,617149.5,118247.1,919287.7,3074067.4,200534.6,150213.4,422836.7,516905.6,467601.4,569156.5
2020/05/02,10002637.3,628806.0,189595.5,950510.9,3303407.2,255021.1,135104.5,445289.2,527014.1,477295.9,580188.4
2020/05/03,,,,,,,,,536987.5,486889.9,591018.8
2020/05/04,,,,,,,,,546968.4,496507.6,601866.3
2020/05/05,,,,,,,,,556475.4,505774.5,612104.2
2020/05/06,,,,,,,,,565505.4,514638.4,621729.6
2020/05/07,,,,,,,,,574110.4,522948.7,630888.1
2020/05/08,,,,,,,,,582254.5,530673.2,639503.3
