date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11967700.5,492516.6,167457.9,827218.3,2847691.0,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14162442.2,555939.5,111918.9,998758.1,2850318.5,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13403243.7,531385.2,104134.0,947385.2,2668761.2,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13342715.5,529369.8,103903.2,933562.2,2698980.2,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13379598.8,512618.4,111207.1,953136.3,2853511.0,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,14042264.8,577695.6,118247.1,919287.7,3074067.4,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,12192915.3,480013.9,189595.5,950510.9,3303407.2,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10282702.3,368649.7,167457.9,827218.3,2847691.0,221744.8,193608.6,673009.1,928.2,194.7,2466.6
2020/03/16,10809071.3,376145.9,111918.9,998758.1,2850318.5,152333.5,236963.2,716584.9,1288.2,305.4,3235.4
2020/03/17,9931143.4,327744.1,104134.0,947385.2,2668761.2,147610.5,221385.8,596312.8,1817.3,491.1,4259.7
2020/03/18,9950688.5,324675.7,103903.2,933562.2,2698980.2,146159.9,219748.3,572007.2,2590.0,805.5,5623.2
2020/03/19,9670842.8,294174.3,111207.1,953136.3,2853511.0,140195.6,230065.8,534859.1,3677.6,1301.5,7378.5
2020/03/20,9381594.3,259310.2,118247.1,919287.7,3074067.4,132949.5,231707.0,518038.5,5193.5,2080.7,9655.1
2020/03/21,8438013.5,185267.0,189595.5,950510.9,3303407.2,113656.6,229402.0,401554.4,7281.3,3251.9,12525.5
2020/03/22,7712364.2,192936.0,167457.9,827218.3,2847691.0,116868.6,193608.6,438108.1,10079.3,4929.2,16174.8
2020/03/23,7995188.3,194404.9,111918.9,998758.1,2850318.5,105204.3,236963.2,366077.7,13688.3,7289.8,20599.6
2020/03/24,8370781.5,239989.9,104134.0,947385.2,2668761.2,124361.0,221385.8,422455.4,18100.6,10448.5,25753.1
2020/03/25,8687248.4,253661.2,103903.2,933562.2,2698980.2,135779.8,219748.3,452300.8,23294.7,14447.5,31628.9
2020/03/26,8531418.8,245090.7,111207.1,953136.3,2853511.0,119785.3,230065.8,403950.5,29243.4,19324.4,38182.7
2020/03/27,8808438.5,260616.6,118247.1,919287.7,3074067.4,123602.8,231707.0,434186.8,36053.3,25176.8,45501.9
2020/03/28,8039213.2,206660.6,189595.5,950510.9,3303407.2,95596.2,229402.0,433008.6,43744.9,32152.1,53578.4
2020/03/29,6993131.3,165715.4,167457.9,827218.3,2847691.0,93198.6,193608.6,388221.0,52405.3,40290.1,63124.3
2020/03/30,8196332.3,211471.8,111918.9,998758.1,2850318.5,112083.6,236963.2,396249.5,61963.3,48501.8,73043.0
2020/03/31,7844956.9,224196.1,104134.0,947385.2,2668761.2,109424.8,221385.8,387061.6,72250.3,57855.8,84815.2
2020/04/01,8126649.4,235089.4,103903.2,933562.2,2698980.2,115268.2,219748.3,399588.1,83114.3,68078.3,97197.4
2020/04/02,8170044.0,230191.1,111207.1,953136.3,2853511.0,110495.0,230065.8,403838.5,94635.8,79527.2,110271.3
2020/04/03,7905152.9,236154.4,118247.1,919287.7,3074067.4,83669.5,231707.0,404064.8,106797.0,91742.1,124076.5
2020/04/04,8260597.3,241736.6,189595.5,950510.9,3303407.2,84517.1,229402.0,430665.2,119564.4,104454.3,138337.8
2020/04/05,7037088.8,179268.8,167457.9,827218.3,2847691.0,84292.1,193608.6,364108.8,132973.6,117283.0,153228.5
2020/04/06,7917664.7,216071.0,111918.9,998758.1,2850318.5,90612.5,236963.2,369105.2,146859.9,130652.8,168648.9
2020/04/07,7658671.1,221022.9,104134.0,947385.2,2668761.2,92100.4,221385.8,365540.0,160992.4,144416.3,184243.8
2020/04/08,7556230.0,211071.9,103903.2,933562.2,2698980.2,91382.9,219748.3,363456.7,175263.7,158389.4,199883.0
2020/04/09,7472240.0,199959.0,111207.1,953136.3,2853511.0,83567.3,230065.8,363823.5,189575.8,172303.8,215534.8
2020/04/10,7830183.4,219690.3,118247.1,919287.7,3074067.4,83513.4,231707.0,414350.8,204050.4,185603.9,231246.0
2020/04/11,8293110.6,247481.6,189595.5,950510.9,3303407.2,90018.4,229402.0,440817.3,218511.3,199825.2,246910.7
2020/04/12,6511968.3,140211.0,167457.9,827218.3,2847691.0,81683.4,193608.6,234954.4,233095.5,213668.4,262727.1
2020/04/13,6876117.0,151992.2,111918.9,998758.1,2850318.5,70490.5,236963.2,264728.9,247887.8,227517.9,278645.4
2020/04/14,7618541.2,237116.5,104134.0,947385.2,2668761.2,93291.0,221385.8,369103.2,262535.6,240794.8,294314.3
2020/04/15,7632456.3,240233.3,103903.2,933562.2,2698980.2,91591.5,219748.3,361397.3,276894.2,253984.7,309620.3
2020/04/16,7781284.7,235635.7,111207.1,953136.3,2853511.0,95952.8,230065.8,360161.1,290906.4,266908.6,324453.3
2020/04/17,8198205.8,264743.2,118247.1,919287.7,3074067.4,98776.6,231707.0,393052.8,304578.8,279326.4,338867.4
2020/04/18,7967327.3,229864.9,189595.5,950510.9,3303407.2,85314.6,229402.0,390733.7,317973.5,291505.9,353104.7
2020/04/19,7421182.7,220842.5,167457.9,827218.3,2847691.0,96206.1,193608.6,354022.3,331389.7,303671.5,368008.5
2020/04/20,8029671.5,222536.7,111918.9,998758.1,2850318.5,102313.5,236963.2,357049.8,344853.9,315899.6,382352.5
2020/04/21,7814511.3,222119.1,104134.0,947385.2,2668761.2,104637.2,221385.8,361331.3,357882.0,327625.9,396288.0
2020/04/22,8258714.2,264593.8,103903.2,933562.2,2698980.2,111577.3,219748.3,409836.9,370354.9,338980.3,408987.0
2020/04/23,8423264.8,258307.6,111207.1,953136.3,2853511.0,111196.0,230065.8,406932.3,382410.5,349937.8,421941.5
2020/04/24,8373486.7,271389.4,118247.1,919287.7,3074067.4,107957.9,231707.0,392427.6,394089.3,360580.5,434952.1
2020/04/25,9259306.8,320537.4,189595.5,950510.9,3303407.2,122754.6,229402.0,447394.7,405473.7,371108.4,447724.4
2020/04/26,7014649.4,183522.6,167457.9,827218.3,2847691.0,85675.0,193608.6,342631.1,416751.1,381597.3,460582.3
2020/04/27,8383041.5,237548.4,111918.9,998758.1,2850318.5,103293.2,236963.2,378719.3,427940.7,391999.5,473353.5
2020/04/28,8849860.4,291932.9,104134.0,947385.2,2668761.2,127457.7,221385.8,403152.1,438830.9,402153.8,485675.9
2020/04/29,8330649.8,252758.8,103903.2,933562.2,2698980.2,111284.7,219748.3,383163.5,449287.0,412046.6,497461.8
2020/04/30,8211270.6,241233.1,111207.1,953136.3,2853511.0,103174.6,230065.8,357624.1,459324.7,421535.6,508756.2
2020/05/01,9145865.5,307128.4,118247.1,919287.7,3074067.4,122142.3,231707.0,422836.7,469044.1,430404.5,519629.3
2020/05/02,9684086.0,338882.6,189595.5,950510.9,3303407.2,132095.7,229402.0,445289.2,478474.1,439094.3,530126.4
2020/05/03,,,,,,,,,487823.0,447849.8,540514.4
2020/05/04,,,,,,,,,497110.4,455902.1,550821.2
2020/05/05,,,,,,,,,505959.7,464049.7,560607.8
2020/05/06,,,,,,,,,514460.2,471371.5,569902.6
2020/05/07,,,,,,,,,522658.7,478448.4,578893.5
2020/05/08,,,,,,,,,530487.0,485198.7,587390.1
