date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12005739.1,492516.6,167457.9,827218.3,2847691.0,387601.3,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14177874.9,555939.5,111918.9,998758.1,2850318.5,217940.7,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13391868.3,531385.2,104134.0,947385.2,2668761.2,189900.3,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13335863.9,529369.8,103903.2,933562.2,2698980.2,189619.3,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13383926.5,512618.4,111207.1,953136.3,2853511.0,193451.2,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,14037506.4,577695.6,118247.1,919287.7,3074067.4,200534.6,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,12255720.7,480013.9,189595.5,950510.9,3303407.2,255021.1,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10448558.9,368649.7,167457.9,827218.3,2847691.0,387601.3,193608.6,673009.1,928.2,194.7,2468.1
2020/03/16,10874678.5,376145.9,111918.9,998758.1,2850318.5,217940.7,236963.2,716584.9,1289.7,307.6,3235.6
2020/03/17,9973433.2,327744.1,104134.0,947385.2,2668761.2,189900.3,221385.8,596312.8,1820.1,497.3,4254.5
2020/03/18,9994147.9,324675.7,103903.2,933562.2,2698980.2,189619.3,219748.3,572007.2,2593.6,810.0,5616.8
2020/03/19,9724098.4,294174.3,111207.1,953136.3,2853511.0,193451.2,230065.8,534859.1,3682.2,1303.5,7394.1
2020/03/20,9449179.5,259310.2,118247.1,919287.7,3074067.4,200534.6,231707.0,518038.5,5197.3,2051.0,9666.3
2020/03/21,8579378.0,185267.0,189595.5,950510.9,3303407.2,255021.1,229402.0,401554.4,7289.2,3169.5,12565.1
2020/03/22,7983097.0,192936.0,167457.9,827218.3,2847691.0,387601.3,193608.6,438108.1,10099.2,4815.1,16255.6
2020/03/23,8107924.8,194404.9,111918.9,998758.1,2850318.5,217940.7,236963.2,366077.7,13773.0,7169.5,20808.7
2020/03/24,8436320.8,239989.9,104134.0,947385.2,2668761.2,189900.3,221385.8,422455.4,18287.9,10320.0,26095.6
2020/03/25,8741088.0,253661.2,103903.2,933562.2,2698980.2,189619.3,219748.3,452300.8,23593.0,14302.8,32085.8
2020/03/26,8605084.7,245090.7,111207.1,953136.3,2853511.0,193451.2,230065.8,403950.5,29661.9,19205.6,38691.4
2020/03/27,8885370.3,260616.6,118247.1,919287.7,3074067.4,200534.6,231707.0,434186.8,36600.8,25091.1,46010.4
2020/03/28,8198638.1,206660.6,189595.5,950510.9,3303407.2,255021.1,229402.0,433008.6,44447.3,32119.9,54444.6
2020/03/29,7287534.1,165715.4,167457.9,827218.3,2847691.0,387601.3,193608.6,388221.0,53323.6,40360.0,64048.0
2020/03/30,8302189.3,211471.8,111918.9,998758.1,2850318.5,217940.7,236963.2,396249.5,63304.2,49766.2,75257.8
2020/03/31,7925432.3,224196.1,104134.0,947385.2,2668761.2,189900.3,221385.8,387061.6,74146.3,60081.6,87774.2
2020/04/01,8201000.6,235089.4,103903.2,933562.2,2698980.2,189619.3,219748.3,399588.1,85563.9,71532.4,100832.7
2020/04/02,8253000.2,230191.1,111207.1,953136.3,2853511.0,193451.2,230065.8,403838.5,97614.7,82750.2,114472.9
2020/04/03,8022018.1,236154.4,118247.1,919287.7,3074067.4,200534.6,231707.0,404064.8,110304.3,94545.1,128642.0
2020/04/04,8431101.3,241736.6,189595.5,950510.9,3303407.2,255021.1,229402.0,430665.2,123609.6,107265.9,143335.8
2020/04/05,7340398.0,179268.8,167457.9,827218.3,2847691.0,387601.3,193608.6,364108.8,137628.0,120743.7,158815.0
2020/04/06,8044992.9,216071.0,111918.9,998758.1,2850318.5,217940.7,236963.2,369105.2,152402.5,134894.5,175178.0
2020/04/07,7756470.9,221022.9,104134.0,947385.2,2668761.2,189900.3,221385.8,365540.0,167545.6,149545.7,191915.0
2020/04/08,7654466.5,211071.9,103903.2,933562.2,2698980.2,189619.3,219748.3,363456.7,182771.6,164488.3,208534.9
2020/04/09,7582123.8,199959.0,111207.1,953136.3,2853511.0,193451.2,230065.8,363823.5,197965.8,179495.7,225011.9
2020/04/10,7947204.6,219690.3,118247.1,919287.7,3074067.4,200534.6,231707.0,414350.8,213270.3,194250.2,241495.6
2020/04/11,8458113.3,247481.6,189595.5,950510.9,3303407.2,255021.1,229402.0,440817.3,228550.4,208172.0,257997.7
2020/04/12,6817886.2,140211.0,167457.9,827218.3,2847691.0,387601.3,193608.6,234954.4,244004.1,223127.6,274689.3
2020/04/13,7023567.3,151992.2,111918.9,998758.1,2850318.5,217940.7,236963.2,264728.9,259927.3,238262.3,291823.5
2020/04/14,7715150.4,237116.5,104134.0,947385.2,2668761.2,189900.3,221385.8,369103.2,275782.7,252487.1,308632.9
2020/04/15,7730484.1,240233.3,103903.2,933562.2,2698980.2,189619.3,219748.3,361397.3,291246.9,266258.0,324821.5
2020/04/16,7878783.0,235635.7,111207.1,953136.3,2853511.0,193451.2,230065.8,360161.1,306260.7,279724.1,340704.0
2020/04/17,8299963.7,264743.2,118247.1,919287.7,3074067.4,200534.6,231707.0,393052.8,320849.6,292850.0,356201.2
2020/04/18,8137033.8,229864.9,189595.5,950510.9,3303407.2,255021.1,229402.0,390733.7,335101.5,305751.3,371760.3
2020/04/19,7712577.9,220842.5,167457.9,827218.3,2847691.0,387601.3,193608.6,354022.3,349372.8,318627.8,386635.5
2020/04/20,8145298.7,222536.7,111918.9,998758.1,2850318.5,217940.7,236963.2,357049.8,363879.0,331767.8,402085.2
2020/04/21,7899774.4,222119.1,104134.0,947385.2,2668761.2,189900.3,221385.8,361331.3,377971.4,344552.5,417483.6
2020/04/22,8336756.2,264593.8,103903.2,933562.2,2698980.2,189619.3,219748.3,409836.9,391388.8,356804.7,432459.8
2020/04/23,8505520.0,258307.6,111207.1,953136.3,2853511.0,193451.2,230065.8,406932.3,404270.5,368660.1,446922.5
2020/04/24,8466063.4,271389.4,118247.1,919287.7,3074067.4,200534.6,231707.0,392427.6,416683.3,380111.8,460933.2
2020/04/25,9391573.3,320537.4,189595.5,950510.9,3303407.2,255021.1,229402.0,447394.7,428725.7,391277.0,473704.9
2020/04/26,7316575.7,183522.6,167457.9,827218.3,2847691.0,387601.3,193608.6,342631.1,440628.7,402283.9,486443.5
2020/04/27,8497689.0,237548.4,111918.9,998758.1,2850318.5,217940.7,236963.2,378719.3,452571.2,413314.8,500119.7
2020/04/28,8912303.0,291932.9,104134.0,947385.2,2668761.2,189900.3,221385.8,403152.1,464207.7,424176.5,513375.8
2020/04/29,8408984.4,252758.8,103903.2,933562.2,2698980.2,189619.3,219748.3,383163.5,475298.4,434552.6,525885.0
2020/04/30,8301547.2,241233.1,111207.1,953136.3,2853511.0,193451.2,230065.8,357624.1,485869.5,444470.2,537751.9
2020/05/01,9224257.8,307128.4,118247.1,919287.7,3074067.4,200534.6,231707.0,422836.7,496035.9,454047.9,549055.4
2020/05/02,9807011.3,338882.6,189595.5,950510.9,3303407.2,255021.1,229402.0,445289.2,505846.4,463414.1,559919.3
2020/05/03,,,,,,,,,515529.6,472703.4,570666.0
2020/05/04,,,,,,,,,525220.1,482022.1,581369.1
2020/05/05,,,,,,,,,534474.4,490902.5,591490.2
2020/05/06,,,,,,,,,543293.8,499477.2,601001.8
2020/05/07,,,,,,,,,551729.6,507537.5,610136.0
2020/05/08,,,,,,,,,559731.0,515012.3,618633.7
