date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11996441.3,492516.6,167457.9,827218.3,2847691.0,387601.3,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14166348.5,555939.5,111918.9,998758.1,2850318.5,217940.7,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13394885.9,531385.2,104134.0,947385.2,2668761.2,189900.3,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13341188.4,529369.8,103903.2,933562.2,2698980.2,189619.3,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13407913.7,512618.4,111207.1,953136.3,2853511.0,193451.2,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,14089485.1,577695.6,118247.1,919287.7,3074067.4,200534.6,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,12254655.3,480013.9,189595.5,950510.9,3303407.2,255021.1,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,10446038.9,368649.7,167457.9,827218.3,2847691.0,387601.3,191088.7,673009.1,928.1,194.4,2468.1
2020/03/16,10871623.1,376145.9,111918.9,998758.1,2850318.5,217940.7,233907.7,716584.9,1288.9,305.8,3239.5
2020/03/17,9956022.9,327744.1,104134.0,947385.2,2668761.2,189900.3,203975.5,596312.8,1818.9,495.9,4258.7
2020/03/18,9978295.2,324675.7,103903.2,933562.2,2698980.2,189619.3,203895.6,572007.2,2590.5,809.9,5625.5
2020/03/19,9679552.2,294174.3,111207.1,953136.3,2853511.0,193451.2,185519.6,534859.1,3680.1,1296.8,7367.2
2020/03/20,9374291.3,259310.2,118247.1,919287.7,3074067.4,200534.6,156818.8,518038.5,5195.1,2034.3,9655.0
2020/03/21,8460295.8,185267.0,189595.5,950510.9,3303407.2,255021.1,110319.8,401554.4,7286.7,3130.5,12579.7
2020/03/22,7911911.5,192936.0,167457.9,827218.3,2847691.0,387601.3,122423.2,438108.1,10096.0,4771.7,16257.3
2020/03/23,7994947.3,194404.9,111918.9,998758.1,2850318.5,217940.7,123985.7,366077.7,13769.3,7093.8,20781.3
2020/03/24,8363950.4,239989.9,104134.0,947385.2,2668761.2,189900.3,149015.4,422455.4,18284.5,10192.2,26085.2
2020/03/25,8676420.0,253661.2,103903.2,933562.2,2698980.2,189619.3,155080.3,452300.8,23590.7,14044.5,32069.6
2020/03/26,8518579.7,245090.7,111207.1,953136.3,2853511.0,193451.2,143560.8,403950.5,29654.8,18785.2,38685.2
2020/03/27,8796233.0,260616.6,118247.1,919287.7,3074067.4,200534.6,142569.7,434186.8,36589.8,24557.0,46042.5
2020/03/28,8084860.0,206660.6,189595.5,950510.9,3303407.2,255021.1,115623.8,433008.6,44421.5,31378.9,54238.3
2020/03/29,7190545.5,165715.4,167457.9,827218.3,2847691.0,387601.3,96620.0,388221.0,53272.5,39516.1,63841.7
2020/03/30,8198865.2,211471.8,111918.9,998758.1,2850318.5,217940.7,133639.0,396249.5,63227.0,49091.8,75158.8
2020/03/31,7839015.6,224196.1,104134.0,947385.2,2668761.2,189900.3,134969.0,387061.6,74031.1,59504.3,87425.4
2020/04/01,8123497.0,235089.4,103903.2,933562.2,2698980.2,189619.3,142244.8,399588.1,85403.2,70888.7,100368.6
2020/04/02,8160249.1,230191.1,111207.1,953136.3,2853511.0,193451.2,137314.7,403838.5,97405.6,82085.0,114001.3
2020/04/03,7927538.3,236154.4,118247.1,919287.7,3074067.4,200534.6,137227.2,404064.8,110045.1,94080.3,128194.6
2020/04/04,8328353.9,241736.6,189595.5,950510.9,3303407.2,255021.1,126654.5,430665.2,123299.9,107951.3,142977.2
2020/04/05,7248646.5,179268.8,167457.9,827218.3,2847691.0,387601.3,101857.1,364108.8,137259.5,121796.9,158459.8
2020/04/06,7935868.3,216071.0,111918.9,998758.1,2850318.5,217940.7,127838.5,369105.2,151971.4,135932.9,174589.8
2020/04/07,7664166.3,221022.9,104134.0,947385.2,2668761.2,189900.3,129081.2,365540.0,167054.2,150509.1,191096.9
2020/04/08,7565595.7,211071.9,103903.2,933562.2,2698980.2,189619.3,130877.5,363456.7,182215.0,165374.9,207579.3
2020/04/09,7473841.3,199959.0,111207.1,953136.3,2853511.0,193451.2,121783.3,363823.5,197340.9,179994.9,224070.3
2020/04/10,7854382.3,219690.3,118247.1,919287.7,3074067.4,200534.6,138884.7,414350.8,212578.1,193503.2,240521.8
2020/04/11,8374107.5,247481.6,189595.5,950510.9,3303407.2,255021.1,145396.2,440817.3,227794.7,207711.9,256938.1
2020/04/12,6713414.6,140211.0,167457.9,827218.3,2847691.0,387601.3,89136.9,234954.4,243187.5,222582.2,273517.2
2020/04/13,6875000.5,151992.2,111918.9,998758.1,2850318.5,217940.7,88396.4,264728.9,259040.9,237449.1,290571.5
2020/04/14,7627611.4,237116.5,104134.0,947385.2,2668761.2,189900.3,133846.8,369103.2,274833.0,252354.1,307383.8
2020/04/15,7639534.8,240233.3,103903.2,933562.2,2698980.2,189619.3,128799.0,361397.3,290242.3,265997.6,323687.7
2020/04/16,7775819.7,235635.7,111207.1,953136.3,2853511.0,193451.2,127102.5,360161.1,305196.0,279228.4,339557.9
2020/04/17,8204345.7,264743.2,118247.1,919287.7,3074067.4,200534.6,136089.0,393052.8,319731.8,292033.6,355064.6
2020/04/18,8023746.9,229864.9,189595.5,950510.9,3303407.2,255021.1,116115.1,390733.7,333927.5,304835.3,369901.4
2020/04/19,7622003.6,220842.5,167457.9,827218.3,2847691.0,387601.3,103034.3,354022.3,348148.1,317714.5,385360.5
2020/04/20,8033407.3,222536.7,111918.9,998758.1,2850318.5,217940.7,125071.8,357049.8,362615.2,330818.1,401021.9
2020/04/21,7801396.6,222119.1,104134.0,947385.2,2668761.2,189900.3,123008.0,361331.3,376666.5,343650.7,416619.8
2020/04/22,8258718.3,264593.8,103903.2,933562.2,2698980.2,189619.3,141710.4,409836.9,390038.7,355888.8,431526.6
2020/04/23,8414573.5,258307.6,111207.1,953136.3,2853511.0,193451.2,139119.3,406932.3,402880.8,367771.9,446061.5
2020/04/24,8364281.7,271389.4,118247.1,919287.7,3074067.4,200534.6,129925.3,392427.6,415257.9,379306.1,459655.8
2020/04/25,9300274.9,320537.4,189595.5,950510.9,3303407.2,255021.1,138103.6,447394.7,427264.6,390507.1,472579.7
2020/04/26,7214555.3,183522.6,167457.9,827218.3,2847691.0,387601.3,91588.2,342631.1,439138.7,401612.0,486203.0
2020/04/27,8392190.1,237548.4,111918.9,998758.1,2850318.5,217940.7,131464.2,378719.3,451042.7,412756.4,499883.7
2020/04/28,8837496.3,291932.9,104134.0,947385.2,2668761.2,189900.3,146579.1,403152.1,462654.9,423623.8,512890.4
2020/04/29,8322870.8,252758.8,103903.2,933562.2,2698980.2,189619.3,133634.7,383163.5,473721.0,434037.2,525133.0
2020/04/30,8195931.3,241233.1,111207.1,953136.3,2853511.0,193451.2,124449.9,357624.1,484271.2,444023.6,536738.3
2020/05/01,9142764.3,307128.4,118247.1,919287.7,3074067.4,200534.6,150213.4,422836.7,494416.4,453688.8,547915.5
2020/05/02,9712713.9,338882.6,189595.5,950510.9,3303407.2,255021.1,135104.5,445289.2,504207.6,463039.8,558674.0
2020/05/03,,,,,,,,,513875.8,472258.6,569279.9
2020/05/04,,,,,,,,,523550.0,481236.3,579822.1
2020/05/05,,,,,,,,,532793.1,489420.5,589913.4
2020/05/06,,,,,,,,,541602.0,497251.1,599420.2
2020/05/07,,,,,,,,,550025.8,505115.7,608436.7
2020/05/08,,,,,,,,,558017.1,512978.6,616879.9
