date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11850633.9,515211.4,167457.9,827218.3,2679322.2,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14087351.4,580109.6,111918.9,998758.1,2747085.4,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13350012.5,554486.2,104134.0,947385.2,2627834.0,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13306081.9,563882.5,103903.2,933562.2,2660499.1,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13078414.0,587972.6,111207.1,953136.3,2632468.6,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13721436.3,617149.5,118247.1,919287.7,2974918.1,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11530634.6,628806.0,189595.5,950510.9,2569624.3,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9601396.5,515211.4,167457.9,827218.3,2015981.9,221744.8,191088.7,679370.7,928.1,194.9,2464.5
2020/03/16,9989247.0,580109.6,111918.9,998758.1,1950894.7,152333.5,233907.7,595276.1,1286.2,304.8,3226.9
2020/03/17,9132702.4,554486.2,104134.0,947385.2,1735678.0,147610.5,203975.5,521623.1,1803.1,486.8,4225.8
2020/03/18,9129548.8,563882.5,103903.2,933562.2,1697618.7,146159.9,203895.6,528874.9,2555.0,802.2,5554.4
2020/03/19,8659342.8,587972.6,111207.1,953136.3,1579539.1,140195.6,185519.6,548079.0,3622.4,1293.7,7277.8
2020/03/20,8072354.1,617149.5,118247.1,919287.7,1433777.0,132949.5,156818.8,566137.6,5094.6,2016.0,9504.4
2020/03/21,6784490.4,628806.0,189595.5,950510.9,1079765.7,113656.6,110319.8,647216.1,7094.2,3088.3,12349.8
2020/03/22,6355400.6,515211.4,167457.9,827218.3,998374.9,116868.6,122423.2,679370.7,9718.3,4649.2,15831.1
2020/03/23,6678013.2,580109.6,111918.9,998758.1,1031217.8,105204.3,123985.7,595276.1,12977.3,6751.9,19945.3
2020/03/24,7241155.7,554486.2,104134.0,947385.2,1197841.6,124361.0,149015.4,521623.1,16820.1,9416.7,24567.3
2020/03/25,7592925.6,563882.5,103903.2,933562.2,1282530.0,135779.8,155080.3,528874.9,21217.1,12661.4,29713.5
2020/03/26,7260063.1,587972.6,111207.1,953136.3,1181649.9,119785.3,143560.8,548079.0,26150.6,16488.4,35320.7
2020/03/27,7367547.6,617149.5,118247.1,919287.7,1233830.1,123602.8,142569.7,566137.6,31667.8,21006.6,41448.5
2020/03/28,6213407.5,628806.0,189595.5,950510.9,955026.7,95596.2,115623.8,647216.1,37705.6,26098.2,48039.0
2020/03/29,5499660.4,515211.4,167457.9,827218.3,810563.0,93198.6,96620.0,679370.7,44185.0,31772.0,55033.0
2020/03/30,6874291.6,580109.6,111918.9,998758.1,1063937.7,112083.6,133639.0,595276.1,50951.3,37843.6,62577.9
2020/03/31,6591997.4,554486.2,104134.0,947385.2,1037366.7,109424.8,134969.0,521623.1,58050.4,44375.6,70062.4
2020/04/01,6899412.0,563882.5,103903.2,933562.2,1091166.3,115268.2,142244.8,528874.9,65498.0,51345.3,78717.4
2020/04/02,6777979.1,587972.6,111207.1,953136.3,1052175.1,110495.0,137314.7,548079.0,73457.5,58869.9,87677.3
2020/04/03,6273451.2,617149.5,118247.1,919287.7,993777.5,83669.5,137227.2,566137.6,81846.5,66783.3,97002.0
2020/04/04,6416578.2,628806.0,189595.5,950510.9,958515.3,84517.1,126654.5,647216.1,90574.4,75327.9,106756.4
2020/04/05,5530065.0,515211.4,167457.9,827218.3,781214.3,84292.1,101857.1,679370.7,99497.1,83891.5,116716.4
2020/04/06,6500838.9,580109.6,111918.9,998758.1,952408.0,90612.5,127838.5,595276.1,108382.3,92998.0,126556.3
2020/04/07,6333530.4,554486.2,104134.0,947385.2,946378.7,92100.4,129081.2,521623.1,117324.9,101950.0,136395.8
2020/04/08,6220126.1,563882.5,103903.2,933562.2,933518.3,91382.9,130877.5,528874.9,126449.0,111253.3,146346.9
2020/04/09,5950845.0,587972.6,111207.1,953136.3,868129.3,83567.3,121783.3,548079.0,135668.5,120419.8,156315.6
2020/04/10,6175453.3,617149.5,118247.1,919287.7,962913.6,83513.4,138884.7,566137.6,145024.0,129761.3,166355.4
2020/04/11,6459870.6,628806.0,189595.5,950510.9,966449.8,90018.4,145396.2,647216.1,154275.0,139059.9,176281.1
2020/04/12,5065578.5,515211.4,167457.9,827218.3,686356.3,81683.4,89136.9,679370.7,163357.4,148337.8,185909.5
2020/04/13,5342184.5,580109.6,111918.9,998758.1,706288.2,70490.5,88396.4,595276.1,172304.9,157598.6,195474.7
2020/04/14,6313088.7,554486.2,104134.0,947385.2,980958.1,93291.0,133846.8,521623.1,181120.7,165898.9,204839.9
2020/04/15,6314073.2,563882.5,103903.2,933562.2,980419.5,91591.5,128799.0,528874.9,189859.7,173928.9,214219.0
2020/04/16,6340103.9,587972.6,111207.1,953136.3,975038.7,95952.8,127102.5,548079.0,198465.2,181822.2,223571.4
2020/04/17,6643062.5,617149.5,118247.1,919287.7,1089051.1,98776.6,136089.0,566137.6,206883.1,189697.8,232663.9
2020/04/18,6141362.8,628806.0,189595.5,950510.9,935306.1,85314.6,116115.1,647216.1,215093.5,196744.1,241312.1
2020/04/19,5998328.6,515211.4,167457.9,827218.3,895694.1,96206.1,103034.3,679370.7,223205.2,203667.2,249842.9
2020/04/20,6684812.4,580109.6,111918.9,998758.1,1021551.6,102313.5,125071.8,595276.1,231216.1,210483.1,258261.2
2020/04/21,6553843.5,554486.2,104134.0,947385.2,1013812.2,104637.2,123008.0,521623.1,238954.1,216738.1,266311.4
2020/04/22,7039735.6,563882.5,103903.2,933562.2,1139712.7,111577.3,141710.4,528874.9,246465.4,222778.9,274093.5
2020/04/23,7095656.0,587972.6,111207.1,953136.3,1146036.9,111196.0,139119.3,548079.0,253875.2,228757.4,281739.1
2020/04/24,6848085.1,617149.5,118247.1,919287.7,1130977.3,107957.9,129925.3,566137.6,261173.4,234637.9,289255.7
2020/04/25,7620715.5,628806.0,189595.5,950510.9,1248024.3,122754.6,138103.6,647216.1,268348.3,240373.1,296597.0
2020/04/26,5509845.6,515211.4,167457.9,827218.3,776479.4,85675.0,91588.2,679370.7,275413.6,246013.5,303862.3
2020/04/27,7046134.2,580109.6,111918.9,998758.1,1059792.3,103293.2,131464.2,595276.1,282352.7,251487.3,310963.8
2020/04/28,7718149.4,554486.2,104134.0,947385.2,1230832.5,127457.7,146579.1,521623.1,289204.4,256887.9,317944.4
2020/04/29,7095076.5,563882.5,103903.2,933562.2,1092685.5,111284.7,133634.7,528874.9,295971.6,262180.4,324835.2
2020/04/30,6814562.1,587972.6,111207.1,953136.3,1025224.0,103174.6,124449.9,548079.0,302633.7,267396.5,331608.4
2020/05/01,7727181.9,617149.5,118247.1,919287.7,1283555.4,122142.3,150213.4,566137.6,309242.7,272590.8,338305.6
2020/05/02,8067118.8,628806.0,189595.5,950510.9,1288887.1,132095.7,135104.5,647216.1,315760.7,277672.5,344918.2
2020/05/03,,,,,,,,,322271.6,282790.6,352053.6
2020/05/04,,,,,,,,,328735.3,287889.0,359002.8
2020/05/05,,,,,,,,,334956.4,292742.5,365863.4
2020/05/06,,,,,,,,,341132.8,297523.9,372882.9
2020/05/07,,,,,,,,,347278.3,302201.8,380033.5
2020/05/08,,,,,,,,,353280.0,306842.0,386768.7
2020/05/09,,,,,,,,,359183.1,311469.6,393273.2
