date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11859931.6,515211.4,167457.9,827218.3,2679322.2,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14098877.8,580109.6,111918.9,998758.1,2747085.4,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13346994.9,554486.2,104134.0,947385.2,2627834.0,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13300757.3,563882.5,103903.2,933562.2,2660499.1,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13054426.7,587972.6,111207.1,953136.3,2632468.6,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13669457.6,617149.5,118247.1,919287.7,2974918.1,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11531700.0,628806.0,189595.5,950510.9,2569624.3,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9603916.4,515211.4,167457.9,827218.3,2015981.9,221744.8,193608.6,679370.7,928.1,194.9,2464.5
2020/03/16,9992302.5,580109.6,111918.9,998758.1,1950894.7,152333.5,236963.2,595276.1,1286.0,309.2,3231.1
2020/03/17,9150112.7,554486.2,104134.0,947385.2,1735678.0,147610.5,221385.8,521623.1,1803.4,486.1,4230.1
2020/03/18,9145401.6,563882.5,103903.2,933562.2,1697618.7,146159.9,219748.3,528874.9,2554.5,787.0,5544.9
2020/03/19,8703889.0,587972.6,111207.1,953136.3,1579539.1,140195.6,230065.8,548079.0,3619.9,1264.6,7261.7
2020/03/20,8147242.3,617149.5,118247.1,919287.7,1433777.0,132949.5,231707.0,566137.6,5089.8,1971.9,9459.6
2020/03/21,6903572.6,628806.0,189595.5,950510.9,1079765.7,113656.6,229402.0,647216.1,7085.2,3019.1,12252.4
2020/03/22,6426586.1,515211.4,167457.9,827218.3,998374.9,116868.6,193608.6,679370.7,9705.5,4545.9,15707.1
2020/03/23,6790990.7,580109.6,111918.9,998758.1,1031217.8,105204.3,236963.2,595276.1,12958.2,6634.0,19778.3
2020/03/24,7313526.1,554486.2,104134.0,947385.2,1197841.6,124361.0,221385.8,521623.1,16800.2,9264.6,24424.9
2020/03/25,7657593.7,563882.5,103903.2,933562.2,1282530.0,135779.8,219748.3,528874.9,21198.6,12472.6,29554.8
2020/03/26,7346568.1,587972.6,111207.1,953136.3,1181649.9,119785.3,230065.8,548079.0,26134.3,16278.3,35182.7
2020/03/27,7456684.9,617149.5,118247.1,919287.7,1233830.1,123602.8,231707.0,566137.6,31657.9,20763.5,41299.7
2020/03/28,6327185.6,628806.0,189595.5,950510.9,955026.7,95596.2,229402.0,647216.1,37702.3,25863.1,47890.9
2020/03/29,5596649.0,515211.4,167457.9,827218.3,810563.0,93198.6,193608.6,679370.7,44196.4,31605.5,54808.5
2020/03/30,6977615.8,580109.6,111918.9,998758.1,1063937.7,112083.6,236963.2,595276.1,50984.0,37721.8,62102.3
2020/03/31,6678414.1,554486.2,104134.0,947385.2,1037366.7,109424.8,221385.8,521623.1,58109.9,44331.7,70308.2
2020/04/01,6976915.5,563882.5,103903.2,933562.2,1091166.3,115268.2,219748.3,528874.9,65595.1,51380.4,78247.5
2020/04/02,6870730.2,587972.6,111207.1,953136.3,1052175.1,110495.0,230065.8,548079.0,73596.6,59088.9,87364.5
2020/04/03,6367931.0,617149.5,118247.1,919287.7,993777.5,83669.5,231707.0,566137.6,82030.4,67342.1,96435.9
2020/04/04,6519325.7,628806.0,189595.5,950510.9,958515.3,84517.1,229402.0,647216.1,90813.3,76257.8,106128.2
2020/04/05,5621816.5,515211.4,167457.9,827218.3,781214.3,84292.1,193608.6,679370.7,99795.7,84576.0,116276.1
2020/04/06,6609963.6,580109.6,111918.9,998758.1,952408.0,90612.5,236963.2,595276.1,108740.1,93199.3,126363.6
2020/04/07,6425835.0,554486.2,104134.0,947385.2,946378.7,92100.4,221385.8,521623.1,117745.2,101912.5,136429.9
2020/04/08,6308996.9,563882.5,103903.2,933562.2,933518.3,91382.9,219748.3,528874.9,126936.8,110795.5,146624.6
2020/04/09,6059127.5,587972.6,111207.1,953136.3,868129.3,83567.3,230065.8,548079.0,136226.6,119873.2,156779.9
2020/04/10,6268275.6,617149.5,118247.1,919287.7,962913.6,83513.4,231707.0,566137.6,145658.0,129628.1,166958.6
2020/04/11,6543876.4,628806.0,189595.5,950510.9,966449.8,90018.4,229402.0,647216.1,154983.1,139196.9,177029.8
2020/04/12,5170050.2,515211.4,167457.9,827218.3,686356.3,81683.4,193608.6,679370.7,164129.4,148594.9,186887.4
2020/04/13,5490751.2,580109.6,111918.9,998758.1,706288.2,70490.5,236963.2,595276.1,173147.2,157710.1,196599.0
2020/04/14,6400627.7,554486.2,104134.0,947385.2,980958.1,93291.0,221385.8,521623.1,182036.5,166375.8,206083.3
2020/04/15,6405022.5,563882.5,103903.2,933562.2,980419.5,91591.5,219748.3,528874.9,190837.1,174539.3,215515.2
2020/04/16,6443067.2,587972.6,111207.1,953136.3,975038.7,95952.8,230065.8,548079.0,199505.8,182886.3,224787.2
2020/04/17,6738680.5,617149.5,118247.1,919287.7,1089051.1,98776.6,231707.0,566137.6,207986.8,190692.6,233832.4
2020/04/18,6254649.7,628806.0,189595.5,950510.9,935306.1,85314.6,229402.0,647216.1,216258.9,197904.4,242554.2
2020/04/19,6088902.9,515211.4,167457.9,827218.3,895694.1,96206.1,193608.6,679370.7,224433.7,204895.7,251160.5
2020/04/20,6796703.8,580109.6,111918.9,998758.1,1021551.6,102313.5,236963.2,595276.1,232502.7,211636.2,259731.8
2020/04/21,6652221.3,554486.2,104134.0,947385.2,1013812.2,104637.2,221385.8,521623.1,240292.2,218064.3,267951.1
2020/04/22,7117773.5,563882.5,103903.2,933562.2,1139712.7,111577.3,219748.3,528874.9,247854.1,224224.2,275957.9
2020/04/23,7186602.5,587972.6,111207.1,953136.3,1146036.9,111196.0,230065.8,548079.0,255320.4,230267.4,283783.8
2020/04/24,6949866.8,617149.5,118247.1,919287.7,1130977.3,107957.9,231707.0,566137.6,262664.0,236144.1,291442.2
2020/04/25,7712013.9,628806.0,189595.5,950510.9,1248024.3,122754.6,229402.0,647216.1,269885.3,241913.4,298911.9
2020/04/26,5611866.0,515211.4,167457.9,827218.3,776479.4,85675.0,193608.6,679370.7,276994.7,247554.0,306175.1
2020/04/27,7151633.1,580109.6,111918.9,998758.1,1059792.3,103293.2,236963.2,595276.1,283979.2,253049.0,313300.4
2020/04/28,7792956.1,554486.2,104134.0,947385.2,1230832.5,127457.7,221385.8,521623.1,290879.2,258456.7,320258.3
2020/04/29,7181190.2,563882.5,103903.2,933562.2,1092685.5,111284.7,219748.3,528874.9,297687.8,263824.4,327101.8
2020/04/30,6920178.0,587972.6,111207.1,953136.3,1025224.0,103174.6,230065.8,548079.0,304388.9,269103.2,333853.4
2020/05/01,7808675.4,617149.5,118247.1,919287.7,1283555.4,122142.3,231707.0,566137.6,311037.1,274270.3,340899.9
2020/05/02,8161416.2,628806.0,189595.5,950510.9,1288887.1,132095.7,229402.0,647216.1,317592.4,279362.2,347822.6
2020/05/03,,,,,,,,,324137.4,284469.0,354713.7
2020/05/04,,,,,,,,,330635.5,289521.7,361473.8
2020/05/05,,,,,,,,,336882.9,294362.7,368270.6
2020/05/06,,,,,,,,,343090.2,299156.2,374410.8
2020/05/07,,,,,,,,,349265.8,303960.7,380891.2
2020/05/08,,,,,,,,,355293.1,308619.9,387924.7
2020/05/09,,,,,,,,,361223.9,313217.0,394773.7
