date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11897970.2,515211.4,167457.9,827218.3,2679322.2,387601.3,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14114310.5,580109.6,111918.9,998758.1,2747085.4,217940.7,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13335619.5,554486.2,104134.0,947385.2,2627834.0,189900.3,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13293905.7,563882.5,103903.2,933562.2,2660499.1,189619.3,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13058754.4,587972.6,111207.1,953136.3,2632468.6,193451.2,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13664699.2,617149.5,118247.1,919287.7,2974918.1,200534.6,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11594505.4,628806.0,189595.5,950510.9,2569624.3,255021.1,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9769773.0,515211.4,167457.9,827218.3,2015981.9,387601.3,193608.6,679370.7,928.2,194.1,2469.1
2020/03/16,10057909.7,580109.6,111918.9,998758.1,1950894.7,217940.7,236963.2,595276.1,1286.9,303.8,3231.0
2020/03/17,9192402.4,554486.2,104134.0,947385.2,1735678.0,189900.3,221385.8,521623.1,1805.3,488.7,4238.4
2020/03/18,9188861.0,563882.5,103903.2,933562.2,1697618.7,189619.3,219748.3,528874.9,2557.1,785.4,5562.2
2020/03/19,8757144.6,587972.6,111207.1,953136.3,1579539.1,193451.2,230065.8,548079.0,3623.6,1273.3,7290.2
2020/03/20,8214827.5,617149.5,118247.1,919287.7,1433777.0,200534.6,231707.0,566137.6,5095.7,2011.6,9508.1
2020/03/21,7044937.1,628806.0,189595.5,950510.9,1079765.7,255021.1,229402.0,647216.1,7094.9,3094.8,12319.6
2020/03/22,6697318.8,515211.4,167457.9,827218.3,998374.9,387601.3,193608.6,679370.7,9728.6,4647.3,15785.3
2020/03/23,6903727.1,580109.6,111918.9,998758.1,1031217.8,217940.7,236963.2,595276.1,13048.8,6766.4,19965.8
2020/03/24,7379065.3,554486.2,104134.0,947385.2,1197841.6,189900.3,221385.8,521623.1,16995.5,9494.0,24679.9
2020/03/25,7711433.3,563882.5,103903.2,933562.2,1282530.0,189619.3,219748.3,528874.9,21505.3,12785.8,29919.3
2020/03/26,7420233.9,587972.6,111207.1,953136.3,1181649.9,193451.2,230065.8,548079.0,26563.0,16708.0,35613.9
2020/03/27,7533616.7,617149.5,118247.1,919287.7,1233830.1,200534.6,231707.0,566137.6,32216.0,21311.7,41814.8
2020/03/28,6486610.6,628806.0,189595.5,950510.9,955026.7,255021.1,229402.0,647216.1,38412.0,26640.0,48446.9
2020/03/29,5891051.7,515211.4,167457.9,827218.3,810563.0,387601.3,193608.6,679370.7,45114.1,32558.6,55690.1
2020/03/30,7083472.8,580109.6,111918.9,998758.1,1063937.7,217940.7,236963.2,595276.1,52294.7,39184.4,63854.4
2020/03/31,6758889.6,554486.2,104134.0,947385.2,1037366.7,189900.3,221385.8,521623.1,59925.7,46442.4,72008.7
2020/04/01,7051266.6,563882.5,103903.2,933562.2,1091166.3,189619.3,219748.3,528874.9,67916.7,54178.5,80768.1
2020/04/02,6953686.3,587972.6,111207.1,953136.3,1052175.1,193451.2,230065.8,548079.0,76400.7,62196.5,90190.8
2020/04/03,6484796.1,617149.5,118247.1,919287.7,993777.5,200534.6,231707.0,566137.6,85313.4,70426.3,100406.8
2020/04/04,6689829.7,628806.0,189595.5,950510.9,958515.3,255021.1,229402.0,647216.1,94588.3,79520.2,111012.6
2020/04/05,5925125.7,515211.4,167457.9,827218.3,781214.3,387601.3,193608.6,679370.7,104120.8,89386.8,121637.0
2020/04/06,6737291.8,580109.6,111918.9,998758.1,952408.0,217940.7,236963.2,595276.1,113863.2,99154.2,132494.8
2020/04/07,6523634.9,554486.2,104134.0,947385.2,946378.7,189900.3,221385.8,521623.1,123769.6,108740.7,143493.2
2020/04/08,6407233.4,563882.5,103903.2,933562.2,933518.3,189619.3,219748.3,528874.9,133817.1,118594.1,154539.2
2020/04/09,6169011.3,587972.6,111207.1,953136.3,868129.3,193451.2,230065.8,548079.0,143911.7,128580.1,165535.7
2020/04/10,6385296.8,617149.5,118247.1,919287.7,962913.6,200534.6,231707.0,566137.6,154112.0,138764.3,176642.2
2020/04/11,6708879.2,628806.0,189595.5,950510.9,966449.8,255021.1,229402.0,647216.1,164195.6,149484.8,187525.6
2020/04/12,5475968.1,515211.4,167457.9,827218.3,686356.3,387601.3,193608.6,679370.7,174157.4,159569.8,198323.8
2020/04/13,5638201.5,580109.6,111918.9,998758.1,706288.2,217940.7,236963.2,595276.1,184226.0,169353.7,209203.3
2020/04/14,6497236.9,554486.2,104134.0,947385.2,980958.1,189900.3,221385.8,521623.1,194253.5,178524.5,220018.7
2020/04/15,6503050.3,563882.5,103903.2,933562.2,980419.5,189619.3,219748.3,528874.9,204130.6,187548.3,230687.0
2020/04/16,6540565.5,587972.6,111207.1,953136.3,975038.7,193451.2,230065.8,548079.0,213798.2,196539.0,241127.4
2020/04/17,6840438.5,617149.5,118247.1,919287.7,1089051.1,200534.6,231707.0,566137.6,223229.1,205701.0,251268.5
2020/04/18,6424356.2,628806.0,189595.5,950510.9,935306.1,255021.1,229402.0,647216.1,232407.2,213682.2,261038.6
2020/04/19,6380298.1,515211.4,167457.9,827218.3,895694.1,387601.3,193608.6,679370.7,241504.6,221349.7,270656.0
2020/04/20,6912331.0,580109.6,111918.9,998758.1,1021551.6,217940.7,236963.2,595276.1,250681.6,229112.8,280281.3
2020/04/21,6737484.4,554486.2,104134.0,947385.2,1013812.2,189900.3,221385.8,521623.1,259638.2,236953.8,289640.6
2020/04/22,7195815.5,563882.5,103903.2,933562.2,1139712.7,189619.3,219748.3,528874.9,268270.1,244903.1,298634.4
2020/04/23,7268857.6,587972.6,111207.1,953136.3,1146036.9,193451.2,230065.8,548079.0,276711.7,252168.5,307373.2
2020/04/24,7042443.5,617149.5,118247.1,919287.7,1130977.3,200534.6,231707.0,566137.6,284966.0,258922.0,315881.2
2020/04/25,7844280.4,628806.0,189595.5,950510.9,1248024.3,255021.1,229402.0,647216.1,293038.0,265522.5,324196.0
2020/04/26,5913792.3,515211.4,167457.9,827218.3,776479.4,387601.3,193608.6,679370.7,300991.6,271963.2,332301.4
2020/04/27,7266280.7,580109.6,111918.9,998758.1,1059792.3,217940.7,236963.2,595276.1,308958.4,278400.7,340520.9
2020/04/28,7855398.6,554486.2,104134.0,947385.2,1230832.5,189900.3,221385.8,521623.1,316859.5,284822.5,349177.9
2020/04/29,7259524.8,563882.5,103903.2,933562.2,1092685.5,189619.3,219748.3,528874.9,324584.9,291033.3,357012.8
2020/04/30,7010454.5,587972.6,111207.1,953136.3,1025224.0,193451.2,230065.8,548079.0,332112.4,297044.2,364779.2
2020/05/01,7887067.7,617149.5,118247.1,919287.7,1283555.4,200534.6,231707.0,566137.6,339513.3,302957.4,372636.0
2020/05/02,8284341.6,628806.0,189595.5,950510.9,1288887.1,255021.1,229402.0,647216.1,346764.4,308717.7,380824.5
2020/05/03,,,,,,,,,353974.1,314493.4,388768.4
2020/05/04,,,,,,,,,361234.6,320357.5,396882.0
2020/05/05,,,,,,,,,368254.0,325994.0,404360.6
2020/05/06,,,,,,,,,375142.0,331546.3,411435.8
2020/05/07,,,,,,,,,381918.9,336947.7,418540.7
2020/05/08,,,,,,,,,388483.3,342148.9,425556.3
2020/05/09,,,,,,,,,394883.2,347208.3,432916.2
