date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11888672.4,515211.4,167457.9,827218.3,2679322.2,387601.3,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14102784.1,580109.6,111918.9,998758.1,2747085.4,217940.7,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13338637.0,554486.2,104134.0,947385.2,2627834.0,189900.3,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13299230.3,563882.5,103903.2,933562.2,2660499.1,189619.3,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13082741.7,587972.6,111207.1,953136.3,2632468.6,193451.2,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13716677.9,617149.5,118247.1,919287.7,2974918.1,200534.6,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11593440.0,628806.0,189595.5,950510.9,2569624.3,255021.1,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9767253.1,515211.4,167457.9,827218.3,2015981.9,387601.3,191088.7,679370.7,928.2,194.1,2469.1
2020/03/16,10054854.2,580109.6,111918.9,998758.1,1950894.7,217940.7,233907.7,595276.1,1286.6,302.6,3237.3
2020/03/17,9174992.1,554486.2,104134.0,947385.2,1735678.0,189900.3,203975.5,521623.1,1804.2,485.1,4248.5
2020/03/18,9173008.3,563882.5,103903.2,933562.2,1697618.7,189619.3,203895.6,528874.9,2556.4,788.2,5566.2
2020/03/19,8712598.4,587972.6,111207.1,953136.3,1579539.1,193451.2,185519.6,548079.0,3623.2,1263.1,7314.5
2020/03/20,8139939.3,617149.5,118247.1,919287.7,1433777.0,200534.6,156818.8,566137.6,5095.5,1978.6,9554.7
2020/03/21,6925854.9,628806.0,189595.5,950510.9,1079765.7,255021.1,110319.8,647216.1,7097.3,3029.4,12379.3
2020/03/22,6626133.4,515211.4,167457.9,827218.3,998374.9,387601.3,122423.2,679370.7,9732.6,4541.8,15888.5
2020/03/23,6790749.7,580109.6,111918.9,998758.1,1031217.8,217940.7,123985.7,595276.1,13055.3,6660.9,20058.9
2020/03/24,7306694.9,554486.2,104134.0,947385.2,1197841.6,189900.3,149015.4,521623.1,17002.0,9404.5,24814.0
2020/03/25,7646765.2,563882.5,103903.2,933562.2,1282530.0,189619.3,155080.3,528874.9,21506.7,12716.0,30106.7
2020/03/26,7333728.9,587972.6,111207.1,953136.3,1181649.9,193451.2,143560.8,548079.0,26553.8,16623.0,35880.3
2020/03/27,7444479.4,617149.5,118247.1,919287.7,1233830.1,200534.6,142569.7,566137.6,32198.4,21215.0,42186.1
2020/03/28,6372832.4,628806.0,189595.5,950510.9,955026.7,255021.1,115623.8,647216.1,38380.6,26467.6,48910.2
2020/03/29,5794063.2,515211.4,167457.9,827218.3,810563.0,387601.3,96620.0,679370.7,45058.9,32343.8,56053.6
2020/03/30,6980148.6,580109.6,111918.9,998758.1,1063937.7,217940.7,133639.0,595276.1,52215.3,38866.6,63650.1
2020/03/31,6672472.8,554486.2,104134.0,947385.2,1037366.7,189900.3,134969.0,521623.1,59815.2,45992.4,71810.8
2020/04/01,6973763.1,563882.5,103903.2,933562.2,1091166.3,189619.3,142244.8,528874.9,67765.9,53709.9,80644.0
2020/04/02,6860935.3,587972.6,111207.1,953136.3,1052175.1,193451.2,137314.7,548079.0,76211.1,62076.0,89958.6
2020/04/03,6390316.4,617149.5,118247.1,919287.7,993777.5,200534.6,137227.2,566137.6,85078.7,70646.3,100118.6
2020/04/04,6587082.2,628806.0,189595.5,950510.9,958515.3,255021.1,126654.5,647216.1,94299.5,79337.3,110436.8
2020/04/05,5833374.2,515211.4,167457.9,827218.3,781214.3,387601.3,101857.1,679370.7,103780.0,88813.0,120972.5
2020/04/06,6628167.2,580109.6,111918.9,998758.1,952408.0,217940.7,127838.5,595276.1,113465.5,97968.9,131709.8
2020/04/07,6431330.2,554486.2,104134.0,947385.2,946378.7,189900.3,129081.2,521623.1,123316.4,107388.1,142646.2
2020/04/08,6318362.5,563882.5,103903.2,933562.2,933518.3,189619.3,130877.5,528874.9,133305.9,117206.3,153757.4
2020/04/09,6060728.8,587972.6,111207.1,953136.3,868129.3,193451.2,121783.3,548079.0,143339.6,127270.5,164936.5
2020/04/10,6292474.6,617149.5,118247.1,919287.7,962913.6,200534.6,138884.7,566137.6,153473.9,137270.2,176180.8
2020/04/11,6624873.4,628806.0,189595.5,950510.9,966449.8,255021.1,145396.2,647216.1,163494.9,148075.0,187145.3
2020/04/12,5371496.5,515211.4,167457.9,827218.3,686356.3,387601.3,89136.9,679370.7,173397.1,158606.8,197835.8
2020/04/13,5489634.8,580109.6,111918.9,998758.1,706288.2,217940.7,88396.4,595276.1,183407.3,168131.2,208596.0
2020/04/14,6409697.9,554486.2,104134.0,947385.2,980958.1,189900.3,133846.8,521623.1,193375.6,177468.5,219249.8
2020/04/15,6412101.0,563882.5,103903.2,933562.2,980419.5,189619.3,128799.0,528874.9,203195.5,187072.2,229795.3
2020/04/16,6437602.2,587972.6,111207.1,953136.3,975038.7,193451.2,127102.5,548079.0,212807.0,196236.0,240060.0
2020/04/17,6744820.5,617149.5,118247.1,919287.7,1089051.1,200534.6,136089.0,566137.6,222178.8,204747.5,250071.2
2020/04/18,6311069.3,628806.0,189595.5,950510.9,935306.1,255021.1,116115.1,647216.1,231304.1,212457.5,259781.9
2020/04/19,6289723.8,515211.4,167457.9,827218.3,895694.1,387601.3,103034.3,679370.7,240349.0,220546.5,269360.5
2020/04/20,6800439.6,580109.6,111918.9,998758.1,1021551.6,217940.7,125071.8,595276.1,249479.4,228400.2,278983.6
2020/04/21,6639106.6,554486.2,104134.0,947385.2,1013812.2,189900.3,123008.0,521623.1,258380.9,235909.1,288374.3
2020/04/22,7117777.6,563882.5,103903.2,933562.2,1139712.7,189619.3,141710.4,528874.9,266965.7,243134.3,297261.7
2020/04/23,7177911.1,587972.6,111207.1,953136.3,1146036.9,193451.2,139119.3,548079.0,275362.4,250007.7,305884.6
2020/04/24,6940661.8,617149.5,118247.1,919287.7,1130977.3,200534.6,129925.3,566137.6,283571.4,256753.2,314343.6
2020/04/25,7752982.0,628806.0,189595.5,950510.9,1248024.3,255021.1,138103.6,647216.1,291599.1,263321.4,322531.0
2020/04/26,5811771.9,515211.4,167457.9,827218.3,776479.4,387601.3,91588.2,679370.7,299510.9,269770.9,330558.8
2020/04/27,7160781.8,580109.6,111918.9,998758.1,1059792.3,217940.7,131464.2,595276.1,307441.6,276237.9,338658.4
2020/04/28,7780592.0,554486.2,104134.0,947385.2,1230832.5,189900.3,146579.1,521623.1,315307.5,282664.1,346748.0
2020/04/29,7173411.2,563882.5,103903.2,933562.2,1092685.5,189619.3,133634.7,528874.9,322998.6,288899.5,354613.4
2020/04/30,6904838.7,587972.6,111207.1,953136.3,1025224.0,193451.2,124449.9,548079.0,330492.8,294975.4,362755.2
2020/05/01,7805574.2,617149.5,118247.1,919287.7,1283555.4,200534.6,150213.4,566137.6,337863.1,300940.7,370328.2
2020/05/02,8190044.1,628806.0,189595.5,950510.9,1288887.1,255021.1,135104.5,647216.1,345081.1,306745.2,378694.8
2020/05/03,,,,,,,,,352259.0,312531.2,386632.4
2020/05/04,,,,,,,,,359491.1,318395.5,394692.5
2020/05/05,,,,,,,,,366485.7,324071.7,402103.4
2020/05/06,,,,,,,,,373347.9,329596.9,409711.0
2020/05/07,,,,,,,,,380101.0,335071.8,416484.9
2020/05/08,,,,,,,,,386640.7,340309.6,423510.7
2020/05/09,,,,,,,,,393022.4,345321.0,430680.7
