date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11875275.5,492516.6,167457.9,827218.3,2679322.2,387601.3,193608.6,679370.7,4.2,0.3,12.8
2020/03/09,14090140.4,555939.5,111918.9,998758.1,2747085.4,217940.7,236963.2,595276.1,98.6,12.7,277.9
2020/03/10,13312518.4,531385.2,104134.0,947385.2,2627834.0,189900.3,221385.8,521623.1,189.2,25.1,526.1
2020/03/11,13259393.0,529369.8,103903.2,933562.2,2660499.1,189619.3,219748.3,528874.9,287.2,40.4,788.3
2020/03/12,12983400.2,512618.4,111207.1,953136.3,2632468.6,193451.2,230065.8,548079.0,402.2,59.6,1082.0
2020/03/13,13625245.3,577695.6,118247.1,919287.7,2974918.1,200534.6,231707.0,566137.6,547.7,87.7,1439.1
2020/03/14,11445713.3,480013.9,189595.5,950510.9,2569624.3,255021.1,229402.0,647216.1,744.1,128.9,1887.6
2020/03/15,9623211.4,368649.7,167457.9,827218.3,2015981.9,387601.3,193608.6,679370.7,1015.3,193.2,2468.7
2020/03/16,9853945.9,376145.9,111918.9,998758.1,1950894.7,217940.7,236963.2,595276.1,1398.0,300.8,3233.7
2020/03/17,8965660.3,327744.1,104134.0,947385.2,1735678.0,189900.3,221385.8,521623.1,1945.1,479.0,4236.8
2020/03/18,8949654.2,324675.7,103903.2,933562.2,1697618.7,189619.3,219748.3,528874.9,2730.3,759.6,5568.1
2020/03/19,8463346.3,294174.3,111207.1,953136.3,1579539.1,193451.2,230065.8,548079.0,3834.3,1224.8,7303.8
2020/03/20,7856988.2,259310.2,118247.1,919287.7,1433777.0,200534.6,231707.0,566137.6,5344.7,1917.3,9514.3
2020/03/21,6601398.1,185267.0,189595.5,950510.9,1079765.7,255021.1,229402.0,647216.1,7384.0,2970.4,12324.4
2020/03/22,6375043.4,192936.0,167457.9,827218.3,998374.9,387601.3,193608.6,679370.7,10046.1,4512.3,15807.2
2020/03/23,6518022.5,194404.9,111918.9,998758.1,1031217.8,217940.7,236963.2,595276.1,13379.9,6603.5,19965.8
2020/03/24,7064569.0,239989.9,104134.0,947385.2,1197841.6,189900.3,221385.8,521623.1,17304.0,9270.3,24664.5
2020/03/25,7401211.9,253661.2,103903.2,933562.2,1282530.0,189619.3,219748.3,528874.9,21751.7,12472.7,29862.0
2020/03/26,7077352.0,245090.7,111207.1,953136.3,1181649.9,193451.2,230065.8,548079.0,26712.9,16257.6,35529.8
2020/03/27,7177083.8,260616.6,118247.1,919287.7,1233830.1,200534.6,231707.0,566137.6,32226.4,20689.1,41648.8
2020/03/28,6064465.1,206660.6,189595.5,950510.9,955026.7,255021.1,229402.0,647216.1,38232.1,25737.2,48148.4
2020/03/29,5541555.8,165715.4,167457.9,827218.3,810563.0,387601.3,193608.6,679370.7,44686.9,31374.1,55025.4
2020/03/30,6714835.1,211471.8,111918.9,998758.1,1063937.7,217940.7,236963.2,595276.1,51577.3,37581.6,62363.6
2020/03/31,6428599.4,224196.1,104134.0,947385.2,1037366.7,189900.3,221385.8,521623.1,58864.0,44448.9,70664.8
2020/04/01,6722473.5,235089.4,103903.2,933562.2,1091166.3,189619.3,219748.3,528874.9,66459.5,51806.0,78930.5
2020/04/02,6595904.8,230191.1,111207.1,953136.3,1052175.1,193451.2,230065.8,548079.0,74522.9,59557.1,87881.0
2020/04/03,6103801.0,236154.4,118247.1,919287.7,993777.5,200534.6,231707.0,566137.6,82981.4,67690.8,97460.5
2020/04/04,6302760.2,241736.6,189595.5,950510.9,958515.3,255021.1,229402.0,647216.1,91757.9,76051.1,107407.8
2020/04/05,5589183.1,179268.8,167457.9,827218.3,781214.3,387601.3,193608.6,679370.7,100763.0,84916.9,117613.3
2020/04/06,6373253.2,216071.0,111918.9,998758.1,952408.0,217940.7,236963.2,595276.1,109940.2,93595.8,127973.0
2020/04/07,6190171.6,221022.9,104134.0,947385.2,946378.7,189900.3,221385.8,521623.1,119268.6,102685.4,138415.6
2020/04/08,6054422.8,211071.9,103903.2,933562.2,933518.3,189619.3,219748.3,528874.9,128720.2,112273.9,148945.6
2020/04/09,5780997.6,199959.0,111207.1,953136.3,868129.3,193451.2,230065.8,548079.0,138214.5,121971.8,159456.9
2020/04/10,5987837.6,219690.3,118247.1,919287.7,962913.6,200534.6,231707.0,566137.6,147805.9,131642.9,169970.6
2020/04/11,6327554.8,247481.6,189595.5,950510.9,966449.8,255021.1,229402.0,647216.1,157281.1,141644.5,180294.3
2020/04/12,5100967.8,140211.0,167457.9,827218.3,686356.3,387601.3,193608.6,679370.7,166627.9,151594.9,190432.3
2020/04/13,5210084.1,151992.2,111918.9,998758.1,706288.2,217940.7,236963.2,595276.1,176063.8,160823.7,200601.6
2020/04/14,6179867.2,237116.5,104134.0,947385.2,980958.1,189900.3,221385.8,521623.1,185463.2,169621.9,210723.2
2020/04/15,6179401.1,240233.3,103903.2,933562.2,980419.5,189619.3,219748.3,528874.9,194720.2,178295.0,220770.2
2020/04/16,6188228.6,235635.7,111207.1,953136.3,975038.7,193451.2,230065.8,548079.0,203782.8,186528.7,230516.5
2020/04/17,6488032.2,264743.2,118247.1,919287.7,1089051.1,200534.6,231707.0,566137.6,212618.9,195002.7,239969.4
2020/04/18,6025415.0,229864.9,189595.5,950510.9,935306.1,255021.1,229402.0,647216.1,221216.1,202938.0,249133.9
2020/04/19,6085929.3,220842.5,167457.9,827218.3,895694.1,387601.3,193608.6,679370.7,229730.8,210325.7,258185.1
2020/04/20,6554758.1,222536.7,111918.9,998758.1,1021551.6,217940.7,236963.2,595276.1,238317.6,217598.3,267281.4
2020/04/21,6405117.2,222119.1,104134.0,947385.2,1013812.2,189900.3,221385.8,521623.1,246694.2,224586.6,276068.8
2020/04/22,6896526.8,264593.8,103903.2,933562.2,1139712.7,189619.3,219748.3,528874.9,254777.1,231250.4,284500.8
2020/04/23,6939192.6,258307.6,111207.1,953136.3,1146036.9,193451.2,230065.8,548079.0,262698.2,237715.1,292717.8
2020/04/24,6696683.4,271389.4,118247.1,919287.7,1130977.3,200534.6,231707.0,566137.6,270451.7,244057.1,300693.7
2020/04/25,7536011.8,320537.4,189595.5,950510.9,1248024.3,255021.1,229402.0,647216.1,278036.2,250141.6,308449.6
2020/04/26,5582103.6,183522.6,167457.9,827218.3,776479.4,387601.3,193608.6,679370.7,285506.3,256037.2,316057.9
2020/04/27,6923719.5,237548.4,111918.9,998758.1,1059792.3,217940.7,236963.2,595276.1,292987.2,262006.3,323675.2
2020/04/28,7592845.3,291932.9,104134.0,947385.2,1230832.5,189900.3,221385.8,521623.1,300422.1,267994.1,331152.3
2020/04/29,6948401.1,252758.8,103903.2,933562.2,1092685.5,189619.3,219748.3,528874.9,307704.0,273808.9,338423.4
2020/04/30,6663715.1,241233.1,111207.1,953136.3,1025224.0,193451.2,230065.8,548079.0,314813.1,279472.9,345523.2
2020/05/01,7577046.7,307128.4,118247.1,919287.7,1283555.4,200534.6,231707.0,566137.6,321815.5,285020.8,352648.8
2020/05/02,7994418.2,338882.6,189595.5,950510.9,1288887.1,255021.1,229402.0,647216.1,328679.6,290443.8,359871.8
2020/05/03,,,,,,,,,335509.7,295846.4,367100.4
2020/05/04,,,,,,,,,342389.4,301343.6,374251.8
2020/05/05,,,,,,,,,349056.9,306600.5,381007.8
2020/05/06,,,,,,,,,355615.9,311795.6,387975.2
2020/05/07,,,,,,,,,362081.4,316909.4,394768.7
2020/05/08,,,,,,,,,368355.1,321886.1,401396.8
2020/05/09,,,,,,,,,374481.0,326680.8,408263.5
