date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11865977.7,492516.6,167457.9,827218.3,2679322.2,387601.3,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14078614.0,555939.5,111918.9,998758.1,2747085.4,217940.7,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13315536.0,531385.2,104134.0,947385.2,2627834.0,189900.3,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13264717.5,529369.8,103903.2,933562.2,2660499.1,189619.3,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13007387.4,512618.4,111207.1,953136.3,2632468.6,193451.2,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13677224.0,577695.6,118247.1,919287.7,2974918.1,200534.6,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11444647.9,480013.9,189595.5,950510.9,2569624.3,255021.1,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9620691.4,368649.7,167457.9,827218.3,2015981.9,387601.3,191088.7,679370.7,928.1,194.3,2466.1
2020/03/16,9850890.5,376145.9,111918.9,998758.1,1950894.7,217940.7,233907.7,595276.1,1286.6,306.2,3232.5
2020/03/17,8948250.0,327744.1,104134.0,947385.2,1735678.0,189900.3,203975.5,521623.1,1803.5,485.0,4234.8
2020/03/18,8933801.5,324675.7,103903.2,933562.2,1697618.7,189619.3,203895.6,528874.9,2553.7,781.5,5550.5
2020/03/19,8418800.1,294174.3,111207.1,953136.3,1579539.1,193451.2,185519.6,548079.0,3618.6,1253.0,7283.8
2020/03/20,7782100.0,259310.2,118247.1,919287.7,1433777.0,200534.6,156818.8,566137.6,5086.9,2002.0,9491.5
2020/03/21,6482315.9,185267.0,189595.5,950510.9,1079765.7,255021.1,110319.8,647216.1,7078.5,3100.8,12298.4
2020/03/22,6303858.0,192936.0,167457.9,827218.3,998374.9,387601.3,122423.2,679370.7,9693.2,4628.0,15762.6
2020/03/23,6405045.0,194404.9,111918.9,998758.1,1031217.8,217940.7,123985.7,595276.1,12981.9,6705.6,19929.5
2020/03/24,6992198.6,239989.9,104134.0,947385.2,1197841.6,189900.3,149015.4,521623.1,16867.7,9363.2,24620.0
2020/03/25,7336543.9,253661.2,103903.2,933562.2,1282530.0,189619.3,155080.3,528874.9,21280.8,12565.3,29803.0
2020/03/26,6990847.0,245090.7,111207.1,953136.3,1181649.9,193451.2,143560.8,548079.0,26208.3,16349.1,35445.0
2020/03/27,7087946.5,260616.6,118247.1,919287.7,1233830.1,200534.6,142569.7,566137.6,31696.7,20766.2,41524.6
2020/03/28,5950687.0,206660.6,189595.5,950510.9,955026.7,255021.1,115623.8,647216.1,37681.6,25849.6,48021.2
2020/03/29,5444567.2,165715.4,167457.9,827218.3,810563.0,387601.3,96620.0,679370.7,44118.8,31513.0,54961.5
2020/03/30,6611510.9,211471.8,111918.9,998758.1,1063937.7,217940.7,133639.0,595276.1,50987.8,37828.3,62473.3
2020/03/31,6342182.6,224196.1,104134.0,947385.2,1037366.7,189900.3,134969.0,521623.1,58255.7,44603.6,70574.0
2020/04/01,6644970.0,235089.4,103903.2,933562.2,1091166.3,189619.3,142244.8,528874.9,65829.8,51850.7,78989.1
2020/04/02,6503153.7,230191.1,111207.1,953136.3,1052175.1,193451.2,137314.7,548079.0,73870.8,59540.8,87376.3
2020/04/03,6009321.3,236154.4,118247.1,919287.7,993777.5,200534.6,137227.2,566137.6,82306.9,67402.4,96753.0
2020/04/04,6200012.8,241736.6,189595.5,950510.9,958515.3,255021.1,126654.5,647216.1,91062.8,75787.9,106569.5
2020/04/05,5497431.6,179268.8,167457.9,827218.3,781214.3,387601.3,101857.1,679370.7,100041.2,84522.5,116673.5
2020/04/06,6264128.6,216071.0,111918.9,998758.1,952408.0,217940.7,127838.5,595276.1,109191.6,93978.2,126886.4
2020/04/07,6097866.9,221022.9,104134.0,947385.2,946378.7,189900.3,129081.2,521623.1,118487.8,103453.6,137239.6
2020/04/08,5965551.9,211071.9,103903.2,933562.2,933518.3,189619.3,130877.5,528874.9,127902.8,112860.6,147649.2
2020/04/09,5672715.2,199959.0,111207.1,953136.3,868129.3,193451.2,121783.3,548079.0,137359.1,122457.6,158090.7
2020/04/10,5895015.3,219690.3,118247.1,919287.7,962913.6,200534.6,138884.7,566137.6,146911.2,131999.2,168568.0
2020/04/11,6243549.0,247481.6,189595.5,950510.9,966449.8,255021.1,145396.2,647216.1,156339.6,141395.2,178927.1
2020/04/12,4996496.1,140211.0,167457.9,827218.3,686356.3,387601.3,89136.9,679370.7,165634.5,150782.8,189072.3
2020/04/13,5061517.4,151992.2,111918.9,998758.1,706288.2,217940.7,88396.4,595276.1,175020.3,160382.5,199323.0
2020/04/14,6092328.2,237116.5,104134.0,947385.2,980958.1,189900.3,133846.8,521623.1,184365.9,169359.7,209507.3
2020/04/15,6088451.8,240233.3,103903.2,933562.2,980419.5,189619.3,128799.0,528874.9,193562.9,177946.6,219372.6
2020/04/16,6085265.3,235635.7,111207.1,953136.3,975038.7,193451.2,127102.5,548079.0,202569.7,186292.3,228889.8
2020/04/17,6392414.2,264743.2,118247.1,919287.7,1089051.1,200534.6,136089.0,566137.6,211345.9,194584.4,238170.4
2020/04/18,5912128.2,229864.9,189595.5,950510.9,935306.1,255021.1,116115.1,647216.1,219876.1,202495.7,247203.8
2020/04/19,5995355.0,220842.5,167457.9,827218.3,895694.1,387601.3,103034.3,679370.7,228322.0,209493.3,256139.3
2020/04/20,6442866.7,222536.7,111918.9,998758.1,1021551.6,217940.7,125071.8,595276.1,236845.7,216579.6,265104.9
2020/04/21,6306739.4,222119.1,104134.0,947385.2,1013812.2,189900.3,123008.0,521623.1,245153.8,223410.6,273842.7
2020/04/22,6818488.9,264593.8,103903.2,933562.2,1139712.7,189619.3,141710.4,528874.9,253161.0,229946.1,282209.6
2020/04/23,6848246.1,258307.6,111207.1,953136.3,1146036.9,193451.2,139119.3,548079.0,261006.0,236295.7,290365.6
2020/04/24,6594901.7,271389.4,118247.1,919287.7,1130977.3,200534.6,129925.3,566137.6,268681.6,242433.7,298292.2
2020/04/25,7444713.4,320537.4,189595.5,950510.9,1248024.3,255021.1,138103.6,647216.1,276190.5,248411.2,306034.9
2020/04/26,5480083.2,183522.6,167457.9,827218.3,776479.4,387601.3,91588.2,679370.7,283582.6,254323.7,313591.9
2020/04/27,6818220.6,237548.4,111918.9,998758.1,1059792.3,217940.7,131464.2,595276.1,290991.1,260320.9,321137.4
2020/04/28,7518038.7,291932.9,104134.0,947385.2,1230832.5,189900.3,146579.1,521623.1,298354.0,266244.5,328616.1
2020/04/29,6862287.4,252758.8,103903.2,933562.2,1092685.5,189619.3,133634.7,528874.9,305564.7,272096.9,335900.9
2020/04/30,6558099.2,241233.1,111207.1,953136.3,1025224.0,193451.2,124449.9,548079.0,312602.1,277763.9,342964.4
2020/05/01,7495553.1,307128.4,118247.1,919287.7,1283555.4,200534.6,150213.4,566137.6,319537.3,283320.3,350232.8
2020/05/02,7900120.7,338882.6,189595.5,950510.9,1288887.1,255021.1,135104.5,647216.1,326335.2,288784.4,357738.5
2020/05/03,,,,,,,,,333098.5,294235.5,364677.8
2020/05/04,,,,,,,,,339919.8,299779.8,371616.4
2020/05/05,,,,,,,,,346525.5,305108.1,378574.7
2020/05/06,,,,,,,,,353019.8,310322.4,385344.9
2020/05/07,,,,,,,,,359428.5,315452.9,391976.6
2020/05/08,,,,,,,,,365640.8,320432.0,399149.3
2020/05/09,,,,,,,,,371709.1,325189.9,405971.6
