date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11812728.7,515211.4,167457.9,827218.3,2679322.2,349562.8,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14071852.8,580109.6,111918.9,998758.1,2747085.4,202508.0,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13388435.2,554486.2,104134.0,947385.2,2627834.0,201275.7,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13344071.6,563882.5,103903.2,933562.2,2660499.1,196471.0,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13257897.8,587972.6,111207.1,953136.3,2632468.6,189123.5,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,14034548.1,617149.5,118247.1,919287.7,2974918.1,205293.0,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11606859.1,628806.0,189595.5,950510.9,2569624.3,192215.6,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9595034.9,515211.4,167457.9,827218.3,2015981.9,221744.8,191088.7,673009.1,928.1,194.4,2465.6
2020/03/16,10110555.8,580109.6,111918.9,998758.1,1950894.7,152333.5,233907.7,716584.9,1285.4,299.8,3234.5
2020/03/17,9207392.1,554486.2,104134.0,947385.2,1735678.0,147610.5,203975.5,596312.8,1800.7,472.9,4234.7
2020/03/18,9172681.1,563882.5,103903.2,933562.2,1697618.7,146159.9,203895.6,572007.2,2550.8,774.3,5554.0
2020/03/19,8646122.9,587972.6,111207.1,953136.3,1579539.1,140195.6,185519.6,534859.1,3616.8,1263.3,7299.8
2020/03/20,8024255.0,617149.5,118247.1,919287.7,1433777.0,132949.5,156818.8,518038.5,5086.4,1976.7,9512.3
2020/03/21,6538828.8,628806.0,189595.5,950510.9,1079765.7,113656.6,110319.8,401554.4,7088.6,3010.0,12317.4
2020/03/22,6114138.0,515211.4,167457.9,827218.3,998374.9,116868.6,122423.2,438108.1,9720.5,4544.8,15822.6
2020/03/23,6448814.9,580109.6,111918.9,998758.1,1031217.8,105204.3,123985.7,366077.7,12974.6,6659.4,19971.0
2020/03/24,7141987.9,554486.2,104134.0,947385.2,1197841.6,124361.0,149015.4,422455.4,16804.5,9316.4,24620.5
2020/03/25,7516351.6,563882.5,103903.2,933562.2,1282530.0,135779.8,155080.3,452300.8,21179.2,12514.6,29802.9
2020/03/26,7115934.6,587972.6,111207.1,953136.3,1181649.9,119785.3,143560.8,403950.5,26084.9,16304.6,35447.2
2020/03/27,7235596.8,617149.5,118247.1,919287.7,1233830.1,123602.8,142569.7,434186.8,31562.6,20734.4,41597.3
2020/03/28,5999200.1,628806.0,189595.5,950510.9,955026.7,95596.2,115623.8,433008.6,37542.5,25744.3,48099.4
2020/03/29,5208510.7,515211.4,167457.9,827218.3,810563.0,93198.6,96620.0,388221.0,43941.1,31321.5,54953.4
2020/03/30,6675265.0,580109.6,111918.9,998758.1,1063937.7,112083.6,133639.0,396249.5,50562.7,37200.4,62246.9
2020/03/31,6457435.8,554486.2,104134.0,947385.2,1037366.7,109424.8,134969.0,387061.6,57470.8,43517.8,69657.4
2020/04/01,6770125.2,563882.5,103903.2,933562.2,1091166.3,115268.2,142244.8,399588.1,64707.0,50333.9,77798.7
2020/04/02,6633738.6,587972.6,111207.1,953136.3,1052175.1,110495.0,137314.7,403838.5,72462.7,57860.3,86111.1
2020/04/03,6111378.4,617149.5,118247.1,919287.7,993777.5,83669.5,137227.2,404064.8,80639.0,65764.2,95332.2
2020/04/04,6200027.4,628806.0,189595.5,950510.9,958515.3,84517.1,126654.5,430665.2,89144.6,74105.4,104945.6
2020/04/05,5214803.1,515211.4,167457.9,827218.3,781214.3,84292.1,101857.1,364108.8,97823.4,82418.3,114672.4
2020/04/06,6274668.1,580109.6,111918.9,998758.1,952408.0,90612.5,127838.5,369105.2,106405.0,91028.4,124239.3
2020/04/07,6177447.3,554486.2,104134.0,947385.2,946378.7,92100.4,129081.2,365540.0,115008.7,99734.9,133774.8
2020/04/08,6054707.9,563882.5,103903.2,933562.2,933518.3,91382.9,130877.5,363456.7,123793.5,108483.5,143432.5
2020/04/09,5766589.5,587972.6,111207.1,953136.3,868129.3,83567.3,121783.3,363823.5,132679.0,117457.3,153102.0
2020/04/10,6023666.5,617149.5,118247.1,919287.7,962913.6,83513.4,138884.7,414350.8,141713.4,126488.2,162878.3
2020/04/11,6253471.8,628806.0,189595.5,950510.9,966449.8,90018.4,145396.2,440817.3,150642.3,135449.6,172481.2
2020/04/12,4621162.2,515211.4,167457.9,827218.3,686356.3,81683.4,89136.9,234954.4,159383.5,144247.8,181878.6
2020/04/13,5011637.3,580109.6,111918.9,998758.1,706288.2,70490.5,88396.4,264728.9,167953.6,152854.8,191119.3
2020/04/14,6160568.8,554486.2,104134.0,947385.2,980958.1,93291.0,133846.8,369103.2,176371.5,161303.1,200095.3
2020/04/15,6146595.5,563882.5,103903.2,933562.2,980419.5,91591.5,128799.0,361397.3,184712.9,169288.7,208947.7
2020/04/16,6152186.0,587972.6,111207.1,953136.3,975038.7,95952.8,127102.5,360161.1,192941.6,177175.3,217670.1
2020/04/17,6469977.7,617149.5,118247.1,919287.7,1089051.1,98776.6,136089.0,393052.8,200997.0,185319.5,226178.6
2020/04/18,5884880.5,628806.0,189595.5,950510.9,935306.1,85314.6,116115.1,390733.7,208859.4,191914.8,234516.5
2020/04/19,5672980.3,515211.4,167457.9,827218.3,895694.1,96206.1,103034.3,354022.3,216627.9,198278.0,242691.7
2020/04/20,6446586.1,580109.6,111918.9,998758.1,1021551.6,102313.5,125071.8,357049.8,224269.8,204514.5,250745.0
2020/04/21,6393551.8,554486.2,104134.0,947385.2,1013812.2,104637.2,123008.0,361331.3,231618.3,210404.5,258467.2
2020/04/22,6920697.6,563882.5,103903.2,933562.2,1139712.7,111577.3,141710.4,409836.9,238756.4,216081.8,265957.2
2020/04/23,6954509.3,587972.6,111207.1,953136.3,1146036.9,111196.0,139119.3,406932.3,245825.7,221662.3,273366.2
2020/04/24,6674375.1,617149.5,118247.1,919287.7,1130977.3,107957.9,129925.3,392427.6,252799.3,227161.3,280595.0
2020/04/25,7420894.1,628806.0,189595.5,950510.9,1248024.3,122754.6,138103.6,447394.7,259670.5,232506.3,287699.7
2020/04/26,5173106.1,515211.4,167457.9,827218.3,776479.4,85675.0,91588.2,342631.1,266443.7,237764.1,294670.5
2020/04/27,6829577.5,580109.6,111918.9,998758.1,1059792.3,103293.2,131464.2,378719.3,273080.7,242861.8,301483.0
2020/04/28,7599678.4,554486.2,104134.0,947385.2,1230832.5,127457.7,146579.1,403152.1,279632.4,247910.9,308179.7
2020/04/29,6949365.2,563882.5,103903.2,933562.2,1092685.5,111284.7,133634.7,383163.5,286119.8,252937.1,314813.9
2020/04/30,6624107.2,587972.6,111207.1,953136.3,1025224.0,103174.6,124449.9,357624.1,292526.4,257896.2,321313.3
2020/05/01,7583881.1,617149.5,118247.1,919287.7,1283555.4,122142.3,150213.4,422836.7,298902.4,262800.9,327721.2
2020/05/02,7865191.9,628806.0,189595.5,950510.9,1288887.1,132095.7,135104.5,445289.2,305206.3,267675.7,334079.5
2020/05/03,,,,,,,,,311511.2,272538.8,340416.2
2020/05/04,,,,,,,,,317770.1,277352.0,347110.6
2020/05/05,,,,,,,,,323777.6,281955.4,353450.4
2020/05/06,,,,,,,,,329759.6,286540.2,359973.1
2020/05/07,,,,,,,,,335735.1,291123.3,365965.5
2020/05/08,,,,,,,,,341580.8,295586.3,372552.3
2020/05/09,,,,,,,,,347340.3,299982.1,379105.1
