date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11822026.5,515211.4,167457.9,827218.3,2679322.2,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14083379.2,580109.6,111918.9,998758.1,2747085.4,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13385417.6,554486.2,104134.0,947385.2,2627834.0,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13338747.1,563882.5,103903.2,933562.2,2660499.1,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13233910.6,587972.6,111207.1,953136.3,2632468.6,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13982569.4,617149.5,118247.1,919287.7,2974918.1,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11607924.5,628806.0,189595.5,950510.9,2569624.3,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9597554.9,515211.4,167457.9,827218.3,2015981.9,221744.8,193608.6,673009.1,928.0,194.4,2465.6
2020/03/16,10113611.3,580109.6,111918.9,998758.1,1950894.7,152333.5,236963.2,716584.9,1285.2,302.7,3226.1
2020/03/17,9224802.4,554486.2,104134.0,947385.2,1735678.0,147610.5,221385.8,596312.8,1801.8,480.8,4220.9
2020/03/18,9188533.8,563882.5,103903.2,933562.2,1697618.7,146159.9,219748.3,572007.2,2553.2,780.5,5552.6
2020/03/19,8690669.1,587972.6,111207.1,953136.3,1579539.1,140195.6,230065.8,534859.1,3619.1,1254.3,7304.0
2020/03/20,8099143.2,617149.5,118247.1,919287.7,1433777.0,132949.5,231707.0,518038.5,5091.7,1952.1,9496.1
2020/03/21,6657911.0,628806.0,189595.5,950510.9,1079765.7,113656.6,229402.0,401554.4,7092.7,3011.0,12280.8
2020/03/22,6185323.5,515211.4,167457.9,827218.3,998374.9,116868.6,193608.6,438108.1,9723.2,4551.1,15755.0
2020/03/23,6561792.3,580109.6,111918.9,998758.1,1031217.8,105204.3,236963.2,366077.7,12978.3,6599.0,19845.1
2020/03/24,7214358.4,554486.2,104134.0,947385.2,1197841.6,124361.0,221385.8,422455.4,16809.8,9229.1,24445.2
2020/03/25,7581019.6,563882.5,103903.2,933562.2,1282530.0,135779.8,219748.3,452300.8,21189.2,12427.2,29558.1
2020/03/26,7202439.6,587972.6,111207.1,953136.3,1181649.9,119785.3,230065.8,403950.5,26102.5,16226.8,35168.7
2020/03/27,7324734.1,617149.5,118247.1,919287.7,1233830.1,123602.8,231707.0,434186.8,31594.7,20707.6,41267.2
2020/03/28,6112978.2,628806.0,189595.5,950510.9,955026.7,95596.2,229402.0,433008.6,37592.7,25789.0,47828.5
2020/03/29,5305499.3,515211.4,167457.9,827218.3,810563.0,93198.6,193608.6,388221.0,44016.9,31360.6,54813.0
2020/03/30,6778589.2,580109.6,111918.9,998758.1,1063937.7,112083.6,236963.2,396249.5,50666.4,37302.1,62080.4
2020/03/31,6543852.6,554486.2,104134.0,947385.2,1037366.7,109424.8,221385.8,387061.6,57610.4,43660.0,69763.6
2020/04/01,6847628.7,563882.5,103903.2,933562.2,1091166.3,115268.2,219748.3,399588.1,64886.3,50472.6,77589.3
2020/04/02,6726489.7,587972.6,111207.1,953136.3,1052175.1,110495.0,230065.8,403838.5,72690.4,57963.7,86529.9
2020/04/03,6205858.2,617149.5,118247.1,919287.7,993777.5,83669.5,231707.0,404064.8,80913.8,65751.5,95928.6
2020/04/04,6302774.8,628806.0,189595.5,950510.9,958515.3,84517.1,229402.0,430665.2,89480.4,73641.9,105182.6
2020/04/05,5306554.6,515211.4,167457.9,827218.3,781214.3,84292.1,193608.6,364108.8,98217.3,82390.3,114979.9
2020/04/06,6383792.7,580109.6,111918.9,998758.1,952408.0,90612.5,236963.2,369105.2,106858.1,91257.0,124742.4
2020/04/07,6269751.9,554486.2,104134.0,947385.2,946378.7,92100.4,221385.8,365540.0,115518.7,100135.2,134500.3
2020/04/08,6143578.7,563882.5,103903.2,933562.2,933518.3,91382.9,219748.3,363456.7,124363.9,109152.0,144350.1
2020/04/09,5874872.0,587972.6,111207.1,953136.3,868129.3,83567.3,230065.8,363823.5,133315.3,118489.5,154105.1
2020/04/10,6116488.8,617149.5,118247.1,919287.7,962913.6,83513.4,231707.0,414350.8,142414.0,127718.7,164014.6
2020/04/11,6337477.6,628806.0,189595.5,950510.9,966449.8,90018.4,229402.0,440817.3,151404.6,136681.0,173972.6
2020/04/12,4725633.9,515211.4,167457.9,827218.3,686356.3,81683.4,193608.6,234954.4,160210.9,145332.9,183579.0
2020/04/13,5160204.1,580109.6,111918.9,998758.1,706288.2,70490.5,236963.2,264728.9,168843.9,153861.8,192858.0
2020/04/14,6248107.8,554486.2,104134.0,947385.2,980958.1,93291.0,221385.8,369103.2,177319.3,162322.9,201916.3
2020/04/15,6237544.8,563882.5,103903.2,933562.2,980419.5,91591.5,219748.3,361397.3,185715.8,169937.8,210844.2
2020/04/16,6255149.3,587972.6,111207.1,953136.3,975038.7,95952.8,230065.8,360161.1,193998.4,177633.5,219641.2
2020/04/17,6565595.7,617149.5,118247.1,919287.7,1089051.1,98776.6,231707.0,393052.8,202109.5,185637.9,228229.9
2020/04/18,5998167.4,628806.0,189595.5,950510.9,935306.1,85314.6,229402.0,390733.7,210025.6,192463.7,236541.6
2020/04/19,5763554.6,515211.4,167457.9,827218.3,895694.1,96206.1,193608.6,354022.3,217848.8,198941.8,244719.8
2020/04/20,6558477.5,580109.6,111918.9,998758.1,1021551.6,102313.5,236963.2,357049.8,225545.7,205188.7,252757.8
2020/04/21,6491929.6,554486.2,104134.0,947385.2,1013812.2,104637.2,221385.8,361331.3,232953.1,211176.3,260446.0
2020/04/22,6998735.5,563882.5,103903.2,933562.2,1139712.7,111577.3,219748.3,409836.9,240144.1,216906.5,267898.7
2020/04/23,7045455.8,587972.6,111207.1,953136.3,1146036.9,111196.0,230065.8,406932.3,247262.2,222549.1,275203.9
2020/04/24,6776156.8,617149.5,118247.1,919287.7,1130977.3,107957.9,231707.0,392427.6,254285.3,228078.7,282448.7
2020/04/25,7512192.5,628806.0,189595.5,950510.9,1248024.3,122754.6,229402.0,447394.7,261206.3,233434.1,289510.0
2020/04/26,5275126.5,515211.4,167457.9,827218.3,776479.4,85675.0,193608.6,342631.1,268028.3,238729.0,296480.0
2020/04/27,6935076.4,580109.6,111918.9,998758.1,1059792.3,103293.2,236963.2,378719.3,274707.9,243930.9,303299.0
2020/04/28,7674485.1,554486.2,104134.0,947385.2,1230832.5,127457.7,221385.8,403152.1,281298.5,249124.0,309990.4
2020/04/29,7035478.8,563882.5,103903.2,933562.2,1092685.5,111284.7,219748.3,383163.5,287828.6,254192.2,316607.5
2020/04/30,6729723.1,587972.6,111207.1,953136.3,1025224.0,103174.6,230065.8,357624.1,294273.5,259170.9,323130.3
2020/05/01,7665374.6,617149.5,118247.1,919287.7,1283555.4,122142.3,231707.0,422836.7,300684.1,264108.7,329600.5
2020/05/02,7959489.3,628806.0,189595.5,950510.9,1288887.1,132095.7,229402.0,445289.2,307026.6,269008.9,335988.7
2020/05/03,,,,,,,,,313367.6,274005.7,342318.4
2020/05/04,,,,,,,,,319654.4,278935.4,348725.5
2020/05/05,,,,,,,,,325693.3,283655.6,354936.9
2020/05/06,,,,,,,,,331703.4,288360.2,361667.9
2020/05/07,,,,,,,,,337705.9,293042.5,368422.0
2020/05/08,,,,,,,,,343575.2,297603.3,375112.7
2020/05/09,,,,,,,,,349362.2,302097.4,381392.0
