date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11860065.0,515211.4,167457.9,827218.3,2679322.2,387601.3,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14098811.9,580109.6,111918.9,998758.1,2747085.4,217940.7,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13374042.2,554486.2,104134.0,947385.2,2627834.0,189900.3,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13331895.5,563882.5,103903.2,933562.2,2660499.1,189619.3,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13238238.2,587972.6,111207.1,953136.3,2632468.6,193451.2,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13977811.0,617149.5,118247.1,919287.7,2974918.1,200534.6,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11670729.9,628806.0,189595.5,950510.9,2569624.3,255021.1,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9763411.4,515211.4,167457.9,827218.3,2015981.9,387601.3,193608.6,673009.1,928.3,194.3,2465.3
2020/03/16,10179218.5,580109.6,111918.9,998758.1,1950894.7,217940.7,236963.2,716584.9,1287.1,303.4,3228.5
2020/03/17,9267092.1,554486.2,104134.0,947385.2,1735678.0,189900.3,221385.8,596312.8,1803.6,485.8,4231.6
2020/03/18,9231993.3,563882.5,103903.2,933562.2,1697618.7,189619.3,219748.3,572007.2,2556.0,778.6,5564.5
2020/03/19,8743924.7,587972.6,111207.1,953136.3,1579539.1,193451.2,230065.8,534859.1,3620.7,1254.3,7291.1
2020/03/20,8166728.4,617149.5,118247.1,919287.7,1433777.0,200534.6,231707.0,518038.5,5091.3,1990.4,9505.3
2020/03/21,6799275.5,628806.0,189595.5,950510.9,1079765.7,255021.1,229402.0,401554.4,7097.5,3057.2,12279.7
2020/03/22,6456056.2,515211.4,167457.9,827218.3,998374.9,387601.3,193608.6,438108.1,9740.4,4601.2,15764.3
2020/03/23,6674528.8,580109.6,111918.9,998758.1,1031217.8,217940.7,236963.2,366077.7,13060.2,6776.6,19894.7
2020/03/24,7279897.6,554486.2,104134.0,947385.2,1197841.6,189900.3,221385.8,422455.4,16994.3,9502.0,24630.6
2020/03/25,7634859.2,563882.5,103903.2,933562.2,1282530.0,189619.3,219748.3,452300.8,21489.7,12791.3,29876.0
2020/03/26,7276105.4,587972.6,111207.1,953136.3,1181649.9,193451.2,230065.8,403950.5,26522.5,16649.3,35620.4
2020/03/27,7401665.9,617149.5,118247.1,919287.7,1233830.1,200534.6,231707.0,434186.8,32144.4,21221.8,41803.6
2020/03/28,6272403.1,628806.0,189595.5,950510.9,955026.7,255021.1,229402.0,433008.6,38294.1,26441.4,48466.5
2020/03/29,5599902.0,515211.4,167457.9,827218.3,810563.0,387601.3,193608.6,388221.0,44922.2,32269.9,55541.4
2020/03/30,6884446.3,580109.6,111918.9,998758.1,1063937.7,217940.7,236963.2,396249.5,51970.5,38693.0,63367.9
2020/03/31,6624328.0,554486.2,104134.0,947385.2,1037366.7,189900.3,221385.8,387061.6,59415.4,45672.7,71835.8
2020/04/01,6921979.8,563882.5,103903.2,933562.2,1091166.3,189619.3,219748.3,399588.1,67196.2,53156.1,80133.1
2020/04/02,6809445.8,587972.6,111207.1,953136.3,1052175.1,193451.2,230065.8,403838.5,75483.2,60952.1,89371.4
2020/04/03,6322723.3,617149.5,118247.1,919287.7,993777.5,200534.6,231707.0,404064.8,84195.0,68998.0,99271.8
2020/04/04,6473278.8,628806.0,189595.5,950510.9,958515.3,255021.1,229402.0,430665.2,93254.2,77876.7,109586.7
2020/04/05,5609863.8,515211.4,167457.9,827218.3,781214.3,387601.3,193608.6,364108.8,102547.4,87253.9,120073.6
2020/04/06,6511121.0,580109.6,111918.9,998758.1,952408.0,217940.7,236963.2,369105.2,111988.0,97084.4,130586.3
2020/04/07,6367551.8,554486.2,104134.0,947385.2,946378.7,189900.3,221385.8,365540.0,121556.0,106295.0,141182.2
2020/04/08,6241815.2,563882.5,103903.2,933562.2,933518.3,189619.3,219748.3,363456.7,131258.5,116136.6,151918.0
2020/04/09,5984755.8,587972.6,111207.1,953136.3,868129.3,193451.2,230065.8,363823.5,141019.0,125934.3,162657.0
2020/04/10,6233510.0,617149.5,118247.1,919287.7,962913.6,200534.6,231707.0,414350.8,150895.0,135763.6,173457.6
2020/04/11,6502480.4,628806.0,189595.5,950510.9,966449.8,255021.1,229402.0,440817.3,160656.2,145600.0,184092.4
2020/04/12,5031551.9,515211.4,167457.9,827218.3,686356.3,387601.3,193608.6,234954.4,170288.4,155292.9,194495.9
2020/04/13,5307654.4,580109.6,111918.9,998758.1,706288.2,217940.7,236963.2,264728.9,179981.5,164842.4,204962.5
2020/04/14,6344717.0,554486.2,104134.0,947385.2,980958.1,189900.3,221385.8,369103.2,189607.5,173848.5,215414.9
2020/04/15,6335572.7,563882.5,103903.2,933562.2,980419.5,189619.3,219748.3,361397.3,199088.5,183275.0,225681.8
2020/04/16,6352647.6,587972.6,111207.1,953136.3,975038.7,193451.2,230065.8,360161.1,208382.6,191949.9,235644.5
2020/04/17,6667353.7,617149.5,118247.1,919287.7,1089051.1,200534.6,231707.0,393052.8,217452.1,200582.2,245244.7
2020/04/18,6167873.8,628806.0,189595.5,950510.9,935306.1,255021.1,229402.0,390733.7,226289.1,208047.6,254509.4
2020/04/19,6054949.8,515211.4,167457.9,827218.3,895694.1,387601.3,193608.6,354022.3,235047.3,215538.6,263694.0
2020/04/20,6674104.7,580109.6,111918.9,998758.1,1021551.6,217940.7,236963.2,357049.8,243866.3,222999.9,272896.4
2020/04/21,6577192.6,554486.2,104134.0,947385.2,1013812.2,189900.3,221385.8,361331.3,252441.0,230259.6,281841.4
2020/04/22,7076777.5,563882.5,103903.2,933562.2,1139712.7,189619.3,219748.3,409836.9,260707.4,237249.1,290409.1
2020/04/23,7127710.9,587972.6,111207.1,953136.3,1146036.9,193451.2,230065.8,406932.3,268816.0,243952.9,298775.6
2020/04/24,6868733.5,617149.5,118247.1,919287.7,1130977.3,200534.6,231707.0,392427.6,276761.2,250529.2,307012.9
2020/04/25,7644459.0,628806.0,189595.5,950510.9,1248024.3,255021.1,229402.0,447394.7,284547.3,256886.6,315003.2
2020/04/26,5577052.8,515211.4,167457.9,827218.3,776479.4,387601.3,193608.6,342631.1,292221.3,263110.5,322865.7
2020/04/27,7049724.0,580109.6,111918.9,998758.1,1059792.3,217940.7,236963.2,378719.3,299896.8,269377.2,330686.6
2020/04/28,7736927.7,554486.2,104134.0,947385.2,1230832.5,189900.3,221385.8,403152.1,307510.6,275563.6,338530.0
2020/04/29,7113813.4,563882.5,103903.2,933562.2,1092685.5,189619.3,219748.3,383163.5,314968.3,281610.4,346834.2
2020/04/30,6819999.6,587972.6,111207.1,953136.3,1025224.0,193451.2,230065.8,357624.1,322256.8,287448.4,354918.3
2020/05/01,7743766.9,617149.5,118247.1,919287.7,1283555.4,200534.6,231707.0,422836.7,329445.7,293151.8,362206.3
2020/05/02,8082414.7,628806.0,189595.5,950510.9,1288887.1,255021.1,229402.0,445289.2,336497.0,298715.8,369357.5
2020/05/03,,,,,,,,,343516.8,304231.5,376616.7
2020/05/04,,,,,,,,,350584.9,309857.3,384423.8
2020/05/05,,,,,,,,,357413.5,315283.3,392247.7
2020/05/06,,,,,,,,,364127.8,320723.3,399907.7
2020/05/07,,,,,,,,,370747.3,326024.6,407074.2
2020/05/08,,,,,,,,,377169.2,331135.5,413357.6
2020/05/09,,,,,,,,,383447.2,336091.6,420485.1
