date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11799331.7,492516.6,167457.9,827218.3,2679322.2,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14059209.1,555939.5,111918.9,998758.1,2747085.4,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13362316.6,531385.2,104134.0,947385.2,2627834.0,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13304234.4,529369.8,103903.2,933562.2,2660499.1,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13158556.3,512618.4,111207.1,953136.3,2632468.6,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13943115.5,577695.6,118247.1,919287.7,2974918.1,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11459132.4,480013.9,189595.5,950510.9,2569624.3,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9450993.2,368649.7,167457.9,827218.3,2015981.9,221744.8,193608.6,673009.1,928.0,194.4,2465.4
2020/03/16,9909647.5,376145.9,111918.9,998758.1,1950894.7,152333.5,236963.2,716584.9,1285.3,303.7,3233.6
2020/03/17,8998060.3,327744.1,104134.0,947385.2,1735678.0,147610.5,221385.8,596312.8,1800.2,486.6,4239.6
2020/03/18,8949327.0,324675.7,103903.2,933562.2,1697618.7,146159.9,219748.3,572007.2,2547.4,791.7,5567.7
2020/03/19,8396870.8,294174.3,111207.1,953136.3,1579539.1,140195.6,230065.8,534859.1,3608.4,1267.1,7287.9
2020/03/20,7741304.0,259310.2,118247.1,919287.7,1433777.0,132949.5,231707.0,518038.5,5072.3,1992.7,9522.6
2020/03/21,6214372.0,185267.0,189595.5,950510.9,1079765.7,113656.6,229402.0,401554.4,7059.6,3012.0,12349.2
2020/03/22,5863048.1,192936.0,167457.9,827218.3,998374.9,116868.6,193608.6,438108.1,9665.1,4534.2,15810.4
2020/03/23,6176087.7,194404.9,111918.9,998758.1,1031217.8,105204.3,236963.2,366077.7,12881.5,6645.0,19889.7
2020/03/24,6899862.0,239989.9,104134.0,947385.2,1197841.6,124361.0,221385.8,422455.4,16648.7,9300.9,24479.9
2020/03/25,7270798.3,253661.2,103903.2,933562.2,1282530.0,135779.8,219748.3,452300.8,20930.2,12494.2,29504.3
2020/03/26,6859557.7,245090.7,111207.1,953136.3,1181649.9,119785.3,230065.8,403950.5,25717.7,16213.0,35021.0
2020/03/27,6968201.2,260616.6,118247.1,919287.7,1233830.1,123602.8,231707.0,434186.8,31051.0,20572.2,40932.1
2020/03/28,5690832.8,206660.6,189595.5,950510.9,955026.7,95596.2,229402.0,433008.6,36845.6,25503.2,47275.3
2020/03/29,4956003.3,165715.4,167457.9,827218.3,810563.0,93198.6,193608.6,388221.0,43020.9,30917.6,53914.6
2020/03/30,6409951.4,211471.8,111918.9,998758.1,1063937.7,112083.6,236963.2,396249.5,49390.6,36676.1,60834.4
2020/03/31,6213562.4,224196.1,104134.0,947385.2,1037366.7,109424.8,221385.8,387061.6,56006.9,42713.4,68147.2
2020/04/01,6518835.5,235089.4,103903.2,933562.2,1091166.3,115268.2,219748.3,399588.1,62913.8,49207.8,75604.3
2020/04/02,6368708.1,230191.1,111207.1,953136.3,1052175.1,110495.0,230065.8,403838.5,70319.0,56364.3,83665.9
2020/04/03,5824863.1,236154.4,118247.1,919287.7,993777.5,83669.5,231707.0,404064.8,78121.3,63868.1,92475.4
2020/04/04,5915705.4,241736.6,189595.5,950510.9,958515.3,84517.1,229402.0,430665.2,86225.6,71476.3,101471.5
2020/04/05,4970612.0,179268.8,167457.9,827218.3,781214.3,84292.1,193608.6,364108.8,94476.0,79580.8,110429.5
2020/04/06,6019754.1,216071.0,111918.9,998758.1,952408.0,90612.5,236963.2,369105.2,102606.9,87481.3,119389.4
2020/04/07,5936288.6,221022.9,104134.0,947385.2,946378.7,92100.4,221385.8,365540.0,110745.3,95758.1,128343.9
2020/04/08,5790768.1,211071.9,103903.2,933562.2,933518.3,91382.9,219748.3,363456.7,119048.0,103913.2,137427.7
2020/04/09,5486858.3,199959.0,111207.1,953136.3,868129.3,83567.3,230065.8,363823.5,127455.7,112598.9,146587.9
2020/04/10,5719029.6,219690.3,118247.1,919287.7,962913.6,83513.4,231707.0,414350.8,135999.5,121107.0,155860.5
2020/04/11,5956153.2,247481.6,189595.5,950510.9,966449.8,90018.4,229402.0,440817.3,144428.2,129731.8,165016.7
2020/04/12,4350633.6,140211.0,167457.9,827218.3,686356.3,81683.4,193608.6,234954.4,152661.1,138379.7,174138.1
2020/04/13,4732086.7,151992.2,111918.9,998758.1,706288.2,70490.5,236963.2,264728.9,160707.0,146172.9,183016.8
2020/04/14,5930738.1,237116.5,104134.0,947385.2,980958.1,93291.0,221385.8,369103.2,168596.8,153609.4,191690.4
2020/04/15,5913895.6,240233.3,103903.2,933562.2,980419.5,91591.5,219748.3,361397.3,176416.3,161251.6,200221.4
2020/04/16,5902812.3,235635.7,111207.1,953136.3,975038.7,95952.8,230065.8,360161.1,184134.4,168859.4,208667.7
2020/04/17,6213189.5,264743.2,118247.1,919287.7,1089051.1,98776.6,231707.0,393052.8,191684.9,175309.8,216888.9
2020/04/18,5599226.2,229864.9,189595.5,950510.9,935306.1,85314.6,229402.0,390733.7,199037.2,181346.2,224760.1
2020/04/19,5469185.8,220842.5,167457.9,827218.3,895694.1,96206.1,193608.6,354022.3,206290.5,187197.8,232411.4
2020/04/20,6200904.6,222536.7,111918.9,998758.1,1021551.6,102313.5,236963.2,357049.8,213411.3,192887.2,239850.4
2020/04/21,6159562.4,222119.1,104134.0,947385.2,1013812.2,104637.2,221385.8,361331.3,220250.0,198266.7,247013.8
2020/04/22,6699446.7,264593.8,103903.2,933562.2,1139712.7,111577.3,219748.3,409836.9,226893.4,203455.2,253898.3
2020/04/23,6715790.7,258307.6,111207.1,953136.3,1146036.9,111196.0,230065.8,406932.3,233486.9,208667.1,260710.8
2020/04/24,6430396.7,271389.4,118247.1,919287.7,1130977.3,107957.9,231707.0,392427.6,239993.6,213763.3,267402.3
2020/04/25,7203923.9,320537.4,189595.5,950510.9,1248024.3,122754.6,229402.0,447394.7,246403.6,218727.2,273951.6
2020/04/26,4943437.7,183522.6,167457.9,827218.3,776479.4,85675.0,193608.6,342631.1,252717.8,223614.7,280390.3
2020/04/27,6592515.2,237548.4,111918.9,998758.1,1059792.3,103293.2,236963.2,378719.3,258890.1,228295.8,286647.1
2020/04/28,7411931.8,291932.9,104134.0,947385.2,1230832.5,127457.7,221385.8,403152.1,264990.5,232943.7,292795.0
2020/04/29,6724355.1,252758.8,103903.2,933562.2,1092685.5,111284.7,219748.3,383163.5,271043.4,237536.1,298946.7
2020/04/30,6382983.6,241233.1,111207.1,953136.3,1025224.0,103174.6,230065.8,357624.1,277036.2,242127.9,305019.6
2020/05/01,7355353.5,307128.4,118247.1,919287.7,1283555.4,122142.3,231707.0,422836.7,283010.4,246788.9,311011.2
2020/05/02,7669565.9,338882.6,189595.5,950510.9,1288887.1,132095.7,229402.0,445289.2,288921.5,251407.8,316944.3
2020/05/03,,,,,,,,,294835.1,256026.3,322893.2
2020/05/04,,,,,,,,,300698.2,260595.8,328775.5
2020/05/05,,,,,,,,,306331.4,264919.9,334366.0
2020/05/06,,,,,,,,,311957.9,269233.6,339950.5
2020/05/07,,,,,,,,,317592.7,273540.7,345547.1
2020/05/08,,,,,,,,,323110.5,277731.3,351802.4
2020/05/09,,,,,,,,,328553.8,281884.6,358095.4
