date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11837370.3,492516.6,167457.9,827218.3,2679322.2,387601.3,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14074641.8,555939.5,111918.9,998758.1,2747085.4,217940.7,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13350941.2,531385.2,104134.0,947385.2,2627834.0,189900.3,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13297382.8,529369.8,103903.2,933562.2,2660499.1,189619.3,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13162884.0,512618.4,111207.1,953136.3,2632468.6,193451.2,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13938357.1,577695.6,118247.1,919287.7,2974918.1,200534.6,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11521937.8,480013.9,189595.5,950510.9,2569624.3,255021.1,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9616849.8,368649.7,167457.9,827218.3,2015981.9,387601.3,193608.6,673009.1,928.0,194.3,2465.3
2020/03/16,9975254.7,376145.9,111918.9,998758.1,1950894.7,217940.7,236963.2,716584.9,1285.5,303.4,3230.4
2020/03/17,9040350.0,327744.1,104134.0,947385.2,1735678.0,189900.3,221385.8,596312.8,1801.1,485.5,4235.3
2020/03/18,8992786.5,324675.7,103903.2,933562.2,1697618.7,189619.3,219748.3,572007.2,2548.6,774.7,5565.9
2020/03/19,8450126.4,294174.3,111207.1,953136.3,1579539.1,193451.2,230065.8,534859.1,3610.7,1245.0,7283.0
2020/03/20,7808889.1,259310.2,118247.1,919287.7,1433777.0,200534.6,231707.0,518038.5,5077.3,1972.2,9499.7
2020/03/21,6355736.5,185267.0,189595.5,950510.9,1079765.7,255021.1,229402.0,401554.4,7071.3,3060.3,12314.8
2020/03/22,6133780.8,192936.0,167457.9,827218.3,998374.9,387601.3,193608.6,438108.1,9691.9,4597.4,15783.9
2020/03/23,6288824.1,194404.9,111918.9,998758.1,1031217.8,217940.7,236963.2,366077.7,12977.4,6642.9,19947.6
2020/03/24,6965401.3,239989.9,104134.0,947385.2,1197841.6,189900.3,221385.8,422455.4,16851.5,9299.8,24641.6
2020/03/25,7324637.9,253661.2,103903.2,933562.2,1282530.0,189619.3,219748.3,452300.8,21248.6,12517.5,29802.1
2020/03/26,6933223.5,245090.7,111207.1,953136.3,1181649.9,193451.2,230065.8,403950.5,26159.2,16320.0,35375.2
2020/03/27,7045133.0,260616.6,118247.1,919287.7,1233830.1,200534.6,231707.0,434186.8,31623.4,20715.8,41412.3
2020/03/28,5850257.7,206660.6,189595.5,950510.9,955026.7,255021.1,229402.0,433008.6,37573.5,25683.3,47878.8
2020/03/29,5250406.1,165715.4,167457.9,827218.3,810563.0,387601.3,193608.6,388221.0,43952.5,31213.4,54716.7
2020/03/30,6515808.5,211471.8,111918.9,998758.1,1063937.7,217940.7,236963.2,396249.5,50710.8,37240.8,62077.8
2020/03/31,6294037.9,224196.1,104134.0,947385.2,1037366.7,189900.3,221385.8,387061.6,57818.0,43792.5,69962.2
2020/04/01,6593186.7,235089.4,103903.2,933562.2,1091166.3,189619.3,219748.3,399588.1,65225.0,50838.4,78465.0
2020/04/02,6451664.3,230191.1,111207.1,953136.3,1052175.1,193451.2,230065.8,403838.5,73109.5,58467.6,87180.8
2020/04/03,5941728.2,236154.4,118247.1,919287.7,993777.5,200534.6,231707.0,404064.8,81388.8,66371.6,96209.7
2020/04/04,6086209.4,241736.6,189595.5,950510.9,958515.3,255021.1,229402.0,430665.2,89979.8,74379.7,105932.5
2020/04/05,5273921.3,179268.8,167457.9,827218.3,781214.3,387601.3,193608.6,364108.8,98771.1,82551.1,115807.9
2020/04/06,6147082.4,216071.0,111918.9,998758.1,952408.0,217940.7,236963.2,369105.2,107681.2,91322.4,125788.8
2020/04/07,6034088.5,221022.9,104134.0,947385.2,946378.7,189900.3,221385.8,365540.0,116703.8,100724.4,135795.9
2020/04/08,5889004.6,211071.9,103903.2,933562.2,933518.3,189619.3,219748.3,363456.7,125843.0,110028.3,145865.7
2020/04/09,5596742.1,199959.0,111207.1,953136.3,868129.3,193451.2,230065.8,363823.5,135034.6,119146.1,156049.7
2020/04/10,5836050.8,219690.3,118247.1,919287.7,962913.6,200534.6,231707.0,414350.8,144332.9,128671.0,166233.7
2020/04/11,6121156.0,247481.6,189595.5,950510.9,966449.8,255021.1,229402.0,440817.3,153511.3,138694.7,176266.4
2020/04/12,4656551.5,140211.0,167457.9,827218.3,686356.3,387601.3,193608.6,234954.4,162539.4,148278.7,186080.1
2020/04/13,4879537.0,151992.2,111918.9,998758.1,706288.2,217940.7,236963.2,264728.9,171615.5,156796.7,195940.5
2020/04/14,6027347.3,237116.5,104134.0,947385.2,980958.1,189900.3,221385.8,369103.2,180625.6,165174.3,205714.2
2020/04/15,6011923.5,240233.3,103903.2,933562.2,980419.5,189619.3,219748.3,361397.3,189500.0,173831.5,215241.0
2020/04/16,6000310.7,235635.7,111207.1,953136.3,975038.7,193451.2,230065.8,360161.1,198193.8,181749.9,224609.8
2020/04/17,6314947.5,264743.2,118247.1,919287.7,1089051.1,200534.6,231707.0,393052.8,206669.0,189700.5,233645.7
2020/04/18,5768932.7,229864.9,189595.5,950510.9,935306.1,255021.1,229402.0,390733.7,214918.8,196904.6,242412.5
2020/04/19,5760581.0,220842.5,167457.9,827218.3,895694.1,387601.3,193608.6,354022.3,223088.5,203743.0,251092.5
2020/04/20,6316531.8,222536.7,111918.9,998758.1,1021551.6,217940.7,236963.2,357049.8,231304.2,210562.5,259780.6
2020/04/21,6244825.5,222119.1,104134.0,947385.2,1013812.2,189900.3,221385.8,361331.3,239287.8,217068.0,268218.0
2020/04/22,6777488.8,264593.8,103903.2,933562.2,1139712.7,189619.3,219748.3,409836.9,246988.2,223290.1,276255.3
2020/04/23,6798045.9,258307.6,111207.1,953136.3,1146036.9,193451.2,230065.8,406932.3,254553.9,229355.1,284127.3
2020/04/24,6522973.4,271389.4,118247.1,919287.7,1130977.3,200534.6,231707.0,392427.6,261963.7,235241.3,291806.4
2020/04/25,7336190.4,320537.4,189595.5,950510.9,1248024.3,255021.1,229402.0,447394.7,269227.9,241148.1,299302.4
2020/04/26,5245364.0,183522.6,167457.9,827218.3,776479.4,387601.3,193608.6,342631.1,276388.3,246934.2,306691.4
2020/04/27,6707162.8,237548.4,111918.9,998758.1,1059792.3,217940.7,236963.2,378719.3,283547.5,252718.5,313986.1
2020/04/28,7474374.4,291932.9,104134.0,947385.2,1230832.5,189900.3,221385.8,403152.1,290660.6,258470.1,321244.9
2020/04/29,6802689.7,252758.8,103903.2,933562.2,1092685.5,189619.3,219748.3,383163.5,297640.3,264106.2,328278.1
2020/04/30,6473260.1,241233.1,111207.1,953136.3,1025224.0,193451.2,230065.8,357624.1,304476.5,269607.6,335170.5
2020/05/01,7433745.8,307128.4,118247.1,919287.7,1283555.4,200534.6,231707.0,422836.7,311227.1,274998.4,341996.4
2020/05/02,7792491.3,338882.6,189595.5,950510.9,1288887.1,255021.1,229402.0,445289.2,317856.0,280312.3,348567.2
2020/05/03,,,,,,,,,324460.7,285606.1,355130.3
2020/05/04,,,,,,,,,331116.0,290893.5,361736.8
2020/05/05,,,,,,,,,337553.6,295957.5,368305.5
2020/05/06,,,,,,,,,343899.8,300949.9,374995.1
2020/05/07,,,,,,,,,350176.5,305908.0,381432.9
2020/05/08,,,,,,,,,356269.6,310703.2,387948.4
2020/05/09,,,,,,,,,362228.3,315382.3,394798.2
