date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11828072.6,492516.6,167457.9,827218.3,2679322.2,387601.3,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14063115.4,555939.5,111918.9,998758.1,2747085.4,217940.7,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13353958.7,531385.2,104134.0,947385.2,2627834.0,189900.3,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13302707.3,529369.8,103903.2,933562.2,2660499.1,189619.3,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13186871.3,512618.4,111207.1,953136.3,2632468.6,193451.2,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,13990335.8,577695.6,118247.1,919287.7,2974918.1,200534.6,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11520872.4,480013.9,189595.5,950510.9,2569624.3,255021.1,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9614329.9,368649.7,167457.9,827218.3,2015981.9,387601.3,191088.7,673009.1,928.0,194.3,2464.2
2020/03/16,9972199.3,376145.9,111918.9,998758.1,1950894.7,217940.7,233907.7,716584.9,1286.0,302.2,3234.7
2020/03/17,9022939.7,327744.1,104134.0,947385.2,1735678.0,189900.3,203975.5,596312.8,1802.1,486.4,4233.8
2020/03/18,8976933.7,324675.7,103903.2,933562.2,1697618.7,189619.3,203895.6,572007.2,2549.7,783.6,5568.1
2020/03/19,8405580.2,294174.3,111207.1,953136.3,1579539.1,193451.2,185519.6,534859.1,3611.8,1249.0,7295.1
2020/03/20,7734000.9,259310.2,118247.1,919287.7,1433777.0,200534.6,156818.8,518038.5,5077.7,1971.1,9533.9
2020/03/21,6236654.3,185267.0,189595.5,950510.9,1079765.7,255021.1,110319.8,401554.4,7072.3,3001.0,12328.1
2020/03/22,6062595.4,192936.0,167457.9,827218.3,998374.9,387601.3,122423.2,438108.1,9691.7,4497.7,15787.8
2020/03/23,6175846.6,194404.9,111918.9,998758.1,1031217.8,217940.7,123985.7,366077.7,12977.0,6532.6,19914.5
2020/03/24,6893030.8,239989.9,104134.0,947385.2,1197841.6,189900.3,149015.4,422455.4,16849.5,9119.4,24573.9
2020/03/25,7259969.8,253661.2,103903.2,933562.2,1282530.0,189619.3,155080.3,452300.8,21242.6,12220.6,29700.5
2020/03/26,6846718.5,245090.7,111207.1,953136.3,1181649.9,193451.2,143560.8,403950.5,26147.7,15876.5,35293.4
2020/03/27,6955995.7,260616.6,118247.1,919287.7,1233830.1,200534.6,142569.7,434186.8,31601.9,20220.1,41373.3
2020/03/28,5736479.5,206660.6,189595.5,950510.9,955026.7,255021.1,115623.8,433008.6,37536.3,25182.6,47871.5
2020/03/29,5153417.5,165715.4,167457.9,827218.3,810563.0,387601.3,96620.0,388221.0,43894.1,30748.2,54674.1
2020/03/30,6412484.3,211471.8,111918.9,998758.1,1063937.7,217940.7,133639.0,396249.5,50623.6,36769.7,61976.7
2020/03/31,6207621.1,224196.1,104134.0,947385.2,1037366.7,189900.3,134969.0,387061.6,57706.0,43299.4,69691.5
2020/04/01,6515683.2,235089.4,103903.2,933562.2,1091166.3,189619.3,142244.8,399588.1,65075.5,50275.7,78066.4
2020/04/02,6358913.2,230191.1,111207.1,953136.3,1052175.1,193451.2,137314.7,403838.5,72923.2,57668.5,86409.1
2020/04/03,5847248.5,236154.4,118247.1,919287.7,993777.5,200534.6,137227.2,404064.8,81161.9,65714.3,95633.2
2020/04/04,5983462.0,241736.6,189595.5,950510.9,958515.3,255021.1,126654.5,430665.2,89708.7,73893.9,104551.2
2020/04/05,5182169.7,179268.8,167457.9,827218.3,781214.3,387601.3,101857.1,364108.8,98452.6,82758.8,114420.1
2020/04/06,6037957.8,216071.0,111918.9,998758.1,952408.0,217940.7,127838.5,369105.2,107309.9,91619.8,124410.3
2020/04/07,5941783.8,221022.9,104134.0,947385.2,946378.7,189900.3,129081.2,365540.0,116275.8,100789.3,134512.5
2020/04/08,5800133.8,211071.9,103903.2,933562.2,933518.3,189619.3,130877.5,363456.7,125361.6,110016.7,144781.0
2020/04/09,5488459.7,199959.0,111207.1,953136.3,868129.3,193451.2,121783.3,363823.5,134496.6,119187.5,155044.9
2020/04/10,5743228.5,219690.3,118247.1,919287.7,962913.6,200534.6,138884.7,414350.8,143737.5,128587.6,165386.7
2020/04/11,6037150.2,247481.6,189595.5,950510.9,966449.8,255021.1,145396.2,440817.3,152854.5,137667.2,175565.8
2020/04/12,4552079.9,140211.0,167457.9,827218.3,686356.3,387601.3,89136.9,234954.4,161825.2,146877.8,185506.5
2020/04/13,4730970.2,151992.2,111918.9,998758.1,706288.2,217940.7,88396.4,264728.9,170842.5,155617.6,195437.4
2020/04/14,5939808.3,237116.5,104134.0,947385.2,980958.1,189900.3,133846.8,369103.2,179791.0,164436.8,205111.1
2020/04/15,5920974.2,240233.3,103903.2,933562.2,980419.5,189619.3,128799.0,361397.3,188601.7,172932.1,214592.8
2020/04/16,5897347.4,235635.7,111207.1,953136.3,975038.7,193451.2,127102.5,360161.1,197238.6,180809.5,223806.8
2020/04/17,6219329.4,264743.2,118247.1,919287.7,1089051.1,200534.6,136089.0,393052.8,205658.4,188229.3,232683.8
2020/04/18,5655645.8,229864.9,189595.5,950510.9,935306.1,255021.1,116115.1,390733.7,213849.5,195336.3,241298.2
2020/04/19,5670006.7,220842.5,167457.9,827218.3,895694.1,387601.3,103034.3,354022.3,221960.4,202229.2,249817.9
2020/04/20,6204640.4,222536.7,111918.9,998758.1,1021551.6,217940.7,125071.8,357049.8,230126.9,209083.6,258317.4
2020/04/21,6146447.7,222119.1,104134.0,947385.2,1013812.2,189900.3,123008.0,361331.3,238060.4,215707.3,266544.4
2020/04/22,6699450.9,264593.8,103903.2,933562.2,1139712.7,189619.3,141710.4,409836.9,245708.6,222017.4,274450.4
2020/04/23,6707099.4,258307.6,111207.1,953136.3,1146036.9,193451.2,139119.3,406932.3,253219.0,228172.5,282166.4
2020/04/24,6421191.6,271389.4,118247.1,919287.7,1130977.3,200534.6,129925.3,392427.6,260585.0,234085.1,289711.2
2020/04/25,7244892.0,320537.4,189595.5,950510.9,1248024.3,255021.1,138103.6,447394.7,267800.8,239834.4,297077.9
2020/04/26,5143343.6,183522.6,167457.9,827218.3,776479.4,387601.3,91588.2,342631.1,274913.2,245556.6,304331.1
2020/04/27,6601663.9,237548.4,111918.9,998758.1,1059792.3,217940.7,131464.2,378719.3,282031.9,251306.6,311629.8
2020/04/28,7399567.7,291932.9,104134.0,947385.2,1230832.5,189900.3,146579.1,403152.1,289107.1,257036.6,318857.2
2020/04/29,6716576.1,252758.8,103903.2,933562.2,1092685.5,189619.3,133634.7,383163.5,296048.7,262525.0,325928.3
2020/04/30,6367644.3,241233.1,111207.1,953136.3,1025224.0,193451.2,124449.9,357624.1,302841.3,267822.3,332807.8
2020/05/01,7352252.3,307128.4,118247.1,919287.7,1283555.4,200534.6,150213.4,422836.7,309554.0,273069.8,339564.5
2020/05/02,7698193.8,338882.6,189595.5,950510.9,1288887.1,255021.1,135104.5,445289.2,316146.1,278198.4,346158.4
2020/05/03,,,,,,,,,322716.9,283348.9,352949.2
2020/05/04,,,,,,,,,329343.6,288515.3,359577.9
2020/05/05,,,,,,,,,335747.6,293513.6,366967.7
2020/05/06,,,,,,,,,342060.4,298469.1,374064.7
2020/05/07,,,,,,,,,348305.6,303335.5,381031.6
2020/05/08,,,,,,,,,354371.5,308009.8,387648.2
2020/05/09,,,,,,,,,360302.7,312608.5,393439.2
