date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11866133.6,492516.6,167457.9,734949.2,2847691.0,349562.8,184310.9,641465.6,4.0,0.3,12.8
2020/03/09,14063611.7,555939.5,111918.9,911454.0,2850318.5,202508.0,225436.8,579777.5,93.9,12.7,277.9
2020/03/10,13342393.5,531385.2,104134.0,883517.4,2668761.2,201275.7,224403.4,560045.8,180.1,25.1,526.1
2020/03/11,13281301.5,529369.8,103903.2,866823.7,2698980.2,196471.0,225072.8,566864.6,273.7,40.4,788.3
2020/03/12,13254771.9,512618.4,111207.1,804322.1,2853511.0,189123.5,254053.0,727562.8,383.6,59.6,1082.0
2020/03/13,13970365.0,577695.6,118247.1,795409.3,3074067.4,205293.0,283685.7,879249.3,523.4,87.7,1439.1
2020/03/14,11884955.6,480013.9,189595.5,643616.7,3303407.2,192215.6,228336.6,723440.5,712.9,128.9,1887.6
2020/03/15,9928884.5,368649.7,167457.9,475920.5,2847691.0,221744.8,191088.7,673009.1,976.0,192.4,2470.4
2020/03/16,10325301.3,376145.9,111918.9,518043.6,2850318.5,152333.5,233907.7,716584.9,1350.2,300.8,3235.9
2020/03/17,9355786.1,327744.1,104134.0,389438.2,2668761.2,147610.5,203975.5,596312.8,1895.9,480.9,4250.9
2020/03/18,9388466.4,324675.7,103903.2,387192.8,2698980.2,146159.9,203895.6,572007.2,2688.6,771.7,5601.3
2020/03/19,9022349.1,294174.3,111207.1,349188.8,2853511.0,140195.6,185519.6,534859.1,3804.4,1236.9,7364.7
2020/03/20,8701674.5,259310.2,118247.1,314256.1,3074067.4,132949.5,156818.8,518038.5,5349.8,1952.6,9628.1
2020/03/21,7578142.7,185267.0,189595.5,209722.3,3303407.2,113656.6,110319.8,401554.4,7469.6,3026.2,12523.6
2020/03/22,7005636.0,192936.0,167457.9,191675.5,2847691.0,116868.6,122423.2,438108.1,10287.2,4610.0,16152.1
2020/03/23,7104093.4,194404.9,111918.9,220640.7,2850318.5,105204.3,123985.7,366077.7,13874.7,6799.1,20521.6
2020/03/24,7611150.3,239989.9,104134.0,260124.4,2668761.2,124361.0,149015.4,422455.4,18210.8,9682.9,25611.4
2020/03/25,7962466.4,253661.2,103903.2,273448.1,2698980.2,135779.8,155080.3,452300.8,23260.6,13290.7,31323.5
2020/03/26,7747290.3,245090.7,111207.1,255512.8,2853511.0,119785.3,143560.8,403950.5,28987.6,17627.8,37572.2
2020/03/27,8055854.0,260616.6,118247.1,255840.4,3074067.4,123602.8,142569.7,434186.8,35487.3,22865.4,44459.8
2020/03/28,7150588.1,206660.6,189595.5,175664.0,3303407.2,95596.2,115623.8,433008.6,42756.4,29048.7,51967.6
2020/03/29,6216869.5,165715.4,167457.9,147945.2,2847691.0,93198.6,96620.0,388221.0,50833.8,36227.8,60215.0
2020/03/30,7323630.9,211471.8,111918.9,229381.0,2850318.5,112083.6,133639.0,396249.5,59631.7,44390.1,69535.9
2020/03/31,7034990.0,224196.1,104134.0,223835.0,2668761.2,109424.8,134969.0,387061.6,69027.5,53346.9,79979.9
2020/04/01,7353563.8,235089.4,103903.2,237980.1,2698980.2,115268.2,142244.8,399588.1,78857.3,62977.9,91013.3
2020/04/02,7353808.3,230191.1,111207.1,229651.6,2853511.0,110495.0,137314.7,403838.5,89238.4,73408.0,102524.3
2020/04/03,7094437.2,236154.4,118247.1,203051.7,3074067.4,83669.5,137227.2,404064.8,100141.4,84634.6,114501.9
2020/04/04,7403744.7,241736.6,189595.5,196405.8,3303407.2,84517.1,126654.5,430665.2,111521.2,96343.5,126904.0
2020/04/05,6276924.1,179268.8,167457.9,158805.2,2847691.0,84292.1,101857.1,364108.8,123352.3,108364.1,139935.7
2020/04/06,7024836.4,216071.0,111918.9,215054.5,2850318.5,90612.5,127838.5,369105.2,135473.6,120819.7,153320.3
2020/04/07,6833212.8,221022.9,104134.0,214231.6,2668761.2,92100.4,129081.2,365540.0,147719.0,133829.1,166783.1
2020/04/08,6741886.4,211071.9,103903.2,208089.4,2698980.2,91382.9,130877.5,363456.7,159999.3,146614.0,180104.0
2020/04/09,6602047.9,199959.0,111207.1,191226.7,2853511.0,83567.3,121783.3,363823.5,172234.5,158434.3,193270.3
2020/04/10,7018991.0,219690.3,118247.1,200917.6,3074067.4,83513.4,138884.7,414350.8,184537.7,169956.1,206421.1
2020/04/11,7454387.6,247481.6,189595.5,195793.7,3303407.2,90018.4,145396.2,440817.3,196749.2,181451.8,219449.1
2020/04/12,5707969.3,140211.0,167457.9,127691.0,2847691.0,81683.4,89136.9,234954.4,208941.8,193069.9,232408.6
2020/04/13,5879981.5,151992.2,111918.9,151189.4,2850318.5,70490.5,88396.4,264728.9,221199.4,204350.7,245433.7
2020/04/14,6795478.4,237116.5,104134.0,211861.4,2668761.2,93291.0,133846.8,369103.2,233267.7,215487.0,258249.0
2020/04/15,6819595.9,240233.3,103903.2,211651.1,2698980.2,91591.5,128799.0,361397.3,245005.0,226215.5,270643.4
2020/04/16,6929632.9,235635.7,111207.1,204447.9,2853511.0,95952.8,127102.5,360161.1,256385.9,236640.3,282683.8
2020/04/17,7404105.7,264743.2,118247.1,220805.6,3074067.4,98776.6,136089.0,393052.8,267428.0,246772.8,294330.9
2020/04/18,7083512.9,229864.9,189595.5,179983.3,3303407.2,85314.6,116115.1,390733.7,278188.2,256657.8,305575.1
2020/04/19,6678779.8,220842.5,167457.9,175389.7,2847691.0,96206.1,103034.3,354022.3,288915.7,266487.3,316786.4
2020/04/20,7140271.1,222536.7,111918.9,221249.2,2850318.5,102313.5,125071.8,357049.8,299646.0,276289.0,327970.2
2020/04/21,6992713.3,222119.1,104134.0,223964.9,2668761.2,104637.2,123008.0,361331.3,309977.3,285742.1,338835.4
2020/04/22,7495792.5,264593.8,103903.2,248678.4,2698980.2,111577.3,141710.4,409836.9,319801.3,294720.6,349167.1
2020/04/23,7626039.8,258307.6,111207.1,246857.8,2853511.0,111196.0,139119.3,406932.3,329277.6,303332.4,359102.3
2020/04/24,7583458.4,271389.4,118247.1,231041.1,3074067.4,107957.9,129925.3,392427.6,338448.0,311660.9,368994.7
2020/04/25,8463931.7,320537.4,189595.5,246434.2,3303407.2,122754.6,138103.6,447394.7,347396.3,319786.3,378800.2
2020/04/26,6235694.4,183522.6,167457.9,150283.8,2847691.0,85675.0,91588.2,342631.1,356261.2,328181.3,388315.8
2020/04/27,7518220.8,237548.4,111918.9,239436.4,2850318.5,103293.2,131464.2,378719.3,365062.7,336223.3,397804.0
2020/04/28,8109930.8,291932.9,104134.0,282262.2,2668761.2,127457.7,146579.1,403152.1,373652.3,343985.2,407235.2
2020/04/29,7563347.8,252758.8,103903.2,252373.8,2698980.2,111284.7,133634.7,383163.5,381889.4,351044.5,415882.6
2020/04/30,7381856.7,241233.1,111207.1,229338.2,2853511.0,103174.6,124449.9,357624.1,389824.5,357830.0,424650.8
2020/05/01,8421836.8,307128.4,118247.1,276752.5,3074067.4,122142.3,150213.4,422836.7,397535.9,364384.3,433245.3
2020/05/02,8899585.0,338882.6,189595.5,260307.4,3303407.2,132095.7,135104.5,445289.2,405057.0,370740.1,441323.6
2020/05/03,,,,,,,,,412567.9,377144.0,449579.2
2020/05/04,,,,,,,,,420072.4,383522.7,458350.6
2020/05/05,,,,,,,,,427240.9,389605.2,466692.7
2020/05/06,,,,,,,,,434148.2,395426.0,474733.9
2020/05/07,,,,,,,,,440860.1,401081.9,482531.7
2020/05/08,,,,,,,,,447305.0,406537.5,490001.5
