date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11904038.7,492516.6,167457.9,734949.2,2847691.0,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14079110.3,555939.5,111918.9,911454.0,2850318.5,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13303970.8,531385.2,104134.0,883517.4,2668761.2,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13243311.8,529369.8,103903.2,866823.7,2698980.2,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13075288.0,512618.4,111207.1,804322.1,2853511.0,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13657253.3,577695.6,118247.1,795409.3,3074067.4,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11808731.2,480013.9,189595.5,643616.7,3303407.2,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9935246.1,368649.7,167457.9,475920.5,2847691.0,221744.8,191088.7,679370.7,928.2,194.2,2466.3
2020/03/16,10203992.5,376145.9,111918.9,518043.6,2850318.5,152333.5,233907.7,595276.1,1288.1,302.4,3231.9
2020/03/17,9281096.4,327744.1,104134.0,389438.2,2668761.2,147610.5,203975.5,521623.1,1814.3,496.4,4245.6
2020/03/18,9345334.1,324675.7,103903.2,387192.8,2698980.2,146159.9,203895.6,528874.9,2579.5,809.7,5591.8
2020/03/19,9035568.9,294174.3,111207.1,349188.8,2853511.0,140195.6,185519.6,548079.0,3658.6,1291.7,7332.8
2020/03/20,8749773.6,259310.2,118247.1,314256.1,3074067.4,132949.5,156818.8,566137.6,5157.4,2049.4,9571.5
2020/03/21,7823804.4,185267.0,189595.5,209722.3,3303407.2,113656.6,110319.8,647216.1,7211.7,3138.0,12453.8
2020/03/22,7246898.6,192936.0,167457.9,191675.5,2847691.0,116868.6,122423.2,679370.7,9944.6,4753.5,16051.6
2020/03/23,7333291.8,194404.9,111918.9,220640.7,2850318.5,105204.3,123985.7,595276.1,13440.7,6987.9,20403.5
2020/03/24,7710318.1,239989.9,104134.0,260124.4,2668761.2,124361.0,149015.4,521623.1,17687.9,9928.4,25436.6
2020/03/25,8039040.5,253661.2,103903.2,273448.1,2698980.2,135779.8,155080.3,528874.9,22645.7,13623.0,31119.6
2020/03/26,7891418.8,245090.7,111207.1,255512.8,2853511.0,119785.3,143560.8,548079.0,28283.3,18088.0,37427.5
2020/03/27,8187804.8,260616.6,118247.1,255840.4,3074067.4,123602.8,142569.7,566137.6,34698.4,23458.7,44382.5
2020/03/28,7364795.6,206660.6,189595.5,175664.0,3303407.2,95596.2,115623.8,647216.1,41892.4,29798.9,51968.5
2020/03/29,6508019.2,165715.4,167457.9,147945.2,2847691.0,93198.6,96620.0,679370.7,49928.1,37174.8,60479.0
2020/03/30,7522657.4,211471.8,111918.9,229381.0,2850318.5,112083.6,133639.0,595276.1,58755.4,45574.6,69532.8
2020/03/31,7169551.5,224196.1,104134.0,223835.0,2668761.2,109424.8,134969.0,521623.1,68237.2,54770.1,80446.4
2020/04/01,7482850.6,235089.4,103903.2,237980.1,2698980.2,115268.2,142244.8,528874.9,78186.7,64105.2,91759.9
2020/04/02,7498048.8,230191.1,111207.1,229651.6,2853511.0,110495.0,137314.7,548079.0,88681.2,73985.9,103537.2
2020/04/03,7256510.0,236154.4,118247.1,203051.7,3074067.4,83669.5,137227.2,566137.6,99707.1,84712.7,115824.3
2020/04/04,7620295.6,241736.6,189595.5,196405.8,3303407.2,84517.1,126654.5,647216.1,111236.6,96044.1,128715.6
2020/04/05,6592186.0,179268.8,167457.9,158805.2,2847691.0,84292.1,101857.1,679370.7,123251.2,107658.5,141877.9
2020/04/06,7251007.2,216071.0,111918.9,215054.5,2850318.5,90612.5,127838.5,595276.1,135628.7,120104.1,155228.7
2020/04/07,6989295.9,221022.9,104134.0,214231.6,2668761.2,92100.4,129081.2,521623.1,148179.9,132767.7,168778.3
2020/04/08,6907304.6,211071.9,103903.2,208089.4,2698980.2,91382.9,130877.5,528874.9,160769.8,145168.5,182258.2
2020/04/09,6786303.4,199959.0,111207.1,191226.7,2853511.0,83567.3,121783.3,548079.0,173312.4,157655.3,195633.9
2020/04/10,7170777.8,219690.3,118247.1,200917.6,3074067.4,83513.4,138884.7,566137.6,185917.2,170319.1,209037.9
2020/04/11,7660786.4,247481.6,189595.5,195793.7,3303407.2,90018.4,145396.2,647216.1,198436.7,182767.0,222298.9
2020/04/12,6152385.6,140211.0,167457.9,127691.0,2847691.0,81683.4,89136.9,679370.7,210957.6,195048.7,235537.4
2020/04/13,6210528.6,151992.2,111918.9,151189.4,2850318.5,70490.5,88396.4,595276.1,223587.2,206994.1,248897.2
2020/04/14,6947998.3,237116.5,104134.0,211861.4,2668761.2,93291.0,133846.8,521623.1,236061.6,219016.8,261997.6
2020/04/15,6987073.5,240233.3,103903.2,211651.1,2698980.2,91591.5,128799.0,528874.9,248206.4,230688.5,274717.3
2020/04/16,7117550.9,235635.7,111207.1,204447.9,2853511.0,95952.8,127102.5,548079.0,259984.0,241333.9,286911.6
2020/04/17,7577190.4,264743.2,118247.1,220805.6,3074067.4,98776.6,136089.0,566137.6,271411.0,251722.5,298679.4
2020/04/18,7339995.2,229864.9,189595.5,179983.3,3303407.2,85314.6,116115.1,647216.1,282553.0,261929.5,310268.5
2020/04/19,7004128.1,220842.5,167457.9,175389.7,2847691.0,96206.1,103034.3,679370.7,293656.3,272128.2,321803.2
2020/04/20,7378497.4,222536.7,111918.9,221249.2,2850318.5,102313.5,125071.8,595276.1,304786.1,282336.1,333284.3
2020/04/21,7153005.1,222119.1,104134.0,223964.9,2668761.2,104637.2,123008.0,521623.1,315549.3,292250.9,344326.4
2020/04/22,7614830.5,264593.8,103903.2,248678.4,2698980.2,111577.3,141710.4,528874.9,325787.6,301511.8,355100.3
2020/04/23,7767186.5,258307.6,111207.1,246857.8,2853511.0,111196.0,139119.3,548079.0,335664.2,310414.6,365446.9
2020/04/24,7757168.4,271389.4,118247.1,231041.1,3074067.4,107957.9,129925.3,566137.6,345218.5,318947.9,375221.1
2020/04/25,8663753.1,320537.4,189595.5,246434.2,3303407.2,122754.6,138103.6,647216.1,354533.4,327531.1,385457.8
2020/04/26,6572433.9,183522.6,167457.9,150283.8,2847691.0,85675.0,91588.2,679370.7,363762.3,335975.3,395747.5
2020/04/27,7734777.5,237548.4,111918.9,239436.4,2850318.5,103293.2,131464.2,595276.1,372943.1,344114.7,405389.6
2020/04/28,8228401.8,291932.9,104134.0,282262.2,2668761.2,127457.7,146579.1,521623.1,381917.6,352395.0,415602.4
2020/04/29,7709059.2,252758.8,103903.2,252373.8,2698980.2,111284.7,133634.7,528874.9,390523.6,359869.9,424921.5
2020/04/30,7572311.6,241233.1,111207.1,229338.2,2853511.0,103174.6,124449.9,548079.0,398806.0,366896.2,434019.3
2020/05/01,8565137.6,307128.4,118247.1,276752.5,3074067.4,122142.3,150213.4,566137.6,406854.6,373629.4,442945.2
2020/05/02,9101511.9,338882.6,189595.5,260307.4,3303407.2,132095.7,135104.5,647216.1,414696.7,380207.1,450879.3
2020/05/03,,,,,,,,,422522.5,386756.1,459726.0
2020/05/04,,,,,,,,,430353.0,393233.1,468629.0
2020/05/05,,,,,,,,,437855.1,399417.0,477113.4
2020/05/06,,,,,,,,,445085.0,405373.6,485293.5
2020/05/07,,,,,,,,,452099.5,411080.0,493218.9
2020/05/08,,,,,,,,,458827.4,416546.6,500795.5
