date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11913336.5,492516.6,167457.9,734949.2,2847691.0,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14090636.7,555939.5,111918.9,911454.0,2850318.5,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13300953.2,531385.2,104134.0,883517.4,2668761.2,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13237987.3,529369.8,103903.2,866823.7,2698980.2,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13051300.8,512618.4,111207.1,804322.1,2853511.0,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13605274.6,577695.6,118247.1,795409.3,3074067.4,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11809796.6,480013.9,189595.5,643616.7,3303407.2,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9937766.0,368649.7,167457.9,475920.5,2847691.0,221744.8,193608.6,679370.7,928.2,194.2,2466.3
2020/03/16,10207048.0,376145.9,111918.9,518043.6,2850318.5,152333.5,236963.2,595276.1,1288.3,303.0,3235.5
2020/03/17,9298506.7,327744.1,104134.0,389438.2,2668761.2,147610.5,221385.8,521623.1,1814.9,497.4,4254.2
2020/03/18,9361186.9,324675.7,103903.2,387192.8,2698980.2,146159.9,219748.3,528874.9,2580.7,812.4,5596.3
2020/03/19,9080115.1,294174.3,111207.1,349188.8,2853511.0,140195.6,230065.8,548079.0,3661.3,1323.7,7336.9
2020/03/20,8824661.8,259310.2,118247.1,314256.1,3074067.4,132949.5,231707.0,566137.6,5158.7,2083.4,9574.0
2020/03/21,7942886.6,185267.0,189595.5,209722.3,3303407.2,113656.6,229402.0,647216.1,7213.9,3209.9,12418.5
2020/03/22,7318084.0,192936.0,167457.9,191675.5,2847691.0,116868.6,193608.6,679370.7,9946.1,4861.1,16024.1
2020/03/23,7446269.2,194404.9,111918.9,220640.7,2850318.5,105204.3,236963.2,595276.1,13445.5,7134.7,20387.0
2020/03/24,7782688.5,239989.9,104134.0,260124.4,2668761.2,124361.0,221385.8,521623.1,17691.3,10169.5,25455.7
2020/03/25,8103708.5,253661.2,103903.2,273448.1,2698980.2,135779.8,219748.3,528874.9,22648.8,13941.7,31139.6
2020/03/26,7977923.8,245090.7,111207.1,255512.8,2853511.0,119785.3,230065.8,548079.0,28293.1,18503.0,37411.1
2020/03/27,8276942.1,260616.6,118247.1,255840.4,3074067.4,123602.8,231707.0,566137.6,34712.4,23964.2,44293.5
2020/03/28,7478573.7,206660.6,189595.5,175664.0,3303407.2,95596.2,229402.0,647216.1,41919.5,30401.0,51917.6
2020/03/29,6605007.8,165715.4,167457.9,147945.2,2847691.0,93198.6,193608.6,679370.7,49971.8,37843.9,60518.2
2020/03/30,7625981.6,211471.8,111918.9,229381.0,2850318.5,112083.6,236963.2,595276.1,58823.0,45732.2,69986.1
2020/03/31,7255968.3,224196.1,104134.0,223835.0,2668761.2,109424.8,221385.8,521623.1,68334.1,54000.2,80733.6
2020/04/01,7560354.2,235089.4,103903.2,237980.1,2698980.2,115268.2,219748.3,528874.9,78318.2,63528.3,92258.7
2020/04/02,7590799.8,230191.1,111207.1,229651.6,2853511.0,110495.0,230065.8,548079.0,88854.4,73815.7,104215.8
2020/04/03,7350989.8,236154.4,118247.1,203051.7,3074067.4,83669.5,231707.0,566137.6,99924.8,84819.2,116521.9
2020/04/04,7723043.0,241736.6,189595.5,196405.8,3303407.2,84517.1,229402.0,647216.1,111498.9,95798.0,129366.6
2020/04/05,6683937.5,179268.8,167457.9,158805.2,2847691.0,84292.1,193608.6,679370.7,123564.9,107861.9,142630.8
2020/04/06,7360131.9,216071.0,111918.9,215054.5,2850318.5,90612.5,236963.2,595276.1,135994.0,120725.7,156172.4
2020/04/07,7081600.6,221022.9,104134.0,214231.6,2668761.2,92100.4,221385.8,521623.1,148600.4,133041.4,169814.6
2020/04/08,6996175.4,211071.9,103903.2,208089.4,2698980.2,91382.9,219748.3,528874.9,161246.8,145445.4,183427.5
2020/04/09,6894585.9,199959.0,111207.1,191226.7,2853511.0,83567.3,230065.8,548079.0,173847.1,157838.9,196993.4
2020/04/10,7263600.1,219690.3,118247.1,200917.6,3074067.4,83513.4,231707.0,566137.6,186504.9,170455.1,210510.7
2020/04/11,7744792.2,247481.6,189595.5,195793.7,3303407.2,90018.4,229402.0,647216.1,199080.5,183094.7,223926.2
2020/04/12,6256857.2,140211.0,167457.9,127691.0,2847691.0,81683.4,193608.6,679370.7,211651.3,195243.5,237379.7
2020/04/13,6359095.4,151992.2,111918.9,151189.4,2850318.5,70490.5,236963.2,595276.1,224336.4,206848.9,250914.2
2020/04/14,7035537.3,237116.5,104134.0,211861.4,2668761.2,93291.0,221385.8,521623.1,236853.5,218473.0,264166.7
2020/04/15,7078022.8,240233.3,103903.2,211651.1,2698980.2,91591.5,219748.3,528874.9,249044.2,230559.4,276984.3
2020/04/16,7220514.2,235635.7,111207.1,204447.9,2853511.0,95952.8,230065.8,548079.0,260867.6,242233.5,289393.5
2020/04/17,7672808.4,264743.2,118247.1,220805.6,3074067.4,98776.6,231707.0,566137.6,272339.4,252780.4,301341.8
2020/04/18,7453282.1,229864.9,189595.5,179983.3,3303407.2,85314.6,229402.0,647216.1,283522.5,263129.4,312928.0
2020/04/19,7094702.5,220842.5,167457.9,175389.7,2847691.0,96206.1,193608.6,679370.7,294657.6,273399.7,324432.0
2020/04/20,7490388.8,222536.7,111918.9,221249.2,2850318.5,102313.5,236963.2,595276.1,305827.8,283687.9,335967.7
2020/04/21,7251382.9,222119.1,104134.0,223964.9,2668761.2,104637.2,221385.8,521623.1,316626.8,293607.2,347030.7
2020/04/22,7692868.4,264593.8,103903.2,248678.4,2698980.2,111577.3,219748.3,528874.9,326896.0,302673.5,357468.2
2020/04/23,7858133.0,258307.6,111207.1,246857.8,2853511.0,111196.0,230065.8,548079.0,336802.3,311450.0,367644.5
2020/04/24,7858950.1,271389.4,118247.1,231041.1,3074067.4,107957.9,231707.0,566137.6,346390.2,320024.7,377670.7
2020/04/25,8755051.5,320537.4,189595.5,246434.2,3303407.2,122754.6,229402.0,647216.1,355736.0,328383.4,387173.2
2020/04/26,6674454.4,183522.6,167457.9,150283.8,2847691.0,85675.0,193608.6,679370.7,364992.6,337084.4,396592.8
2020/04/27,7840276.5,237548.4,111918.9,239436.4,2850318.5,103293.2,236963.2,595276.1,374201.6,345340.5,406932.7
2020/04/28,8303208.5,291932.9,104134.0,282262.2,2668761.2,127457.7,221385.8,521623.1,383203.1,353198.0,416806.6
2020/04/29,7795172.8,252758.8,103903.2,252373.8,2698980.2,111284.7,219748.3,528874.9,391841.1,360656.0,425696.2
2020/04/30,7677927.5,241233.1,111207.1,229338.2,2853511.0,103174.6,230065.8,548079.0,400149.3,367584.5,434836.0
2020/05/01,8646631.1,307128.4,118247.1,276752.5,3074067.4,122142.3,231707.0,566137.6,408218.8,374239.6,443912.2
2020/05/02,9195809.3,338882.6,189595.5,260307.4,3303407.2,132095.7,229402.0,647216.1,416083.9,380768.4,452530.2
2020/05/03,,,,,,,,,423930.1,387261.8,461080.9
2020/05/04,,,,,,,,,431784.0,393836.8,470132.3
2020/05/05,,,,,,,,,439305.9,400103.3,478767.9
2020/05/06,,,,,,,,,446554.0,406127.0,486923.7
2020/05/07,,,,,,,,,453584.2,411937.7,494759.4
2020/05/08,,,,,,,,,460326.6,417502.3,502193.8
