date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11951375.0,492516.6,167457.9,734949.2,2847691.0,387601.3,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14106069.4,555939.5,111918.9,911454.0,2850318.5,217940.7,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13289577.8,531385.2,104134.0,883517.4,2668761.2,189900.3,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13231135.7,529369.8,103903.2,866823.7,2698980.2,189619.3,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13055628.4,512618.4,111207.1,804322.1,2853511.0,193451.2,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13600516.2,577695.6,118247.1,795409.3,3074067.4,200534.6,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11872602.0,480013.9,189595.5,643616.7,3303407.2,255021.1,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,10103622.6,368649.7,167457.9,475920.5,2847691.0,387601.3,193608.6,679370.7,928.1,194.5,2465.9
2020/03/16,10272655.2,376145.9,111918.9,518043.6,2850318.5,217940.7,236963.2,595276.1,1289.4,303.2,3227.6
2020/03/17,9340796.4,327744.1,104134.0,389438.2,2668761.2,189900.3,221385.8,521623.1,1817.4,495.6,4239.7
2020/03/18,9404646.3,324675.7,103903.2,387192.8,2698980.2,189619.3,219748.3,528874.9,2584.3,812.4,5603.6
2020/03/19,9133370.7,294174.3,111207.1,349188.8,2853511.0,193451.2,230065.8,548079.0,3665.1,1297.5,7348.1
2020/03/20,8892246.9,259310.2,118247.1,314256.1,3074067.4,200534.6,231707.0,566137.6,5164.5,2034.6,9607.9
2020/03/21,8084251.0,185267.0,189595.5,209722.3,3303407.2,255021.1,229402.0,647216.1,7225.3,3120.4,12466.5
2020/03/22,7588816.7,192936.0,167457.9,191675.5,2847691.0,387601.3,193608.6,679370.7,9973.2,4755.5,16078.1
2020/03/23,7559005.7,194404.9,111918.9,220640.7,2850318.5,217940.7,236963.2,595276.1,13541.7,7035.0,20479.6
2020/03/24,7848227.8,239989.9,104134.0,260124.4,2668761.2,189900.3,221385.8,521623.1,17897.1,10089.3,25592.5
2020/03/25,8157548.1,253661.2,103903.2,273448.1,2698980.2,189619.3,219748.3,528874.9,22977.0,13913.5,31326.3
2020/03/26,8051589.7,245090.7,111207.1,255512.8,2853511.0,193451.2,230065.8,548079.0,28744.3,18514.1,37742.3
2020/03/27,8353873.9,260616.6,118247.1,255840.4,3074067.4,200534.6,231707.0,566137.6,35299.1,24096.1,44830.7
2020/03/28,7637998.7,206660.6,189595.5,175664.0,3303407.2,255021.1,229402.0,647216.1,42663.0,30620.2,52615.5
2020/03/29,6899410.6,165715.4,167457.9,147945.2,2847691.0,387601.3,193608.6,679370.7,50932.0,38278.4,61421.8
2020/03/30,7731838.7,211471.8,111918.9,229381.0,2850318.5,217940.7,236963.2,595276.1,60198.3,47109.4,71637.8
2020/03/31,7336443.7,224196.1,104134.0,223835.0,2668761.2,189900.3,221385.8,521623.1,70246.7,56668.4,82950.3
2020/04/01,7634705.3,235089.4,103903.2,237980.1,2698980.2,189619.3,219748.3,528874.9,80760.1,66345.4,94920.4
2020/04/02,7673756.0,230191.1,111207.1,229651.6,2853511.0,193451.2,230065.8,548079.0,91799.0,76758.6,107290.0
2020/04/03,7467854.9,236154.4,118247.1,203051.7,3074067.4,200534.6,231707.0,566137.6,103359.3,88003.9,120132.9
2020/04/04,7893547.0,241736.6,189595.5,196405.8,3303407.2,255021.1,229402.0,647216.1,115437.0,99838.5,133546.9
2020/04/05,6987246.7,179268.8,167457.9,158805.2,2847691.0,387601.3,193608.6,679370.7,128065.5,113107.4,147560.8
2020/04/06,7487460.1,216071.0,111918.9,215054.5,2850318.5,217940.7,236963.2,595276.1,141314.3,126930.5,161955.4
2020/04/07,7179400.4,221022.9,104134.0,214231.6,2668761.2,189900.3,221385.8,521623.1,154849.2,140103.0,176568.7
2020/04/08,7094411.9,211071.9,103903.2,208089.4,2698980.2,189619.3,219748.3,528874.9,168361.3,153340.4,191131.9
2020/04/09,7004469.7,199959.0,111207.1,191226.7,2853511.0,193451.2,230065.8,548079.0,181755.5,166619.8,205461.2
2020/04/10,7380621.3,219690.3,118247.1,200917.6,3074067.4,200534.6,231707.0,566137.6,195166.1,179437.6,219747.6
2020/04/11,7909794.9,247481.6,189595.5,195793.7,3303407.2,255021.1,229402.0,647216.1,208480.6,191386.6,233920.0
2020/04/12,6562775.2,140211.0,167457.9,127691.0,2847691.0,387601.3,193608.6,679370.7,221836.5,204022.8,248060.0
2020/04/13,6506545.7,151992.2,111918.9,151189.4,2850318.5,217940.7,236963.2,595276.1,235545.9,217857.4,262520.6
2020/04/14,7132146.5,237116.5,104134.0,211861.4,2668761.2,189900.3,221385.8,521623.1,249177.8,230701.0,276909.6
2020/04/15,7176050.7,240233.3,103903.2,211651.1,2698980.2,189619.3,219748.3,528874.9,262376.3,243186.0,290809.1
2020/04/16,7318012.5,235635.7,111207.1,204447.9,2853511.0,193451.2,230065.8,548079.0,275117.3,254955.1,304190.9
2020/04/17,7774566.4,264743.2,118247.1,220805.6,3074067.4,200534.6,231707.0,566137.6,287440.2,266251.2,317028.8
2020/04/18,7622988.5,229864.9,189595.5,179983.3,3303407.2,255021.1,229402.0,647216.1,299422.8,277265.7,329466.8
2020/04/19,7386097.6,220842.5,167457.9,175389.7,2847691.0,387601.3,193608.6,679370.7,311374.5,288197.7,341806.2
2020/04/20,7606016.0,222536.7,111918.9,221249.2,2850318.5,217940.7,236963.2,595276.1,323542.8,299307.3,354426.3
2020/04/21,7336645.9,222119.1,104134.0,223964.9,2668761.2,189900.3,221385.8,521623.1,335379.1,310175.1,366943.5
2020/04/22,7770910.5,264593.8,103903.2,248678.4,2698980.2,189619.3,219748.3,528874.9,346580.6,320505.1,378643.1
2020/04/23,7940388.1,258307.6,111207.1,246857.8,2853511.0,193451.2,230065.8,548079.0,357323.6,330467.3,390121.5
2020/04/24,7951526.8,271389.4,118247.1,231041.1,3074067.4,200534.6,231707.0,566137.6,367659.6,340073.6,401114.0
2020/04/25,8887318.0,320537.4,189595.5,246434.2,3303407.2,255021.1,229402.0,647216.1,377693.0,349228.9,411968.9
2020/04/26,6976380.7,183522.6,167457.9,150283.8,2847691.0,387601.3,193608.6,679370.7,387618.5,358310.9,422440.8
2020/04/27,7954924.0,237548.4,111918.9,239436.4,2850318.5,217940.7,236963.2,595276.1,397637.9,367584.0,433631.0
2020/04/28,8365651.0,291932.9,104134.0,282262.2,2668761.2,189900.3,221385.8,521623.1,407466.2,376577.7,444412.9
2020/04/29,7873507.4,252758.8,103903.2,252373.8,2698980.2,189619.3,219748.3,528874.9,416824.2,385264.3,453830.3
2020/04/30,7768204.0,241233.1,111207.1,229338.2,2853511.0,193451.2,230065.8,548079.0,425759.4,393538.2,463743.4
2020/05/01,8725023.4,307128.4,118247.1,276752.5,3074067.4,200534.6,231707.0,566137.6,434390.5,401026.5,473521.8
2020/05/02,9318734.7,338882.6,189595.5,260307.4,3303407.2,255021.1,229402.0,647216.1,442749.4,408069.8,482948.6
2020/05/03,,,,,,,,,451056.9,415063.9,492287.5
2020/05/04,,,,,,,,,459456.6,422225.9,501787.4
2020/05/05,,,,,,,,,467535.6,429010.0,510868.2
2020/05/06,,,,,,,,,475256.1,435512.7,519525.7
2020/05/07,,,,,,,,,482676.0,441724.2,527788.4
2020/05/08,,,,,,,,,489751.6,447655.5,535610.9
