date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11942077.3,492516.6,167457.9,734949.2,2847691.0,387601.3,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14094543.0,555939.5,111918.9,911454.0,2850318.5,217940.7,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13292595.3,531385.2,104134.0,883517.4,2668761.2,189900.3,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13236460.2,529369.8,103903.2,866823.7,2698980.2,189619.3,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13079615.7,512618.4,111207.1,804322.1,2853511.0,193451.2,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13652494.9,577695.6,118247.1,795409.3,3074067.4,200534.6,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11871536.6,480013.9,189595.5,643616.7,3303407.2,255021.1,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,10101102.6,368649.7,167457.9,475920.5,2847691.0,387601.3,191088.7,679370.7,928.1,194.5,2465.9
2020/03/16,10269599.7,376145.9,111918.9,518043.6,2850318.5,217940.7,233907.7,595276.1,1288.6,304.0,3236.9
2020/03/17,9323386.2,327744.1,104134.0,389438.2,2668761.2,189900.3,203975.5,521623.1,1816.9,492.8,4255.8
2020/03/18,9388793.6,324675.7,103903.2,387192.8,2698980.2,189619.3,203895.6,528874.9,2584.0,796.6,5612.4
2020/03/19,9088824.5,294174.3,111207.1,349188.8,2853511.0,193451.2,185519.6,548079.0,3665.1,1293.0,7375.5
2020/03/20,8817358.7,259310.2,118247.1,314256.1,3074067.4,200534.6,156818.8,566137.6,5166.1,2015.5,9632.2
2020/03/21,7965168.8,185267.0,189595.5,209722.3,3303407.2,255021.1,110319.8,647216.1,7226.8,3104.8,12541.6
2020/03/22,7517631.3,192936.0,167457.9,191675.5,2847691.0,387601.3,122423.2,679370.7,9973.1,4728.7,16179.2
2020/03/23,7446028.2,194404.9,111918.9,220640.7,2850318.5,217940.7,123985.7,595276.1,13540.7,7011.8,20640.9
2020/03/24,7775857.3,239989.9,104134.0,260124.4,2668761.2,189900.3,149015.4,521623.1,17893.2,9982.7,25804.7
2020/03/25,8092880.0,253661.2,103903.2,273448.1,2698980.2,189619.3,155080.3,528874.9,22968.8,13677.8,31609.5
2020/03/26,7965084.7,245090.7,111207.1,255512.8,2853511.0,193451.2,143560.8,548079.0,28730.1,18111.9,37983.0
2020/03/27,8264736.6,260616.6,118247.1,255840.4,3074067.4,200534.6,142569.7,566137.6,35276.8,23534.6,44996.1
2020/03/28,7524220.5,206660.6,189595.5,175664.0,3303407.2,255021.1,115623.8,647216.1,42623.4,30044.5,52676.8
2020/03/29,6802422.0,165715.4,167457.9,147945.2,2847691.0,387601.3,96620.0,679370.7,50868.4,37740.3,61826.4
2020/03/30,7628514.5,211471.8,111918.9,229381.0,2850318.5,217940.7,133639.0,595276.1,60106.2,46490.6,71689.7
2020/03/31,7250026.9,224196.1,104134.0,223835.0,2668761.2,189900.3,134969.0,521623.1,70117.9,55605.0,83005.0
2020/04/01,7557201.8,235089.4,103903.2,237980.1,2698980.2,189619.3,142244.8,528874.9,80592.3,66046.9,94990.8
2020/04/02,7581004.9,230191.1,111207.1,229651.6,2853511.0,193451.2,137314.7,548079.0,91587.9,76802.0,107438.8
2020/04/03,7373375.2,236154.4,118247.1,203051.7,3074067.4,200534.6,137227.2,566137.6,103105.0,88480.4,120292.5
2020/04/04,7790799.6,241736.6,189595.5,196405.8,3303407.2,255021.1,126654.5,647216.1,115131.6,100592.7,133591.8
2020/04/05,6895495.2,179268.8,167457.9,158805.2,2847691.0,387601.3,101857.1,679370.7,127705.6,112839.7,147355.3
2020/04/06,7378335.5,216071.0,111918.9,215054.5,2850318.5,217940.7,127838.5,595276.1,140907.1,125646.7,161786.2
2020/04/07,7087095.8,221022.9,104134.0,214231.6,2668761.2,189900.3,129081.2,521623.1,154386.3,138826.8,176632.9
2020/04/08,7005541.1,211071.9,103903.2,208089.4,2698980.2,189619.3,130877.5,528874.9,167843.8,152128.9,191196.6
2020/04/09,6896187.3,199959.0,111207.1,191226.7,2853511.0,193451.2,121783.3,548079.0,181185.4,165499.0,205557.6
2020/04/10,7287799.0,219690.3,118247.1,200917.6,3074067.4,200534.6,138884.7,566137.6,194539.7,178991.7,219840.5
2020/04/11,7825789.1,247481.6,189595.5,195793.7,3303407.2,255021.1,145396.2,647216.1,207793.2,191320.1,233943.2
2020/04/12,6458303.5,140211.0,167457.9,127691.0,2847691.0,387601.3,89136.9,679370.7,221092.8,204047.2,248072.2
2020/04/13,6357978.9,151992.2,111918.9,151189.4,2850318.5,217940.7,88396.4,595276.1,234747.2,216584.8,262523.6
2020/04/14,7044607.5,237116.5,104134.0,211861.4,2668761.2,189900.3,133846.8,521623.1,248326.5,229659.4,276849.4
2020/04/15,7085101.4,240233.3,103903.2,211651.1,2698980.2,189619.3,128799.0,528874.9,261482.3,242760.3,290641.9
2020/04/16,7215049.2,235635.7,111207.1,204447.9,2853511.0,193451.2,127102.5,548079.0,274173.9,254313.4,303914.1
2020/04/17,7678948.4,264743.2,118247.1,220805.6,3074067.4,200534.6,136089.0,566137.6,286451.6,265493.5,316833.4
2020/04/18,7509701.7,229864.9,189595.5,179983.3,3303407.2,255021.1,116115.1,647216.1,298387.5,276373.3,329302.8
2020/04/19,7295523.3,220842.5,167457.9,175389.7,2847691.0,387601.3,103034.3,679370.7,310298.3,287271.4,341777.6
2020/04/20,7494124.6,222536.7,111918.9,221249.2,2850318.5,217940.7,125071.8,595276.1,322426.1,298319.5,354392.7
2020/04/21,7238268.1,222119.1,104134.0,223964.9,2668761.2,189900.3,123008.0,521623.1,334218.0,309071.1,366792.1
2020/04/22,7692872.6,264593.8,103903.2,248678.4,2698980.2,189619.3,141710.4,528874.9,345388.5,319353.6,378343.9
2020/04/23,7849441.6,258307.6,111207.1,246857.8,2853511.0,193451.2,139119.3,548079.0,356089.7,329273.5,389463.9
2020/04/24,7849745.1,271389.4,118247.1,231041.1,3074067.4,200534.6,129925.3,566137.6,366390.4,338833.8,400913.1
2020/04/25,8796019.6,320537.4,189595.5,246434.2,3303407.2,255021.1,138103.6,647216.1,376387.7,348052.9,411185.3
2020/04/26,6874360.3,183522.6,167457.9,150283.8,2847691.0,387601.3,91588.2,679370.7,386285.1,356578.0,421241.1
2020/04/27,7849425.1,237548.4,111918.9,239436.4,2850318.5,217940.7,131464.2,595276.1,396276.2,365774.4,431875.3
2020/04/28,8290844.4,291932.9,104134.0,282262.2,2668761.2,189900.3,146579.1,521623.1,406071.2,374984.0,443039.1
2020/04/29,7787393.8,252758.8,103903.2,252373.8,2698980.2,189619.3,133634.7,528874.9,415403.0,383509.8,453438.3
2020/04/30,7662588.2,241233.1,111207.1,229338.2,2853511.0,193451.2,124449.9,548079.0,424315.3,391074.2,462682.4
2020/05/01,8643529.9,307128.4,118247.1,276752.5,3074067.4,200534.6,150213.4,566137.6,432921.6,398485.1,472284.2
2020/05/02,9224437.2,338882.6,189595.5,260307.4,3303407.2,255021.1,135104.5,647216.1,441254.4,405524.9,481589.8
2020/05/03,,,,,,,,,449539.4,412532.6,490831.6
2020/05/04,,,,,,,,,457921.8,419692.4,500248.4
2020/05/05,,,,,,,,,465979.8,426527.6,509241.6
2020/05/06,,,,,,,,,473679.2,432965.4,517777.1
2020/05/07,,,,,,,,,481083.1,439182.8,525985.6
2020/05/08,,,,,,,,,488140.7,445076.2,533738.8
