date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11898126.0,515211.4,167457.9,734949.2,2847691.0,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14099308.2,580109.6,111918.9,911454.0,2850318.5,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13362477.0,554486.2,104134.0,883517.4,2668761.2,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13310489.7,563882.5,103903.2,866823.7,2698980.2,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13306138.8,587972.6,111207.1,804322.1,2853511.0,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13957840.2,617149.5,118247.1,795409.3,3074067.4,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,12034813.1,628806.0,189595.5,643616.7,3303407.2,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10077966.1,515211.4,167457.9,475920.5,2847691.0,221744.8,193608.6,673009.1,928.3,194.5,2467.7
2020/03/16,10532320.5,580109.6,111918.9,518043.6,2850318.5,152333.5,236963.2,716584.9,1287.2,305.4,3230.8
2020/03/17,9599938.5,554486.2,104134.0,389438.2,2668761.2,147610.5,221385.8,596312.8,1813.5,489.2,4243.8
2020/03/18,9643525.9,563882.5,103903.2,387192.8,2698980.2,146159.9,219748.3,572007.2,2579.7,810.4,5602.4
2020/03/19,9360693.6,587972.6,111207.1,349188.8,2853511.0,140195.6,230065.8,534859.1,3661.2,1310.5,7344.1
2020/03/20,9134401.9,617149.5,118247.1,314256.1,3074067.4,132949.5,231707.0,518038.5,5162.9,2035.6,9600.8
2020/03/21,8140763.9,628806.0,189595.5,209722.3,3303407.2,113656.6,229402.0,401554.4,7234.7,3117.4,12465.4
2020/03/22,7399096.8,515211.4,167457.9,191675.5,2847691.0,116868.6,193608.6,438108.1,10001.0,4721.0,16081.3
2020/03/23,7602775.6,580109.6,111918.9,220640.7,2850318.5,105204.3,236963.2,366077.7,13537.5,6980.0,20500.9
2020/03/24,7998017.1,554486.2,104134.0,260124.4,2668761.2,124361.0,221385.8,422455.4,17840.3,9962.9,25641.9
2020/03/25,8337355.8,563882.5,103903.2,273448.1,2698980.2,135779.8,219748.3,452300.8,22885.5,13703.5,31420.4
2020/03/26,8176677.2,587972.6,111207.1,255512.8,2853511.0,119785.3,230065.8,403950.5,28634.6,18223.8,37755.0
2020/03/27,8501524.2,617149.5,118247.1,255840.4,3074067.4,123602.8,231707.0,434186.8,35190.1,23706.4,44773.7
2020/03/28,7686511.7,628806.0,189595.5,175664.0,3303407.2,95596.2,229402.0,433008.6,42554.9,30231.8,52447.4
2020/03/29,6663354.1,515211.4,167457.9,147945.2,2847691.0,93198.6,193608.6,388221.0,50791.4,37832.5,61221.9
2020/03/30,7795592.9,580109.6,111918.9,229381.0,2850318.5,112083.6,236963.2,396249.5,59804.0,46454.5,71292.5
2020/03/31,7451696.9,554486.2,104134.0,223835.0,2668761.2,109424.8,221385.8,387061.6,69469.5,55780.2,81933.1
2020/04/01,7759860.5,563882.5,103903.2,237980.1,2698980.2,115268.2,219748.3,399588.1,79623.8,65125.7,93447.9
2020/04/02,7804340.9,587972.6,111207.1,229651.6,2853511.0,110495.0,230065.8,403838.5,90358.6,75392.9,105517.1
2020/04/03,7569912.1,617149.5,118247.1,203051.7,3074067.4,83669.5,231707.0,404064.8,101656.3,86875.4,118264.4
2020/04/04,7893561.6,628806.0,189595.5,196405.8,3303407.2,84517.1,229402.0,430665.2,113483.0,98160.6,131464.2
2020/04/05,6704618.2,515211.4,167457.9,158805.2,2847691.0,84292.1,193608.6,364108.8,125812.6,110393.8,145093.8
2020/04/06,7497999.6,580109.6,111918.9,215054.5,2850318.5,90612.5,236963.2,369105.2,138474.0,123311.5,159012.7
2020/04/07,7258980.8,554486.2,104134.0,214231.6,2668761.2,92100.4,221385.8,365540.0,151288.9,135753.4,172989.6
2020/04/08,7183567.8,563882.5,103903.2,208089.4,2698980.2,91382.9,219748.3,363456.7,164157.2,148283.9,186875.8
2020/04/09,7098344.0,587972.6,111207.1,191226.7,2853511.0,83567.3,230065.8,363823.5,176997.2,160951.6,200713.8
2020/04/10,7509272.5,617149.5,118247.1,200917.6,3074067.4,83513.4,231707.0,414350.8,189918.1,173686.4,214533.4
2020/04/11,7919717.8,628806.0,189595.5,195793.7,3303407.2,90018.4,229402.0,440817.3,202765.5,186383.3,228158.6
2020/04/12,6187441.3,515211.4,167457.9,127691.0,2847691.0,81683.4,193608.6,234954.4,215621.0,198724.1,241771.9
2020/04/13,6456665.6,580109.6,111918.9,151189.4,2850318.5,70490.5,236963.2,264728.9,228567.0,210841.0,255419.3
2020/04/14,7200387.1,554486.2,104134.0,211861.4,2668761.2,93291.0,221385.8,369103.2,241322.4,223493.0,268768.4
2020/04/15,7234194.4,563882.5,103903.2,211651.1,2698980.2,91591.5,219748.3,361397.3,253742.4,235522.5,281807.3
2020/04/16,7384933.2,587972.6,111207.1,204447.9,2853511.0,95952.8,230065.8,360161.1,265807.5,246526.6,294465.6
2020/04/17,7852129.9,617149.5,118247.1,220805.6,3074067.4,98776.6,231707.0,393052.8,277532.9,257039.6,306695.6
2020/04/18,7595740.9,628806.0,189595.5,179983.3,3303407.2,85314.6,229402.0,390733.7,288978.4,267280.9,318621.5
2020/04/19,7063722.9,515211.4,167457.9,175389.7,2847691.0,96206.1,193608.6,354022.3,300402.7,277490.3,330533.0
2020/04/20,7609735.4,580109.6,111918.9,221249.2,2850318.5,102313.5,236963.2,357049.8,311839.4,287828.9,342391.1
2020/04/21,7423458.3,554486.2,104134.0,223964.9,2668761.2,104637.2,221385.8,361331.3,322871.5,297941.1,353775.2
2020/04/22,7873119.1,563882.5,103903.2,248678.4,2698980.2,111577.3,219748.3,409836.9,333373.1,307599.1,364540.9
2020/04/23,8046651.3,587972.6,111207.1,246857.8,2853511.0,111196.0,230065.8,406932.3,343511.1,317005.0,374883.6
2020/04/24,8031000.3,617149.5,118247.1,231041.1,3074067.4,107957.9,231707.0,392427.6,353326.6,326113.4,385065.7
2020/04/25,8863498.8,628806.0,189595.5,246434.2,3303407.2,122754.6,229402.0,447394.7,362904.1,334825.0,395531.8
2020/04/26,6669403.6,515211.4,167457.9,150283.8,2847691.0,85675.0,193608.6,342631.1,372400.6,343010.4,406057.2
2020/04/27,7966280.9,580109.6,111918.9,239436.4,2850318.5,103293.2,236963.2,378719.3,381837.6,351434.7,416360.3
2020/04/28,8447290.8,554486.2,104134.0,282262.2,2668761.2,127457.7,221385.8,403152.1,391042.9,360064.5,426523.1
2020/04/29,7960585.1,563882.5,103903.2,252373.8,2698980.2,111284.7,219748.3,383163.5,399875.8,367786.9,436480.6
2020/04/30,7834212.0,587972.6,111207.1,229338.2,2853511.0,103174.6,230065.8,357624.1,408380.8,374862.9,445816.1
2020/05/01,8813351.4,617149.5,118247.1,276752.5,3074067.4,122142.3,231707.0,422836.7,416643.7,381709.8,454963.7
2020/05/02,9283805.8,628806.0,189595.5,260307.4,3303407.2,132095.7,229402.0,445289.2,424704.0,388396.5,463829.4
2020/05/03,,,,,,,,,432745.1,395079.9,472784.3
2020/05/04,,,,,,,,,440777.9,401778.7,481835.4
2020/05/05,,,,,,,,,448456.0,408130.9,490436.4
2020/05/06,,,,,,,,,455852.2,414212.1,498704.4
2020/05/07,,,,,,,,,463025.9,420144.9,506705.9
2020/05/08,,,,,,,,,469913.2,425784.8,514339.6
