date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11875431.3,492516.6,167457.9,734949.2,2847691.0,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14075138.1,555939.5,111918.9,911454.0,2850318.5,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13339375.9,531385.2,104134.0,883517.4,2668761.2,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13275977.0,529369.8,103903.2,866823.7,2698980.2,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13230784.6,512618.4,111207.1,804322.1,2853511.0,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13918386.3,577695.6,118247.1,795409.3,3074067.4,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11886021.0,480013.9,189595.5,643616.7,3303407.2,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9931404.4,368649.7,167457.9,475920.5,2847691.0,221744.8,193608.6,673009.1,928.3,193.6,2467.0
2020/03/16,10328356.7,376145.9,111918.9,518043.6,2850318.5,152333.5,236963.2,716584.9,1287.4,305.0,3239.6
2020/03/17,9373196.4,327744.1,104134.0,389438.2,2668761.2,147610.5,221385.8,596312.8,1812.7,492.7,4251.1
2020/03/18,9404319.1,324675.7,103903.2,387192.8,2698980.2,146159.9,219748.3,572007.2,2576.2,800.2,5589.1
2020/03/19,9066895.3,294174.3,111207.1,349188.8,2853511.0,140195.6,230065.8,534859.1,3655.7,1287.1,7331.1
2020/03/20,8776562.7,259310.2,118247.1,314256.1,3074067.4,132949.5,231707.0,518038.5,5152.9,2022.7,9607.0
2020/03/21,7697224.9,185267.0,189595.5,209722.3,3303407.2,113656.6,229402.0,401554.4,7213.3,3108.8,12495.4
2020/03/22,7076821.4,192936.0,167457.9,191675.5,2847691.0,116868.6,193608.6,438108.1,9953.0,4697.3,16069.8
2020/03/23,7217070.9,194404.9,111918.9,220640.7,2850318.5,105204.3,236963.2,366077.7,13450.8,6895.9,20407.9
2020/03/24,7683520.8,239989.9,104134.0,260124.4,2668761.2,124361.0,221385.8,422455.4,17688.9,9809.5,25467.1
2020/03/25,8027134.4,253661.2,103903.2,273448.1,2698980.2,135779.8,219748.3,452300.8,22627.6,13453.1,31120.6
2020/03/26,7833795.3,245090.7,111207.1,255512.8,2853511.0,119785.3,230065.8,403950.5,28245.8,17805.4,37331.2
2020/03/27,8144991.3,260616.6,118247.1,255840.4,3074067.4,123602.8,231707.0,434186.8,34630.6,23092.8,44269.4
2020/03/28,7264366.3,206660.6,189595.5,175664.0,3303407.2,95596.2,229402.0,433008.6,41787.6,29343.0,51829.2
2020/03/29,6313858.1,165715.4,167457.9,147945.2,2847691.0,93198.6,193608.6,388221.0,49759.2,36642.8,60340.0
2020/03/30,7426955.1,211471.8,111918.9,229381.0,2850318.5,112083.6,236963.2,396249.5,58466.9,44832.7,69613.9
2020/03/31,7121406.7,224196.1,104134.0,223835.0,2668761.2,109424.8,221385.8,387061.6,67780.1,53666.6,79835.1
2020/04/01,7431067.4,235089.4,103903.2,237980.1,2698980.2,115268.2,219748.3,399588.1,77544.5,63120.4,90946.2
2020/04/02,7446559.3,230191.1,111207.1,229651.6,2853511.0,110495.0,230065.8,403838.5,87873.6,73107.2,102630.2
2020/04/03,7188917.0,236154.4,118247.1,203051.7,3074067.4,83669.5,231707.0,404064.8,98736.1,83287.2,114792.6
2020/04/04,7506492.2,241736.6,189595.5,196405.8,3303407.2,84517.1,229402.0,430665.2,110091.2,94755.7,127405.9
2020/04/05,6368675.6,179268.8,167457.9,158805.2,2847691.0,84292.1,193608.6,364108.8,121918.9,106541.7,140481.4
2020/04/06,7133961.0,216071.0,111918.9,215054.5,2850318.5,90612.5,236963.2,369105.2,134048.7,118816.0,153797.0
2020/04/07,6925517.5,221022.9,104134.0,214231.6,2668761.2,92100.4,221385.8,365540.0,146315.0,130791.4,167104.9
2020/04/08,6830757.2,211071.9,103903.2,208089.4,2698980.2,91382.9,219748.3,363456.7,158628.0,143599.6,180359.7
2020/04/09,6710330.4,199959.0,111207.1,191226.7,2853511.0,83567.3,230065.8,363823.5,170913.7,155910.8,193534.5
2020/04/10,7111813.3,219690.3,118247.1,200917.6,3074067.4,83513.4,231707.0,414350.8,183281.2,168286.0,206788.8
2020/04/11,7538393.4,247481.6,189595.5,195793.7,3303407.2,90018.4,229402.0,440817.3,195570.0,180386.8,219842.2
2020/04/12,5812441.0,140211.0,167457.9,127691.0,2847691.0,81683.4,193608.6,234954.4,207851.4,192782.3,232840.7
2020/04/13,6028548.3,151992.2,111918.9,151189.4,2850318.5,70490.5,236963.2,264728.9,220216.2,204154.3,245837.2
2020/04/14,6883017.4,237116.5,104134.0,211861.4,2668761.2,93291.0,221385.8,369103.2,232390.9,215380.7,258682.0
2020/04/15,6910545.2,240233.3,103903.2,211651.1,2698980.2,91591.5,219748.3,361397.3,244250.8,226653.3,271229.1
2020/04/16,7032596.2,235635.7,111207.1,204447.9,2853511.0,95952.8,230065.8,360161.1,255776.1,237191.6,283364.5
2020/04/17,7499723.7,264743.2,118247.1,220805.6,3074067.4,98776.6,231707.0,393052.8,266964.0,247476.2,295093.2
2020/04/18,7196799.7,229864.9,189595.5,179983.3,3303407.2,85314.6,229402.0,390733.7,277884.3,257550.6,306493.4
2020/04/19,6769354.1,220842.5,167457.9,175389.7,2847691.0,96206.1,193608.6,354022.3,288778.3,267581.2,317891.0
2020/04/20,7252162.5,222536.7,111918.9,221249.2,2850318.5,102313.5,236963.2,357049.8,299674.9,277609.2,329236.7
2020/04/21,7091091.1,222119.1,104134.0,223964.9,2668761.2,104637.2,221385.8,361331.3,310182.7,287312.3,340128.5
2020/04/22,7573830.4,264593.8,103903.2,248678.4,2698980.2,111577.3,219748.3,409836.9,320185.6,296506.9,350442.2
2020/04/23,7716986.3,258307.6,111207.1,246857.8,2853511.0,111196.0,230065.8,406932.3,329852.1,305528.1,360344.0
2020/04/24,7685240.1,271389.4,118247.1,231041.1,3074067.4,107957.9,231707.0,392427.6,339215.4,313767.2,370010.1
2020/04/25,8555230.1,320537.4,189595.5,246434.2,3303407.2,122754.6,229402.0,447394.7,348357.3,321838.3,379357.9
2020/04/26,6337714.8,183522.6,167457.9,150283.8,2847691.0,85675.0,193608.6,342631.1,357417.4,329536.4,389336.1
2020/04/27,7623719.8,237548.4,111918.9,239436.4,2850318.5,103293.2,236963.2,378719.3,366415.6,337507.7,398482.3
2020/04/28,8184737.5,291932.9,104134.0,282262.2,2668761.2,127457.7,221385.8,403152.1,375206.0,345061.4,407974.5
2020/04/29,7649461.4,252758.8,103903.2,252373.8,2698980.2,111284.7,219748.3,383163.5,383645.3,352185.0,416887.3
2020/04/30,7487472.5,241233.1,111207.1,229338.2,2853511.0,103174.6,230065.8,357624.1,391775.9,358946.2,425605.6
2020/05/01,8503330.3,307128.4,118247.1,276752.5,3074067.4,122142.3,231707.0,422836.7,399689.7,365472.1,434202.6
2020/05/02,8993882.4,338882.6,189595.5,260307.4,3303407.2,132095.7,229402.0,445289.2,407411.7,371875.2,442928.4
2020/05/03,,,,,,,,,415123.7,378246.4,451780.8
2020/05/04,,,,,,,,,422827.4,384601.4,460078.6
2020/05/05,,,,,,,,,430194.8,390767.6,467999.9
2020/05/06,,,,,,,,,437303.0,396672.2,475983.3
2020/05/07,,,,,,,,,444210.2,402430.1,483704.3
2020/05/08,,,,,,,,,450846.0,407893.8,491073.4
