date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11904172.2,492516.6,167457.9,734949.2,2847691.0,387601.3,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14079044.4,555939.5,111918.9,911454.0,2850318.5,217940.7,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13331018.1,531385.2,104134.0,883517.4,2668761.2,189900.3,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13274449.9,529369.8,103903.2,866823.7,2698980.2,189619.3,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13259099.6,512618.4,111207.1,804322.1,2853511.0,193451.2,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,13965606.6,577695.6,118247.1,795409.3,3074067.4,200534.6,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11947761.1,480013.9,189595.5,643616.7,3303407.2,255021.1,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,10094741.1,368649.7,167457.9,475920.5,2847691.0,387601.3,191088.7,673009.1,928.3,194.7,2467.3
2020/03/16,10390908.5,376145.9,111918.9,518043.6,2850318.5,217940.7,233907.7,716584.9,1287.9,308.9,3226.9
2020/03/17,9398075.9,327744.1,104134.0,389438.2,2668761.2,189900.3,203975.5,596312.8,1814.2,491.8,4244.8
2020/03/18,9431925.8,324675.7,103903.2,387192.8,2698980.2,189619.3,203895.6,572007.2,2578.2,804.9,5606.2
2020/03/19,9075604.7,294174.3,111207.1,349188.8,2853511.0,193451.2,185519.6,534859.1,3656.5,1298.5,7356.7
2020/03/20,8769259.6,259310.2,118247.1,314256.1,3074067.4,200534.6,156818.8,518038.5,5156.2,2049.7,9621.3
2020/03/21,7719507.2,185267.0,189595.5,209722.3,3303407.2,255021.1,110319.8,401554.4,7221.0,3139.2,12476.5
2020/03/22,7276368.7,192936.0,167457.9,191675.5,2847691.0,387601.3,122423.2,438108.1,9975.9,4756.1,16058.3
2020/03/23,7216829.8,194404.9,111918.9,220640.7,2850318.5,217940.7,123985.7,366077.7,13541.9,7049.2,20478.4
2020/03/24,7676689.6,239989.9,104134.0,260124.4,2668761.2,189900.3,149015.4,422455.4,17885.4,10116.3,25635.8
2020/03/25,8016306.0,253661.2,103903.2,273448.1,2698980.2,189619.3,155080.3,452300.8,22944.4,13934.1,31430.6
2020/03/26,7820956.2,245090.7,111207.1,255512.8,2853511.0,193451.2,143560.8,403950.5,28684.7,18524.7,37767.2
2020/03/27,8132785.8,260616.6,118247.1,255840.4,3074067.4,200534.6,142569.7,434186.8,35199.4,24005.7,44771.1
2020/03/28,7310013.1,206660.6,189595.5,175664.0,3303407.2,255021.1,115623.8,433008.6,42497.0,30477.4,52367.4
2020/03/29,6511272.3,165715.4,167457.9,147945.2,2847691.0,387601.3,96620.0,388221.0,50663.3,38007.2,61115.6
2020/03/30,7429488.0,211471.8,111918.9,229381.0,2850318.5,217940.7,133639.0,396249.5,59755.7,46670.5,71017.2
2020/03/31,7115465.4,224196.1,104134.0,223835.0,2668761.2,189900.3,134969.0,387061.6,69570.0,56070.8,82206.5
2020/04/01,7427915.0,235089.4,103903.2,237980.1,2698980.2,189619.3,142244.8,399588.1,79824.1,65496.7,93764.3
2020/04/02,7436764.4,230191.1,111207.1,229651.6,2853511.0,193451.2,137314.7,403838.5,90609.9,75841.7,105937.7
2020/04/03,7211302.4,236154.4,118247.1,203051.7,3074067.4,200534.6,137227.2,404064.8,101920.8,87466.1,118464.1
2020/04/04,7574248.7,241736.6,189595.5,196405.8,3303407.2,255021.1,126654.5,430665.2,113727.8,98917.8,131718.6
2020/04/05,6580233.3,179268.8,167457.9,158805.2,2847691.0,387601.3,101857.1,364108.8,126064.4,111331.9,145372.3
2020/04/06,7152164.6,216071.0,111918.9,215054.5,2850318.5,217940.7,127838.5,369105.2,138954.2,123747.6,159612.0
2020/04/07,6931012.7,221022.9,104134.0,214231.6,2668761.2,189900.3,129081.2,365540.0,152099.2,136529.0,173978.8
2020/04/08,6840122.9,211071.9,103903.2,208089.4,2698980.2,189619.3,130877.5,363456.7,165229.6,149440.7,188294.3
2020/04/09,6711931.7,199959.0,111207.1,191226.7,2853511.0,193451.2,121783.3,363823.5,178261.4,162340.3,202468.2
2020/04/10,7136012.2,219690.3,118247.1,200917.6,3074067.4,200534.6,138884.7,414350.8,191329.5,175184.8,216572.8
2020/04/11,7619390.3,247481.6,189595.5,195793.7,3303407.2,255021.1,145396.2,440817.3,204304.9,188104.0,230488.4
2020/04/12,6013887.2,140211.0,167457.9,127691.0,2847691.0,387601.3,89136.9,234954.4,217317.9,200816.3,244347.3
2020/04/13,6027431.8,151992.2,111918.9,151189.4,2850318.5,217940.7,88396.4,264728.9,230657.3,213422.7,258545.1
2020/04/14,6892087.6,237116.5,104134.0,211861.4,2668761.2,189900.3,133846.8,369103.2,243902.5,226295.6,272533.3
2020/04/15,6917623.8,240233.3,103903.2,211651.1,2698980.2,189619.3,128799.0,361397.3,256735.6,238565.1,285969.3
2020/04/16,7027131.3,235635.7,111207.1,204447.9,2853511.0,193451.2,127102.5,360161.1,269135.2,249974.8,299047.1
2020/04/17,7505863.7,264743.2,118247.1,220805.6,3074067.4,200534.6,136089.0,393052.8,281139.2,261030.0,311617.5
2020/04/18,7253219.3,229864.9,189595.5,179983.3,3303407.2,255021.1,116115.1,390733.7,292824.0,271852.7,323769.3
2020/04/19,6970175.0,220842.5,167457.9,175389.7,2847691.0,387601.3,103034.3,354022.3,304492.0,282580.8,335799.2
2020/04/20,7255898.3,222536.7,111918.9,221249.2,2850318.5,217940.7,125071.8,357049.8,316354.8,293474.5,347967.3
2020/04/21,7077976.4,222119.1,104134.0,223964.9,2668761.2,189900.3,123008.0,361331.3,327870.4,303915.7,359685.4
2020/04/22,7573834.6,264593.8,103903.2,248678.4,2698980.2,189619.3,141710.4,409836.9,338775.1,313583.5,370781.7
2020/04/23,7708294.9,258307.6,111207.1,246857.8,2853511.0,193451.2,139119.3,406932.3,349234.2,322967.8,381346.2
2020/04/24,7676035.1,271389.4,118247.1,231041.1,3074067.4,200534.6,129925.3,392427.6,359327.7,332190.3,391755.2
2020/04/25,8596198.2,320537.4,189595.5,246434.2,3303407.2,255021.1,138103.6,447394.7,369133.2,341147.1,402267.2
2020/04/26,6537620.7,183522.6,167457.9,150283.8,2847691.0,387601.3,91588.2,342631.1,378838.6,350175.7,412769.7
2020/04/27,7632868.4,237548.4,111918.9,239436.4,2850318.5,217940.7,131464.2,378719.3,388627.8,358987.1,423288.1
2020/04/28,8172373.4,291932.9,104134.0,282262.2,2668761.2,189900.3,146579.1,403152.1,398220.8,367368.9,433568.7
2020/04/29,7641682.4,252758.8,103903.2,252373.8,2698980.2,189619.3,133634.7,383163.5,407365.2,375180.7,443725.3
2020/04/30,7472133.2,241233.1,111207.1,229338.2,2853511.0,193451.2,124449.9,357624.1,416114.2,382850.5,453459.6
2020/05/01,8500229.0,307128.4,118247.1,276752.5,3074067.4,200534.6,150213.4,422836.7,424575.7,390102.7,462972.3
2020/05/02,9022510.4,338882.6,189595.5,260307.4,3303407.2,255021.1,135104.5,445289.2,432780.5,397063.7,472082.2
2020/05/03,,,,,,,,,440942.1,404024.4,481184.1
2020/05/04,,,,,,,,,449188.3,411080.9,490389.1
2020/05/05,,,,,,,,,457107.3,417859.4,499138.2
2020/05/06,,,,,,,,,464685.2,424290.3,507469.0
2020/05/07,,,,,,,,,471981.1,430437.0,515514.3
2020/05/08,,,,,,,,,478945.6,436256.7,523200.1
