date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11735670.0,492516.6,167457.9,734949.2,2679322.2,349562.8,184310.9,679370.7,2.5,0.3,6.6
2020/03/09,13975877.2,555939.5,111918.9,911454.0,2747085.4,202508.0,225436.8,595276.1,57.7,12.7,141.0
2020/03/10,13263043.6,531385.2,104134.0,883517.4,2627834.0,201275.7,224403.4,521623.1,111.6,25.1,270.2
2020/03/11,13204830.7,529369.8,103903.2,866823.7,2660499.1,196471.0,225072.8,528874.9,171.9,40.4,409.0
2020/03/12,12854245.6,512618.4,111207.1,804322.1,2632468.6,189123.5,254053.0,548079.0,244.9,59.6,572.8
2020/03/13,13558104.0,577695.6,118247.1,795409.3,2974918.1,205293.0,283685.7,566137.6,341.8,87.7,783.4
2020/03/14,11074948.3,480013.9,189595.5,643616.7,2569624.3,192215.6,228336.6,647216.1,479.2,128.9,1059.9
2020/03/15,9103537.0,368649.7,167457.9,475920.5,2015981.9,221744.8,191088.7,679370.7,677.9,192.8,1428.7
2020/03/16,9304568.7,376145.9,111918.9,518043.6,1950894.7,152333.5,233907.7,595276.1,969.9,298.2,1948.0
2020/03/17,8348013.2,327744.1,104134.0,389438.2,1735678.0,147610.5,203975.5,521623.1,1405.0,466.0,2650.6
2020/03/18,8343972.6,324675.7,103903.2,387192.8,1697618.7,146159.9,203895.6,528874.9,2056.4,755.4,3651.4
2020/03/19,7761597.0,294174.3,111207.1,349188.8,1579539.1,140195.6,185519.6,548079.0,3007.2,1215.4,4956.5
2020/03/20,7109483.2,259310.2,118247.1,314256.1,1433777.0,132949.5,156818.8,566137.6,4342.5,1931.6,6716.2
2020/03/21,5600162.9,185267.0,189595.5,209722.3,1079765.7,113656.6,110319.8,647216.1,6176.5,2953.4,9025.2
2020/03/22,5397582.4,192936.0,167457.9,191675.5,998374.9,116868.6,122423.2,679370.7,8592.9,4435.4,11959.7
2020/03/23,5514191.1,194404.9,111918.9,220640.7,1031217.8,105204.3,123985.7,595276.1,11582.3,6393.0,15683.4
2020/03/24,6239398.5,239989.9,104134.0,260124.4,1197841.6,124361.0,149015.4,521623.1,15080.8,8807.5,20009.6
2020/03/25,6622590.3,253661.2,103903.2,273448.1,1282530.0,135779.8,155080.3,528874.9,19038.4,11711.7,24625.6
2020/03/26,6219557.7,245090.7,111207.1,255512.8,1181649.9,119785.3,143560.8,548079.0,23449.2,15117.5,29925.6
2020/03/27,6347567.5,260616.6,118247.1,255840.4,1233830.1,123602.8,142569.7,566137.6,28337.4,19073.1,35748.8
2020/03/28,5016415.2,206660.6,189595.5,175664.0,955026.7,95596.2,115623.8,647216.1,33616.9,23473.6,42117.1
2020/03/29,4470891.2,165715.4,167457.9,147945.2,810563.0,93198.6,96620.0,679370.7,39188.9,28254.2,48779.3
2020/03/30,5736276.6,211471.8,111918.9,229381.0,1063937.7,112083.6,133639.0,595276.1,44886.6,33274.0,55679.2
2020/03/31,5538157.0,224196.1,104134.0,223835.0,1037366.7,109424.8,134969.0,521623.1,50782.1,38640.9,62737.0
2020/04/01,5875036.8,235089.4,103903.2,237980.1,1091166.3,115268.2,142244.8,528874.9,56889.7,44326.6,69999.1
2020/04/02,5696712.9,230191.1,111207.1,229651.6,1052175.1,110495.0,137314.7,548079.0,63426.6,50602.9,77650.3
2020/04/03,5176220.1,236154.4,118247.1,203051.7,993777.5,83669.5,137227.2,566137.6,70288.5,57237.9,85567.6
2020/04/04,5275403.6,241736.6,189595.5,196405.8,958515.3,84517.1,126654.5,647216.1,77386.9,64083.4,93706.8
2020/04/05,4525709.2,179268.8,167457.9,158805.2,781214.3,84292.1,101857.1,679370.7,84547.3,71058.2,101722.8
2020/04/06,5353096.7,216071.0,111918.9,215054.5,952408.0,90612.5,127838.5,595276.1,91538.9,77918.4,109405.6
2020/04/07,5266913.5,221022.9,104134.0,214231.6,946378.7,92100.4,129081.2,521623.1,98500.4,84761.6,117001.3
2020/04/08,5141842.7,211071.9,103903.2,208089.4,933518.3,91382.9,130877.5,528874.9,105554.8,91866.9,124615.0
2020/04/09,4800921.7,199959.0,111207.1,191226.7,868129.3,83567.3,121783.3,548079.0,112654.2,98823.3,132356.6
2020/04/10,5059624.0,219690.3,118247.1,200917.6,962913.6,83513.4,138884.7,566137.6,119826.1,106118.3,140145.0
2020/04/11,5323829.0,247481.6,189595.5,195793.7,966449.8,90018.4,145396.2,647216.1,126836.5,113452.0,147713.0
2020/04/12,3991050.9,140211.0,167457.9,127691.0,686356.3,81683.4,89136.9,679370.7,133585.5,120562.5,154951.7
2020/04/13,4066498.3,151992.2,111918.9,151189.4,706288.2,70490.5,88396.4,595276.1,140115.3,127196.5,161938.9
2020/04/14,5260195.2,237116.5,104134.0,211861.4,980958.1,93291.0,133846.8,521623.1,146469.9,133334.2,168801.3
2020/04/15,5268512.9,240233.3,103903.2,211651.1,980419.5,91591.5,128799.0,528874.9,152689.8,139444.5,175504.2
2020/04/16,5239078.5,235635.7,111207.1,204447.9,975038.7,95952.8,127102.5,548079.0,158775.0,145988.8,182010.5
2020/04/17,5592174.1,264743.2,118247.1,220805.6,1089051.1,98776.6,136089.0,566137.6,164663.6,151539.4,188308.2
2020/04/18,4971894.1,229864.9,189595.5,179983.3,935306.1,85314.6,116115.1,647216.1,170334.7,156580.4,194362.8
2020/04/19,5052131.2,220842.5,167457.9,175389.7,895694.1,96206.1,103034.3,679370.7,175860.6,161458.1,200192.4
2020/04/20,5549730.5,222536.7,111918.9,221249.2,1021551.6,102313.5,125071.8,595276.1,181236.5,166111.2,205832.5
2020/04/21,5498056.1,222119.1,104134.0,223964.9,1013812.2,104637.2,123008.0,521623.1,186353.0,170530.0,211231.4
2020/04/22,6055563.0,264593.8,103903.2,248678.4,1139712.7,111577.3,141710.4,528874.9,191252.4,174546.6,216344.6
2020/04/23,6059712.4,258307.6,111207.1,246857.8,1146036.9,111196.0,139119.3,548079.0,196088.3,178497.0,221385.6
2020/04/24,5814078.4,271389.4,118247.1,231041.1,1130977.3,107957.9,129925.3,566137.6,200834.5,182361.0,226315.7
2020/04/25,6608370.2,320537.4,189595.5,246434.2,1248024.3,122754.6,138103.6,647216.1,205485.7,186033.3,231101.2
2020/04/26,4501222.3,183522.6,167457.9,150283.8,776479.4,85675.0,91588.2,679370.7,210021.8,189585.7,235777.8
2020/04/27,5944251.3,237548.4,111918.9,239436.4,1059792.3,103293.2,131464.2,595276.1,214424.2,193007.2,240283.6
2020/04/28,6790473.1,291932.9,104134.0,282262.2,1230832.5,127457.7,146579.1,521623.1,218769.7,196382.4,244667.3
2020/04/29,6102764.4,252758.8,103903.2,252373.8,1092685.5,111284.7,133634.7,528874.9,223066.6,199690.2,248997.0
2020/04/30,5744024.6,241233.1,111207.1,229338.2,1025224.0,103174.6,124449.9,548079.0,227311.5,202912.7,253248.1
2020/05/01,6774625.6,307128.4,118247.1,276752.5,1283555.4,122142.3,150213.4,566137.6,231536.1,206118.4,257467.9
2020/05/02,7086991.8,338882.6,189595.5,260307.4,1288887.1,132095.7,135104.5,647216.1,235713.1,209248.6,261608.8
2020/05/03,,,,,,,,,239884.9,212381.4,265705.2
2020/05/04,,,,,,,,,244018.2,215487.2,269793.4
2020/05/05,,,,,,,,,247972.3,218411.9,273680.4
2020/05/06,,,,,,,,,251918.0,221344.3,277549.4
2020/05/07,,,,,,,,,255891.4,224286.5,281516.7
2020/05/08,,,,,,,,,259779.1,227160.5,285371.4
2020/05/09,,,,,,,,,263622.0,230014.9,289196.5
