date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11758364.7,515211.4,167457.9,734949.2,2679322.2,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14000047.3,580109.6,111918.9,911454.0,2747085.4,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13286144.7,554486.2,104134.0,883517.4,2627834.0,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13239343.4,563882.5,103903.2,866823.7,2660499.1,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,12929599.8,587972.6,111207.1,804322.1,2632468.6,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13597557.9,617149.5,118247.1,795409.3,2974918.1,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11223740.4,628806.0,189595.5,643616.7,2569624.3,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9250098.6,515211.4,167457.9,475920.5,2015981.9,221744.8,191088.7,679370.7,928.2,194.8,2467.8
2020/03/16,9508532.4,580109.6,111918.9,518043.6,1950894.7,152333.5,233907.7,595276.1,1285.5,301.9,3236.4
2020/03/17,8574755.4,554486.2,104134.0,389438.2,1735678.0,147610.5,203975.5,521623.1,1799.2,484.1,4227.0
2020/03/18,8583179.5,563882.5,103903.2,387192.8,1697618.7,146159.9,203895.6,528874.9,2544.4,792.5,5550.8
2020/03/19,8055395.3,587972.6,111207.1,349188.8,1579539.1,140195.6,185519.6,548079.0,3603.5,1288.2,7281.7
2020/03/20,7467322.5,617149.5,118247.1,314256.1,1433777.0,132949.5,156818.8,566137.6,5063.2,1999.1,9465.7
2020/03/21,6043701.9,628806.0,189595.5,209722.3,1079765.7,113656.6,110319.8,647216.1,7038.3,3025.7,12232.3
2020/03/22,5719857.8,515211.4,167457.9,191675.5,998374.9,116868.6,122423.2,679370.7,9610.4,4508.8,15636.4
2020/03/23,5899895.8,580109.6,111918.9,220640.7,1031217.8,105204.3,123985.7,595276.1,12768.4,6511.2,19616.2
2020/03/24,6553894.9,554486.2,104134.0,260124.4,1197841.6,124361.0,149015.4,521623.1,16455.2,9000.0,24126.2
2020/03/25,6932811.6,563882.5,103903.2,273448.1,1282530.0,135779.8,155080.3,528874.9,20628.5,11960.2,29096.4
2020/03/26,6562439.6,587972.6,111207.1,255512.8,1181649.9,119785.3,143560.8,548079.0,25272.4,15455.7,34474.4
2020/03/27,6704100.4,617149.5,118247.1,255840.4,1233830.1,123602.8,142569.7,566137.6,30415.6,19542.2,40300.9
2020/03/28,5438560.6,628806.0,189595.5,175664.0,955026.7,95596.2,115623.8,647216.1,35978.7,24197.5,46500.5
2020/03/29,4820387.2,515211.4,167457.9,147945.2,810563.0,93198.6,96620.0,679370.7,41865.9,29277.8,52966.3
2020/03/30,6104914.4,580109.6,111918.9,229381.0,1063937.7,112083.6,133639.0,595276.1,47912.3,34641.7,59543.3
2020/03/31,5868447.2,554486.2,104134.0,223835.0,1037366.7,109424.8,134969.0,521623.1,54190.0,40313.9,66264.3
2020/04/01,6203829.9,563882.5,103903.2,237980.1,1091166.3,115268.2,142244.8,528874.9,60712.4,46386.3,73484.4
2020/04/02,6054494.4,587972.6,111207.1,229651.6,1052175.1,110495.0,137314.7,548079.0,67663.8,53067.2,80753.6
2020/04/03,5557215.3,617149.5,118247.1,203051.7,993777.5,83669.5,137227.2,566137.6,74962.5,60233.1,88507.9
2020/04/04,5662473.1,628806.0,189595.5,196405.8,958515.3,84517.1,126654.5,647216.1,82519.7,67687.0,96543.9
2020/04/05,4861651.8,515211.4,167457.9,158805.2,781214.3,84292.1,101857.1,679370.7,90158.7,75533.9,104821.9
2020/04/06,5717135.3,580109.6,111918.9,215054.5,952408.0,90612.5,127838.5,595276.1,97653.9,82864.3,113158.1
2020/04/07,5600376.8,554486.2,104134.0,214231.6,946378.7,92100.4,129081.2,521623.1,105135.3,90312.0,121428.8
2020/04/08,5494653.3,563882.5,103903.2,208089.4,933518.3,91382.9,130877.5,528874.9,112720.8,97674.7,129748.6
2020/04/09,5188935.4,587972.6,111207.1,191226.7,868129.3,83567.3,121783.3,548079.0,120354.3,105480.4,138039.4
2020/04/10,5457083.3,617149.5,118247.1,200917.6,962913.6,83513.4,138884.7,566137.6,128063.4,113502.7,146329.2
2020/04/11,5705153.4,628806.0,189595.5,195793.7,966449.8,90018.4,145396.2,647216.1,135618.6,121180.7,154471.4
2020/04/12,4366051.2,515211.4,167457.9,127691.0,686356.3,81683.4,89136.9,679370.7,142925.3,129085.4,162335.2
2020/04/13,4494615.7,580109.6,111918.9,151189.4,706288.2,70490.5,88396.4,595276.1,150027.5,136477.5,169955.4
2020/04/14,5577564.9,554486.2,104134.0,211861.4,980958.1,93291.0,133846.8,521623.1,156959.5,142794.2,177315.2
2020/04/15,5592162.1,563882.5,103903.2,211651.1,980419.5,91591.5,128799.0,528874.9,163758.1,149094.1,184471.0
2020/04/16,5591415.5,587972.6,111207.1,204447.9,975038.7,95952.8,127102.5,548079.0,170413.5,155260.6,191423.5
2020/04/17,5944580.4,617149.5,118247.1,220805.6,1089051.1,98776.6,136089.0,566137.6,176866.5,160659.5,198133.3
2020/04/18,5370835.3,628806.0,189595.5,179983.3,935306.1,85314.6,116115.1,647216.1,183108.8,166632.8,204623.6
2020/04/19,5346500.1,515211.4,167457.9,175389.7,895694.1,96206.1,103034.3,679370.7,189206.6,172041.6,210981.1
2020/04/20,5907303.4,580109.6,111918.9,221249.2,1021551.6,102313.5,125071.8,595276.1,195150.1,177102.4,217012.3
2020/04/21,5830423.3,554486.2,104134.0,223964.9,1013812.2,104637.2,123008.0,521623.1,200832.2,182321.9,222826.3
2020/04/22,6354851.8,563882.5,103903.2,248678.4,1139712.7,111577.3,141710.4,528874.9,206292.2,186837.4,228359.0
2020/04/23,6389377.5,587972.6,111207.1,246857.8,1146036.9,111196.0,139119.3,548079.0,211667.6,190946.3,233835.8
2020/04/24,6159838.5,617149.5,118247.1,231041.1,1130977.3,107957.9,129925.3,566137.6,216943.5,195043.2,239172.4
2020/04/25,6916638.8,628806.0,189595.5,246434.2,1248024.3,122754.6,138103.6,647216.1,222113.2,199001.5,244471.2
2020/04/26,4832911.1,515211.4,167457.9,150283.8,776479.4,85675.0,91588.2,679370.7,227165.8,202862.4,249605.6
2020/04/27,6286812.5,580109.6,111918.9,239436.4,1059792.3,103293.2,131464.2,595276.1,232077.1,206582.7,254606.3
2020/04/28,7053026.4,554486.2,104134.0,282262.2,1230832.5,127457.7,146579.1,521623.1,236919.7,210199.0,259535.5
2020/04/29,6413888.1,563882.5,103903.2,252373.8,1092685.5,111284.7,133634.7,528874.9,241695.5,213835.0,264371.6
2020/04/30,6090764.0,587972.6,111207.1,229338.2,1025224.0,103174.6,124449.9,548079.0,246399.7,217384.2,269110.9
2020/05/01,7084646.7,617149.5,118247.1,276752.5,1283555.4,122142.3,150213.4,566137.6,251070.7,220890.3,273837.7
2020/05/02,7376915.2,628806.0,189595.5,260307.4,1288887.1,132095.7,135104.5,647216.1,255686.8,224323.6,278479.2
2020/05/03,,,,,,,,,260289.7,227774.2,283099.8
2020/05/04,,,,,,,,,264843.9,231249.5,287698.2
2020/05/05,,,,,,,,,269210.7,234492.0,292274.4
2020/05/06,,,,,,,,,273552.0,237710.9,296858.4
2020/05/07,,,,,,,,,277899.0,240949.4,301440.3
2020/05/08,,,,,,,,,282153.8,244100.7,305732.8
2020/05/09,,,,,,,,,286356.1,247198.2,309911.0
