date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11767662.5,515211.4,167457.9,734949.2,2679322.2,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14011573.7,580109.6,111918.9,911454.0,2747085.4,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13283127.1,554486.2,104134.0,883517.4,2627834.0,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13234018.9,563882.5,103903.2,866823.7,2660499.1,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,12905612.5,587972.6,111207.1,804322.1,2632468.6,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13545579.2,617149.5,118247.1,795409.3,2974918.1,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11224805.8,628806.0,189595.5,643616.7,2569624.3,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9252618.6,515211.4,167457.9,475920.5,2015981.9,221744.8,193608.6,679370.7,928.1,194.7,2465.3
2020/03/16,9511587.9,580109.6,111918.9,518043.6,1950894.7,152333.5,236963.2,595276.1,1285.0,303.4,3231.2
2020/03/17,8592165.6,554486.2,104134.0,389438.2,1735678.0,147610.5,221385.8,521623.1,1798.2,484.4,4218.1
2020/03/18,8599032.2,563882.5,103903.2,387192.8,1697618.7,146159.9,219748.3,528874.9,2542.0,790.4,5552.9
2020/03/19,8099941.5,587972.6,111207.1,349188.8,1579539.1,140195.6,230065.8,548079.0,3600.7,1264.6,7250.6
2020/03/20,7542210.7,617149.5,118247.1,314256.1,1433777.0,132949.5,231707.0,566137.6,5058.0,1963.5,9432.5
2020/03/21,6162784.0,628806.0,189595.5,209722.3,1079765.7,113656.6,229402.0,647216.1,7032.5,2974.0,12205.6
2020/03/22,5791043.2,515211.4,167457.9,191675.5,998374.9,116868.6,193608.6,679370.7,9605.0,4447.3,15616.5
2020/03/23,6012873.3,580109.6,111918.9,220640.7,1031217.8,105204.3,236963.2,595276.1,12762.7,6440.1,19636.4
2020/03/24,6626265.3,554486.2,104134.0,260124.4,1197841.6,124361.0,221385.8,521623.1,16451.0,8957.5,24147.0
2020/03/25,6997479.7,563882.5,103903.2,273448.1,1282530.0,135779.8,219748.3,528874.9,20624.4,11978.6,29095.8
2020/03/26,6648944.5,587972.6,111207.1,255512.8,1181649.9,119785.3,230065.8,548079.0,25270.2,15505.5,34509.3
2020/03/27,6793237.7,617149.5,118247.1,255840.4,1233830.1,123602.8,231707.0,566137.6,30423.4,19633.4,40366.1
2020/03/28,5552338.7,628806.0,189595.5,175664.0,955026.7,95596.2,229402.0,647216.1,36003.4,24299.2,46480.0
2020/03/29,4917375.8,515211.4,167457.9,147945.2,810563.0,93198.6,193608.6,679370.7,41916.4,29360.7,52902.4
2020/03/30,6208238.6,580109.6,111918.9,229381.0,1063937.7,112083.6,236963.2,595276.1,47989.6,34775.3,59481.2
2020/03/31,5954864.0,554486.2,104134.0,223835.0,1037366.7,109424.8,221385.8,521623.1,54299.3,40528.7,66289.3
2020/04/01,6281333.4,563882.5,103903.2,237980.1,1091166.3,115268.2,219748.3,528874.9,60862.7,46632.1,73588.0
2020/04/02,6147245.5,587972.6,111207.1,229651.6,1052175.1,110495.0,230065.8,548079.0,67862.2,53299.8,81109.4
2020/04/03,5651695.0,617149.5,118247.1,203051.7,993777.5,83669.5,231707.0,566137.6,75208.4,60486.3,89002.3
2020/04/04,5765220.5,628806.0,189595.5,196405.8,958515.3,84517.1,229402.0,647216.1,82815.4,68037.2,97663.7
2020/04/05,4953403.3,515211.4,167457.9,158805.2,781214.3,84292.1,193608.6,679370.7,90511.1,75611.9,106340.1
2020/04/06,5826259.9,580109.6,111918.9,215054.5,952408.0,90612.5,236963.2,595276.1,98063.7,83146.8,114467.4
2020/04/07,5692681.4,554486.2,104134.0,214231.6,946378.7,92100.4,221385.8,521623.1,105596.4,90789.7,122794.3
2020/04/08,5583524.1,563882.5,103903.2,208089.4,933518.3,91382.9,219748.3,528874.9,113235.0,98611.4,131274.8
2020/04/09,5297217.9,587972.6,111207.1,191226.7,868129.3,83567.3,230065.8,548079.0,120923.9,106506.3,139495.5
2020/04/10,5549905.5,617149.5,118247.1,200917.6,962913.6,83513.4,231707.0,566137.6,128685.1,114483.8,147815.5
2020/04/11,5789159.2,628806.0,189595.5,195793.7,966449.8,90018.4,229402.0,647216.1,136291.3,122254.0,155894.8
2020/04/12,4470522.9,515211.4,167457.9,127691.0,686356.3,81683.4,193608.6,679370.7,143654.6,129844.9,163730.4
2020/04/13,4643182.5,580109.6,111918.9,151189.4,706288.2,70490.5,236963.2,595276.1,150806.0,136787.0,171309.4
2020/04/14,5665103.9,554486.2,104134.0,211861.4,980958.1,93291.0,221385.8,521623.1,157784.3,143128.3,178680.6
2020/04/15,5683111.4,563882.5,103903.2,211651.1,980419.5,91591.5,219748.3,528874.9,164632.2,149684.5,185869.0
2020/04/16,5694378.8,587972.6,111207.1,204447.9,975038.7,95952.8,230065.8,548079.0,171340.2,156285.0,192913.0
2020/04/17,6040198.4,617149.5,118247.1,220805.6,1089051.1,98776.6,231707.0,566137.6,177840.3,162183.8,199760.1
2020/04/18,5484122.1,628806.0,189595.5,179983.3,935306.1,85314.6,229402.0,647216.1,184126.4,167479.0,206354.0
2020/04/19,5437074.4,515211.4,167457.9,175389.7,895694.1,96206.1,193608.6,679370.7,190266.8,172525.4,212743.5
2020/04/20,6019194.8,580109.6,111918.9,221249.2,1021551.6,102313.5,236963.2,595276.1,196255.4,177401.3,218978.9
2020/04/21,5928801.1,554486.2,104134.0,223964.9,1013812.2,104637.2,221385.8,521623.1,201978.5,181998.7,224902.4
2020/04/22,6432889.7,563882.5,103903.2,248678.4,1139712.7,111577.3,219748.3,528874.9,207480.0,186438.5,230571.4
2020/04/23,6480323.9,587972.6,111207.1,246857.8,1146036.9,111196.0,230065.8,548079.0,212894.5,190830.1,236120.6
2020/04/24,6261620.2,617149.5,118247.1,231041.1,1130977.3,107957.9,231707.0,566137.6,218206.7,195038.3,241526.4
2020/04/25,7007937.2,628806.0,189595.5,246434.2,1248024.3,122754.6,229402.0,647216.1,223414.0,199192.0,246808.5
2020/04/26,4934931.5,515211.4,167457.9,150283.8,776479.4,85675.0,193608.6,679370.7,228500.8,203178.0,251888.1
2020/04/27,6392311.4,580109.6,111918.9,239436.4,1059792.3,103293.2,236963.2,595276.1,233449.0,207066.3,256819.2
2020/04/28,7127833.1,554486.2,104134.0,282262.2,1230832.5,127457.7,221385.8,521623.1,238320.7,210853.6,261662.9
2020/04/29,6500001.8,563882.5,103903.2,252373.8,1092685.5,111284.7,219748.3,528874.9,243125.9,214606.8,266426.3
2020/04/30,6196379.9,587972.6,111207.1,229338.2,1025224.0,103174.6,230065.8,548079.0,247860.8,218284.1,271155.2
2020/05/01,7166140.2,617149.5,118247.1,276752.5,1283555.4,122142.3,231707.0,566137.6,252562.9,221910.0,275839.5
2020/05/02,7471212.7,628806.0,189595.5,260307.4,1288887.1,132095.7,229402.0,647216.1,257205.5,225459.4,280673.3
2020/05/03,,,,,,,,,261836.3,228954.2,285259.7
2020/05/04,,,,,,,,,266414.8,232386.7,289742.6
2020/05/05,,,,,,,,,270806.9,235646.1,294057.3
2020/05/06,,,,,,,,,275173.0,238892.1,298363.0
2020/05/07,,,,,,,,,279546.7,242267.3,302716.8
2020/05/08,,,,,,,,,283820.0,245519.4,307013.5
2020/05/09,,,,,,,,,288042.2,248756.5,311419.9
