date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11805701.0,515211.4,167457.9,734949.2,2679322.2,387601.3,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14027006.4,580109.6,111918.9,911454.0,2747085.4,217940.7,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13271751.7,554486.2,104134.0,883517.4,2627834.0,189900.3,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13227167.3,563882.5,103903.2,866823.7,2660499.1,189619.3,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,12909940.2,587972.6,111207.1,804322.1,2632468.6,193451.2,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13540820.8,617149.5,118247.1,795409.3,2974918.1,200534.6,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11287611.2,628806.0,189595.5,643616.7,2569624.3,255021.1,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9418475.1,515211.4,167457.9,475920.5,2015981.9,387601.3,193608.6,679370.7,928.2,194.6,2464.2
2020/03/16,9577195.1,580109.6,111918.9,518043.6,1950894.7,217940.7,236963.2,595276.1,1285.2,303.3,3230.6
2020/03/17,8634455.4,554486.2,104134.0,389438.2,1735678.0,189900.3,221385.8,521623.1,1799.4,482.1,4235.4
2020/03/18,8642491.7,563882.5,103903.2,387192.8,1697618.7,189619.3,219748.3,528874.9,2544.7,782.1,5550.7
2020/03/19,8153197.1,587972.6,111207.1,349188.8,1579539.1,193451.2,230065.8,548079.0,3601.7,1257.3,7269.3
2020/03/20,7609795.9,617149.5,118247.1,314256.1,1433777.0,200534.6,231707.0,566137.6,5057.9,1958.4,9473.3
2020/03/21,6304148.5,628806.0,189595.5,209722.3,1079765.7,255021.1,229402.0,647216.1,7033.6,2967.9,12285.0
2020/03/22,6061775.9,515211.4,167457.9,191675.5,998374.9,387601.3,193608.6,679370.7,9616.4,4450.2,15723.3
2020/03/23,6125609.7,580109.6,111918.9,220640.7,1031217.8,217940.7,236963.2,595276.1,12835.7,6518.6,19788.8
2020/03/24,6691804.6,554486.2,104134.0,260124.4,1197841.6,189900.3,221385.8,521623.1,16620.7,9127.4,24389.8
2020/03/25,7051319.3,563882.5,103903.2,273448.1,1282530.0,189619.3,219748.3,528874.9,20903.0,12242.9,29403.2
2020/03/26,6722610.4,587972.6,111207.1,255512.8,1181649.9,193451.2,230065.8,548079.0,25660.5,15874.3,34862.3
2020/03/27,6870169.5,617149.5,118247.1,255840.4,1233830.1,200534.6,231707.0,566137.6,30935.4,20125.0,40746.3
2020/03/28,5711763.6,628806.0,189595.5,175664.0,955026.7,255021.1,229402.0,647216.1,36652.1,24894.7,47009.8
2020/03/29,5211778.6,515211.4,167457.9,147945.2,810563.0,387601.3,193608.6,679370.7,42752.2,30095.9,53580.8
2020/03/30,6314095.7,580109.6,111918.9,229381.0,1063937.7,217940.7,236963.2,595276.1,49198.2,35754.2,60616.3
2020/03/31,6035339.4,554486.2,104134.0,223835.0,1037366.7,189900.3,221385.8,521623.1,55980.2,41855.5,67751.9
2020/04/01,6355684.6,563882.5,103903.2,237980.1,1091166.3,189619.3,219748.3,528874.9,63016.5,48381.3,75645.5
2020/04/02,6230201.6,587972.6,111207.1,229651.6,1052175.1,193451.2,230065.8,548079.0,70469.1,55401.1,83712.3
2020/04/03,5768560.2,617149.5,118247.1,203051.7,993777.5,200534.6,231707.0,566137.6,78262.8,62833.9,92403.9
2020/04/04,5935724.5,628806.0,189595.5,196405.8,958515.3,255021.1,229402.0,647216.1,86329.8,70672.2,101234.2
2020/04/05,5256712.5,515211.4,167457.9,158805.2,781214.3,387601.3,193608.6,679370.7,94539.8,79034.1,110519.4
2020/04/06,5953588.2,580109.6,111918.9,215054.5,952408.0,217940.7,236963.2,595276.1,102825.6,87665.9,119825.6
2020/04/07,5790481.3,554486.2,104134.0,214231.6,946378.7,189900.3,221385.8,521623.1,111194.2,96070.3,129124.2
2020/04/08,5681760.6,563882.5,103903.2,208089.4,933518.3,189619.3,219748.3,528874.9,119620.6,104372.6,138229.5
2020/04/09,5407101.7,587972.6,111207.1,191226.7,868129.3,193451.2,230065.8,548079.0,128040.1,112806.6,147278.6
2020/04/10,5666926.7,617149.5,118247.1,200917.6,962913.6,200534.6,231707.0,566137.6,136497.3,121566.4,156402.3
2020/04/11,5954162.0,628806.0,189595.5,195793.7,966449.8,255021.1,229402.0,647216.1,144794.2,129843.8,165275.1
2020/04/12,4776440.8,515211.4,167457.9,127691.0,686356.3,387601.3,193608.6,679370.7,152889.5,137851.6,173871.0
2020/04/13,4790632.7,580109.6,111918.9,151189.4,706288.2,217940.7,236963.2,595276.1,160983.8,145947.5,182504.0
2020/04/14,5761713.1,554486.2,104134.0,211861.4,980958.1,189900.3,221385.8,521623.1,168983.1,154262.9,191130.2
2020/04/15,5781139.3,563882.5,103903.2,211651.1,980419.5,189619.3,219748.3,528874.9,176792.4,162261.7,199560.3
2020/04/16,5791877.1,587972.6,111207.1,204447.9,975038.7,193451.2,230065.8,548079.0,184381.0,169240.7,207691.9
2020/04/17,6141956.4,617149.5,118247.1,220805.6,1089051.1,200534.6,231707.0,566137.6,191718.9,175851.0,215516.4
2020/04/18,5653828.6,628806.0,189595.5,179983.3,935306.1,255021.1,229402.0,647216.1,198806.5,182157.2,223092.7
2020/04/19,5728469.6,515211.4,167457.9,175389.7,895694.1,387601.3,193608.6,679370.7,205756.6,188133.1,230457.5
2020/04/20,6134822.0,580109.6,111918.9,221249.2,1021551.6,217940.7,236963.2,595276.1,212724.6,194044.0,237657.5
2020/04/21,6014064.1,554486.2,104134.0,223964.9,1013812.2,189900.3,221385.8,521623.1,219470.5,199667.2,244630.1
2020/04/22,6510931.7,563882.5,103903.2,248678.4,1139712.7,189619.3,219748.3,528874.9,225910.5,204992.2,251232.2
2020/04/23,6562579.1,587972.6,111207.1,246857.8,1146036.9,193451.2,230065.8,548079.0,232184.3,210115.7,257597.1
2020/04/24,6354196.9,617149.5,118247.1,231041.1,1130977.3,200534.6,231707.0,566137.6,238297.9,215066.0,263785.1
2020/04/25,7140203.7,628806.0,189595.5,246434.2,1248024.3,255021.1,229402.0,647216.1,244254.7,219875.0,269808.0
2020/04/26,5236857.8,515211.4,167457.9,150283.8,776479.4,387601.3,193608.6,679370.7,250084.5,224574.5,275771.0
2020/04/27,6506959.0,580109.6,111918.9,239436.4,1059792.3,217940.7,236963.2,595276.1,255913.1,229221.8,281674.7
2020/04/28,7190275.7,554486.2,104134.0,282262.2,1230832.5,189900.3,221385.8,521623.1,261698.8,233860.5,287461.7
2020/04/29,6578336.4,563882.5,103903.2,252373.8,1092685.5,189619.3,219748.3,528874.9,267334.4,238385.0,293052.4
2020/04/30,6286656.5,587972.6,111207.1,229338.2,1025224.0,193451.2,230065.8,548079.0,272826.8,242744.5,298491.2
2020/05/01,7244532.5,617149.5,118247.1,276752.5,1283555.4,200534.6,231707.0,566137.6,278232.7,247023.5,303769.8
2020/05/02,7594138.0,628806.0,189595.5,260307.4,1288887.1,255021.1,229402.0,647216.1,283529.5,251214.1,309002.9
2020/05/03,,,,,,,,,288795.2,255376.6,314219.3
2020/05/04,,,,,,,,,294118.3,259541.6,319408.6
2020/05/05,,,,,,,,,299266.0,263544.8,324443.0
2020/05/06,,,,,,,,,304317.4,267457.7,329366.6
2020/05/07,,,,,,,,,309310.4,271349.0,334209.7
2020/05/08,,,,,,,,,314148.9,275080.8,338877.2
2020/05/09,,,,,,,,,318887.0,278629.8,343425.7
