date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11796403.3,515211.4,167457.9,734949.2,2679322.2,387601.3,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14015480.0,580109.6,111918.9,911454.0,2747085.4,217940.7,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13274769.2,554486.2,104134.0,883517.4,2627834.0,189900.3,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13232491.8,563882.5,103903.2,866823.7,2660499.1,189619.3,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,12933927.5,587972.6,111207.1,804322.1,2632468.6,193451.2,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13592799.5,617149.5,118247.1,795409.3,2974918.1,200534.6,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11286545.8,628806.0,189595.5,643616.7,2569624.3,255021.1,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9415955.2,515211.4,167457.9,475920.5,2015981.9,387601.3,191088.7,679370.7,928.2,194.6,2464.2
2020/03/16,9574139.7,580109.6,111918.9,518043.6,1950894.7,217940.7,233907.7,595276.1,1285.5,305.4,3229.2
2020/03/17,8617045.1,554486.2,104134.0,389438.2,1735678.0,189900.3,203975.5,521623.1,1799.6,488.1,4224.3
2020/03/18,8626638.9,563882.5,103903.2,387192.8,1697618.7,189619.3,203895.6,528874.9,2544.6,784.1,5544.5
2020/03/19,8108650.9,587972.6,111207.1,349188.8,1579539.1,193451.2,185519.6,548079.0,3602.4,1257.6,7277.2
2020/03/20,7534907.6,617149.5,118247.1,314256.1,1433777.0,200534.6,156818.8,566137.6,5060.0,2000.1,9466.5
2020/03/21,6185066.3,628806.0,189595.5,209722.3,1079765.7,255021.1,110319.8,647216.1,7035.2,3043.3,12236.5
2020/03/22,5990590.5,515211.4,167457.9,191675.5,998374.9,387601.3,122423.2,679370.7,9618.4,4512.7,15646.6
2020/03/23,6012632.2,580109.6,111918.9,220640.7,1031217.8,217940.7,123985.7,595276.1,12840.5,6522.8,19698.6
2020/03/24,6619434.2,554486.2,104134.0,260124.4,1197841.6,189900.3,149015.4,521623.1,16625.4,9077.6,24274.7
2020/03/25,6986651.2,563882.5,103903.2,273448.1,1282530.0,189619.3,155080.3,528874.9,20906.8,12168.2,29336.6
2020/03/26,6636105.4,587972.6,111207.1,255512.8,1181649.9,193451.2,143560.8,548079.0,25660.4,15781.0,34788.1
2020/03/27,6781032.2,617149.5,118247.1,255840.4,1233830.1,200534.6,142569.7,566137.6,30926.4,20031.1,40667.9
2020/03/28,5597985.5,628806.0,189595.5,175664.0,955026.7,255021.1,115623.8,647216.1,36632.7,24819.2,46892.5
2020/03/29,5114790.0,515211.4,167457.9,147945.2,810563.0,387601.3,96620.0,679370.7,42714.6,30172.5,53461.0
2020/03/30,6210771.5,580109.6,111918.9,229381.0,1063937.7,217940.7,133639.0,595276.1,49131.5,35991.5,60378.6
2020/03/31,5948922.6,554486.2,104134.0,223835.0,1037366.7,189900.3,134969.0,521623.1,55882.7,42325.6,67923.2
2020/04/01,6278181.1,563882.5,103903.2,237980.1,1091166.3,189619.3,142244.8,528874.9,62883.0,48939.2,75469.0
2020/04/02,6137450.6,587972.6,111207.1,229651.6,1052175.1,193451.2,137314.7,548079.0,70291.7,56106.8,83819.7
2020/04/03,5674080.4,617149.5,118247.1,203051.7,993777.5,200534.6,137227.2,566137.6,78040.7,63753.1,92261.7
2020/04/04,5832977.1,628806.0,189595.5,196405.8,958515.3,255021.1,126654.5,647216.1,86060.6,71329.5,100527.8
2020/04/05,5164961.0,515211.4,167457.9,158805.2,781214.3,387601.3,101857.1,679370.7,94214.1,79200.3,109667.8
2020/04/06,5844463.6,580109.6,111918.9,215054.5,952408.0,217940.7,127838.5,595276.1,102442.8,87640.4,118911.6
2020/04/07,5698176.7,554486.2,104134.0,214231.6,946378.7,189900.3,129081.2,521623.1,110757.5,96009.2,128004.4
2020/04/08,5592889.8,563882.5,103903.2,208089.4,933518.3,189619.3,130877.5,528874.9,119126.4,104120.0,136979.6
2020/04/09,5298819.2,587972.6,111207.1,191226.7,868129.3,193451.2,121783.3,548079.0,127490.7,112305.8,145888.7
2020/04/10,5574104.5,617149.5,118247.1,200917.6,962913.6,200534.6,138884.7,566137.6,135893.8,120715.0,154800.5
2020/04/11,5870156.2,628806.0,189595.5,195793.7,966449.8,255021.1,145396.2,647216.1,144135.0,128939.7,163699.5
2020/04/12,4671969.2,515211.4,167457.9,127691.0,686356.3,387601.3,89136.9,679370.7,152175.8,137149.5,172477.0
2020/04/13,4642066.0,580109.6,111918.9,151189.4,706288.2,217940.7,88396.4,595276.1,160215.2,145526.5,181242.9
2020/04/14,5674174.1,554486.2,104134.0,211861.4,980958.1,189900.3,133846.8,521623.1,168169.0,153719.9,189866.5
2020/04/15,5690190.0,563882.5,103903.2,211651.1,980419.5,189619.3,128799.0,528874.9,175921.6,161534.8,198013.7
2020/04/16,5688913.8,587972.6,111207.1,204447.9,975038.7,193451.2,127102.5,548079.0,183461.2,168229.9,205913.5
2020/04/17,6046338.4,617149.5,118247.1,220805.6,1089051.1,200534.6,136089.0,566137.6,190748.7,175356.1,213524.6
2020/04/18,5540541.7,628806.0,189595.5,179983.3,935306.1,255021.1,116115.1,647216.1,197786.0,181921.9,220800.6
2020/04/19,5637895.3,515211.4,167457.9,175389.7,895694.1,387601.3,103034.3,679370.7,204693.6,187860.9,227980.8
2020/04/20,6022930.6,580109.6,111918.9,221249.2,1021551.6,217940.7,125071.8,595276.1,211615.7,193676.3,235205.2
2020/04/21,5915686.4,554486.2,104134.0,223964.9,1013812.2,189900.3,123008.0,521623.1,218323.7,199280.1,242197.1
2020/04/22,6432893.8,563882.5,103903.2,248678.4,1139712.7,189619.3,141710.4,528874.9,224724.1,204566.4,248919.1
2020/04/23,6471632.6,587972.6,111207.1,246857.8,1146036.9,193451.2,139119.3,548079.0,230961.9,209594.2,255478.3
2020/04/24,6252415.2,617149.5,118247.1,231041.1,1130977.3,200534.6,129925.3,566137.6,237036.2,214470.5,261870.1
2020/04/25,7048905.3,628806.0,189595.5,246434.2,1248024.3,255021.1,138103.6,647216.1,242958.2,219183.5,268072.7
2020/04/26,5134837.4,515211.4,167457.9,150283.8,776479.4,387601.3,91588.2,679370.7,248756.2,223801.1,274042.5
2020/04/27,6401460.0,580109.6,111918.9,239436.4,1059792.3,217940.7,131464.2,595276.1,254553.6,228411.1,279881.4
2020/04/28,7115469.0,554486.2,104134.0,282262.2,1230832.5,189900.3,146579.1,521623.1,260308.4,232948.2,285648.6
2020/04/29,6492222.8,563882.5,103903.2,252373.8,1092685.5,189619.3,133634.7,528874.9,265917.6,237327.1,291255.2
2020/04/30,6181040.6,587972.6,111207.1,229338.2,1025224.0,193451.2,124449.9,548079.0,271382.4,241595.3,296717.8
2020/05/01,7163039.0,617149.5,118247.1,276752.5,1283555.4,200534.6,150213.4,566137.6,276761.0,245753.7,302129.1
2020/05/02,7499840.6,628806.0,189595.5,260307.4,1288887.1,255021.1,135104.5,647216.1,282033.2,249813.2,307413.0
2020/05/03,,,,,,,,,287275.2,253866.2,312655.8
2020/05/04,,,,,,,,,292571.9,257975.8,317952.4
2020/05/05,,,,,,,,,297695.5,261910.9,323013.5
2020/05/06,,,,,,,,,302724.7,265779.8,327987.9
2020/05/07,,,,,,,,,307696.7,269568.2,332902.0
2020/05/08,,,,,,,,,312515.1,273250.4,337655.8
2020/05/09,,,,,,,,,317229.7,276859.7,342276.9
