date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11744967.7,492516.6,167457.9,734949.2,2679322.2,349562.8,193608.6,679370.7,3.4,0.3,12.8
2020/03/09,13987403.6,555939.5,111918.9,911454.0,2747085.4,202508.0,236963.2,595276.1,80.3,12.7,277.9
2020/03/10,13260026.0,531385.2,104134.0,883517.4,2627834.0,201275.7,221385.8,521623.1,154.2,25.1,526.1
2020/03/11,13199506.2,529369.8,103903.2,866823.7,2660499.1,196471.0,219748.3,528874.9,234.9,40.4,788.3
2020/03/12,12830258.3,512618.4,111207.1,804322.1,2632468.6,189123.5,230065.8,548079.0,330.2,59.6,1082.0
2020/03/13,13506125.3,577695.6,118247.1,795409.3,2974918.1,205293.0,231707.0,566137.6,452.5,87.7,1439.1
2020/03/14,11076013.7,480013.9,189595.5,643616.7,2569624.3,192215.6,229402.0,647216.1,620.2,128.9,1887.6
2020/03/15,9106056.9,368649.7,167457.9,475920.5,2015981.9,221744.8,193608.6,679370.7,855.5,192.8,2469.5
2020/03/16,9307624.2,376145.9,111918.9,518043.6,1950894.7,152333.5,236963.2,595276.1,1191.5,302.2,3230.7
2020/03/17,8365423.5,327744.1,104134.0,389438.2,1735678.0,147610.5,221385.8,521623.1,1678.3,471.3,4230.1
2020/03/18,8359825.4,324675.7,103903.2,387192.8,1697618.7,146159.9,219748.3,528874.9,2390.5,757.3,5549.9
2020/03/19,7806143.2,294174.3,111207.1,349188.8,1579539.1,140195.6,230065.8,548079.0,3408.9,1213.5,7293.2
2020/03/20,7184371.4,259310.2,118247.1,314256.1,1433777.0,132949.5,231707.0,566137.6,4820.8,1899.4,9489.5
2020/03/21,5719245.0,185267.0,189595.5,209722.3,1079765.7,113656.6,229402.0,647216.1,6737.7,2932.7,12258.7
2020/03/22,5468767.9,192936.0,167457.9,191675.5,998374.9,116868.6,193608.6,679370.7,9244.5,4368.6,15664.5
2020/03/23,5627168.6,194404.9,111918.9,220640.7,1031217.8,105204.3,236963.2,595276.1,12326.3,6294.1,19642.2
2020/03/24,6311769.0,239989.9,104134.0,260124.4,1197841.6,124361.0,221385.8,521623.1,15922.7,8738.8,24066.6
2020/03/25,6687258.4,253661.2,103903.2,273448.1,1282530.0,135779.8,219748.3,528874.9,19978.8,11650.7,28910.6
2020/03/26,6306062.7,245090.7,111207.1,255512.8,1181649.9,119785.3,230065.8,548079.0,24492.9,15060.5,34156.0
2020/03/27,6436704.8,260616.6,118247.1,255840.4,1233830.1,123602.8,231707.0,566137.6,29486.2,19044.8,39825.8
2020/03/28,5130193.3,206660.6,189595.5,175664.0,955026.7,95596.2,229402.0,647216.1,34878.1,23500.7,45865.1
2020/03/29,4567879.8,165715.4,167457.9,147945.2,810563.0,93198.6,193608.6,679370.7,40571.1,28370.1,52120.6
2020/03/30,5839600.8,211471.8,111918.9,229381.0,1063937.7,112083.6,236963.2,595276.1,46393.7,33419.5,58506.5
2020/03/31,5624573.8,224196.1,104134.0,223835.0,1037366.7,109424.8,221385.8,521623.1,52416.3,38795.6,65034.2
2020/04/01,5952540.3,235089.4,103903.2,237980.1,1091166.3,115268.2,219748.3,528874.9,58658.8,44523.9,71759.0
2020/04/02,5789463.9,230191.1,111207.1,229651.6,1052175.1,110495.0,230065.8,548079.0,65329.0,50879.7,78880.3
2020/04/03,5270699.9,236154.4,118247.1,203051.7,993777.5,83669.5,231707.0,566137.6,72330.1,57675.4,86213.9
2020/04/04,5378151.1,241736.6,189595.5,196405.8,958515.3,84517.1,229402.0,647216.1,79571.3,64652.5,93874.5
2020/04/05,4617460.8,179268.8,167457.9,158805.2,781214.3,84292.1,193608.6,679370.7,86876.7,71625.3,101996.4
2020/04/06,5462221.3,216071.0,111918.9,215054.5,952408.0,90612.5,236963.2,595276.1,94022.4,78497.8,109645.9
2020/04/07,5359218.1,221022.9,104134.0,214231.6,946378.7,92100.4,221385.8,521623.1,101135.7,85297.4,117142.0
2020/04/08,5230713.5,211071.9,103903.2,208089.4,933518.3,91382.9,219748.3,528874.9,108342.7,92232.1,124993.5
2020/04/09,4909204.2,199959.0,111207.1,191226.7,868129.3,83567.3,230065.8,548079.0,115598.7,99561.5,132853.3
2020/04/10,5152446.3,219690.3,118247.1,200917.6,962913.6,83513.4,231707.0,566137.6,122924.1,107154.7,140780.9
2020/04/11,5407834.8,247481.6,189595.5,195793.7,966449.8,90018.4,229402.0,647216.1,130087.7,114357.3,148460.8
2020/04/12,4095522.5,140211.0,167457.9,127691.0,686356.3,81683.4,193608.6,679370.7,136993.3,121390.4,155685.9
2020/04/13,4215065.1,151992.2,111918.9,151189.4,706288.2,70490.5,236963.2,595276.1,143679.8,128323.8,162617.6
2020/04/14,5347734.2,237116.5,104134.0,211861.4,980958.1,93291.0,221385.8,521623.1,150196.4,135123.1,169386.7
2020/04/15,5359462.1,240233.3,103903.2,211651.1,980419.5,91591.5,219748.3,528874.9,156582.8,140752.0,175996.3
2020/04/16,5342041.8,235635.7,111207.1,204447.9,975038.7,95952.8,230065.8,548079.0,162835.4,147170.0,182423.2
2020/04/17,5687792.1,264743.2,118247.1,220805.6,1089051.1,98776.6,231707.0,566137.6,168887.9,152257.3,188649.4
2020/04/18,5085181.0,229864.9,189595.5,179983.3,935306.1,85314.6,229402.0,647216.1,174726.5,157132.6,194615.1
2020/04/19,5142705.5,220842.5,167457.9,175389.7,895694.1,96206.1,193608.6,679370.7,180418.3,161812.8,200435.4
2020/04/20,5661621.9,222536.7,111918.9,221249.2,1021551.6,102313.5,236963.2,595276.1,185956.5,166937.5,206070.2
2020/04/21,5596433.9,222119.1,104134.0,223964.9,1013812.2,104637.2,221385.8,521623.1,191233.1,171501.6,211415.5
2020/04/22,6133600.9,264593.8,103903.2,248678.4,1139712.7,111577.3,219748.3,528874.9,196293.5,175574.7,216521.0
2020/04/23,6150658.9,258307.6,111207.1,246857.8,1146036.9,111196.0,230065.8,548079.0,201291.0,179391.3,221539.1
2020/04/24,5915860.1,271389.4,118247.1,231041.1,1130977.3,107957.9,231707.0,566137.6,206191.8,183121.6,226485.0
2020/04/25,6699668.6,320537.4,189595.5,246434.2,1248024.3,122754.6,229402.0,647216.1,211001.5,186757.6,231418.7
2020/04/26,4603242.7,183522.6,167457.9,150283.8,776479.4,85675.0,193608.6,679370.7,215694.5,190247.1,236299.1
2020/04/27,6049750.2,237548.4,111918.9,239436.4,1059792.3,103293.2,236963.2,595276.1,220247.9,193637.5,241204.3
2020/04/28,6865279.8,291932.9,104134.0,282262.2,1230832.5,127457.7,221385.8,521623.1,224739.3,197021.8,246120.1
2020/04/29,6188878.0,252758.8,103903.2,252373.8,1092685.5,111284.7,219748.3,528874.9,229178.2,200361.5,250980.2
2020/04/30,5849640.4,241233.1,111207.1,229338.2,1025224.0,103174.6,230065.8,548079.0,233563.9,203640.6,255742.4
2020/05/01,6856119.1,307128.4,118247.1,276752.5,1283555.4,122142.3,231707.0,566137.6,237929.2,206939.4,260419.7
2020/05/02,7181289.3,338882.6,189595.5,260307.4,1288887.1,132095.7,229402.0,647216.1,242243.3,210184.2,264846.2
2020/05/03,,,,,,,,,246548.4,213430.2,269413.2
2020/05/04,,,,,,,,,250810.2,216577.6,273935.8
2020/05/05,,,,,,,,,254889.9,219580.8,278308.5
2020/05/06,,,,,,,,,258963.2,222563.1,282640.7
2020/05/07,,,,,,,,,263056.0,225555.5,286926.7
2020/05/08,,,,,,,,,267063.3,228472.3,291158.6
2020/05/09,,,,,,,,,271022.4,231360.9,295317.1
