date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11783006.3,492516.6,167457.9,734949.2,2679322.2,387601.3,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14002836.3,555939.5,111918.9,911454.0,2747085.4,217940.7,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13248650.6,531385.2,104134.0,883517.4,2627834.0,189900.3,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13192654.6,529369.8,103903.2,866823.7,2660499.1,189619.3,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,12834586.0,512618.4,111207.1,804322.1,2632468.6,193451.2,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13501366.9,577695.6,118247.1,795409.3,2974918.1,200534.6,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11138819.1,480013.9,189595.5,643616.7,2569624.3,255021.1,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9271913.5,368649.7,167457.9,475920.5,2015981.9,387601.3,193608.6,679370.7,928.2,194.3,2463.5
2020/03/16,9373231.4,376145.9,111918.9,518043.6,1950894.7,217940.7,236963.2,595276.1,1285.8,306.1,3227.3
2020/03/17,8407713.3,327744.1,104134.0,389438.2,1735678.0,189900.3,221385.8,521623.1,1798.9,481.3,4229.0
2020/03/18,8403284.9,324675.7,103903.2,387192.8,1697618.7,189619.3,219748.3,528874.9,2541.1,783.5,5533.9
2020/03/19,7859398.8,294174.3,111207.1,349188.8,1579539.1,193451.2,230065.8,548079.0,3596.1,1255.6,7247.3
2020/03/20,7251956.6,259310.2,118247.1,314256.1,1433777.0,200534.6,231707.0,566137.6,5048.5,1995.7,9437.0
2020/03/21,5860609.5,185267.0,189595.5,209722.3,1079765.7,255021.1,229402.0,647216.1,7013.0,3048.3,12205.3
2020/03/22,5739500.6,192936.0,167457.9,191675.5,998374.9,387601.3,193608.6,679370.7,9574.0,4540.6,15621.9
2020/03/23,5739905.0,194404.9,111918.9,220640.7,1031217.8,217940.7,236963.2,595276.1,12762.2,6561.5,19668.4
2020/03/24,6377308.2,239989.9,104134.0,260124.4,1197841.6,189900.3,221385.8,521623.1,16488.3,9081.2,24247.3
2020/03/25,6741097.9,253661.2,103903.2,273448.1,1282530.0,189619.3,219748.3,528874.9,20681.9,12093.6,29250.9
2020/03/26,6379728.5,245090.7,111207.1,255512.8,1181649.9,193451.2,230065.8,548079.0,25326.6,15643.0,34583.4
2020/03/27,6513636.6,260616.6,118247.1,255840.4,1233830.1,200534.6,231707.0,566137.6,30452.2,19739.0,40347.6
2020/03/28,5289618.2,206660.6,189595.5,175664.0,955026.7,255021.1,229402.0,647216.1,35983.6,24331.6,46478.2
2020/03/29,4862282.6,165715.4,167457.9,147945.2,810563.0,387601.3,193608.6,679370.7,41854.6,29398.6,52885.4
2020/03/30,5945457.9,211471.8,111918.9,229381.0,1063937.7,217940.7,236963.2,595276.1,48028.9,34939.6,59525.7
2020/03/31,5705049.2,224196.1,104134.0,223835.0,1037366.7,189900.3,221385.8,521623.1,54499.6,40874.5,66402.9
2020/04/01,6026891.5,235089.4,103903.2,237980.1,1091166.3,189619.3,219748.3,528874.9,61181.0,47057.7,73740.4
2020/04/02,5872420.1,230191.1,111207.1,229651.6,1052175.1,193451.2,230065.8,548079.0,68255.1,53758.4,81572.7
2020/04/03,5387565.1,236154.4,118247.1,203051.7,993777.5,200534.6,231707.0,566137.6,75643.9,60938.8,90021.9
2020/04/04,5548655.1,241736.6,189595.5,196405.8,958515.3,255021.1,229402.0,647216.1,83268.3,68415.2,98005.1
2020/04/05,4920770.0,179268.8,167457.9,158805.2,781214.3,387601.3,193608.6,679370.7,91006.6,76023.6,106672.0
2020/04/06,5589549.6,216071.0,111918.9,215054.5,952408.0,217940.7,236963.2,595276.1,98796.0,83696.9,115373.6
2020/04/07,5457018.0,221022.9,104134.0,214231.6,946378.7,189900.3,221385.8,521623.1,106652.7,91834.1,123953.5
2020/04/08,5328950.0,211071.9,103903.2,208089.4,933518.3,189619.3,219748.3,528874.9,114550.4,99683.4,132614.9
2020/04/09,5019088.0,199959.0,111207.1,191226.7,868129.3,193451.2,230065.8,548079.0,122439.4,107476.9,141240.7
2020/04/10,5269467.5,219690.3,118247.1,200917.6,962913.6,200534.6,231707.0,566137.6,130361.6,115620.0,149789.0
2020/04/11,5572837.6,247481.6,189595.5,195793.7,966449.8,255021.1,229402.0,647216.1,138115.7,123705.3,158162.0
2020/04/12,4401440.5,140211.0,167457.9,127691.0,686356.3,387601.3,193608.6,679370.7,145659.0,131446.9,166269.0
2020/04/13,4362515.3,151992.2,111918.9,151189.4,706288.2,217940.7,236963.2,595276.1,153198.2,138929.8,174350.9
2020/04/14,5444343.4,237116.5,104134.0,211861.4,980958.1,189900.3,221385.8,521623.1,160640.4,146191.6,182254.3
2020/04/15,5457490.0,240233.3,103903.2,211651.1,980419.5,189619.3,219748.3,528874.9,167891.0,153615.0,189860.7
2020/04/16,5439540.2,235635.7,111207.1,204447.9,975038.7,193451.2,230065.8,548079.0,174934.3,160979.2,197281.2
2020/04/17,5789550.1,264743.2,118247.1,220805.6,1089051.1,200534.6,231707.0,566137.6,181735.6,166873.9,204368.8
2020/04/18,5254887.5,229864.9,189595.5,179983.3,935306.1,255021.1,229402.0,647216.1,188292.7,172640.7,211180.8
2020/04/19,5434100.7,220842.5,167457.9,175389.7,895694.1,387601.3,193608.6,679370.7,194714.6,178048.5,217908.2
2020/04/20,5777249.1,222536.7,111918.9,221249.2,1021551.6,217940.7,236963.2,595276.1,201151.4,183425.0,224603.6
2020/04/21,5681697.0,222119.1,104134.0,223964.9,1013812.2,189900.3,221385.8,521623.1,207376.7,188595.9,231067.2
2020/04/22,6211643.0,264593.8,103903.2,248678.4,1139712.7,189619.3,219748.3,528874.9,213313.6,193352.2,237197.4
2020/04/23,6232914.0,258307.6,111207.1,246857.8,1146036.9,193451.2,230065.8,548079.0,219108.7,198047.0,243141.4
2020/04/24,6008436.8,271389.4,118247.1,231041.1,1130977.3,200534.6,231707.0,566137.6,224749.7,202586.5,248910.7
2020/04/25,6831935.1,320537.4,189595.5,246434.2,1248024.3,255021.1,229402.0,647216.1,230247.5,207019.3,254464.8
2020/04/26,4905169.0,183522.6,167457.9,150283.8,776479.4,387601.3,193608.6,679370.7,235627.3,211298.4,259856.8
2020/04/27,6164397.8,237548.4,111918.9,239436.4,1059792.3,217940.7,236963.2,595276.1,241003.5,215599.9,265198.0
2020/04/28,6927722.4,291932.9,104134.0,282262.2,1230832.5,189900.3,221385.8,521623.1,246349.7,219829.8,270513.1
2020/04/29,6267212.7,252758.8,103903.2,252373.8,1092685.5,189619.3,219748.3,528874.9,251563.2,223918.2,275668.0
2020/04/30,5939917.0,241233.1,111207.1,229338.2,1025224.0,193451.2,230065.8,548079.0,256656.2,227859.8,280699.6
2020/05/01,6934511.4,307128.4,118247.1,276752.5,1283555.4,200534.6,231707.0,566137.6,261673.9,231698.9,285700.0
2020/05/02,7304214.6,338882.6,189595.5,260307.4,1288887.1,255021.1,229402.0,647216.1,266596.4,235430.4,290591.8
2020/05/03,,,,,,,,,271489.8,239160.7,295448.5
2020/05/04,,,,,,,,,276440.3,242956.2,300372.0
2020/05/05,,,,,,,,,281231.6,246618.3,305078.1
2020/05/06,,,,,,,,,285943.8,250175.5,309723.6
2020/05/07,,,,,,,,,290608.1,253682.6,314342.8
2020/05/08,,,,,,,,,295136.7,257099.2,318829.0
2020/05/09,,,,,,,,,299567.7,260420.7,323396.2
