date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11773708.6,492516.6,167457.9,734949.2,2679322.2,387601.3,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,13991309.9,555939.5,111918.9,911454.0,2747085.4,217940.7,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13251668.2,531385.2,104134.0,883517.4,2627834.0,189900.3,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13197979.1,529369.8,103903.2,866823.7,2660499.1,189619.3,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,12858573.3,512618.4,111207.1,804322.1,2632468.6,193451.2,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13553345.6,577695.6,118247.1,795409.3,2974918.1,200534.6,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11137753.7,480013.9,189595.5,643616.7,2569624.3,255021.1,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9269393.6,368649.7,167457.9,475920.5,2015981.9,387601.3,191088.7,679370.7,928.2,194.3,2463.5
2020/03/16,9370175.9,376145.9,111918.9,518043.6,1950894.7,217940.7,233907.7,595276.1,1285.5,308.2,3233.1
2020/03/17,8390303.0,327744.1,104134.0,389438.2,1735678.0,189900.3,203975.5,521623.1,1799.3,480.6,4231.5
2020/03/18,8387432.1,324675.7,103903.2,387192.8,1697618.7,189619.3,203895.6,528874.9,2542.8,780.3,5547.8
2020/03/19,7814852.6,294174.3,111207.1,349188.8,1579539.1,193451.2,185519.6,548079.0,3599.4,1248.2,7280.6
2020/03/20,7177068.4,259310.2,118247.1,314256.1,1433777.0,200534.6,156818.8,566137.6,5050.8,1954.9,9506.8
2020/03/21,5741527.3,185267.0,189595.5,209722.3,1079765.7,255021.1,110319.8,647216.1,7013.3,2968.6,12276.2
2020/03/22,5668315.2,192936.0,167457.9,191675.5,998374.9,387601.3,122423.2,679370.7,9574.0,4399.3,15679.3
2020/03/23,5626927.5,194404.9,111918.9,220640.7,1031217.8,217940.7,123985.7,595276.1,12759.3,6434.6,19716.1
2020/03/24,6304937.8,239989.9,104134.0,260124.4,1197841.6,189900.3,149015.4,521623.1,16483.6,8966.8,24214.9
2020/03/25,6676429.9,253661.2,103903.2,273448.1,1282530.0,189619.3,155080.3,528874.9,20669.9,12003.0,29152.0
2020/03/26,6293223.5,245090.7,111207.1,255512.8,1181649.9,193451.2,143560.8,548079.0,25301.3,15542.3,34499.8
2020/03/27,6424499.3,260616.6,118247.1,255840.4,1233830.1,200534.6,142569.7,566137.6,30411.7,19632.3,40224.3
2020/03/28,5175840.1,206660.6,189595.5,175664.0,955026.7,255021.1,115623.8,647216.1,35923.7,24216.0,46240.7
2020/03/29,4765294.0,165715.4,167457.9,147945.2,810563.0,387601.3,96620.0,679370.7,41768.0,29224.7,52595.8
2020/03/30,5842133.7,211471.8,111918.9,229381.0,1063937.7,217940.7,133639.0,595276.1,47909.8,34652.2,59196.1
2020/03/31,5618632.4,224196.1,104134.0,223835.0,1037366.7,189900.3,134969.0,521623.1,54346.2,40521.1,66481.7
2020/04/01,5949388.0,235089.4,103903.2,237980.1,1091166.3,189619.3,142244.8,528874.9,60988.3,46682.8,73999.6
2020/04/02,5779669.0,230191.1,111207.1,229651.6,1052175.1,193451.2,137314.7,548079.0,68020.6,53532.3,81872.0
2020/04/03,5293085.3,236154.4,118247.1,203051.7,993777.5,200534.6,137227.2,566137.6,75362.1,60873.2,89552.7
2020/04/04,5445907.6,241736.6,189595.5,196405.8,958515.3,255021.1,126654.5,647216.1,82942.1,68132.9,97534.6
2020/04/05,4829018.4,179268.8,167457.9,158805.2,781214.3,387601.3,101857.1,679370.7,90630.8,75631.9,105681.9
2020/04/06,5480425.0,216071.0,111918.9,215054.5,952408.0,217940.7,127838.5,595276.1,98372.8,83278.8,114042.0
2020/04/07,5364713.3,221022.9,104134.0,214231.6,946378.7,189900.3,129081.2,521623.1,106179.2,91316.5,122784.7
2020/04/08,5240079.2,211071.9,103903.2,208089.4,933518.3,189619.3,130877.5,528874.9,114025.0,99511.2,131615.3
2020/04/09,4910805.6,199959.0,111207.1,191226.7,868129.3,193451.2,121783.3,548079.0,121864.1,107263.6,140133.8
2020/04/10,5176645.2,219690.3,118247.1,200917.6,962913.6,200534.6,138884.7,566137.6,129733.4,115083.2,148579.2
2020/04/11,5488831.8,247481.6,189595.5,195793.7,966449.8,255021.1,145396.2,647216.1,137436.5,122673.2,156774.5
2020/04/12,4296968.8,140211.0,167457.9,127691.0,686356.3,387601.3,89136.9,679370.7,144927.7,130340.2,164707.4
2020/04/13,4213948.6,151992.2,111918.9,151189.4,706288.2,217940.7,88396.4,595276.1,152408.3,137966.9,172640.9
2020/04/14,5356804.4,237116.5,104134.0,211861.4,980958.1,189900.3,133846.8,521623.1,159805.8,145143.8,180401.3
2020/04/15,5366540.7,240233.3,103903.2,211651.1,980419.5,189619.3,128799.0,528874.9,167006.2,152234.7,187959.7
2020/04/16,5336576.9,235635.7,111207.1,204447.9,975038.7,193451.2,127102.5,548079.0,174001.0,159091.8,195298.6
2020/04/17,5693932.1,264743.2,118247.1,220805.6,1089051.1,200534.6,136089.0,566137.6,180755.3,164787.0,202414.5
2020/04/18,5141600.6,229864.9,189595.5,179983.3,935306.1,255021.1,116115.1,647216.1,187263.0,170657.6,209228.0
2020/04/19,5343526.4,220842.5,167457.9,175389.7,895694.1,387601.3,103034.3,679370.7,193637.9,175979.1,215902.4
2020/04/20,5665357.7,222536.7,111918.9,221249.2,1021551.6,217940.7,125071.8,595276.1,200028.9,181223.2,222543.9
2020/04/21,5583319.2,222119.1,104134.0,223964.9,1013812.2,189900.3,123008.0,521623.1,206211.5,186241.0,228956.4
2020/04/22,6133605.1,264593.8,103903.2,248678.4,1139712.7,189619.3,141710.4,528874.9,212105.9,191026.1,235014.7
2020/04/23,6141967.5,258307.6,111207.1,246857.8,1146036.9,193451.2,139119.3,548079.0,217858.2,195629.5,240943.0
2020/04/24,5906655.1,271389.4,118247.1,231041.1,1130977.3,200534.6,129925.3,566137.6,223459.2,200027.2,246667.4
2020/04/25,6740636.7,320537.4,189595.5,246434.2,1248024.3,255021.1,138103.6,647216.1,228918.9,204319.9,252191.3
2020/04/26,4803148.6,183522.6,167457.9,150283.8,776479.4,387601.3,91588.2,679370.7,234259.9,208550.4,257591.0
2020/04/27,6058898.8,237548.4,111918.9,239436.4,1059792.3,217940.7,131464.2,595276.1,239597.1,212853.7,262993.2
2020/04/28,6852915.7,291932.9,104134.0,282262.2,1230832.5,189900.3,146579.1,521623.1,244907.7,217116.5,268330.9
2020/04/29,6181099.0,252758.8,103903.2,252373.8,1092685.5,189619.3,133634.7,528874.9,250085.2,221237.4,273491.3
2020/04/30,5834301.1,241233.1,111207.1,229338.2,1025224.0,193451.2,124449.9,548079.0,255142.5,225212.0,278517.0
2020/05/01,6853017.9,307128.4,118247.1,276752.5,1283555.4,200534.6,150213.4,566137.6,260127.0,229102.5,283493.7
2020/05/02,7209917.2,338882.6,189595.5,260307.4,1288887.1,255021.1,135104.5,647216.1,265014.2,232891.5,288351.2
2020/05/03,,,,,,,,,269872.3,236660.5,293155.7
2020/05/04,,,,,,,,,274794.2,240504.1,297991.3
2020/05/05,,,,,,,,,279556.6,244204.1,302672.1
2020/05/06,,,,,,,,,284240.3,247811.3,307463.6
2020/05/07,,,,,,,,,288882.5,251385.7,312284.5
2020/05/08,,,,,,,,,293379.9,254886.2,316725.1
2020/05/09,,,,,,,,,297787.5,258270.3,321011.9
