date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11720459.6,515211.4,167457.9,734949.2,2679322.2,349562.8,184310.9,641465.6,4.0,0.3,12.8
2020/03/09,13984548.7,580109.6,111918.9,911454.0,2747085.4,202508.0,225436.8,579777.5,93.9,12.7,277.9
2020/03/10,13324567.4,554486.2,104134.0,883517.4,2627834.0,201275.7,224403.4,560045.8,180.1,25.1,526.1
2020/03/11,13277333.1,563882.5,103903.2,866823.7,2660499.1,196471.0,225072.8,566864.6,273.7,40.4,788.3
2020/03/12,13109083.7,587972.6,111207.1,804322.1,2632468.6,189123.5,254053.0,727562.8,383.6,59.6,1082.0
2020/03/13,13910669.6,617149.5,118247.1,795409.3,2974918.1,205293.0,283685.7,879249.3,523.4,87.7,1439.1
2020/03/14,11299964.8,628806.0,189595.5,643616.7,2569624.3,192215.6,228336.6,723440.5,712.9,128.9,1887.6
2020/03/15,9243737.1,515211.4,167457.9,475920.5,2015981.9,221744.8,191088.7,673009.1,975.9,193.4,2470.4
2020/03/16,9629841.2,580109.6,111918.9,518043.6,1950894.7,152333.5,233907.7,716584.9,1347.7,301.9,3239.0
2020/03/17,8649445.1,554486.2,104134.0,389438.2,1735678.0,147610.5,203975.5,596312.8,1880.2,473.1,4237.0
2020/03/18,8626311.7,563882.5,103903.2,387192.8,1697618.7,146159.9,203895.6,572007.2,2652.4,752.8,5551.4
2020/03/19,8042175.4,587972.6,111207.1,349188.8,1579539.1,140195.6,185519.6,534859.1,3745.7,1210.6,7291.5
2020/03/20,7419223.4,617149.5,118247.1,314256.1,1433777.0,132949.5,156818.8,518038.5,5249.6,1914.4,9518.9
2020/03/21,5798040.2,628806.0,189595.5,209722.3,1079765.7,113656.6,110319.8,401554.4,7285.9,2940.8,12307.1
2020/03/22,5478595.2,515211.4,167457.9,191675.5,998374.9,116868.6,122423.2,438108.1,9937.4,4417.5,15740.4
2020/03/23,5670697.4,580109.6,111918.9,220640.7,1031217.8,105204.3,123985.7,366077.7,13176.3,6398.8,19743.3
2020/03/24,6454727.2,554486.2,104134.0,260124.4,1197841.6,124361.0,149015.4,422455.4,16942.4,8856.9,24227.9
2020/03/25,6856237.6,563882.5,103903.2,273448.1,1282530.0,135779.8,155080.3,452300.8,21190.2,11789.3,29162.3
2020/03/26,6418311.1,587972.6,111207.1,255512.8,1181649.9,119785.3,143560.8,403950.5,25904.3,15213.2,34474.5
2020/03/27,6572149.5,617149.5,118247.1,255840.4,1233830.1,123602.8,142569.7,434186.8,31111.1,19208.0,40229.4
2020/03/28,5224353.1,628806.0,189595.5,175664.0,955026.7,95596.2,115623.8,433008.6,36723.6,23716.5,46315.9
2020/03/29,4529237.5,515211.4,167457.9,147945.2,810563.0,93198.6,96620.0,388221.0,42634.1,28645.3,52641.9
2020/03/30,5905887.9,580109.6,111918.9,229381.0,1063937.7,112083.6,133639.0,396249.5,48631.0,33810.2,59058.2
2020/03/31,5733885.7,554486.2,104134.0,223835.0,1037366.7,109424.8,134969.0,387061.6,54800.9,39188.1,65731.2
2020/04/01,6074543.1,563882.5,103903.2,237980.1,1091166.3,115268.2,142244.8,399588.1,61190.3,44918.2,72603.2
2020/04/02,5910253.9,587972.6,111207.1,229651.6,1052175.1,110495.0,137314.7,403838.5,68017.5,51342.9,79883.0
2020/04/03,5395142.5,617149.5,118247.1,203051.7,993777.5,83669.5,137227.2,404064.8,75177.0,58291.7,87660.6
2020/04/04,5445922.3,628806.0,189595.5,196405.8,958515.3,84517.1,126654.5,430665.2,82575.1,65673.3,95942.8
2020/04/05,4546390.0,515211.4,167457.9,158805.2,781214.3,84292.1,101857.1,364108.8,90019.7,73371.1,103971.3
2020/04/06,5490964.4,580109.6,111918.9,215054.5,952408.0,90612.5,127838.5,369105.2,97252.0,80883.2,111972.4
2020/04/07,5444293.7,554486.2,104134.0,214231.6,946378.7,92100.4,129081.2,365540.0,104419.4,88278.6,120026.7
2020/04/08,5329235.1,563882.5,103903.2,208089.4,933518.3,91382.9,130877.5,363456.7,111674.2,95447.7,128039.7
2020/04/09,5004679.9,587972.6,111207.1,191226.7,868129.3,83567.3,121783.3,363823.5,118979.8,102659.2,135959.6
2020/04/10,5305296.4,617149.5,118247.1,200917.6,962913.6,83513.4,138884.7,414350.8,126360.3,110382.8,143916.7
2020/04/11,5498754.6,628806.0,189595.5,195793.7,966449.8,90018.4,145396.2,440817.3,133577.6,117894.8,151692.7
2020/04/12,3921634.9,515211.4,167457.9,127691.0,686356.3,81683.4,89136.9,234954.4,140523.5,124856.0,159136.6
2020/04/13,4164068.6,580109.6,111918.9,151189.4,706288.2,70490.5,88396.4,264728.9,147210.8,131762.7,166270.0
2020/04/14,5425045.0,554486.2,104134.0,211861.4,980958.1,93291.0,133846.8,369103.2,153696.1,138372.6,173189.3
2020/04/15,5424684.5,563882.5,103903.2,211651.1,980419.5,91591.5,128799.0,361397.3,160048.6,144146.8,179972.3
2020/04/16,5403497.5,587972.6,111207.1,204447.9,975038.7,95952.8,127102.5,360161.1,166268.5,149418.6,186578.8
2020/04/17,5771495.6,617149.5,118247.1,220805.6,1089051.1,98776.6,136089.0,393052.8,172294.3,155014.2,192903.3
2020/04/18,5114352.9,628806.0,189595.5,179983.3,935306.1,85314.6,116115.1,390733.7,178112.2,160583.2,199018.5
2020/04/19,5021151.7,515211.4,167457.9,175389.7,895694.1,96206.1,103034.3,354022.3,183783.2,165755.0,204980.3
2020/04/20,5669077.1,580109.6,111918.9,221249.2,1021551.6,102313.5,125071.8,357049.8,189282.6,170263.0,210747.6
2020/04/21,5670131.5,554486.2,104134.0,223964.9,1013812.2,104637.2,123008.0,361331.3,194497.1,174478.2,216181.6
2020/04/22,6235813.8,563882.5,103903.2,248678.4,1139712.7,111577.3,141710.4,409836.9,199501.2,178479.9,221383.3
2020/04/23,6248230.8,587972.6,111207.1,246857.8,1146036.9,111196.0,139119.3,406932.3,204440.5,182431.6,226527.4
2020/04/24,5986128.5,617149.5,118247.1,231041.1,1130977.3,107957.9,129925.3,392427.6,209296.4,186275.4,231574.9
2020/04/25,6716817.4,628806.0,189595.5,246434.2,1248024.3,122754.6,138103.6,447394.7,214059.2,190044.4,236496.6
2020/04/26,4496171.5,515211.4,167457.9,150283.8,776479.4,85675.0,91588.2,342631.1,218712.7,193718.8,241263.1
2020/04/27,6070255.8,580109.6,111918.9,239436.4,1059792.3,103293.2,131464.2,378719.3,223214.5,197219.7,245919.6
2020/04/28,6934555.5,554486.2,104134.0,282262.2,1230832.5,127457.7,146579.1,403152.1,227648.1,200665.2,250579.5
2020/04/29,6268176.8,563882.5,103903.2,252373.8,1092685.5,111284.7,133634.7,383163.5,232030.4,204064.3,255267.7
2020/04/30,5900309.1,587972.6,111207.1,229338.2,1025224.0,103174.6,124449.9,357624.1,236364.1,207405.5,259914.7
2020/05/01,6941345.8,617149.5,118247.1,276752.5,1283555.4,122142.3,150213.4,422836.7,240679.1,210747.4,264681.0
2020/05/02,7174988.3,628806.0,189595.5,260307.4,1288887.1,132095.7,135104.5,445289.2,244954.9,214114.6,269453.5
2020/05/03,,,,,,,,,249224.1,217469.7,274172.2
2020/05/04,,,,,,,,,253442.7,220762.4,278802.4
2020/05/05,,,,,,,,,257471.4,223848.6,283314.6
2020/05/06,,,,,,,,,261492.7,226948.7,287796.7
2020/05/07,,,,,,,,,265539.4,230063.9,292237.0
2020/05/08,,,,,,,,,269503.3,233117.2,296602.0
2020/05/09,,,,,,,,,273424.7,236107.6,300779.1
