date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11729757.3,515211.4,167457.9,734949.2,2679322.2,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,13996075.1,580109.6,111918.9,911454.0,2747085.4,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13321549.8,554486.2,104134.0,883517.4,2627834.0,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13272008.6,563882.5,103903.2,866823.7,2660499.1,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13085096.4,587972.6,111207.1,804322.1,2632468.6,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13858690.9,617149.5,118247.1,795409.3,2974918.1,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11301030.2,628806.0,189595.5,643616.7,2569624.3,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9246257.0,515211.4,167457.9,475920.5,2015981.9,221744.8,193608.6,673009.1,928.2,194.8,2467.1
2020/03/16,9632896.7,580109.6,111918.9,518043.6,1950894.7,152333.5,236963.2,716584.9,1284.4,300.9,3228.7
2020/03/17,8666855.4,554486.2,104134.0,389438.2,1735678.0,147610.5,221385.8,596312.8,1795.9,479.5,4219.4
2020/03/18,8642164.5,563882.5,103903.2,387192.8,1697618.7,146159.9,219748.3,572007.2,2538.9,783.5,5531.6
2020/03/19,8086721.6,587972.6,111207.1,349188.8,1579539.1,140195.6,230065.8,534859.1,3593.7,1255.8,7259.4
2020/03/20,7494111.6,617149.5,118247.1,314256.1,1433777.0,132949.5,231707.0,518038.5,5049.6,1970.0,9450.1
2020/03/21,5917122.4,628806.0,189595.5,209722.3,1079765.7,113656.6,229402.0,401554.4,7025.4,2986.0,12194.6
2020/03/22,5549780.6,515211.4,167457.9,191675.5,998374.9,116868.6,193608.6,438108.1,9602.5,4518.9,15635.9
2020/03/23,5783674.9,580109.6,111918.9,220640.7,1031217.8,105204.3,236963.2,366077.7,12753.9,6557.8,19619.4
2020/03/24,6527097.6,554486.2,104134.0,260124.4,1197841.6,124361.0,221385.8,422455.4,16421.5,9090.5,24098.3
2020/03/25,6920905.6,563882.5,103903.2,273448.1,1282530.0,135779.8,219748.3,452300.8,20570.4,12119.2,28979.8
2020/03/26,6504816.1,587972.6,111207.1,255512.8,1181649.9,119785.3,230065.8,403950.5,25183.7,15638.5,34275.6
2020/03/27,6661286.9,617149.5,118247.1,255840.4,1233830.1,123602.8,231707.0,434186.8,30292.8,19777.7,40005.4
2020/03/28,5338131.3,628806.0,189595.5,175664.0,955026.7,95596.2,229402.0,433008.6,35813.8,24451.7,46049.9
2020/03/29,4626226.1,515211.4,167457.9,147945.2,810563.0,93198.6,193608.6,388221.0,41635.8,29470.8,52333.4
2020/03/30,6009212.0,580109.6,111918.9,229381.0,1063937.7,112083.6,236963.2,396249.5,47562.6,34706.6,58714.2
2020/03/31,5820302.4,554486.2,104134.0,223835.0,1037366.7,109424.8,221385.8,387061.6,53676.6,40305.9,65477.1
2020/04/01,6152046.6,563882.5,103903.2,237980.1,1091166.3,115268.2,219748.3,399588.1,60025.2,46248.3,72523.1
2020/04/02,6003005.0,587972.6,111207.1,229651.6,1052175.1,110495.0,230065.8,403838.5,66819.3,52776.0,79984.4
2020/04/03,5489622.2,617149.5,118247.1,203051.7,993777.5,83669.5,231707.0,404064.8,73955.2,59753.7,87555.5
2020/04/04,5548669.7,628806.0,189595.5,196405.8,958515.3,84517.1,229402.0,430665.2,81345.8,67062.7,95802.4
2020/04/05,4638141.5,515211.4,167457.9,158805.2,781214.3,84292.1,193608.6,364108.8,88799.1,74523.9,104124.6
2020/04/06,5600089.1,580109.6,111918.9,215054.5,952408.0,90612.5,236963.2,369105.2,96057.6,81601.0,112014.8
2020/04/07,5536598.3,554486.2,104134.0,214231.6,946378.7,92100.4,221385.8,365540.0,103262.3,88548.9,119550.6
2020/04/08,5418106.0,563882.5,103903.2,208089.4,933518.3,91382.9,219748.3,363456.7,110572.4,95684.8,127137.1
2020/04/09,5112962.4,587972.6,111207.1,191226.7,868129.3,83567.3,230065.8,363823.5,117939.1,102880.2,135110.1
2020/04/10,5398118.7,617149.5,118247.1,200917.6,962913.6,83513.4,231707.0,414350.8,125392.4,110746.8,143292.5
2020/04/11,5582760.4,628806.0,189595.5,195793.7,966449.8,90018.4,229402.0,440817.3,132693.2,117998.7,151344.7
2020/04/12,4026106.6,515211.4,167457.9,127691.0,686356.3,81683.4,193608.6,234954.4,139735.1,124835.5,159022.5
2020/04/13,4312635.3,580109.6,111918.9,151189.4,706288.2,70490.5,236963.2,264728.9,146522.1,131832.8,166422.1
2020/04/14,5512584.0,554486.2,104134.0,211861.4,980958.1,93291.0,221385.8,369103.2,153121.2,138437.1,173579.2
2020/04/15,5515633.8,563882.5,103903.2,211651.1,980419.5,91591.5,219748.3,361397.3,159595.3,144799.2,180544.5
2020/04/16,5506460.8,587972.6,111207.1,204447.9,975038.7,95952.8,230065.8,360161.1,165942.9,150375.5,187196.5
2020/04/17,5867113.6,617149.5,118247.1,220805.6,1089051.1,98776.6,231707.0,393052.8,172101.6,156062.7,193598.6
2020/04/18,5227639.8,628806.0,189595.5,179983.3,935306.1,85314.6,229402.0,390733.7,178056.2,161604.9,199868.3
2020/04/19,5111726.0,515211.4,167457.9,175389.7,895694.1,96206.1,193608.6,354022.3,183872.6,166404.4,205999.3
2020/04/20,5780968.5,580109.6,111918.9,221249.2,1021551.6,102313.5,236963.2,357049.8,189513.1,171256.5,211922.8
2020/04/21,5768509.3,554486.2,104134.0,223964.9,1013812.2,104637.2,221385.8,361331.3,194877.8,175473.8,217432.2
2020/04/22,6313851.7,563882.5,103903.2,248678.4,1139712.7,111577.3,219748.3,409836.9,200030.6,179471.4,222688.5
2020/04/23,6339177.2,587972.6,111207.1,246857.8,1146036.9,111196.0,230065.8,406932.3,205123.3,183391.1,227942.6
2020/04/24,6087910.2,617149.5,118247.1,231041.1,1130977.3,107957.9,231707.0,392427.6,210136.2,187236.4,233080.7
2020/04/25,6808115.8,628806.0,189595.5,246434.2,1248024.3,122754.6,229402.0,447394.7,215058.8,190977.3,238124.0
2020/04/26,4598191.9,515211.4,167457.9,150283.8,776479.4,85675.0,193608.6,342631.1,219870.3,194617.4,242990.9
2020/04/27,6175754.7,580109.6,111918.9,239436.4,1059792.3,103293.2,236963.2,378719.3,224529.8,198097.4,247729.0
2020/04/28,7009362.1,554486.2,104134.0,282262.2,1230832.5,127457.7,221385.8,403152.1,229119.0,201624.8,252361.1
2020/04/29,6354290.4,563882.5,103903.2,252373.8,1092685.5,111284.7,219748.3,383163.5,233660.3,205122.1,256924.2
2020/04/30,6005925.0,587972.6,111207.1,229338.2,1025224.0,103174.6,230065.8,357624.1,238152.6,208531.1,261688.8
2020/05/01,7022839.4,617149.5,118247.1,276752.5,1283555.4,122142.3,231707.0,422836.7,242631.7,211888.3,266236.8
2020/05/02,7269285.8,628806.0,189595.5,260307.4,1288887.1,132095.7,229402.0,445289.2,247068.3,215199.2,270811.8
2020/05/03,,,,,,,,,251500.3,218497.6,275327.8
2020/05/04,,,,,,,,,255879.6,221743.4,279637.3
2020/05/05,,,,,,,,,260069.8,224857.0,283849.8
2020/05/06,,,,,,,,,264249.7,227997.9,288301.2
2020/05/07,,,,,,,,,268454.0,231195.3,292761.8
2020/05/08,,,,,,,,,272575.8,234365.7,297165.7
2020/05/09,,,,,,,,,276653.2,237462.4,301511.1
