date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11758498.1,515211.4,167457.9,734949.2,2679322.2,387601.3,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,13999981.4,580109.6,111918.9,911454.0,2747085.4,217940.7,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13313192.0,554486.2,104134.0,883517.4,2627834.0,189900.3,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13270481.5,563882.5,103903.2,866823.7,2660499.1,189619.3,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13113411.3,587972.6,111207.1,804322.1,2632468.6,193451.2,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,13905911.2,617149.5,118247.1,795409.3,2974918.1,200534.6,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,11362770.3,628806.0,189595.5,643616.7,2569624.3,255021.1,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,9409593.7,515211.4,167457.9,475920.5,2015981.9,387601.3,191088.7,673009.1,928.2,194.1,2469.5
2020/03/16,9695448.4,580109.6,111918.9,518043.6,1950894.7,217940.7,233907.7,716584.9,1285.5,304.7,3238.9
2020/03/17,8691734.8,554486.2,104134.0,389438.2,1735678.0,189900.3,203975.5,596312.8,1798.9,486.2,4241.2
2020/03/18,8669771.2,563882.5,103903.2,387192.8,1697618.7,189619.3,203895.6,572007.2,2542.5,774.1,5544.1
2020/03/19,8095431.0,587972.6,111207.1,349188.8,1579539.1,193451.2,185519.6,534859.1,3598.9,1243.1,7256.4
2020/03/20,7486808.5,617149.5,118247.1,314256.1,1433777.0,200534.6,156818.8,518038.5,5056.9,1979.1,9461.4
2020/03/21,5939404.7,628806.0,189595.5,209722.3,1079765.7,255021.1,110319.8,401554.4,7038.8,3037.8,12251.4
2020/03/22,5749327.9,515211.4,167457.9,191675.5,998374.9,387601.3,122423.2,438108.1,9629.8,4551.3,15691.2
2020/03/23,5783433.9,580109.6,111918.9,220640.7,1031217.8,217940.7,123985.7,366077.7,12847.3,6601.1,19766.8
2020/03/24,6520266.4,554486.2,104134.0,260124.4,1197841.6,189900.3,149015.4,422455.4,16622.7,9190.3,24342.0
2020/03/25,6910077.1,563882.5,103903.2,273448.1,1282530.0,189619.3,155080.3,452300.8,20885.1,12277.1,29343.7
2020/03/26,6491976.9,587972.6,111207.1,255512.8,1181649.9,193451.2,143560.8,403950.5,25613.8,15901.5,34719.2
2020/03/27,6649081.3,617149.5,118247.1,255840.4,1233830.1,200534.6,142569.7,434186.8,30842.0,20093.9,40637.7
2020/03/28,5383778.0,628806.0,189595.5,175664.0,955026.7,255021.1,115623.8,433008.6,36497.0,24841.4,46880.5
2020/03/29,4823640.3,515211.4,167457.9,147945.2,810563.0,387601.3,96620.0,388221.0,42499.0,30080.4,53451.1
2020/03/30,6011744.9,580109.6,111918.9,229381.0,1063937.7,217940.7,133639.0,396249.5,48779.0,35734.5,60191.7
2020/03/31,5814361.1,554486.2,104134.0,223835.0,1037366.7,189900.3,134969.0,387061.6,55346.4,41803.2,67348.6
2020/04/01,6148894.3,563882.5,103903.2,237980.1,1091166.3,189619.3,142244.8,399588.1,62139.1,48238.9,75037.5
2020/04/02,5993210.1,587972.6,111207.1,229651.6,1052175.1,193451.2,137314.7,403838.5,69353.8,55003.7,82574.7
2020/04/03,5512007.6,617149.5,118247.1,203051.7,993777.5,200534.6,137227.2,404064.8,76902.9,62020.0,90900.4
2020/04/04,5616426.3,628806.0,189595.5,196405.8,958515.3,255021.1,126654.5,430665.2,84710.4,69739.5,99597.8
2020/04/05,4849699.2,515211.4,167457.9,158805.2,781214.3,387601.3,101857.1,364108.8,92629.5,77552.8,108256.9
2020/04/06,5618292.7,580109.6,111918.9,215054.5,952408.0,217940.7,127838.5,369105.2,100569.1,85772.3,117038.6
2020/04/07,5542093.6,554486.2,104134.0,214231.6,946378.7,189900.3,129081.2,365540.0,108550.2,93525.6,125813.7
2020/04/08,5427471.6,563882.5,103903.2,208089.4,933518.3,189619.3,130877.5,363456.7,116587.1,101569.0,134614.2
2020/04/09,5114563.7,587972.6,111207.1,191226.7,868129.3,193451.2,121783.3,363823.5,124626.8,109556.0,143359.3
2020/04/10,5422317.6,617149.5,118247.1,200917.6,962913.6,200534.6,138884.7,414350.8,132718.5,117548.8,152081.3
2020/04/11,5663757.4,628806.0,189595.5,195793.7,966449.8,255021.1,145396.2,440817.3,140647.7,125639.7,160573.0
2020/04/12,4227552.9,515211.4,167457.9,127691.0,686356.3,387601.3,89136.9,234954.4,148367.7,133774.8,168810.4
2020/04/13,4311518.8,580109.6,111918.9,151189.4,706288.2,217940.7,88396.4,264728.9,156043.0,141622.4,176997.6
2020/04/14,5521654.2,554486.2,104134.0,211861.4,980958.1,189900.3,133846.8,369103.2,163607.0,148974.6,185143.4
2020/04/15,5522712.3,563882.5,103903.2,211651.1,980419.5,189619.3,128799.0,361397.3,170977.8,156655.9,193052.5
2020/04/16,5500995.9,587972.6,111207.1,204447.9,975038.7,193451.2,127102.5,360161.1,178157.7,163356.7,200638.5
2020/04/17,5873253.6,617149.5,118247.1,220805.6,1089051.1,200534.6,136089.0,393052.8,185103.9,169780.6,207978.5
2020/04/18,5284059.4,628806.0,189595.5,179983.3,935306.1,255021.1,116115.1,390733.7,191810.2,175991.2,215021.1
2020/04/19,5312546.9,515211.4,167457.9,175389.7,895694.1,387601.3,103034.3,354022.3,198393.1,181327.8,221957.5
2020/04/20,5784704.3,580109.6,111918.9,221249.2,1021551.6,217940.7,125071.8,357049.8,204974.4,186651.3,228889.9
2020/04/21,5755394.6,554486.2,104134.0,223964.9,1013812.2,189900.3,123008.0,361331.3,211322.5,191736.3,235518.6
2020/04/22,6313855.9,563882.5,103903.2,248678.4,1139712.7,189619.3,141710.4,409836.9,217380.6,196539.3,241725.3
2020/04/23,6330485.9,587972.6,111207.1,246857.8,1146036.9,193451.2,139119.3,406932.3,223300.8,201227.6,247713.4
2020/04/24,6078705.2,617149.5,118247.1,231041.1,1130977.3,200534.6,129925.3,392427.6,229079.9,205859.8,253541.6
2020/04/25,6849083.9,628806.0,189595.5,246434.2,1248024.3,255021.1,138103.6,447394.7,234722.2,210377.2,259199.1
2020/04/26,4798097.8,515211.4,167457.9,150283.8,776479.4,387601.3,91588.2,342631.1,240255.7,214800.0,264699.0
2020/04/27,6184903.3,580109.6,111918.9,239436.4,1059792.3,217940.7,131464.2,378719.3,245774.1,219156.5,270208.1
2020/04/28,6996998.0,554486.2,104134.0,282262.2,1230832.5,189900.3,146579.1,403152.1,251256.2,223470.1,275652.5
2020/04/29,6346511.4,563882.5,103903.2,252373.8,1092685.5,189619.3,133634.7,383163.5,256609.3,227638.0,280980.3
2020/04/30,5990585.7,587972.6,111207.1,229338.2,1025224.0,193451.2,124449.9,357624.1,261843.2,231669.4,286147.2
2020/05/01,7019738.1,617149.5,118247.1,276752.5,1283555.4,200534.6,150213.4,422836.7,267007.3,235732.0,291225.9
2020/05/02,7297913.7,628806.0,189595.5,260307.4,1288887.1,255021.1,135104.5,445289.2,272084.7,239661.4,296215.4
2020/05/03,,,,,,,,,277140.8,243558.0,301301.5
2020/05/04,,,,,,,,,282250.8,247452.5,306445.5
2020/05/05,,,,,,,,,287186.7,251164.0,311412.2
2020/05/06,,,,,,,,,292042.5,254825.6,316292.5
2020/05/07,,,,,,,,,296854.9,258504.2,321104.5
2020/05/08,,,,,,,,,301529.9,262025.0,325766.0
2020/05/09,,,,,,,,,306115.0,265497.6,330281.7
