date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11707062.6,492516.6,167457.9,734949.2,2679322.2,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,13971905.0,555939.5,111918.9,911454.0,2747085.4,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13298448.8,531385.2,104134.0,883517.4,2627834.0,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13237495.9,529369.8,103903.2,866823.7,2660499.1,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13009742.2,512618.4,111207.1,804322.1,2632468.6,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13819237.1,577695.6,118247.1,795409.3,2974918.1,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11152238.1,480013.9,189595.5,643616.7,2569624.3,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9099695.4,368649.7,167457.9,475920.5,2015981.9,221744.8,193608.6,673009.1,928.3,193.9,2465.3
2020/03/16,9428933.0,376145.9,111918.9,518043.6,1950894.7,152333.5,236963.2,716584.9,1284.7,300.5,3225.8
2020/03/17,8440113.2,327744.1,104134.0,389438.2,1735678.0,147610.5,221385.8,596312.8,1795.5,478.7,4222.2
2020/03/18,8402957.7,324675.7,103903.2,387192.8,1697618.7,146159.9,219748.3,572007.2,2535.8,776.6,5527.3
2020/03/19,7792923.3,294174.3,111207.1,349188.8,1579539.1,140195.6,230065.8,534859.1,3589.1,1250.6,7248.6
2020/03/20,7136272.3,259310.2,118247.1,314256.1,1433777.0,132949.5,231707.0,518038.5,5038.3,1937.5,9452.6
2020/03/21,5473583.4,185267.0,189595.5,209722.3,1079765.7,113656.6,229402.0,401554.4,7001.7,2944.5,12225.0
2020/03/22,5227505.3,192936.0,167457.9,191675.5,998374.9,116868.6,193608.6,438108.1,9553.9,4385.6,15634.5
2020/03/23,5397970.2,194404.9,111918.9,220640.7,1031217.8,105204.3,236963.2,366077.7,12672.3,6367.4,19611.2
2020/03/24,6212601.2,239989.9,104134.0,260124.4,1197841.6,124361.0,221385.8,422455.4,16284.9,8845.5,24037.4
2020/03/25,6610684.3,253661.2,103903.2,273448.1,1282530.0,135779.8,219748.3,452300.8,20344.6,11763.9,28879.8
2020/03/26,6161934.2,245090.7,111207.1,255512.8,1181649.9,119785.3,230065.8,403950.5,24843.1,15168.8,34098.4
2020/03/27,6304754.0,260616.6,118247.1,255840.4,1233830.1,123602.8,231707.0,434186.8,29806.3,19128.2,39687.1
2020/03/28,4915985.8,206660.6,189595.5,175664.0,955026.7,95596.2,229402.0,433008.6,35139.8,23515.8,45594.1
2020/03/29,4276730.1,165715.4,167457.9,147945.2,810563.0,93198.6,193608.6,388221.0,40735.2,28256.4,51773.2
2020/03/30,5640574.3,211471.8,111918.9,229381.0,1063937.7,112083.6,236963.2,396249.5,46404.1,33163.2,57977.1
2020/03/31,5490012.3,224196.1,104134.0,223835.0,1037366.7,109424.8,221385.8,387061.6,52219.0,38319.2,64304.3
2020/04/01,5823253.5,235089.4,103903.2,237980.1,1091166.3,115268.2,219748.3,399588.1,58224.1,43745.1,70827.0
2020/04/02,5645223.4,230191.1,111207.1,229651.6,1052175.1,110495.0,230065.8,403838.5,64656.6,49751.9,77966.5
2020/04/03,5108627.1,236154.4,118247.1,203051.7,993777.5,83669.5,231707.0,404064.8,71401.3,56209.6,85441.9
2020/04/04,5161600.3,241736.6,189595.5,196405.8,958515.3,84517.1,229402.0,430665.2,78366.6,62952.6,93015.9
2020/04/05,4302198.9,179268.8,167457.9,158805.2,781214.3,84292.1,193608.6,364108.8,85373.0,69933.7,100465.8
2020/04/06,5236050.5,216071.0,111918.9,215054.5,952408.0,90612.5,236963.2,369105.2,92165.0,76850.6,107851.1
2020/04/07,5203135.0,221022.9,104134.0,214231.6,946378.7,92100.4,221385.8,365540.0,98886.0,83735.6,115140.8
2020/04/08,5065295.4,211071.9,103903.2,208089.4,933518.3,91382.9,219748.3,363456.7,105690.5,90684.8,122513.2
2020/04/09,4724948.7,199959.0,111207.1,191226.7,868129.3,83567.3,230065.8,363823.5,112554.1,97617.1,129908.6
2020/04/10,5000659.5,219690.3,118247.1,200917.6,962913.6,83513.4,231707.0,414350.8,119494.2,104400.4,137370.2
2020/04/11,5201436.1,247481.6,189595.5,195793.7,966449.8,90018.4,229402.0,440817.3,126272.7,111326.8,144575.6
2020/04/12,3651106.3,140211.0,167457.9,127691.0,686356.3,81683.4,193608.6,234954.4,132787.3,118266.4,151514.3
2020/04/13,3884517.9,151992.2,111918.9,151189.4,706288.2,70490.5,236963.2,264728.9,139051.2,124886.7,158160.4
2020/04/14,5195214.3,237116.5,104134.0,211861.4,980958.1,93291.0,221385.8,369103.2,145121.9,130945.9,164620.4
2020/04/15,5191984.5,240233.3,103903.2,211651.1,980419.5,91591.5,219748.3,361397.3,151069.2,136320.2,170928.8
2020/04/16,5154123.9,235635.7,111207.1,204447.9,975038.7,95952.8,230065.8,360161.1,156900.8,141730.7,177143.9
2020/04/17,5514707.4,264743.2,118247.1,220805.6,1089051.1,98776.6,231707.0,393052.8,162550.6,146963.9,183173.6
2020/04/18,4828698.6,229864.9,189595.5,179983.3,935306.1,85314.6,229402.0,390733.7,168003.1,151498.0,189013.2
2020/04/19,4817357.2,220842.5,167457.9,175389.7,895694.1,96206.1,193608.6,354022.3,173314.4,155840.3,194726.0
2020/04/20,5423395.6,222536.7,111918.9,221249.2,1021551.6,102313.5,236963.2,357049.8,178452.9,159959.0,200388.8
2020/04/21,5436142.1,222119.1,104134.0,223964.9,1013812.2,104637.2,221385.8,361331.3,183329.0,164267.4,205780.7
2020/04/22,6014562.9,264593.8,103903.2,248678.4,1139712.7,111577.3,219748.3,409836.9,188005.8,168079.1,210817.3
2020/04/23,6009512.2,258307.6,111207.1,246857.8,1146036.9,111196.0,230065.8,406932.3,192636.1,171795.2,215749.0
2020/04/24,5742150.1,271389.4,118247.1,231041.1,1130977.3,107957.9,231707.0,392427.6,197198.7,175335.3,220568.8
2020/04/25,6499847.2,320537.4,189595.5,246434.2,1248024.3,122754.6,229402.0,447394.7,201680.2,178762.2,225169.0
2020/04/26,4266503.2,183522.6,167457.9,150283.8,776479.4,85675.0,193608.6,342631.1,206054.3,182076.4,229854.2
2020/04/27,5833193.5,237548.4,111918.9,239436.4,1059792.3,103293.2,236963.2,378719.3,210284.3,185292.2,234376.7
2020/04/28,6746808.8,291932.9,104134.0,282262.2,1230832.5,127457.7,221385.8,403152.1,214454.1,188426.1,238628.9
2020/04/29,6043166.7,252758.8,103903.2,252373.8,1092685.5,111284.7,219748.3,383163.5,218587.5,191536.5,243145.8
2020/04/30,5659185.5,241233.1,111207.1,229338.2,1025224.0,103174.6,230065.8,357624.1,222690.3,194613.9,247685.8
2020/05/01,6712818.3,307128.4,118247.1,276752.5,1283555.4,122142.3,231707.0,422836.7,226787.9,197674.3,252237.6
2020/05/02,6979362.4,338882.6,189595.5,260307.4,1288887.1,132095.7,229402.0,445289.2,230850.6,200682.4,256703.8
2020/05/03,,,,,,,,,234910.9,203700.0,261132.6
2020/05/04,,,,,,,,,238921.9,206693.5,265288.4
2020/05/05,,,,,,,,,242760.3,209531.7,269127.3
2020/05/06,,,,,,,,,246600.5,212336.3,273257.6
2020/05/07,,,,,,,,,250478.0,215155.8,277458.5
2020/05/08,,,,,,,,,254283.2,217999.7,281603.1
2020/05/09,,,,,,,,,258050.2,220790.9,285673.2
