date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11745101.2,492516.6,167457.9,734949.2,2679322.2,387601.3,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,13987337.7,555939.5,111918.9,911454.0,2747085.4,217940.7,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13287073.3,531385.2,104134.0,883517.4,2627834.0,189900.3,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13230644.3,529369.8,103903.2,866823.7,2660499.1,189619.3,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13014069.8,512618.4,111207.1,804322.1,2632468.6,193451.2,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,13814478.6,577695.6,118247.1,795409.3,2974918.1,200534.6,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,11215043.6,480013.9,189595.5,643616.7,2569624.3,255021.1,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,9265551.9,368649.7,167457.9,475920.5,2015981.9,387601.3,193608.6,673009.1,928.2,195.1,2466.9
2020/03/16,9494540.2,376145.9,111918.9,518043.6,1950894.7,217940.7,236963.2,716584.9,1284.8,301.8,3233.7
2020/03/17,8482403.0,327744.1,104134.0,389438.2,1735678.0,189900.3,221385.8,596312.8,1796.3,480.1,4217.2
2020/03/18,8446417.1,324675.7,103903.2,387192.8,1697618.7,189619.3,219748.3,572007.2,2537.0,778.1,5516.6
2020/03/19,7846178.9,294174.3,111207.1,349188.8,1579539.1,193451.2,230065.8,534859.1,3589.6,1232.3,7227.6
2020/03/20,7203857.5,259310.2,118247.1,314256.1,1433777.0,200534.6,231707.0,518038.5,5040.5,1907.7,9420.8
2020/03/21,5614947.9,185267.0,189595.5,209722.3,1079765.7,255021.1,229402.0,401554.4,7009.1,2898.5,12213.8
2020/03/22,5498238.0,192936.0,167457.9,191675.5,998374.9,387601.3,193608.6,438108.1,9577.8,4321.4,15634.0
2020/03/23,5510706.7,194404.9,111918.9,220640.7,1031217.8,217940.7,236963.2,366077.7,12763.4,6311.9,19678.9
2020/03/24,6278140.5,239989.9,104134.0,260124.4,1197841.6,189900.3,221385.8,422455.4,16477.0,8759.1,24222.2
2020/03/25,6664523.9,253661.2,103903.2,273448.1,1282530.0,189619.3,219748.3,452300.8,20647.7,11667.9,29190.2
2020/03/26,6235600.0,245090.7,111207.1,255512.8,1181649.9,193451.2,230065.8,403950.5,25262.8,15064.2,34530.7
2020/03/27,6381685.8,260616.6,118247.1,255840.4,1233830.1,200534.6,231707.0,434186.8,30345.1,19009.5,40306.9
2020/03/28,5075410.7,206660.6,189595.5,175664.0,955026.7,255021.1,229402.0,433008.6,35818.1,23405.0,46376.1
2020/03/29,4571132.9,165715.4,167457.9,147945.2,810563.0,387601.3,193608.6,388221.0,41601.2,28221.9,52667.2
2020/03/30,5746431.4,211471.8,111918.9,229381.0,1063937.7,217940.7,236963.2,396249.5,47627.1,33401.0,59145.3
2020/03/31,5570487.7,224196.1,104134.0,223835.0,1037366.7,189900.3,221385.8,387061.6,53906.0,38993.9,66139.6
2020/04/01,5897604.7,235089.4,103903.2,237980.1,1091166.3,189619.3,219748.3,399588.1,60376.4,44937.9,73450.0
2020/04/02,5728179.6,230191.1,111207.1,229651.6,1052175.1,193451.2,230065.8,403838.5,67249.6,51396.6,80711.4
2020/04/03,5225492.3,236154.4,118247.1,203051.7,993777.5,200534.6,231707.0,404064.8,74436.3,58397.5,88405.4
2020/04/04,5332104.2,241736.6,189595.5,196405.8,958515.3,255021.1,229402.0,430665.2,81852.6,65860.2,96785.5
2020/04/05,4605508.1,179268.8,167457.9,158805.2,781214.3,387601.3,193608.6,364108.8,89356.5,73513.5,105187.6
2020/04/06,5363378.8,216071.0,111918.9,215054.5,952408.0,217940.7,236963.2,369105.2,96861.3,81248.9,113405.6
2020/04/07,5300934.9,221022.9,104134.0,214231.6,946378.7,189900.3,221385.8,365540.0,104395.4,88935.1,121644.1
2020/04/08,5163531.8,211071.9,103903.2,208089.4,933518.3,189619.3,219748.3,363456.7,111966.2,96538.4,130004.4
2020/04/09,4834832.5,199959.0,111207.1,191226.7,868129.3,193451.2,230065.8,363823.5,119543.3,104217.9,138254.8
2020/04/10,5117680.7,219690.3,118247.1,200917.6,962913.6,200534.6,231707.0,414350.8,127162.0,111950.3,146514.5
2020/04/11,5366438.8,247481.6,189595.5,195793.7,966449.8,255021.1,229402.0,440817.3,134613.6,119485.3,154577.1
2020/04/12,3957024.2,140211.0,167457.9,127691.0,686356.3,387601.3,193608.6,234954.4,141840.0,126981.4,162411.7
2020/04/13,4031968.2,151992.2,111918.9,151189.4,706288.2,217940.7,236963.2,264728.9,149020.4,134497.0,170097.4
2020/04/14,5291823.5,237116.5,104134.0,211861.4,980958.1,189900.3,221385.8,369103.2,156086.0,141752.7,177639.8
2020/04/15,5290012.4,240233.3,103903.2,211651.1,980419.5,189619.3,219748.3,361397.3,162969.1,148723.1,184913.0
2020/04/16,5251622.2,235635.7,111207.1,204447.9,975038.7,193451.2,230065.8,360161.1,169665.3,154527.7,192057.5
2020/04/17,5616465.4,264743.2,118247.1,220805.6,1089051.1,200534.6,231707.0,393052.8,176132.0,160514.9,198759.1
2020/04/18,4998405.1,229864.9,189595.5,179983.3,935306.1,255021.1,229402.0,390733.7,182368.3,166218.0,205251.4
2020/04/19,5108752.4,220842.5,167457.9,175389.7,895694.1,387601.3,193608.6,354022.3,188478.8,171334.3,211603.7
2020/04/20,5539022.8,222536.7,111918.9,221249.2,1021551.6,217940.7,236963.2,357049.8,194582.2,176758.2,217946.4
2020/04/21,5521405.2,222119.1,104134.0,223964.9,1013812.2,189900.3,221385.8,361331.3,200464.6,181834.0,224046.6
2020/04/22,6092605.0,264593.8,103903.2,248678.4,1139712.7,189619.3,219748.3,409836.9,206069.9,186297.8,229810.6
2020/04/23,6091767.3,258307.6,111207.1,246857.8,1146036.9,193451.2,230065.8,406932.3,211556.8,190619.2,235461.3
2020/04/24,5834726.8,271389.4,118247.1,231041.1,1130977.3,200534.6,231707.0,392427.6,216915.6,194807.3,240936.9
2020/04/25,6632113.7,320537.4,189595.5,246434.2,1248024.3,255021.1,229402.0,447394.7,222147.9,198873.4,246235.7
2020/04/26,4568429.5,183522.6,167457.9,150283.8,776479.4,387601.3,193608.6,342631.1,227267.9,202831.7,251433.9
2020/04/27,5947841.1,237548.4,111918.9,239436.4,1059792.3,217940.7,236963.2,378719.3,232380.0,206776.5,256554.8
2020/04/28,6809251.4,291932.9,104134.0,282262.2,1230832.5,189900.3,221385.8,403152.1,237461.8,210691.8,261600.5
2020/04/29,6121501.3,252758.8,103903.2,252373.8,1092685.5,189619.3,219748.3,383163.5,242434.9,214566.1,266508.2
2020/04/30,5749462.1,241233.1,111207.1,229338.2,1025224.0,193451.2,230065.8,357624.1,247302.3,218340.7,271314.2
2020/05/01,6791210.6,307128.4,118247.1,276752.5,1283555.4,200534.6,231707.0,422836.7,252113.9,222085.3,276033.2
2020/05/02,7102287.7,338882.6,189595.5,260307.4,1288887.1,255021.1,229402.0,445289.2,256844.8,225738.6,280916.1
2020/05/03,,,,,,,,,261556.0,229340.8,285802.0
2020/05/04,,,,,,,,,266325.1,232992.1,290661.4
2020/05/05,,,,,,,,,270933.3,236509.6,295192.2
2020/05/06,,,,,,,,,275475.5,239921.2,299687.4
2020/05/07,,,,,,,,,279992.2,243325.8,304148.5
2020/05/08,,,,,,,,,284381.6,246641.2,308509.2
2020/05/09,,,,,,,,,288685.3,249897.5,312922.0
