date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11936960.6,492516.6,146015.8,827218.3,2847691.0,349562.8,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14143926.9,555939.5,104929.9,998758.1,2850318.5,202508.0,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13403059.7,531385.2,100932.4,947385.2,2668761.2,201275.7,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13346955.5,529369.8,102818.8,933562.2,2698980.2,196471.0,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13403639.6,512618.4,111260.7,953136.3,2853511.0,189123.5,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,14106282.5,577695.6,130286.0,919287.7,3074067.4,205293.0,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,12144630.8,480013.9,142376.5,950510.9,3303407.2,192215.6,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,10221753.7,368649.7,109029.3,827218.3,2847691.0,221744.8,191088.7,673009.1,928.2,194.8,2466.6
2020/03/16,10784655.5,376145.9,90558.5,998758.1,2850318.5,152333.5,233907.7,716584.9,1288.6,302.5,3232.4
2020/03/17,9884906.9,327744.1,75307.8,947385.2,2668761.2,147610.5,203975.5,596312.8,1818.3,489.0,4250.9
2020/03/18,9903849.7,324675.7,72917.2,933562.2,2698980.2,146159.9,203895.6,572007.2,2590.3,809.4,5610.8
2020/03/19,9579282.3,294174.3,64192.9,953136.3,2853511.0,140195.6,185519.6,534859.1,3679.7,1311.7,7389.1
2020/03/20,9239260.7,259310.2,50801.7,919287.7,3074067.4,132949.5,156818.8,518038.5,5193.5,2058.5,9648.3
2020/03/21,8171433.8,185267.0,42098.0,950510.9,3303407.2,113656.6,110319.8,401554.4,7283.1,3166.4,12559.2
2020/03/22,7522272.3,192936.0,48551.4,827218.3,2847691.0,116868.6,122423.2,438108.1,10081.6,4801.2,16227.9
2020/03/23,7804906.2,194404.9,34614.2,998758.1,2850318.5,105204.3,123985.7,366077.7,13685.5,7135.0,20676.2
2020/03/24,8236344.2,239989.9,42067.1,947385.2,2668761.2,124361.0,149015.4,422455.4,18089.7,10291.1,25861.4
2020/03/25,8562751.9,253661.2,44074.8,933562.2,2698980.2,135779.8,155080.3,452300.8,23272.5,14237.3,31726.8
2020/03/26,8375302.7,245090.7,41596.0,953136.3,2853511.0,119785.3,143560.8,403950.5,29207.1,19059.8,38229.4
2020/03/27,8644606.2,260616.6,43552.1,919287.7,3074067.4,123602.8,142569.7,434186.8,35999.0,24855.0,45473.8
2020/03/28,7786401.2,206660.6,50561.7,950510.9,3303407.2,95596.2,115623.8,433008.6,43666.8,31647.8,53494.7
2020/03/29,6769999.7,165715.4,41315.0,827218.3,2847691.0,93198.6,96620.0,388221.0,52289.5,39596.4,62755.7
2020/03/30,8020006.3,211471.8,38917.1,998758.1,2850318.5,112083.6,133639.0,396249.5,61796.9,48433.5,73578.8
2020/03/31,7693439.4,224196.1,39033.3,947385.2,2668761.2,109424.8,134969.0,387061.6,72030.5,57643.4,85060.6
2020/04/01,7986938.0,235089.4,41695.3,933562.2,2698980.2,115268.2,142244.8,399588.1,82825.9,68154.7,97503.4
2020/04/02,8008890.5,230191.1,42804.7,953136.3,2853511.0,110495.0,137314.7,403838.5,94277.5,79080.3,110590.3
2020/04/03,7739273.3,236154.4,46847.2,919287.7,3074067.4,83669.5,137227.2,404064.8,106368.1,90795.0,124259.1
2020/04/04,8024776.5,241736.6,56522.2,950510.9,3303407.2,84517.1,126654.5,430665.2,119059.7,103429.7,138425.6
2020/04/05,6820306.5,179268.8,42427.2,827218.3,2847691.0,84292.1,101857.1,364108.8,132376.9,116317.1,153252.7
2020/04/06,7739619.9,216071.0,42998.7,998758.1,2850318.5,90612.5,127838.5,369105.2,146151.3,129609.4,168661.6
2020/04/07,7505383.3,221022.9,43150.8,947385.2,2668761.2,92100.4,129081.2,365540.0,160170.5,143250.0,184314.5
2020/04/08,7408079.4,211071.9,44623.5,933562.2,2698980.2,91382.9,130877.5,363456.7,174336.7,157157.0,199883.0
2020/04/09,7297449.9,199959.0,44699.5,953136.3,2853511.0,83567.3,121783.3,363823.5,188534.5,171252.9,215307.1
2020/04/10,7675059.7,219690.3,55945.7,919287.7,3074067.4,83513.4,138884.7,414350.8,202900.9,185584.6,230852.1
2020/04/11,8081915.7,247481.6,62406.4,950510.9,3303407.2,90018.4,145396.2,440817.3,217261.2,198579.8,246345.5
2020/04/12,6247311.5,140211.0,7272.9,827218.3,2847691.0,81683.4,89136.9,234954.4,231739.1,212183.2,261860.1
2020/04/13,6645735.7,151992.2,30104.3,998758.1,2850318.5,70490.5,88396.4,264728.9,246416.0,226106.1,277493.7
2020/04/14,7471753.9,237116.5,44885.7,947385.2,2668761.2,93291.0,133846.8,369103.2,260948.1,239456.3,292894.9
2020/04/15,7483243.7,240233.3,45640.0,933562.2,2698980.2,91591.5,128799.0,361397.3,275200.6,252545.4,307896.5
2020/04/16,7612916.0,235635.7,45801.8,953136.3,2853511.0,95952.8,127102.5,360161.1,289110.4,265149.1,322461.8
2020/04/17,8034486.0,264743.2,50145.3,919287.7,3074067.4,98776.6,136089.0,393052.8,302688.9,277395.3,336702.2
2020/04/18,7719625.5,229864.9,55180.6,950510.9,3303407.2,85314.6,116115.1,390733.7,315994.1,289500.7,351224.3
2020/04/19,7208447.2,220842.5,45296.7,827218.3,2847691.0,96206.1,103034.3,354022.3,329319.3,301591.6,365381.5
2020/04/20,7848632.0,222536.7,42770.8,998758.1,2850318.5,102313.5,125071.8,357049.8,342695.9,313742.1,379616.3
2020/04/21,7654818.3,222119.1,42818.7,947385.2,2668761.2,104637.2,123008.0,361331.3,355631.2,325538.0,394430.7
2020/04/22,8127329.6,264593.8,50556.5,933562.2,2698980.2,111577.3,141710.4,409836.9,368014.8,336861.4,407379.7
2020/04/23,8271576.5,258307.6,50465.4,953136.3,2853511.0,111196.0,139119.3,406932.3,379986.6,347843.2,420679.1
2020/04/24,8202340.6,271389.4,48882.7,919287.7,3074067.4,107957.9,129925.3,392427.6,391594.4,358602.8,433442.3
2020/04/25,9041122.5,320537.4,62709.6,950510.9,3303407.2,122754.6,138103.6,447394.7,402914.8,369049.8,446032.8
2020/04/26,6790955.3,183522.6,45784.3,827218.3,2847691.0,85675.0,91588.2,342631.1,414128.7,379451.2,457837.3
2020/04/27,8213600.7,237548.4,47977.1,998758.1,2850318.5,103293.2,131464.2,378719.3,425250.3,389760.7,469547.4
2020/04/28,8721066.8,291932.9,50147.0,947385.2,2668761.2,127457.7,146579.1,403152.1,436077.8,399667.1,481897.6
2020/04/29,8189737.6,252758.8,49104.7,933562.2,2698980.2,111284.7,133634.7,383163.5,446477.1,409458.4,493708.0
2020/04/30,8040573.3,241233.1,46125.7,953136.3,2853511.0,103174.6,124449.9,357624.1,456460.7,418289.2,505021.8
2020/05/01,9006668.8,307128.4,60543.9,919287.7,3074067.4,122142.3,150213.4,422836.7,466128.2,426812.6,515887.1
2020/05/02,9465812.0,338882.6,65619.0,950510.9,3303407.2,132095.7,135104.5,445289.2,475519.1,435548.9,526398.5
2020/05/03,,,,,,,,,484836.3,444204.6,536799.3
2020/05/04,,,,,,,,,494083.2,452356.1,547107.8
2020/05/05,,,,,,,,,502894.5,460283.1,556927.9
2020/05/06,,,,,,,,,511363.7,468289.1,566216.7
2020/05/07,,,,,,,,,519535.2,475824.6,575114.3
2020/05/08,,,,,,,,,527338.4,482442.2,583568.5
