date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11974865.7,492516.6,146015.8,827218.3,2847691.0,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14159425.5,555939.5,104929.9,998758.1,2850318.5,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13364637.0,531385.2,100932.4,947385.2,2668761.2,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13308965.8,529369.8,102818.8,933562.2,2698980.2,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13224155.8,512618.4,111260.7,953136.3,2853511.0,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13793170.7,577695.6,130286.0,919287.7,3074067.4,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,12068406.4,480013.9,142376.5,950510.9,3303407.2,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,10228115.3,368649.7,109029.3,827218.3,2847691.0,221744.8,191088.7,679370.7,928.2,194.6,2468.2
2020/03/16,10663346.7,376145.9,90558.5,998758.1,2850318.5,152333.5,233907.7,595276.1,1288.6,305.6,3232.9
2020/03/17,9810217.2,327744.1,75307.8,947385.2,2668761.2,147610.5,203975.5,521623.1,1819.4,497.2,4250.5
2020/03/18,9860717.5,324675.7,72917.2,933562.2,2698980.2,146159.9,203895.6,528874.9,2592.4,809.1,5612.9
2020/03/19,9592502.2,294174.3,64192.9,953136.3,2853511.0,140195.6,185519.6,548079.0,3683.5,1298.8,7366.1
2020/03/20,9287359.9,259310.2,50801.7,919287.7,3074067.4,132949.5,156818.8,566137.6,5199.4,2017.1,9612.7
2020/03/21,8417095.4,185267.0,42098.0,950510.9,3303407.2,113656.6,110319.8,647216.1,7283.9,3104.2,12485.7
2020/03/22,7763534.9,192936.0,48551.4,827218.3,2847691.0,116868.6,122423.2,679370.7,10073.0,4704.9,16079.2
2020/03/23,8034104.5,194404.9,34614.2,998758.1,2850318.5,105204.3,123985.7,595276.1,13680.1,6991.7,20510.3
2020/03/24,8335512.0,239989.9,42067.1,947385.2,2668761.2,124361.0,149015.4,521623.1,18098.1,10050.3,25772.1
2020/03/25,8639326.0,253661.2,44074.8,933562.2,2698980.2,135779.8,155080.3,528874.9,23301.8,13936.2,31716.9
2020/03/26,8519431.2,245090.7,41596.0,953136.3,2853511.0,119785.3,143560.8,548079.0,29262.4,18634.4,38304.4
2020/03/27,8776557.1,260616.6,43552.1,919287.7,3074067.4,123602.8,142569.7,566137.6,36093.1,24332.1,45574.8
2020/03/28,8000608.7,206660.6,50561.7,950510.9,3303407.2,95596.2,115623.8,647216.1,43809.3,31110.9,53796.5
2020/03/29,7061149.4,165715.4,41315.0,827218.3,2847691.0,93198.6,96620.0,679370.7,52510.4,39225.6,63099.6
2020/03/30,8219032.8,211471.8,38917.1,998758.1,2850318.5,112083.6,133639.0,595276.1,62157.8,48537.6,74129.9
2020/03/31,7828001.0,224196.1,39033.3,947385.2,2668761.2,109424.8,134969.0,521623.1,72591.0,58134.2,85971.7
2020/04/01,8116224.8,235089.4,41695.3,933562.2,2698980.2,115268.2,142244.8,528874.9,83610.5,68630.7,98436.8
2020/04/02,8153131.0,230191.1,42804.7,953136.3,2853511.0,110495.0,137314.7,548079.0,95272.7,79546.1,111542.9
2020/04/03,7901346.1,236154.4,46847.2,919287.7,3074067.4,83669.5,137227.2,566137.6,107566.0,91421.1,125265.0
2020/04/04,8241327.4,241736.6,56522.2,950510.9,3303407.2,84517.1,126654.5,647216.1,120475.4,103519.1,139573.2
2020/04/05,7135568.4,179268.8,42427.2,827218.3,2847691.0,84292.1,101857.1,679370.7,134032.6,117438.7,154486.8
2020/04/06,7965790.7,216071.0,42998.7,998758.1,2850318.5,90612.5,127838.5,595276.1,148113.1,131218.2,170109.6
2020/04/07,7661466.3,221022.9,43150.8,947385.2,2668761.2,92100.4,129081.2,521623.1,162472.4,145168.2,186092.2
2020/04/08,7573497.6,211071.9,44623.5,933562.2,2698980.2,91382.9,130877.5,528874.9,176970.8,159389.7,202144.5
2020/04/09,7481705.4,199959.0,44699.5,953136.3,2853511.0,83567.3,121783.3,548079.0,191490.7,173807.7,218100.3
2020/04/10,7826846.5,219690.3,55945.7,919287.7,3074067.4,83513.4,138884.7,566137.6,206151.1,187218.7,233983.0
2020/04/11,8288314.5,247481.6,62406.4,950510.9,3303407.2,90018.4,145396.2,647216.1,220801.4,200713.6,249741.8
2020/04/12,6691727.8,140211.0,7272.9,827218.3,2847691.0,81683.4,89136.9,679370.7,235576.6,215440.1,265623.6
2020/04/13,6976282.8,151992.2,30104.3,998758.1,2850318.5,70490.5,88396.4,595276.1,250589.4,229582.5,281653.1
2020/04/14,7624273.9,237116.5,44885.7,947385.2,2668761.2,93291.0,133846.8,521623.1,265475.4,243966.2,297562.9
2020/04/15,7650721.4,240233.3,45640.0,933562.2,2698980.2,91591.5,128799.0,528874.9,280069.9,257878.9,313081.9
2020/04/16,7800833.9,235635.7,45801.8,953136.3,2853511.0,95952.8,127102.5,548079.0,294293.0,270731.8,328113.7
2020/04/17,8207570.8,264743.2,50145.3,919287.7,3074067.4,98776.6,136089.0,566137.6,308163.2,283271.3,342570.5
2020/04/18,7976107.8,229864.9,55180.6,950510.9,3303407.2,85314.6,116115.1,647216.1,321732.9,295546.1,356951.8
2020/04/19,7533795.5,220842.5,45296.7,827218.3,2847691.0,96206.1,103034.3,679370.7,335319.1,307766.5,371399.7
2020/04/20,8086858.3,222536.7,42770.8,998758.1,2850318.5,102313.5,125071.8,595276.1,348975.2,319993.0,386085.2
2020/04/21,7815110.0,222119.1,42818.7,947385.2,2668761.2,104637.2,123008.0,521623.1,362211.1,331968.3,400444.2
2020/04/22,8246367.6,264593.8,50556.5,933562.2,2698980.2,111577.3,141710.4,528874.9,374878.4,343480.3,413658.4
2020/04/23,8412723.2,258307.6,50465.4,953136.3,2853511.0,111196.0,139119.3,548079.0,387103.4,354646.7,426732.2
2020/04/24,8376050.7,271389.4,48882.7,919287.7,3074067.4,107957.9,129925.3,566137.6,398936.3,365501.7,440158.5
2020/04/25,9240943.9,320537.4,62709.6,950510.9,3303407.2,122754.6,138103.6,647216.1,410460.3,376099.2,453198.6
2020/04/26,7127694.9,183522.6,45784.3,827218.3,2847691.0,85675.0,91588.2,679370.7,421869.0,386592.6,465989.8
2020/04/27,8430157.4,237548.4,47977.1,998758.1,2850318.5,103293.2,131464.2,595276.1,433200.7,397040.8,478823.5
2020/04/28,8839537.8,291932.9,50147.0,947385.2,2668761.2,127457.7,146579.1,521623.1,444238.0,407290.1,491215.8
2020/04/29,8335449.0,252758.8,49104.7,933562.2,2698980.2,111284.7,133634.7,528874.9,454826.7,417044.7,503145.3
2020/04/30,8231028.3,241233.1,46125.7,953136.3,2853511.0,103174.6,124449.9,548079.0,464976.8,426327.3,514479.7
2020/05/01,9149969.7,307128.4,60543.9,919287.7,3074067.4,122142.3,150213.4,566137.6,474795.2,435500.1,525456.4
2020/05/02,9667738.9,338882.6,65619.0,950510.9,3303407.2,132095.7,135104.5,647216.1,484314.7,444108.5,536044.3
2020/05/03,,,,,,,,,493747.8,452830.6,546474.3
2020/05/04,,,,,,,,,503124.7,461265.0,556889.2
2020/05/05,,,,,,,,,512071.3,469403.1,566772.7
2020/05/06,,,,,,,,,520654.2,477528.9,576203.5
2020/05/07,,,,,,,,,528925.8,484970.0,585209.7
2020/05/08,,,,,,,,,536815.0,491705.5,593759.7
