date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11997560.4,515211.4,146015.8,827218.3,2847691.0,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14183595.6,580109.6,104929.9,998758.1,2850318.5,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13387738.1,554486.2,100932.4,947385.2,2668761.2,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13343478.5,563882.5,102818.8,933562.2,2698980.2,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13299510.0,587972.6,111260.7,953136.3,2853511.0,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13832624.6,617149.5,130286.0,919287.7,3074067.4,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,12217198.5,628806.0,142376.5,950510.9,3303407.2,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,10374676.9,515211.4,109029.3,827218.3,2847691.0,221744.8,191088.7,679370.7,928.2,194.8,2464.9
2020/03/16,10867310.4,580109.6,90558.5,998758.1,2850318.5,152333.5,233907.7,595276.1,1288.4,305.8,3234.8
2020/03/17,10036959.3,554486.2,75307.8,947385.2,2668761.2,147610.5,203975.5,521623.1,1819.7,490.8,4263.2
2020/03/18,10099924.3,563882.5,72917.2,933562.2,2698980.2,146159.9,203895.6,528874.9,2594.5,798.7,5638.6
2020/03/19,9886300.5,587972.6,64192.9,953136.3,2853511.0,140195.6,185519.6,548079.0,3686.7,1279.9,7412.0
2020/03/20,9645199.1,617149.5,50801.7,919287.7,3074067.4,132949.5,156818.8,566137.6,5205.2,2024.2,9704.6
2020/03/21,8860634.4,628806.0,42098.0,950510.9,3303407.2,113656.6,110319.8,647216.1,7299.1,3146.5,12627.0
2020/03/22,8085810.3,515211.4,48551.4,827218.3,2847691.0,116868.6,122423.2,679370.7,10109.9,4778.7,16302.5
2020/03/23,8419809.2,580109.6,34614.2,998758.1,2850318.5,105204.3,123985.7,595276.1,13747.0,7132.5,20754.8
2020/03/24,8650008.3,554486.2,42067.1,947385.2,2668761.2,124361.0,149015.4,521623.1,18220.4,10283.6,26019.4
2020/03/25,8949547.3,563882.5,44074.8,933562.2,2698980.2,135779.8,155080.3,528874.9,23518.0,14273.8,31986.1
2020/03/26,8862313.1,587972.6,41596.0,953136.3,2853511.0,119785.3,143560.8,548079.0,29594.4,19186.8,38611.0
2020/03/27,9133090.0,617149.5,43552.1,919287.7,3074067.4,123602.8,142569.7,566137.6,36578.0,25133.3,46025.8
2020/03/28,8422754.1,628806.0,50561.7,950510.9,3303407.2,95596.2,115623.8,647216.1,44498.5,32204.7,54363.9
2020/03/29,7410645.4,515211.4,41315.0,827218.3,2847691.0,93198.6,96620.0,679370.7,53452.2,40524.9,63791.6
2020/03/30,8587670.6,580109.6,38917.1,998758.1,2850318.5,112083.6,133639.0,595276.1,63403.0,49740.2,75072.9
2020/03/31,8158291.1,554486.2,39033.3,947385.2,2668761.2,109424.8,134969.0,521623.1,74176.5,60020.9,86837.7
2020/04/01,8445017.9,563882.5,41695.3,933562.2,2698980.2,115268.2,142244.8,528874.9,85579.9,70454.4,99708.1
2020/04/02,8510912.6,587972.6,42804.7,953136.3,2853511.0,110495.0,137314.7,548079.0,97648.8,82572.7,113348.8
2020/04/03,8282341.2,617149.5,46847.2,919287.7,3074067.4,83669.5,137227.2,566137.6,110383.6,94841.2,127730.9
2020/04/04,8628396.8,628806.0,56522.2,950510.9,3303407.2,84517.1,126654.5,647216.1,123767.5,108096.9,142784.4
2020/04/05,7471511.0,515211.4,42427.2,827218.3,2847691.0,84292.1,101857.1,679370.7,137847.8,121400.8,158568.1
2020/04/06,8329829.3,580109.6,42998.7,998758.1,2850318.5,90612.5,127838.5,595276.1,152486.7,135456.1,174668.0
2020/04/07,7994929.7,554486.2,43150.8,947385.2,2668761.2,92100.4,129081.2,521623.1,167416.5,149936.0,190895.3
2020/04/08,7926308.2,563882.5,44623.5,933562.2,2698980.2,91382.9,130877.5,528874.9,182498.9,164714.1,207209.9
2020/04/09,7869719.1,587972.6,44699.5,953136.3,2853511.0,83567.3,121783.3,548079.0,197597.9,179424.8,223448.1
2020/04/10,8224305.7,617149.5,55945.7,919287.7,3074067.4,83513.4,138884.7,566137.6,212838.8,194334.5,239779.3
2020/04/11,8669638.9,628806.0,62406.4,950510.9,3303407.2,90018.4,145396.2,647216.1,228073.7,208520.2,256131.7
2020/04/12,7066728.2,515211.4,7272.9,827218.3,2847691.0,81683.4,89136.9,679370.7,243451.6,222632.8,272772.2
2020/04/13,7404400.2,580109.6,30104.3,998758.1,2850318.5,70490.5,88396.4,595276.1,259083.5,237519.0,289579.7
2020/04/14,7941643.6,554486.2,44885.7,947385.2,2668761.2,93291.0,133846.8,521623.1,274589.8,251844.2,306181.4
2020/04/15,7974370.6,563882.5,45640.0,933562.2,2698980.2,91591.5,128799.0,528874.9,289779.3,265462.3,322397.6
2020/04/16,8153170.9,587972.6,45801.8,953136.3,2853511.0,95952.8,127102.5,548079.0,304576.5,278786.5,338534.1
2020/04/17,8559977.0,617149.5,50145.3,919287.7,3074067.4,98776.6,136089.0,566137.6,319004.0,291825.9,354574.5
2020/04/18,8375049.0,628806.0,55180.6,950510.9,3303407.2,85314.6,116115.1,647216.1,333127.0,304585.7,370284.6
2020/04/19,7828164.3,515211.4,45296.7,827218.3,2847691.0,96206.1,103034.3,679370.7,347269.7,317300.5,385249.4
2020/04/20,8444431.2,580109.6,42770.8,998758.1,2850318.5,102313.5,125071.8,595276.1,361493.8,330206.0,400137.2
2020/04/21,8147477.2,554486.2,42818.7,947385.2,2668761.2,104637.2,123008.0,521623.1,375279.1,342746.7,415907.9
2020/04/22,8545656.3,563882.5,50556.5,933562.2,2698980.2,111577.3,141710.4,528874.9,388458.7,354849.4,431179.2
2020/04/23,8742388.3,587972.6,50465.4,953136.3,2853511.0,111196.0,139119.3,548079.0,401163.8,366600.6,445439.3
2020/04/24,8721810.8,617149.5,48882.7,919287.7,3074067.4,107957.9,129925.3,566137.6,413455.2,377985.2,459194.2
2020/04/25,9549212.5,628806.0,62709.6,950510.9,3303407.2,122754.6,138103.6,647216.1,425412.9,389117.5,472745.1
2020/04/26,7459383.6,515211.4,45784.3,827218.3,2847691.0,85675.0,91588.2,679370.7,437254.1,400160.8,486164.3
2020/04/27,8772718.6,580109.6,47977.1,998758.1,2850318.5,103293.2,131464.2,595276.1,449023.6,411109.5,499428.1
2020/04/28,9102091.1,554486.2,50147.0,947385.2,2668761.2,127457.7,146579.1,521623.1,460470.2,421774.7,512280.2
2020/04/29,8646572.7,563882.5,49104.7,933562.2,2698980.2,111284.7,133634.7,528874.9,471430.8,432090.9,524577.1
2020/04/30,8577767.7,587972.6,46125.7,953136.3,2853511.0,103174.6,124449.9,548079.0,481927.1,442011.0,536213.4
2020/05/01,9459990.8,617149.5,60543.9,919287.7,3074067.4,122142.3,150213.4,566137.6,492068.3,451621.7,547390.9
2020/05/02,9957662.3,628806.0,65619.0,950510.9,3303407.2,132095.7,135104.5,647216.1,501889.7,460993.1,558226.1
2020/05/03,,,,,,,,,511617.2,470260.3,568904.0
2020/05/04,,,,,,,,,521274.8,478879.8,579465.9
2020/05/05,,,,,,,,,530482.6,487214.0,589457.6
2020/05/06,,,,,,,,,539297.7,495076.5,599003.3
2020/05/07,,,,,,,,,547772.3,502566.5,608061.8
2020/05/08,,,,,,,,,555849.8,509902.0,616660.2
