date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12006858.2,515211.4,146015.8,827218.3,2847691.0,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14195121.9,580109.6,104929.9,998758.1,2850318.5,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13384720.5,554486.2,100932.4,947385.2,2668761.2,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13338154.0,563882.5,102818.8,933562.2,2698980.2,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13275522.7,587972.6,111260.7,953136.3,2853511.0,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13780645.9,617149.5,130286.0,919287.7,3074067.4,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,12218263.9,628806.0,142376.5,950510.9,3303407.2,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,10377196.9,515211.4,109029.3,827218.3,2847691.0,221744.8,193608.6,679370.7,928.2,193.7,2464.9
2020/03/16,10870365.8,580109.6,90558.5,998758.1,2850318.5,152333.5,236963.2,595276.1,1289.6,305.4,3236.7
2020/03/17,10054369.6,554486.2,75307.8,947385.2,2668761.2,147610.5,221385.8,521623.1,1821.6,496.3,4256.3
2020/03/18,10115777.0,563882.5,72917.2,933562.2,2698980.2,146159.9,219748.3,528874.9,2597.1,811.1,5611.3
2020/03/19,9930846.7,587972.6,64192.9,953136.3,2853511.0,140195.6,230065.8,548079.0,3690.2,1292.9,7366.8
2020/03/20,9720087.3,617149.5,50801.7,919287.7,3074067.4,132949.5,231707.0,566137.6,5208.8,2036.5,9628.0
2020/03/21,8979716.6,628806.0,42098.0,950510.9,3303407.2,113656.6,229402.0,647216.1,7302.3,3161.2,12547.7
2020/03/22,8156995.7,515211.4,48551.4,827218.3,2847691.0,116868.6,193608.6,679370.7,10112.5,4812.7,16244.2
2020/03/23,8532786.7,580109.6,34614.2,998758.1,2850318.5,105204.3,236963.2,595276.1,13751.5,7156.6,20733.9
2020/03/24,8722378.7,554486.2,42067.1,947385.2,2668761.2,124361.0,221385.8,521623.1,18228.9,10329.9,26028.5
2020/03/25,9014215.4,563882.5,44074.8,933562.2,2698980.2,135779.8,219748.3,528874.9,23527.9,14390.2,31985.8
2020/03/26,8948818.1,587972.6,41596.0,953136.3,2853511.0,119785.3,230065.8,548079.0,29609.9,19337.7,38657.1
2020/03/27,9222227.3,617149.5,43552.1,919287.7,3074067.4,123602.8,231707.0,566137.6,36602.7,25372.9,46051.9
2020/03/28,8536532.2,628806.0,50561.7,950510.9,3303407.2,95596.2,229402.0,647216.1,44541.1,32523.3,54498.5
2020/03/29,7507634.0,515211.4,41315.0,827218.3,2847691.0,93198.6,193608.6,679370.7,53520.6,40903.8,64334.6
2020/03/30,8690994.8,580109.6,38917.1,998758.1,2850318.5,112083.6,236963.2,595276.1,63502.9,50071.1,75868.6
2020/03/31,8244707.9,554486.2,39033.3,947385.2,2668761.2,109424.8,221385.8,521623.1,74315.0,60251.7,88310.1
2020/04/01,8522521.4,563882.5,41695.3,933562.2,2698980.2,115268.2,219748.3,528874.9,85763.1,70696.5,101290.2
2020/04/02,8603663.6,587972.6,42804.7,953136.3,2853511.0,110495.0,230065.8,548079.0,97878.9,82361.1,114940.5
2020/04/03,8376820.9,617149.5,46847.2,919287.7,3074067.4,83669.5,231707.0,566137.6,110663.3,94710.0,129297.0
2020/04/04,8731144.2,628806.0,56522.2,950510.9,3303407.2,84517.1,229402.0,647216.1,124098.7,108260.1,144204.0
2020/04/05,7563262.5,515211.4,42427.2,827218.3,2847691.0,84292.1,193608.6,679370.7,138234.4,121954.7,159739.1
2020/04/06,8438953.9,580109.6,42998.7,998758.1,2850318.5,90612.5,236963.2,595276.1,152930.0,135971.1,175882.3
2020/04/07,8087234.3,554486.2,43150.8,947385.2,2668761.2,92100.4,221385.8,521623.1,167920.4,150350.8,192231.2
2020/04/08,8015179.0,563882.5,44623.5,933562.2,2698980.2,91382.9,219748.3,528874.9,183062.1,165049.3,208800.5
2020/04/09,7978001.6,587972.6,44699.5,953136.3,2853511.0,83567.3,230065.8,548079.0,198223.2,179836.6,225198.8
2020/04/10,8317128.0,617149.5,55945.7,919287.7,3074067.4,83513.4,231707.0,566137.6,213532.0,194342.7,241634.2
2020/04/11,8753644.7,628806.0,62406.4,950510.9,3303407.2,90018.4,229402.0,647216.1,228829.8,208614.6,258065.9
2020/04/12,7171199.8,515211.4,7272.9,827218.3,2847691.0,81683.4,193608.6,679370.7,244267.1,223408.2,274625.5
2020/04/13,7552967.0,580109.6,30104.3,998758.1,2850318.5,70490.5,236963.2,595276.1,259962.1,238044.4,291350.6
2020/04/14,8029182.6,554486.2,44885.7,947385.2,2668761.2,93291.0,221385.8,521623.1,275530.9,252905.1,307894.6
2020/04/15,8065319.9,563882.5,45640.0,933562.2,2698980.2,91591.5,219748.3,528874.9,290784.4,267524.2,324008.1
2020/04/16,8256134.2,587972.6,45801.8,953136.3,2853511.0,95952.8,230065.8,548079.0,305636.2,280940.1,339697.2
2020/04/17,8655595.0,617149.5,50145.3,919287.7,3074067.4,98776.6,231707.0,566137.6,320123.2,293965.4,355491.6
2020/04/18,8488335.9,628806.0,55180.6,950510.9,3303407.2,85314.6,229402.0,647216.1,334301.0,306685.6,370249.7
2020/04/19,7918738.6,515211.4,45296.7,827218.3,2847691.0,96206.1,193608.6,679370.7,348494.1,319424.8,385308.4
2020/04/20,8556322.6,580109.6,42770.8,998758.1,2850318.5,102313.5,236963.2,595276.1,362761.7,332216.8,401033.6
2020/04/21,8245855.0,554486.2,42818.7,947385.2,2668761.2,104637.2,221385.8,521623.1,376594.6,344735.9,416551.7
2020/04/22,8623694.2,563882.5,50556.5,933562.2,2698980.2,111577.3,219748.3,528874.9,389818.5,356750.7,431612.7
2020/04/23,8833334.8,587972.6,50465.4,953136.3,2853511.0,111196.0,230065.8,548079.0,402566.6,368377.3,445429.1
2020/04/24,8823592.5,617149.5,48882.7,919287.7,3074067.4,107957.9,231707.0,566137.6,414893.0,379618.2,459430.4
2020/04/25,9640510.9,628806.0,62709.6,950510.9,3303407.2,122754.6,229402.0,647216.1,426887.4,390643.9,473194.5
2020/04/26,7561404.0,515211.4,45784.3,827218.3,2847691.0,85675.0,193608.6,679370.7,438766.9,401506.7,486682.2
2020/04/27,8878217.6,580109.6,47977.1,998758.1,2850318.5,103293.2,236963.2,595276.1,450566.5,412307.8,500016.8
2020/04/28,9176897.7,554486.2,50147.0,947385.2,2668761.2,127457.7,221385.8,521623.1,462045.8,422899.2,512981.2
2020/04/29,8732686.3,563882.5,49104.7,933562.2,2698980.2,111284.7,219748.3,528874.9,473036.9,433055.7,525281.0
2020/04/30,8683383.6,587972.6,46125.7,953136.3,2853511.0,103174.6,230065.8,548079.0,483560.5,442872.7,537034.5
2020/05/01,9541484.3,617149.5,60543.9,919287.7,3074067.4,122142.3,231707.0,566137.6,493719.4,452349.1,548284.6
2020/05/02,10051959.7,628806.0,65619.0,950510.9,3303407.2,132095.7,229402.0,647216.1,503559.0,461570.3,559098.8
2020/05/03,,,,,,,,,513304.1,470609.2,569888.0
2020/05/04,,,,,,,,,522977.6,479795.8,580564.0
2020/05/05,,,,,,,,,532196.9,488533.8,590660.2
2020/05/06,,,,,,,,,541023.7,496825.3,600272.1
2020/05/07,,,,,,,,,549509.6,504365.3,609292.5
2020/05/08,,,,,,,,,557595.6,511865.3,617793.4
