date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12044896.7,515211.4,146015.8,827218.3,2847691.0,387601.3,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14210554.6,580109.6,104929.9,998758.1,2850318.5,217940.7,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13373345.1,554486.2,100932.4,947385.2,2668761.2,189900.3,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13331302.4,563882.5,102818.8,933562.2,2698980.2,189619.3,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13279850.4,587972.6,111260.7,953136.3,2853511.0,193451.2,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13775887.5,617149.5,130286.0,919287.7,3074067.4,200534.6,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,12281069.3,628806.0,142376.5,950510.9,3303407.2,255021.1,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,10543053.4,515211.4,109029.3,827218.3,2847691.0,387601.3,193608.6,679370.7,928.3,194.9,2466.0
2020/03/16,10935973.1,580109.6,90558.5,998758.1,2850318.5,217940.7,236963.2,595276.1,1290.0,306.9,3230.4
2020/03/17,10096659.4,554486.2,75307.8,947385.2,2668761.2,189900.3,221385.8,521623.1,1822.4,499.1,4248.4
2020/03/18,10159236.5,563882.5,72917.2,933562.2,2698980.2,189619.3,219748.3,528874.9,2597.7,811.9,5617.1
2020/03/19,9984102.3,587972.6,64192.9,953136.3,2853511.0,193451.2,230065.8,548079.0,3690.6,1313.8,7405.8
2020/03/20,9787672.5,617149.5,50801.7,919287.7,3074067.4,200534.6,231707.0,566137.6,5209.6,2053.7,9683.7
2020/03/21,9121081.1,628806.0,42098.0,950510.9,3303407.2,255021.1,229402.0,647216.1,7308.0,3173.4,12598.2
2020/03/22,8427728.4,515211.4,48551.4,827218.3,2847691.0,387601.3,193608.6,679370.7,10133.1,4856.0,16314.4
2020/03/23,8645523.1,580109.6,34614.2,998758.1,2850318.5,217940.7,236963.2,595276.1,13842.3,7291.7,20859.2
2020/03/24,8787918.0,554486.2,42067.1,947385.2,2668761.2,189900.3,221385.8,521623.1,18432.2,10580.3,26225.7
2020/03/25,9068054.9,563882.5,44074.8,933562.2,2698980.2,189619.3,219748.3,528874.9,23856.2,14720.7,32347.7
2020/03/26,9022483.9,587972.6,41596.0,953136.3,2853511.0,193451.2,230065.8,548079.0,30073.6,19731.5,39117.2
2020/03/27,9299159.0,617149.5,43552.1,919287.7,3074067.4,200534.6,231707.0,566137.6,37215.8,25774.3,46661.8
2020/03/28,8695957.2,628806.0,50561.7,950510.9,3303407.2,255021.1,229402.0,647216.1,45323.4,32964.0,55281.6
2020/03/29,7802036.8,515211.4,41315.0,827218.3,2847691.0,387601.3,193608.6,679370.7,54535.1,41503.8,65053.8
2020/03/30,8796851.9,580109.6,38917.1,998758.1,2850318.5,217940.7,236963.2,595276.1,64965.9,51224.3,76796.3
2020/03/31,8325183.3,554486.2,39033.3,947385.2,2668761.2,189900.3,221385.8,521623.1,76347.3,61791.3,89872.9
2020/04/01,8596872.6,563882.5,41695.3,933562.2,2698980.2,189619.3,219748.3,528874.9,88369.6,73997.8,103348.1
2020/04/02,8686619.8,587972.6,42804.7,953136.3,2853511.0,193451.2,230065.8,548079.0,101026.2,86264.9,117407.1
2020/04/03,8493686.1,617149.5,46847.2,919287.7,3074067.4,200534.6,231707.0,566137.6,114349.7,99559.0,132317.9
2020/04/04,8901648.2,628806.0,56522.2,950510.9,3303407.2,255021.1,229402.0,647216.1,128336.2,113218.5,147956.9
2020/04/05,7866571.7,515211.4,42427.2,827218.3,2847691.0,387601.3,193608.6,679370.7,143088.1,127267.1,164341.4
2020/04/06,8566282.2,580109.6,42998.7,998758.1,2850318.5,217940.7,236963.2,595276.1,158682.0,142196.0,181639.7
2020/04/07,8185034.2,554486.2,43150.8,947385.2,2668761.2,189900.3,221385.8,521623.1,174692.5,157539.6,199351.0
2020/04/08,8113415.5,563882.5,44623.5,933562.2,2698980.2,189619.3,219748.3,528874.9,190791.6,173130.3,217124.9
2020/04/09,8087885.4,587972.6,44699.5,953136.3,2853511.0,193451.2,230065.8,548079.0,206828.9,188269.4,234635.6
2020/04/10,8434149.2,617149.5,55945.7,919287.7,3074067.4,200534.6,231707.0,566137.6,222965.8,202609.7,252262.9
2020/04/11,8918647.4,628806.0,62406.4,950510.9,3303407.2,255021.1,229402.0,647216.1,239074.5,217580.9,269804.0
2020/04/12,7477117.8,515211.4,7272.9,827218.3,2847691.0,387601.3,193608.6,679370.7,255372.3,233986.4,287423.2
2020/04/13,7700417.2,580109.6,30104.3,998758.1,2850318.5,217940.7,236963.2,595276.1,272188.1,249332.3,305458.9
2020/04/14,8125791.8,554486.2,44885.7,947385.2,2668761.2,189900.3,221385.8,521623.1,288949.5,264526.6,323352.4
2020/04/15,8163347.8,563882.5,45640.0,933562.2,2698980.2,189619.3,219748.3,528874.9,305287.8,279190.3,340745.7
2020/04/16,8353632.5,587972.6,45801.8,953136.3,2853511.0,193451.2,230065.8,548079.0,321118.1,293469.0,357616.2
2020/04/17,8757353.0,617149.5,50145.3,919287.7,3074067.4,200534.6,231707.0,566137.6,336504.0,307420.3,373980.2
2020/04/18,8658042.3,628806.0,55180.6,950510.9,3303407.2,255021.1,229402.0,647216.1,351518.0,321035.5,390245.9
2020/04/19,8210133.8,515211.4,45296.7,827218.3,2847691.0,387601.3,193608.6,679370.7,366546.5,334670.0,406599.2
2020/04/20,8671949.8,580109.6,42770.8,998758.1,2850318.5,217940.7,236963.2,595276.1,381832.1,348506.5,424042.5
2020/04/21,8331118.1,554486.2,42818.7,947385.2,2668761.2,189900.3,221385.8,521623.1,396704.4,362003.8,441289.5
2020/04/22,8701736.3,563882.5,50556.5,933562.2,2698980.2,189619.3,219748.3,528874.9,410848.7,374854.7,456364.4
2020/04/23,8915590.0,587972.6,50465.4,953136.3,2853511.0,193451.2,230065.8,548079.0,424397.9,387178.3,471059.8
2020/04/24,8916169.2,617149.5,48882.7,919287.7,3074067.4,200534.6,231707.0,566137.6,437429.8,399134.3,485843.2
2020/04/25,9772777.4,628806.0,62709.6,950510.9,3303407.2,255021.1,229402.0,647216.1,450052.0,410741.5,500115.8
2020/04/26,7863330.4,515211.4,45784.3,827218.3,2847691.0,387601.3,193608.6,679370.7,462525.2,422250.7,514193.9
2020/04/27,8992865.1,580109.6,47977.1,998758.1,2850318.5,217940.7,236963.2,595276.1,475044.1,433844.9,528343.4
2020/04/28,9239340.3,554486.2,50147.0,947385.2,2668761.2,189900.3,221385.8,521623.1,487229.0,445138.5,542021.9
2020/04/29,8811021.0,563882.5,49104.7,933562.2,2698980.2,189619.3,219748.3,528874.9,498819.4,456004.2,554885.1
2020/04/30,8773660.2,587972.6,46125.7,953136.3,2853511.0,193451.2,230065.8,548079.0,509834.9,466364.3,567011.7
2020/05/01,9619876.6,617149.5,60543.9,919287.7,3074067.4,200534.6,231707.0,566137.6,520405.7,476354.4,578574.0
2020/05/02,10174885.1,628806.0,65619.0,950510.9,3303407.2,255021.1,229402.0,647216.1,530579.0,486054.2,589637.4
2020/05/03,,,,,,,,,540613.1,495669.5,600444.3
2020/05/04,,,,,,,,,550643.3,505305.5,611343.3
2020/05/05,,,,,,,,,560226.1,514557.0,621593.3
2020/05/06,,,,,,,,,569328.9,523405.3,631183.4
2020/05/07,,,,,,,,,578004.8,531896.3,640284.5
2020/05/08,,,,,,,,,586222.8,539966.1,648912.5
