date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11984163.4,492516.6,146015.8,827218.3,2847691.0,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14170951.8,555939.5,104929.9,998758.1,2850318.5,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13361619.5,531385.2,100932.4,947385.2,2668761.2,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13303641.3,529369.8,102818.8,933562.2,2698980.2,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13200168.5,512618.4,111260.7,953136.3,2853511.0,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13741192.0,577695.6,130286.0,919287.7,3074067.4,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,12069471.8,480013.9,142376.5,950510.9,3303407.2,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,10230635.2,368649.7,109029.3,827218.3,2847691.0,221744.8,193608.6,679370.7,928.2,194.7,2466.7
2020/03/16,10666402.1,376145.9,90558.5,998758.1,2850318.5,152333.5,236963.2,595276.1,1289.0,307.3,3230.4
2020/03/17,9827627.5,327744.1,75307.8,947385.2,2668761.2,147610.5,221385.8,521623.1,1820.0,495.3,4257.1
2020/03/18,9876570.2,324675.7,72917.2,933562.2,2698980.2,146159.9,219748.3,528874.9,2593.3,814.5,5601.5
2020/03/19,9637048.4,294174.3,64192.9,953136.3,2853511.0,140195.6,230065.8,548079.0,3684.6,1300.5,7350.1
2020/03/20,9362248.1,259310.2,50801.7,919287.7,3074067.4,132949.5,231707.0,566137.6,5197.5,2066.6,9625.2
2020/03/21,8536177.6,185267.0,42098.0,950510.9,3303407.2,113656.6,229402.0,647216.1,7280.3,3187.1,12535.7
2020/03/22,7834720.3,192936.0,48551.4,827218.3,2847691.0,116868.6,193608.6,679370.7,10068.3,4862.8,16180.8
2020/03/23,8147082.0,194404.9,34614.2,998758.1,2850318.5,105204.3,236963.2,595276.1,13670.0,7202.2,20620.5
2020/03/24,8407882.4,239989.9,42067.1,947385.2,2668761.2,124361.0,221385.8,521623.1,18084.8,10309.6,25833.8
2020/03/25,8703994.0,253661.2,44074.8,933562.2,2698980.2,135779.8,219748.3,528874.9,23283.4,14249.4,31753.0
2020/03/26,8605936.2,245090.7,41596.0,953136.3,2853511.0,119785.3,230065.8,548079.0,29244.0,19038.2,38321.7
2020/03/27,8865694.4,260616.6,43552.1,919287.7,3074067.4,123602.8,231707.0,566137.6,36078.4,24834.2,45679.5
2020/03/28,8114386.8,206660.6,50561.7,950510.9,3303407.2,95596.2,229402.0,647216.1,43803.5,31711.1,53694.3
2020/03/29,7158138.0,165715.4,41315.0,827218.3,2847691.0,93198.6,193608.6,679370.7,52519.2,39812.4,63262.4
2020/03/30,8322357.0,211471.8,38917.1,998758.1,2850318.5,112083.6,236963.2,595276.1,62189.2,49047.7,73581.2
2020/03/31,7914417.7,224196.1,39033.3,947385.2,2668761.2,109424.8,221385.8,521623.1,72645.2,58852.3,85409.0
2020/04/01,8193728.3,235089.4,41695.3,933562.2,2698980.2,115268.2,219748.3,528874.9,83698.7,69750.1,98106.2
2020/04/02,8245882.1,230191.1,42804.7,953136.3,2853511.0,110495.0,230065.8,548079.0,95395.7,81125.9,111444.5
2020/04/03,7995825.8,236154.4,46847.2,919287.7,3074067.4,83669.5,231707.0,566137.6,107729.6,92571.5,125353.4
2020/04/04,8344074.8,241736.6,56522.2,950510.9,3303407.2,84517.1,229402.0,647216.1,120682.5,104852.7,139909.9
2020/04/05,7227319.9,179268.8,42427.2,827218.3,2847691.0,84292.1,193608.6,679370.7,134291.1,118004.0,155087.4
2020/04/06,8074915.3,216071.0,42998.7,998758.1,2850318.5,90612.5,236963.2,595276.1,148427.0,131654.3,170774.6
2020/04/07,7753771.0,221022.9,43150.8,947385.2,2668761.2,92100.4,221385.8,521623.1,162838.4,145569.2,186567.5
2020/04/08,7662368.4,211071.9,44623.5,933562.2,2698980.2,91382.9,219748.3,528874.9,177389.6,159744.7,202469.9
2020/04/09,7589987.9,199959.0,44699.5,953136.3,2853511.0,83567.3,230065.8,548079.0,191956.5,174071.1,218258.0
2020/04/10,7919668.8,219690.3,55945.7,919287.7,3074067.4,83513.4,231707.0,566137.6,206670.0,188552.4,234114.2
2020/04/11,8372320.3,247481.6,62406.4,950510.9,3303407.2,90018.4,229402.0,647216.1,221369.4,202860.4,249946.7
2020/04/12,6796199.5,140211.0,7272.9,827218.3,2847691.0,81683.4,193608.6,679370.7,236189.0,217410.6,265838.7
2020/04/13,7124849.6,151992.2,30104.3,998758.1,2850318.5,70490.5,236963.2,595276.1,251246.1,231132.7,281922.2
2020/04/14,7711812.9,237116.5,44885.7,947385.2,2668761.2,93291.0,221385.8,521623.1,266182.5,245276.6,297766.5
2020/04/15,7741670.6,240233.3,45640.0,933562.2,2698980.2,91591.5,219748.3,528874.9,280826.9,258409.1,313228.1
2020/04/16,7903797.2,235635.7,45801.8,953136.3,2853511.0,95952.8,230065.8,548079.0,295092.5,271225.9,328290.5
2020/04/17,8303188.8,264743.2,50145.3,919287.7,3074067.4,98776.6,231707.0,566137.6,309002.6,283821.1,342915.3
2020/04/18,8089394.7,229864.9,55180.6,950510.9,3303407.2,85314.6,229402.0,647216.1,322619.1,296180.7,356982.5
2020/04/19,7624369.8,220842.5,45296.7,827218.3,2847691.0,96206.1,193608.6,679370.7,336243.3,308538.3,371254.4
2020/04/20,8198749.7,222536.7,42770.8,998758.1,2850318.5,102313.5,236963.2,595276.1,349940.6,320943.0,386849.7
2020/04/21,7913487.8,222119.1,42818.7,947385.2,2668761.2,104637.2,221385.8,521623.1,363217.6,333006.9,401169.4
2020/04/22,8324405.5,264593.8,50556.5,933562.2,2698980.2,111577.3,219748.3,528874.9,375920.3,344647.2,415333.7
2020/04/23,8503669.7,258307.6,50465.4,953136.3,2853511.0,111196.0,230065.8,548079.0,388179.3,355915.9,429174.6
2020/04/24,8477832.4,271389.4,48882.7,919287.7,3074067.4,107957.9,231707.0,566137.6,400041.4,366867.7,442619.6
2020/04/25,9332242.3,320537.4,62709.6,950510.9,3303407.2,122754.6,229402.0,647216.1,411597.4,377522.2,455480.0
2020/04/26,7229715.3,183522.6,45784.3,827218.3,2847691.0,85675.0,193608.6,679370.7,423037.3,388054.7,468105.8
2020/04/27,8535656.4,237548.4,47977.1,998758.1,2850318.5,103293.2,236963.2,595276.1,434404.2,398562.5,480814.8
2020/04/28,8914344.4,291932.9,50147.0,947385.2,2668761.2,127457.7,221385.8,521623.1,445473.3,408825.0,493216.9
2020/04/29,8421562.6,252758.8,49104.7,933562.2,2698980.2,111284.7,219748.3,528874.9,456089.7,418666.5,505043.7
2020/04/30,8336644.1,241233.1,46125.7,953136.3,2853511.0,103174.6,230065.8,548079.0,466271.2,427773.5,516347.9
2020/05/01,9231463.2,307128.4,60543.9,919287.7,3074067.4,122142.3,231707.0,566137.6,476114.9,436280.4,527237.0
2020/05/02,9762036.3,338882.6,65619.0,950510.9,3303407.2,132095.7,229402.0,647216.1,485656.8,444696.3,537675.5
2020/05/03,,,,,,,,,495114.8,453474.0,548155.2
2020/05/04,,,,,,,,,504514.3,462139.9,558646.2
2020/05/05,,,,,,,,,513484.2,470679.4,568584.8
2020/05/06,,,,,,,,,522086.4,478686.0,577977.7
2020/05/07,,,,,,,,,530375.2,485931.8,587013.0
2020/05/08,,,,,,,,,538285.4,493353.0,595448.3
