date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11959655.3,515211.4,146015.8,827218.3,2847691.0,349562.8,184310.9,641465.6,3.8,0.3,12.7
2020/03/09,14168097.0,580109.6,104929.9,998758.1,2850318.5,202508.0,225436.8,579777.5,88.5,12.9,277.6
2020/03/10,13426160.8,554486.2,100932.4,947385.2,2668761.2,201275.7,224403.4,560045.8,169.8,25.4,524.6
2020/03/11,13381468.3,563882.5,102818.8,933562.2,2698980.2,196471.0,225072.8,566864.6,258.4,41.0,787.4
2020/03/12,13478993.9,587972.6,111260.7,953136.3,2853511.0,189123.5,254053.0,727562.8,362.6,59.8,1081.4
2020/03/13,14145736.3,617149.5,130286.0,919287.7,3074067.4,205293.0,283685.7,879249.3,495.5,87.8,1436.9
2020/03/14,12293422.9,628806.0,142376.5,950510.9,3303407.2,192215.6,228336.6,723440.5,676.4,129.3,1886.9
2020/03/15,10368315.4,515211.4,109029.3,827218.3,2847691.0,221744.8,191088.7,673009.1,928.2,194.2,2466.6
2020/03/16,10988619.2,580109.6,90558.5,998758.1,2850318.5,152333.5,233907.7,716584.9,1288.5,306.8,3231.8
2020/03/17,10111649.1,554486.2,75307.8,947385.2,2668761.2,147610.5,203975.5,596312.8,1819.3,490.4,4255.8
2020/03/18,10143056.5,563882.5,72917.2,933562.2,2698980.2,146159.9,203895.6,572007.2,2593.0,815.5,5599.1
2020/03/19,9873080.6,587972.6,64192.9,953136.3,2853511.0,140195.6,185519.6,534859.1,3684.0,1315.2,7368.1
2020/03/20,9597100.0,617149.5,50801.7,919287.7,3074067.4,132949.5,156818.8,518038.5,5200.9,2050.7,9672.0
2020/03/21,8614972.8,628806.0,42098.0,950510.9,3303407.2,113656.6,110319.8,401554.4,7302.9,3161.7,12585.6
2020/03/22,7844547.7,515211.4,48551.4,827218.3,2847691.0,116868.6,122423.2,438108.1,10123.4,4824.5,16266.3
2020/03/23,8190610.8,580109.6,34614.2,998758.1,2850318.5,105204.3,123985.7,366077.7,13762.2,7163.3,20774.8
2020/03/24,8550840.6,554486.2,42067.1,947385.2,2668761.2,124361.0,149015.4,422455.4,18232.1,10229.3,26062.0
2020/03/25,8872973.2,563882.5,44074.8,933562.2,2698980.2,135779.8,155080.3,452300.8,23514.3,14069.0,32053.6
2020/03/26,8718184.6,587972.6,41596.0,953136.3,2853511.0,119785.3,143560.8,403950.5,29570.8,18796.3,38707.8
2020/03/27,9001139.1,617149.5,43552.1,919287.7,3074067.4,123602.8,142569.7,434186.8,36525.5,24580.2,46162.3
2020/03/28,8208546.7,628806.0,50561.7,950510.9,3303407.2,95596.2,115623.8,433008.6,44399.5,31426.1,54448.1
2020/03/29,7119495.7,515211.4,41315.0,827218.3,2847691.0,93198.6,96620.0,388221.0,53276.3,39574.0,64104.7
2020/03/30,8388644.1,580109.6,38917.1,998758.1,2850318.5,112083.6,133639.0,396249.5,63081.3,48769.5,74768.9
2020/03/31,8023729.6,554486.2,39033.3,947385.2,2668761.2,109424.8,134969.0,387061.6,73657.4,58795.2,86765.3
2020/04/01,8315731.1,563882.5,41695.3,933562.2,2698980.2,115268.2,142244.8,399588.1,84838.9,69837.1,99714.3
2020/04/02,8366672.1,587972.6,42804.7,953136.3,2853511.0,110495.0,137314.7,403838.5,96697.4,81350.6,113280.8
2020/04/03,8120268.4,617149.5,46847.2,919287.7,3074067.4,83669.5,137227.2,404064.8,109221.4,93420.1,127538.7
2020/04/04,8411846.0,628806.0,56522.2,950510.9,3303407.2,84517.1,126654.5,430665.2,122384.9,106705.4,142091.4
2020/04/05,7156249.1,515211.4,42427.2,827218.3,2847691.0,84292.1,101857.1,364108.8,136213.2,120024.9,157288.7
2020/04/06,8103658.4,580109.6,42998.7,998758.1,2850318.5,90612.5,127838.5,369105.2,150546.6,133748.0,172890.2
2020/04/07,7838846.6,554486.2,43150.8,947385.2,2668761.2,92100.4,129081.2,365540.0,165138.0,147822.8,188769.6
2020/04/08,7760890.0,563882.5,44623.5,933562.2,2698980.2,91382.9,130877.5,363456.7,179887.4,162223.8,204756.0
2020/04/09,7685463.6,587972.6,44699.5,953136.3,2853511.0,83567.3,121783.3,363823.5,194671.9,176612.7,220682.2
2020/04/10,8072518.9,617149.5,55945.7,919287.7,3074067.4,83513.4,138884.7,414350.8,209629.6,191147.7,236701.5
2020/04/11,8463240.1,628806.0,62406.4,950510.9,3303407.2,90018.4,145396.2,440817.3,224579.9,204703.0,252741.7
2020/04/12,6622311.9,515211.4,7272.9,827218.3,2847691.0,81683.4,89136.9,234954.4,239669.2,219235.8,268899.9
2020/04/13,7073853.1,580109.6,30104.3,998758.1,2850318.5,70490.5,88396.4,264728.9,254980.5,233399.5,285202.8
2020/04/14,7789123.6,554486.2,44885.7,947385.2,2668761.2,93291.0,133846.8,369103.2,270140.3,247372.1,301296.7
2020/04/15,7806893.0,563882.5,45640.0,933562.2,2698980.2,91591.5,128799.0,361397.3,285002.9,260724.3,316973.5
2020/04/16,7965252.9,587972.6,45801.8,953136.3,2853511.0,95952.8,127102.5,360161.1,299500.2,273862.8,332302.6
2020/04/17,8386892.2,617149.5,50145.3,919287.7,3074067.4,98776.6,136089.0,393052.8,313651.8,286505.6,348219.0
2020/04/18,8118566.6,628806.0,55180.6,950510.9,3303407.2,85314.6,116115.1,390733.7,327519.7,299013.7,363713.6
2020/04/19,7502816.0,515211.4,45296.7,827218.3,2847691.0,96206.1,103034.3,354022.3,341417.6,311551.8,378252.2
2020/04/20,8206204.9,580109.6,42770.8,998758.1,2850318.5,102313.5,125071.8,357049.8,355370.9,324184.7,393225.2
2020/04/21,7987185.4,554486.2,42818.7,947385.2,2668761.2,104637.2,123008.0,361331.3,368860.9,336457.6,407731.7
2020/04/22,8426618.3,563882.5,50556.5,933562.2,2698980.2,111577.3,141710.4,409836.9,381773.0,348233.9,422061.4
2020/04/23,8601241.6,587972.6,50465.4,953136.3,2853511.0,111196.0,139119.3,406932.3,394242.5,359720.2,436241.7
2020/04/24,8548100.8,617149.5,48882.7,919287.7,3074067.4,107957.9,129925.3,392427.6,406315.1,370839.5,449722.5
2020/04/25,9349391.1,628806.0,62709.6,950510.9,3303407.2,122754.6,138103.6,447394.7,418082.0,381751.2,462716.8
2020/04/26,7122644.1,515211.4,45784.3,827218.3,2847691.0,85675.0,91588.2,342631.1,429741.7,392551.2,475921.5
2020/04/27,8556161.9,580109.6,47977.1,998758.1,2850318.5,103293.2,131464.2,378719.3,441310.9,403268.4,488939.2
2020/04/28,8983620.1,554486.2,50147.0,947385.2,2668761.2,127457.7,146579.1,403152.1,452553.2,413741.2,501656.5
2020/04/29,8500861.3,563882.5,49104.7,933562.2,2698980.2,111284.7,133634.7,383163.5,463331.2,423815.7,513710.0
2020/04/30,8387312.8,587972.6,46125.7,953136.3,2853511.0,103174.6,124449.9,357624.1,473672.2,433574.0,525245.2
2020/05/01,9316689.9,617149.5,60543.9,919287.7,3074067.4,122142.3,150213.4,422836.7,483669.6,443034.5,536350.2
2020/05/02,9755735.4,628806.0,65619.0,950510.9,3303407.2,132095.7,135104.5,445289.2,493367.4,451908.2,547202.5
2020/05/03,,,,,,,,,502975.3,460567.2,557954.3
2020/05/04,,,,,,,,,512508.0,469485.8,568575.6
2020/05/05,,,,,,,,,521587.8,477968.5,578665.7
2020/05/06,,,,,,,,,530292.8,485812.9,588265.6
2020/05/07,,,,,,,,,538673.0,493589.3,597470.8
2020/05/08,,,,,,,,,546665.9,500919.0,606150.9
