date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11968953.0,515211.4,146015.8,827218.3,2847691.0,349562.8,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14179623.3,580109.6,104929.9,998758.1,2850318.5,202508.0,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13423143.2,554486.2,100932.4,947385.2,2668761.2,201275.7,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13376143.7,563882.5,102818.8,933562.2,2698980.2,196471.0,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13455006.6,587972.6,111260.7,953136.3,2853511.0,189123.5,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,14093757.6,617149.5,130286.0,919287.7,3074067.4,205293.0,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,12294488.3,628806.0,142376.5,950510.9,3303407.2,192215.6,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10370835.3,515211.4,109029.3,827218.3,2847691.0,221744.8,193608.6,673009.1,928.2,194.2,2466.6
2020/03/16,10991674.6,580109.6,90558.5,998758.1,2850318.5,152333.5,236963.2,716584.9,1288.8,304.0,3232.7
2020/03/17,10129059.3,554486.2,75307.8,947385.2,2668761.2,147610.5,221385.8,596312.8,1819.3,494.6,4257.1
2020/03/18,10158909.3,563882.5,72917.2,933562.2,2698980.2,146159.9,219748.3,572007.2,2592.9,806.8,5608.9
2020/03/19,9917626.8,587972.6,64192.9,953136.3,2853511.0,140195.6,230065.8,534859.1,3683.0,1296.3,7390.3
2020/03/20,9671988.2,617149.5,50801.7,919287.7,3074067.4,132949.5,231707.0,518038.5,5198.8,2032.9,9636.6
2020/03/21,8734055.0,628806.0,42098.0,950510.9,3303407.2,113656.6,229402.0,401554.4,7296.6,3133.6,12516.4
2020/03/22,7915733.1,515211.4,48551.4,827218.3,2847691.0,116868.6,193608.6,438108.1,10109.6,4790.8,16180.0
2020/03/23,8303588.3,580109.6,34614.2,998758.1,2850318.5,105204.3,236963.2,366077.7,13743.9,7123.8,20657.5
2020/03/24,8623211.0,554486.2,42067.1,947385.2,2668761.2,124361.0,221385.8,422455.4,18209.4,10218.0,25899.3
2020/03/25,8937641.3,563882.5,44074.8,933562.2,2698980.2,135779.8,219748.3,452300.8,23487.6,14100.1,31836.9
2020/03/26,8804689.6,587972.6,41596.0,953136.3,2853511.0,119785.3,230065.8,403950.5,29544.7,18859.5,38492.8
2020/03/27,9090276.4,617149.5,43552.1,919287.7,3074067.4,123602.8,231707.0,434186.8,36501.2,24669.1,45842.8
2020/03/28,8322324.8,628806.0,50561.7,950510.9,3303407.2,95596.2,229402.0,433008.6,44382.9,31528.5,54354.6
2020/03/29,7216484.3,515211.4,41315.0,827218.3,2847691.0,93198.6,193608.6,388221.0,53279.1,39644.0,63686.2
2020/03/30,8491968.3,580109.6,38917.1,998758.1,2850318.5,112083.6,236963.2,396249.5,63109.0,48912.9,74706.0
2020/03/31,8110146.4,554486.2,39033.3,947385.2,2668761.2,109424.8,221385.8,387061.6,73715.6,59100.9,86820.5
2020/04/01,8393234.6,563882.5,41695.3,933562.2,2698980.2,115268.2,219748.3,399588.1,84933.0,69855.1,99675.5
2020/04/02,8459423.1,587972.6,42804.7,953136.3,2853511.0,110495.0,230065.8,403838.5,96832.5,81991.3,113282.5
2020/04/03,8214748.1,617149.5,46847.2,919287.7,3074067.4,83669.5,231707.0,404064.8,109399.5,94408.4,127551.5
2020/04/04,8514593.4,628806.0,56522.2,950510.9,3303407.2,84517.1,229402.0,430665.2,122611.8,106773.6,142314.1
2020/04/05,7248000.6,515211.4,42427.2,827218.3,2847691.0,84292.1,193608.6,364108.8,136496.7,120147.6,157783.7
2020/04/06,8212783.1,580109.6,42998.7,998758.1,2850318.5,90612.5,236963.2,369105.2,150883.9,133899.4,173632.6
2020/04/07,7931151.2,554486.2,43150.8,947385.2,2668761.2,92100.4,221385.8,365540.0,165535.0,148064.3,189672.6
2020/04/08,7849760.8,563882.5,44623.5,933562.2,2698980.2,91382.9,219748.3,363456.7,180339.8,162651.4,205819.3
2020/04/09,7793746.0,587972.6,44699.5,953136.3,2853511.0,83567.3,230065.8,363823.5,195175.0,177380.3,221906.7
2020/04/10,8165341.2,617149.5,55945.7,919287.7,3074067.4,83513.4,231707.0,414350.8,210182.5,192035.9,238125.4
2020/04/11,8547245.9,628806.0,62406.4,950510.9,3303407.2,90018.4,229402.0,440817.3,225188.1,205963.0,254255.3
2020/04/12,6726783.6,515211.4,7272.9,827218.3,2847691.0,81683.4,193608.6,234954.4,240329.3,219958.9,270482.9
2020/04/13,7222419.8,580109.6,30104.3,998758.1,2850318.5,70490.5,236963.2,264728.9,255688.5,234939.1,286785.2
2020/04/14,7876662.6,554486.2,44885.7,947385.2,2668761.2,93291.0,221385.8,369103.2,270891.3,249098.0,302813.2
2020/04/15,7897842.3,563882.5,45640.0,933562.2,2698980.2,91591.5,219748.3,361397.3,285799.6,262396.3,318499.6
2020/04/16,8068216.2,587972.6,45801.8,953136.3,2853511.0,95952.8,230065.8,360161.1,300340.2,275428.8,333705.8
2020/04/17,8482510.2,617149.5,50145.3,919287.7,3074067.4,98776.6,231707.0,393052.8,314535.5,288209.3,348490.5
2020/04/18,8231853.5,628806.0,55180.6,950510.9,3303407.2,85314.6,229402.0,390733.7,328442.5,300785.3,363135.6
2020/04/19,7593390.3,515211.4,45296.7,827218.3,2847691.0,96206.1,193608.6,354022.3,342381.8,313379.3,378841.4
2020/04/20,8318096.3,580109.6,42770.8,998758.1,2850318.5,102313.5,236963.2,357049.8,356372.4,325968.4,394011.5
2020/04/21,8085563.2,554486.2,42818.7,947385.2,2668761.2,104637.2,221385.8,361331.3,369903.5,338219.5,409131.8
2020/04/22,8504656.2,563882.5,50556.5,933562.2,2698980.2,111577.3,219748.3,409836.9,382854.4,350047.0,423521.6
2020/04/23,8692188.1,587972.6,50465.4,953136.3,2853511.0,111196.0,230065.8,406932.3,395352.2,361544.4,437667.9
2020/04/24,8649882.5,617149.5,48882.7,919287.7,3074067.4,107957.9,231707.0,392427.6,407459.5,372709.9,451279.5
2020/04/25,9440689.5,628806.0,62709.6,950510.9,3303407.2,122754.6,229402.0,447394.7,419253.3,383616.9,464600.6
2020/04/26,7224664.5,515211.4,45784.3,827218.3,2847691.0,85675.0,193608.6,342631.1,430937.4,394408.8,477361.4
2020/04/27,8661660.8,580109.6,47977.1,998758.1,2850318.5,103293.2,236963.2,378719.3,442533.9,405120.7,490463.0
2020/04/28,9058426.8,554486.2,50147.0,947385.2,2668761.2,127457.7,221385.8,403152.1,453797.8,415540.2,503152.7
2020/04/29,8586975.0,563882.5,49104.7,933562.2,2698980.2,111284.7,219748.3,383163.5,464605.0,425622.0,515217.9
2020/04/30,8492928.7,587972.6,46125.7,953136.3,2853511.0,103174.6,230065.8,357624.1,474965.4,435267.6,526755.6
2020/05/01,9398183.5,617149.5,60543.9,919287.7,3074067.4,122142.3,231707.0,422836.7,484986.7,444177.2,537947.9
2020/05/02,9850032.8,628806.0,65619.0,950510.9,3303407.2,132095.7,229402.0,445289.2,494702.7,453369.4,548765.7
2020/05/03,,,,,,,,,504334.2,462326.5,559453.8
2020/05/04,,,,,,,,,513885.6,471125.0,570065.9
2020/05/05,,,,,,,,,522981.7,479412.8,580119.8
2020/05/06,,,,,,,,,531699.0,487673.2,589643.9
2020/05/07,,,,,,,,,540091.7,495321.0,598765.4
2020/05/08,,,,,,,,,548104.5,502423.4,607448.0
