date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,12006991.6,515211.4,146015.8,827218.3,2847691.0,387601.3,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14195056.0,580109.6,104929.9,998758.1,2850318.5,217940.7,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13411767.8,554486.2,100932.4,947385.2,2668761.2,189900.3,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13369292.1,563882.5,102818.8,933562.2,2698980.2,189619.3,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13459334.3,587972.6,111260.7,953136.3,2853511.0,193451.2,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,14088999.2,617149.5,130286.0,919287.7,3074067.4,200534.6,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,12357293.8,628806.0,142376.5,950510.9,3303407.2,255021.1,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10536691.9,515211.4,109029.3,827218.3,2847691.0,387601.3,193608.6,673009.1,928.2,194.5,2468.1
2020/03/16,11057281.9,580109.6,90558.5,998758.1,2850318.5,217940.7,236963.2,716584.9,1289.3,305.8,3242.4
2020/03/17,10171349.1,554486.2,75307.8,947385.2,2668761.2,189900.3,221385.8,596312.8,1820.4,488.1,4265.3
2020/03/18,10202368.8,563882.5,72917.2,933562.2,2698980.2,189619.3,219748.3,572007.2,2595.9,802.5,5637.2
2020/03/19,9970882.4,587972.6,64192.9,953136.3,2853511.0,193451.2,230065.8,534859.1,3686.8,1295.8,7390.3
2020/03/20,9739573.4,617149.5,50801.7,919287.7,3074067.4,200534.6,231707.0,518038.5,5207.1,2035.1,9657.7
2020/03/21,8875419.4,628806.0,42098.0,950510.9,3303407.2,255021.1,229402.0,401554.4,7312.2,3175.5,12579.5
2020/03/22,8186465.8,515211.4,48551.4,827218.3,2847691.0,387601.3,193608.6,438108.1,10145.2,4855.0,16256.8
2020/03/23,8416324.7,580109.6,34614.2,998758.1,2850318.5,217940.7,236963.2,366077.7,13855.0,7264.6,20798.4
2020/03/24,8688750.3,554486.2,42067.1,947385.2,2668761.2,189900.3,221385.8,422455.4,18431.2,10448.8,26144.2
2020/03/25,8991480.9,563882.5,44074.8,933562.2,2698980.2,189619.3,219748.3,452300.8,23834.8,14505.7,32224.6
2020/03/26,8878355.4,587972.6,41596.0,953136.3,2853511.0,193451.2,230065.8,403950.5,30025.5,19434.0,39022.1
2020/03/27,9167208.2,617149.5,43552.1,919287.7,3074067.4,200534.6,231707.0,434186.8,37128.7,25423.7,46574.0
2020/03/28,8481749.7,628806.0,50561.7,950510.9,3303407.2,255021.1,229402.0,433008.6,45181.9,32486.2,55301.2
2020/03/29,7510887.1,515211.4,41315.0,827218.3,2847691.0,387601.3,193608.6,388221.0,54308.4,40865.8,65049.3
2020/03/30,8597825.4,580109.6,38917.1,998758.1,2850318.5,217940.7,236963.2,396249.5,64589.9,50577.5,76223.7
2020/03/31,8190621.8,554486.2,39033.3,947385.2,2668761.2,189900.3,221385.8,387061.6,75771.2,61374.6,89003.4
2020/04/01,8467585.8,563882.5,41695.3,933562.2,2698980.2,189619.3,219748.3,399588.1,87568.0,73127.4,102413.1
2020/04/02,8542379.3,587972.6,42804.7,953136.3,2853511.0,193451.2,230065.8,403838.5,100022.2,85004.8,116452.8
2020/04/03,8331613.3,617149.5,46847.2,919287.7,3074067.4,200534.6,231707.0,404064.8,113135.0,97739.6,131220.2
2020/04/04,8685097.4,628806.0,56522.2,950510.9,3303407.2,255021.1,229402.0,430665.2,126907.4,111272.6,146485.6
2020/04/05,7551309.9,515211.4,42427.2,827218.3,2847691.0,387601.3,193608.6,364108.8,141423.3,124874.7,162543.9
2020/04/06,8340111.3,580109.6,42998.7,998758.1,2850318.5,217940.7,236963.2,369105.2,156728.7,139343.2,179382.8
2020/04/07,8028951.1,554486.2,43150.8,947385.2,2668761.2,189900.3,221385.8,365540.0,172419.6,154299.9,196524.2
2020/04/08,7947997.3,563882.5,44623.5,933562.2,2698980.2,189619.3,219748.3,363456.7,188196.3,169403.6,213667.4
2020/04/09,7903629.9,587972.6,44699.5,953136.3,2853511.0,193451.2,230065.8,363823.5,203934.9,184675.0,230769.6
2020/04/10,8282362.4,617149.5,55945.7,919287.7,3074067.4,200534.6,231707.0,414350.8,219789.4,200107.7,248117.4
2020/04/11,8712248.6,628806.0,62406.4,950510.9,3303407.2,255021.1,229402.0,440817.3,235625.2,215091.9,265352.2
2020/04/12,7032701.5,515211.4,7272.9,827218.3,2847691.0,387601.3,193608.6,234954.4,251643.3,229974.1,282715.6
2020/04/13,7369870.1,580109.6,30104.3,998758.1,2850318.5,217940.7,236963.2,264728.9,268146.2,245240.4,300537.7
2020/04/14,7973271.9,554486.2,44885.7,947385.2,2668761.2,189900.3,221385.8,369103.2,284572.4,260137.2,318010.4
2020/04/15,7995870.1,563882.5,45640.0,933562.2,2698980.2,189619.3,219748.3,361397.3,300590.6,274339.9,334909.4
2020/04/16,8165714.6,587972.6,45801.8,953136.3,2853511.0,193451.2,230065.8,360161.1,316130.1,288244.8,351143.8
2020/04/17,8584268.2,617149.5,50145.3,919287.7,3074067.4,200534.6,231707.0,393052.8,331242.6,302007.7,366992.5
2020/04/18,8401560.0,628806.0,55180.6,950510.9,3303407.2,255021.1,229402.0,390733.7,346006.9,315467.3,383687.0
2020/04/19,7884785.5,515211.4,45296.7,827218.3,2847691.0,387601.3,193608.6,354022.3,360793.5,328949.9,399639.3
2020/04/20,8433723.5,580109.6,42770.8,998758.1,2850318.5,217940.7,236963.2,357049.8,375818.3,342556.5,416181.8
2020/04/21,8170826.3,554486.2,42818.7,947385.2,2668761.2,189900.3,221385.8,361331.3,390407.9,355682.8,432576.7
2020/04/22,8582698.3,563882.5,50556.5,933562.2,2698980.2,189619.3,219748.3,409836.9,404290.0,368220.5,448552.9
2020/04/23,8774443.3,587972.6,50465.4,953136.3,2853511.0,193451.2,230065.8,406932.3,417609.3,380356.7,463820.4
2020/04/24,8742459.2,617149.5,48882.7,919287.7,3074067.4,200534.6,231707.0,392427.6,430430.3,392295.6,478031.8
2020/04/25,9572956.0,628806.0,62709.6,950510.9,3303407.2,255021.1,229402.0,447394.7,442860.5,403891.5,492125.0
2020/04/26,7526590.8,515211.4,45784.3,827218.3,2847691.0,387601.3,193608.6,342631.1,455155.1,415321.9,506043.3
2020/04/27,8776308.4,580109.6,47977.1,998758.1,2850318.5,217940.7,236963.2,378719.3,467471.1,426813.1,519975.2
2020/04/28,9120869.3,554486.2,50147.0,947385.2,2668761.2,189900.3,221385.8,403152.1,479461.7,438028.9,533459.9
2020/04/29,8665309.6,563882.5,49104.7,933562.2,2698980.2,189619.3,219748.3,383163.5,490876.9,448740.1,546016.7
2020/04/30,8583205.3,587972.6,46125.7,953136.3,2853511.0,193451.2,230065.8,357624.1,501742.3,459082.9,557943.5
2020/05/01,9476575.7,617149.5,60543.9,919287.7,3074067.4,200534.6,231707.0,422836.7,512180.2,469038.5,569357.4
2020/05/02,9972958.2,628806.0,65619.0,950510.9,3303407.2,255021.1,229402.0,445289.2,522242.8,478700.8,580283.1
2020/05/03,,,,,,,,,532169.3,488285.2,591129.6
2020/05/04,,,,,,,,,542090.1,497526.0,601948.7
2020/05/05,,,,,,,,,551560.6,506615.5,612175.9
2020/05/06,,,,,,,,,560564.2,515247.8,621801.0
2020/05/07,,,,,,,,,569165.0,523644.6,630963.2
2020/05/08,,,,,,,,,577313.0,531677.8,639530.0
