date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11984296.9,492516.6,146015.8,827218.3,2847691.0,387601.3,193608.6,641465.6,3.8,0.3,12.7
2020/03/09,14170885.9,555939.5,104929.9,998758.1,2850318.5,217940.7,236963.2,579777.5,88.5,12.9,277.6
2020/03/10,13388666.8,531385.2,100932.4,947385.2,2668761.2,189900.3,221385.8,560045.8,169.8,25.4,524.6
2020/03/11,13334779.4,529369.8,102818.8,933562.2,2698980.2,189619.3,219748.3,566864.6,258.4,41.0,787.4
2020/03/12,13383980.0,512618.4,111260.7,953136.3,2853511.0,193451.2,230065.8,727562.8,362.6,59.8,1081.4
2020/03/13,14049545.3,577695.6,130286.0,919287.7,3074067.4,200534.6,231707.0,879249.3,495.5,87.8,1436.9
2020/03/14,12208501.7,480013.9,142376.5,950510.9,3303407.2,255021.1,229402.0,723440.5,676.4,129.3,1886.9
2020/03/15,10390130.2,368649.7,109029.3,827218.3,2847691.0,387601.3,193608.6,673009.1,928.1,194.7,2468.1
2020/03/16,10853318.1,376145.9,90558.5,998758.1,2850318.5,217940.7,236963.2,716584.9,1288.0,305.9,3236.7
2020/03/17,9944607.0,327744.1,75307.8,947385.2,2668761.2,189900.3,221385.8,596312.8,1818.1,489.3,4257.5
2020/03/18,9963161.9,324675.7,72917.2,933562.2,2698980.2,189619.3,219748.3,572007.2,2590.5,806.4,5617.5
2020/03/19,9677084.1,294174.3,64192.9,953136.3,2853511.0,193451.2,230065.8,534859.1,3678.9,1291.0,7392.1
2020/03/20,9381734.1,259310.2,50801.7,919287.7,3074067.4,200534.6,231707.0,518038.5,5192.2,2033.9,9649.9
2020/03/21,8431880.4,185267.0,42098.0,950510.9,3303407.2,255021.1,229402.0,401554.4,7283.3,3159.6,12557.6
2020/03/22,7864190.4,192936.0,48551.4,827218.3,2847691.0,387601.3,193608.6,438108.1,10088.8,4808.0,16240.3
2020/03/23,8030620.1,194404.9,34614.2,998758.1,2850318.5,217940.7,236963.2,366077.7,13753.6,7185.3,20753.4
2020/03/24,8374253.9,239989.9,42067.1,947385.2,2668761.2,189900.3,221385.8,422455.4,18262.5,10329.6,26050.0
2020/03/25,8681259.5,253661.2,44074.8,933562.2,2698980.2,189619.3,219748.3,452300.8,23563.1,14285.4,32019.4
2020/03/26,8535473.6,245090.7,41596.0,953136.3,2853511.0,193451.2,230065.8,403950.5,29622.2,19114.5,38682.0
2020/03/27,8810675.3,260616.6,43552.1,919287.7,3074067.4,200534.6,231707.0,434186.8,36555.1,24952.3,46045.1
2020/03/28,8059604.3,206660.6,50561.7,950510.9,3303407.2,255021.1,229402.0,433008.6,44390.1,31911.2,54236.7
2020/03/29,7161391.1,165715.4,41315.0,827218.3,2847691.0,387601.3,193608.6,388221.0,53244.6,40142.0,63850.6
2020/03/30,8229187.6,211471.8,38917.1,998758.1,2850318.5,217940.7,236963.2,396249.5,63200.4,49681.5,75009.4
2020/03/31,7860331.6,224196.1,39033.3,947385.2,2668761.2,189900.3,221385.8,387061.6,74007.9,59429.2,87482.3
2020/04/01,8138792.6,235089.4,41695.3,933562.2,2698980.2,189619.3,219748.3,399588.1,85386.8,70122.0,100381.8
2020/04/02,8184597.7,230191.1,42804.7,953136.3,2853511.0,193451.2,230065.8,403838.5,97400.7,81631.8,113948.3
2020/04/03,7950618.2,236154.4,46847.2,919287.7,3074067.4,200534.6,231707.0,404064.8,110051.5,94115.4,128108.3
2020/04/04,8298028.0,241736.6,56522.2,950510.9,3303407.2,255021.1,229402.0,430665.2,123316.1,107395.5,142969.4
2020/04/05,7215367.3,179268.8,42427.2,827218.3,2847691.0,387601.3,193608.6,364108.8,137290.4,121304.6,158365.2
2020/04/06,7976072.7,216071.0,42998.7,998758.1,2850318.5,217940.7,236963.2,369105.2,152005.9,135328.8,174591.0
2020/04/07,7695487.8,221022.9,43150.8,947385.2,2668761.2,189900.3,221385.8,365540.0,167083.5,149825.2,191179.5
2020/04/08,7595186.7,211071.9,44623.5,933562.2,2698980.2,189619.3,219748.3,363456.7,182245.9,164552.8,207686.7
2020/04/09,7515616.2,199959.0,44699.5,953136.3,2853511.0,193451.2,230065.8,363823.5,197376.3,178951.0,224098.6
2020/04/10,7884903.2,219690.3,55945.7,919287.7,3074067.4,200534.6,231707.0,414350.8,212625.7,194030.5,240567.6
2020/04/11,8330924.2,247481.6,62406.4,950510.9,3303407.2,255021.1,229402.0,440817.3,227848.5,207983.9,256988.9
2020/04/12,6657701.2,140211.0,7272.9,827218.3,2847691.0,387601.3,193608.6,234954.4,243239.4,222559.2,273439.2
2020/04/13,6941752.7,151992.2,30104.3,998758.1,2850318.5,217940.7,236963.2,264728.9,259092.3,237658.5,290261.4
2020/04/14,7655902.1,237116.5,44885.7,947385.2,2668761.2,189900.3,221385.8,369103.2,274881.6,251928.9,306992.7
2020/04/15,7672220.9,240233.3,45640.0,933562.2,2698980.2,189619.3,219748.3,361397.3,290288.3,265794.9,323233.3
2020/04/16,7813377.6,235635.7,45801.8,953136.3,2853511.0,193451.2,230065.8,360161.1,305247.8,279227.1,338848.1
2020/04/17,8231862.0,264743.2,50145.3,919287.7,3074067.4,200534.6,231707.0,393052.8,319792.5,292278.5,354168.3
2020/04/18,8002618.8,229864.9,55180.6,950510.9,3303407.2,255021.1,229402.0,390733.7,334000.2,305108.9,369983.9
2020/04/19,7590416.7,220842.5,45296.7,827218.3,2847691.0,387601.3,193608.6,354022.3,348237.8,317919.4,386001.6
2020/04/20,8076150.6,222536.7,42770.8,998758.1,2850318.5,217940.7,236963.2,357049.8,362695.9,330973.6,402033.5
2020/04/21,7838459.1,222119.1,42818.7,947385.2,2668761.2,189900.3,221385.8,361331.3,376750.9,343784.4,417282.8
2020/04/22,8283409.5,264593.8,50556.5,933562.2,2698980.2,189619.3,219748.3,409836.9,390126.1,356041.1,432739.0
2020/04/23,8444778.2,258307.6,50465.4,953136.3,2853511.0,193451.2,230065.8,406932.3,402974.3,367840.4,447455.2
2020/04/24,8396699.0,271389.4,48882.7,919287.7,3074067.4,200534.6,231707.0,392427.6,415361.3,379304.4,461120.8
2020/04/25,9264687.4,320537.4,62709.6,950510.9,3303407.2,255021.1,229402.0,447394.7,427377.6,390491.0,474378.8
2020/04/26,7194902.0,183522.6,45784.3,827218.3,2847691.0,387601.3,193608.6,342631.1,439259.3,401569.8,487836.8
2020/04/27,8433747.2,237548.4,47977.1,998758.1,2850318.5,217940.7,236963.2,378719.3,451171.0,412685.6,501307.9
2020/04/28,8858316.0,291932.9,50147.0,947385.2,2668761.2,189900.3,221385.8,403152.1,462784.6,423516.8,514305.2
2020/04/29,8354185.9,252758.8,49104.7,933562.2,2698980.2,189619.3,219748.3,383163.5,473849.2,433883.6,526510.3
2020/04/30,8236465.8,241233.1,46125.7,953136.3,2853511.0,193451.2,230065.8,357624.1,484401.8,443876.3,538054.7
2020/05/01,9166554.7,307128.4,60543.9,919287.7,3074067.4,200534.6,231707.0,422836.7,494557.6,453533.8,549074.0
2020/05/02,9683034.8,338882.6,65619.0,950510.9,3303407.2,255021.1,229402.0,445289.2,504354.5,462901.5,559707.8
2020/05/03,,,,,,,,,514032.2,471965.6,570167.7
2020/05/04,,,,,,,,,523708.9,481261.9,580628.5
2020/05/05,,,,,,,,,532953.6,490071.7,590512.9
2020/05/06,,,,,,,,,541771.0,497960.5,599884.1
2020/05/07,,,,,,,,,550199.9,505991.0,608817.6
2020/05/08,,,,,,,,,558198.7,513030.1,617232.6
