date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11829191.7,515211.4,146015.8,827218.3,2679322.2,349562.8,184310.9,679370.7,3.8,0.3,12.7
2020/03/09,14080362.5,580109.6,104929.9,998758.1,2747085.4,202508.0,225436.8,595276.1,88.5,12.9,277.6
2020/03/10,13346810.9,554486.2,100932.4,947385.2,2627834.0,201275.7,224403.4,521623.1,169.8,25.4,524.6
2020/03/11,13304997.4,563882.5,102818.8,933562.2,2660499.1,196471.0,225072.8,528874.9,258.4,41.0,787.4
2020/03/12,13078467.5,587972.6,111260.7,953136.3,2632468.6,189123.5,254053.0,548079.0,362.6,59.8,1081.4
2020/03/13,13733475.3,617149.5,130286.0,919287.7,2974918.1,205293.0,283685.7,566137.6,495.5,87.8,1436.9
2020/03/14,11483415.6,628806.0,142376.5,950510.9,2569624.3,192215.6,228336.6,647216.1,676.4,129.3,1886.9
2020/03/15,9542967.9,515211.4,109029.3,827218.3,2015981.9,221744.8,191088.7,679370.7,928.1,194.1,2464.9
2020/03/16,9967886.6,580109.6,90558.5,998758.1,1950894.7,152333.5,233907.7,595276.1,1286.3,302.0,3231.0
2020/03/17,9103876.2,554486.2,75307.8,947385.2,1735678.0,147610.5,203975.5,521623.1,1804.1,482.6,4232.9
2020/03/18,9098562.8,563882.5,72917.2,933562.2,1697618.7,146159.9,203895.6,528874.9,2556.6,779.4,5565.7
2020/03/19,8612328.5,587972.6,64192.9,953136.3,1579539.1,140195.6,185519.6,548079.0,3626.1,1270.3,7290.4
2020/03/20,8004908.8,617149.5,50801.7,919287.7,1433777.0,132949.5,156818.8,566137.6,5098.0,2022.0,9497.7
2020/03/21,6636992.9,628806.0,42098.0,950510.9,1079765.7,113656.6,110319.8,647216.1,7098.5,3085.2,12303.9
2020/03/22,6236494.1,515211.4,48551.4,827218.3,998374.9,116868.6,122423.2,679370.7,9721.6,4603.5,15802.4
2020/03/23,6600708.5,580109.6,34614.2,998758.1,1031217.8,105204.3,123985.7,595276.1,12978.7,6672.7,19923.0
2020/03/24,7179088.8,554486.2,42067.1,947385.2,1197841.6,124361.0,149015.4,521623.1,16817.1,9292.7,24539.6
2020/03/25,7533097.2,563882.5,44074.8,933562.2,1282530.0,135779.8,155080.3,528874.9,21209.3,12474.3,29683.5
2020/03/26,7190451.9,587972.6,41596.0,953136.3,1181649.9,119785.3,143560.8,548079.0,26137.1,16242.1,35289.6
2020/03/27,7292852.6,617149.5,43552.1,919287.7,1233830.1,123602.8,142569.7,566137.6,31649.8,20741.9,41401.4
2020/03/28,6074373.7,628806.0,50561.7,950510.9,955026.7,95596.2,115623.8,647216.1,37674.8,25897.1,47917.9
2020/03/29,5373517.4,515211.4,41315.0,827218.3,810563.0,93198.6,96620.0,679370.7,44144.3,31586.2,54827.1
2020/03/30,6801289.8,580109.6,38917.1,998758.1,1063937.7,112083.6,133639.0,595276.1,50889.1,37714.2,62350.8
2020/03/31,6526896.7,554486.2,39033.3,947385.2,1037366.7,109424.8,134969.0,521623.1,57968.6,44338.9,70201.9
2020/04/01,6837204.0,563882.5,41695.3,933562.2,1091166.3,115268.2,142244.8,528874.9,65397.2,51420.8,78634.9
2020/04/02,6709576.7,587972.6,42804.7,953136.3,1052175.1,110495.0,137314.7,548079.0,73337.4,58698.5,87333.1
2020/04/03,6202051.3,617149.5,46847.2,919287.7,993777.5,83669.5,137227.2,566137.6,81702.5,66964.7,96719.9
2020/04/04,6283504.9,628806.0,56522.2,950510.9,958515.3,84517.1,126654.5,647216.1,90407.2,75509.4,106511.3
2020/04/05,5405034.2,515211.4,42427.2,827218.3,781214.3,84292.1,101857.1,679370.7,99307.8,84133.8,116377.2
2020/04/06,6431918.8,580109.6,42998.7,998758.1,952408.0,90612.5,127838.5,595276.1,108157.4,93047.4,126161.2
2020/04/07,6272547.2,554486.2,43150.8,947385.2,946378.7,92100.4,129081.2,521623.1,117061.5,102165.6,135890.6
2020/04/08,6160846.3,563882.5,44623.5,933562.2,933518.3,91382.9,130877.5,528874.9,126151.4,111416.5,145817.7
2020/04/09,5884337.4,587972.6,44699.5,953136.3,868129.3,83567.3,121783.3,548079.0,135340.1,120543.7,155805.5
2020/04/10,6113152.0,617149.5,55945.7,919287.7,962913.6,83513.4,138884.7,566137.6,144665.0,130045.5,165872.0
2020/04/11,6332681.5,628806.0,62406.4,950510.9,966449.8,90018.4,145396.2,647216.1,153880.1,139435.5,175778.4
2020/04/12,4905393.5,515211.4,7272.9,827218.3,686356.3,81683.4,89136.9,679370.7,162921.3,148644.5,185473.7
2020/04/13,5260369.9,580109.6,30104.3,998758.1,706288.2,70490.5,88396.4,595276.1,171824.2,157603.8,194997.3
2020/04/14,6253840.5,554486.2,44885.7,947385.2,980958.1,93291.0,133846.8,521623.1,180600.5,165810.0,204399.5
2020/04/15,6255809.9,563882.5,45640.0,933562.2,980419.5,91591.5,128799.0,528874.9,189299.1,173823.8,213671.5
2020/04/16,6274698.6,587972.6,45801.8,953136.3,975038.7,95952.8,127102.5,548079.0,197866.6,182130.7,222788.9
2020/04/17,6574960.7,617149.5,50145.3,919287.7,1089051.1,98776.6,136089.0,566137.6,206246.8,189269.9,231680.3
2020/04/18,6006947.9,628806.0,55180.6,950510.9,935306.1,85314.6,116115.1,647216.1,214424.1,196510.5,240326.0
2020/04/19,5876167.4,515211.4,45296.7,827218.3,895694.1,96206.1,103034.3,679370.7,222500.9,203377.9,248799.6
2020/04/20,6615664.3,580109.6,42770.8,998758.1,1021551.6,102313.5,125071.8,595276.1,230470.9,210087.8,257196.5
2020/04/21,6492528.3,554486.2,42818.7,947385.2,1013812.2,104637.2,123008.0,521623.1,238168.2,216565.3,265292.4
2020/04/22,6986388.9,563882.5,50556.5,933562.2,1139712.7,111577.3,141710.4,528874.9,245639.6,222633.5,273042.4
2020/04/23,7034914.2,587972.6,50465.4,953136.3,1146036.9,111196.0,139119.3,548079.0,253017.5,228518.6,280672.3
2020/04/24,6778720.7,617149.5,48882.7,919287.7,1130977.3,107957.9,129925.3,566137.6,260279.0,234261.5,288158.6
2020/04/25,7493829.6,628806.0,62709.6,950510.9,1248024.3,122754.6,138103.6,647216.1,267422.2,239895.9,295475.5
2020/04/26,5388172.0,515211.4,45784.3,827218.3,776479.4,85675.0,91588.2,679370.7,274452.1,245454.5,302810.4
2020/04/27,6982192.4,580109.6,47977.1,998758.1,1059792.3,103293.2,131464.2,595276.1,281353.7,251015.8,309981.2
2020/04/28,7664162.4,554486.2,50147.0,947385.2,1230832.5,127457.7,146579.1,521623.1,288171.3,256389.4,316968.5
2020/04/29,7040278.0,563882.5,49104.7,933562.2,1092685.5,111284.7,133634.7,528874.9,294907.3,261610.2,323824.0
2020/04/30,6749480.7,587972.6,46125.7,953136.3,1025224.0,103174.6,124449.9,548079.0,301538.5,266700.7,330558.6
2020/05/01,7669478.8,617149.5,60543.9,919287.7,1283555.4,122142.3,150213.4,566137.6,308121.1,271738.3,337260.7
2020/05/02,7943142.2,628806.0,65619.0,950510.9,1288887.1,132095.7,135104.5,647216.1,314613.1,276689.6,343858.5
2020/05/03,,,,,,,,,321098.3,281699.8,350830.4
2020/05/04,,,,,,,,,327532.4,286734.7,357592.7
2020/05/05,,,,,,,,,333719.2,291570.9,364424.0
2020/05/06,,,,,,,,,339867.5,296340.9,371466.1
2020/05/07,,,,,,,,,345986.7,301073.6,378279.6
2020/05/08,,,,,,,,,351965.5,305699.9,384943.2
2020/05/09,,,,,,,,,357850.1,310271.6,391617.7
