date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11838489.4,515211.4,146015.8,827218.3,2679322.2,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14091888.8,580109.6,104929.9,998758.1,2747085.4,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13343793.4,554486.2,100932.4,947385.2,2627834.0,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13299672.9,563882.5,102818.8,933562.2,2660499.1,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13054480.3,587972.6,111260.7,953136.3,2632468.6,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13681496.6,617149.5,130286.0,919287.7,2974918.1,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11484481.0,628806.0,142376.5,950510.9,2569624.3,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9545487.8,515211.4,109029.3,827218.3,2015981.9,221744.8,193608.6,679370.7,928.2,194.1,2465.7
2020/03/16,9970942.0,580109.6,90558.5,998758.1,1950894.7,152333.5,236963.2,595276.1,1286.6,298.1,3224.3
2020/03/17,9121286.4,554486.2,75307.8,947385.2,1735678.0,147610.5,221385.8,521623.1,1803.8,472.6,4235.3
2020/03/18,9114415.5,563882.5,72917.2,933562.2,1697618.7,146159.9,219748.3,528874.9,2555.3,779.9,5543.2
2020/03/19,8656874.7,587972.6,64192.9,953136.3,1579539.1,140195.6,230065.8,548079.0,3620.3,1253.6,7268.1
2020/03/20,8079797.0,617149.5,50801.7,919287.7,1433777.0,132949.5,231707.0,566137.6,5092.0,1987.0,9498.9
2020/03/21,6756075.1,628806.0,42098.0,950510.9,1079765.7,113656.6,229402.0,647216.1,7089.0,3060.5,12314.9
2020/03/22,6307679.5,515211.4,48551.4,827218.3,998374.9,116868.6,193608.6,679370.7,9711.7,4584.1,15794.9
2020/03/23,6713686.0,580109.6,34614.2,998758.1,1031217.8,105204.3,236963.2,595276.1,12964.4,6643.0,19874.8
2020/03/24,7251459.2,554486.2,42067.1,947385.2,1197841.6,124361.0,221385.8,521623.1,16802.5,9292.9,24509.8
2020/03/25,7597765.2,563882.5,44074.8,933562.2,1282530.0,135779.8,219748.3,528874.9,21196.8,12508.1,29684.9
2020/03/26,7276956.9,587972.6,41596.0,953136.3,1181649.9,119785.3,230065.8,548079.0,26129.7,16317.8,35299.3
2020/03/27,7381989.9,617149.5,43552.1,919287.7,1233830.1,123602.8,231707.0,566137.6,31647.1,20787.0,41391.1
2020/03/28,6188151.8,628806.0,50561.7,950510.9,955026.7,95596.2,229402.0,647216.1,37684.3,25884.5,47949.5
2020/03/29,5470506.0,515211.4,41315.0,827218.3,810563.0,93198.6,193608.6,679370.7,44166.9,31604.9,54885.9
2020/03/30,6904614.0,580109.6,38917.1,998758.1,1063937.7,112083.6,236963.2,595276.1,50932.4,37729.4,62100.9
2020/03/31,6613313.4,554486.2,39033.3,947385.2,1037366.7,109424.8,221385.8,521623.1,58032.5,44363.2,70066.3
2020/04/01,6914707.6,563882.5,41695.3,933562.2,1091166.3,115268.2,219748.3,528874.9,65490.6,51530.0,78266.5
2020/04/02,6802327.7,587972.6,42804.7,953136.3,1052175.1,110495.0,230065.8,548079.0,73461.8,59051.1,87370.3
2020/04/03,6296531.1,617149.5,46847.2,919287.7,993777.5,83669.5,231707.0,566137.6,81861.8,67058.7,96738.0
2020/04/04,6386252.3,628806.0,56522.2,950510.9,958515.3,84517.1,229402.0,647216.1,90609.5,75745.8,106575.6
2020/04/05,5496785.8,515211.4,42427.2,827218.3,781214.3,84292.1,193608.6,679370.7,99551.2,84518.0,116555.3
2020/04/06,6541043.4,580109.6,42998.7,998758.1,952408.0,90612.5,236963.2,595276.1,108443.6,93583.1,126417.3
2020/04/07,6364851.9,554486.2,43150.8,947385.2,946378.7,92100.4,221385.8,521623.1,117394.7,102598.0,136291.1
2020/04/08,6249717.1,563882.5,44623.5,933562.2,933518.3,91382.9,219748.3,528874.9,126533.5,111667.0,146336.1
2020/04/09,5992619.9,587972.6,44699.5,953136.3,868129.3,83567.3,230065.8,548079.0,135770.2,120827.2,156481.2
2020/04/10,6205974.3,617149.5,55945.7,919287.7,962913.6,83513.4,231707.0,566137.6,145143.5,130410.9,166707.0
2020/04/11,6416687.3,628806.0,62406.4,950510.9,966449.8,90018.4,229402.0,647216.1,154409.7,139754.7,176742.9
2020/04/12,5009865.1,515211.4,7272.9,827218.3,686356.3,81683.4,193608.6,679370.7,163504.1,149016.5,186677.8
2020/04/13,5408936.6,580109.6,30104.3,998758.1,706288.2,70490.5,236963.2,595276.1,172457.2,158119.1,196274.6
2020/04/14,6341379.5,554486.2,44885.7,947385.2,980958.1,93291.0,221385.8,521623.1,181284.9,166681.4,205719.4
2020/04/15,6346759.2,563882.5,45640.0,933562.2,980419.5,91591.5,219748.3,528874.9,190035.1,175113.1,215074.1
2020/04/16,6377661.8,587972.6,45801.8,953136.3,975038.7,95952.8,230065.8,548079.0,198652.5,182867.6,224180.2
2020/04/17,6670578.7,617149.5,50145.3,919287.7,1089051.1,98776.6,231707.0,566137.6,207091.7,190814.2,233122.5
2020/04/18,6120234.8,628806.0,55180.6,950510.9,935306.1,85314.6,229402.0,647216.1,215319.6,198147.0,241781.5
2020/04/19,5966741.7,515211.4,45296.7,827218.3,895694.1,96206.1,193608.6,679370.7,223444.7,204830.8,250336.2
2020/04/20,6727555.7,580109.6,42770.8,998758.1,1021551.6,102313.5,236963.2,595276.1,231465.8,211379.4,258734.3
2020/04/21,6590906.1,554486.2,42818.7,947385.2,1013812.2,104637.2,221385.8,521623.1,239211.2,217607.3,266808.0
2020/04/22,7064426.8,563882.5,50556.5,933562.2,1139712.7,111577.3,219748.3,528874.9,246733.8,223754.9,274665.3
2020/04/23,7125860.7,587972.6,50465.4,953136.3,1146036.9,111196.0,230065.8,548079.0,254155.5,229749.5,282399.8
2020/04/24,6880502.5,617149.5,48882.7,919287.7,1130977.3,107957.9,231707.0,566137.6,261467.3,235578.1,290008.3
2020/04/25,7585128.0,628806.0,62709.6,950510.9,1248024.3,122754.6,229402.0,647216.1,268655.4,241285.5,297451.6
2020/04/26,5490192.4,515211.4,45784.3,827218.3,776479.4,85675.0,193608.6,679370.7,275735.9,246878.5,304760.3
2020/04/27,7087691.3,580109.6,47977.1,998758.1,1059792.3,103293.2,236963.2,595276.1,282683.1,252421.6,311871.2
2020/04/28,7738969.1,554486.2,50147.0,947385.2,1230832.5,127457.7,221385.8,521623.1,289544.4,257873.6,318923.6
2020/04/29,7126391.6,563882.5,49104.7,933562.2,1092685.5,111284.7,219748.3,528874.9,296323.5,263196.4,325828.6
2020/04/30,6855096.6,587972.6,46125.7,953136.3,1025224.0,103174.6,230065.8,548079.0,302998.3,268434.2,332657.3
2020/05/01,7750972.3,617149.5,60543.9,919287.7,1283555.4,122142.3,231707.0,566137.6,309619.4,273558.6,339393.5
2020/05/02,8037439.6,628806.0,65619.0,950510.9,1288887.1,132095.7,229402.0,647216.1,316152.8,278566.0,346023.4
2020/05/03,,,,,,,,,322674.1,283559.5,352811.2
2020/05/04,,,,,,,,,329141.8,288536.2,359779.2
2020/05/05,,,,,,,,,335366.9,293393.3,366665.4
2020/05/06,,,,,,,,,341548.4,298171.0,373141.8
2020/05/07,,,,,,,,,347704.4,302912.0,379618.3
2020/05/08,,,,,,,,,353715.2,307528.1,386561.6
2020/05/09,,,,,,,,,359627.0,312059.6,393399.9
