date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11876528.0,515211.4,146015.8,827218.3,2679322.2,387601.3,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14107321.5,580109.6,104929.9,998758.1,2747085.4,217940.7,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13332417.9,554486.2,100932.4,947385.2,2627834.0,189900.3,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13292821.3,563882.5,102818.8,933562.2,2660499.1,189619.3,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,13058807.9,587972.6,111260.7,953136.3,2632468.6,193451.2,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13676738.2,617149.5,130286.0,919287.7,2974918.1,200534.6,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11547286.4,628806.0,142376.5,950510.9,2569624.3,255021.1,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9711344.4,515211.4,109029.3,827218.3,2015981.9,387601.3,193608.6,679370.7,928.1,194.1,2468.0
2020/03/16,10036549.3,580109.6,90558.5,998758.1,1950894.7,217940.7,236963.2,595276.1,1286.5,304.9,3234.9
2020/03/17,9163576.2,554486.2,75307.8,947385.2,1735678.0,189900.3,221385.8,521623.1,1804.8,483.0,4242.5
2020/03/18,9157875.0,563882.5,72917.2,933562.2,1697618.7,189619.3,219748.3,528874.9,2557.1,785.7,5558.6
2020/03/19,8710130.3,587972.6,64192.9,953136.3,1579539.1,193451.2,230065.8,548079.0,3624.3,1261.9,7325.2
2020/03/20,8147382.1,617149.5,50801.7,919287.7,1433777.0,200534.6,231707.0,566137.6,5096.1,1978.5,9565.5
2020/03/21,6897439.5,628806.0,42098.0,950510.9,1079765.7,255021.1,229402.0,647216.1,7096.0,3039.9,12359.1
2020/03/22,6578412.3,515211.4,48551.4,827218.3,998374.9,387601.3,193608.6,679370.7,9730.0,4548.6,15849.1
2020/03/23,6826422.4,580109.6,34614.2,998758.1,1031217.8,217940.7,236963.2,595276.1,13048.9,6649.2,20018.3
2020/03/24,7316998.5,554486.2,42067.1,947385.2,1197841.6,189900.3,221385.8,521623.1,16996.3,9303.7,24772.5
2020/03/25,7651604.8,563882.5,44074.8,933562.2,1282530.0,189619.3,219748.3,528874.9,21503.9,12551.4,30031.8
2020/03/26,7350622.8,587972.6,41596.0,953136.3,1181649.9,193451.2,230065.8,548079.0,26557.0,16410.5,35741.6
2020/03/27,7458921.7,617149.5,43552.1,919287.7,1233830.1,200534.6,231707.0,566137.6,32208.4,20891.8,41946.6
2020/03/28,6347576.7,628806.0,50561.7,950510.9,955026.7,255021.1,229402.0,647216.1,38403.3,26138.3,48607.5
2020/03/29,5764908.8,515211.4,41315.0,827218.3,810563.0,387601.3,193608.6,679370.7,45098.1,32056.5,55688.5
2020/03/30,7010471.1,580109.6,38917.1,998758.1,1063937.7,217940.7,236963.2,595276.1,52266.9,38658.5,63551.9
2020/03/31,6693788.9,554486.2,39033.3,947385.2,1037366.7,189900.3,221385.8,521623.1,59881.1,45838.4,72094.7
2020/04/01,6989058.7,563882.5,41695.3,933562.2,1091166.3,189619.3,219748.3,528874.9,67853.9,53532.1,80876.0
2020/04/02,6885283.9,587972.6,42804.7,953136.3,1052175.1,193451.2,230065.8,548079.0,76324.0,61676.9,90445.2
2020/04/03,6413396.2,617149.5,46847.2,919287.7,993777.5,200534.6,231707.0,566137.6,85216.8,70519.9,100640.1
2020/04/04,6556756.3,628806.0,56522.2,950510.9,958515.3,255021.1,229402.0,647216.1,94467.9,79064.8,111139.9
2020/04/05,5800095.0,515211.4,42427.2,827218.3,781214.3,387601.3,193608.6,679370.7,103978.3,88175.5,121852.4
2020/04/06,6668371.7,580109.6,42998.7,998758.1,952408.0,217940.7,236963.2,595276.1,113686.7,98480.8,132721.7
2020/04/07,6462651.7,554486.2,43150.8,947385.2,946378.7,189900.3,221385.8,521623.1,123556.2,108075.5,143626.5
2020/04/08,6347953.6,563882.5,44623.5,933562.2,933518.3,189619.3,219748.3,528874.9,133568.2,118418.2,154638.5
2020/04/09,6102503.7,587972.6,44699.5,953136.3,868129.3,193451.2,230065.8,548079.0,143625.3,129336.1,165631.4
2020/04/10,6322995.5,617149.5,55945.7,919287.7,962913.6,200534.6,231707.0,566137.6,153790.2,139382.4,176700.6
2020/04/11,6581690.1,628806.0,62406.4,950510.9,966449.8,255021.1,229402.0,647216.1,163842.7,149368.9,187607.4
2020/04/12,5315783.1,515211.4,7272.9,827218.3,686356.3,387601.3,193608.6,679370.7,173767.0,159031.5,198340.2
2020/04/13,5556386.9,580109.6,30104.3,998758.1,706288.2,217940.7,236963.2,595276.1,183795.1,169098.6,209209.6
2020/04/14,6437988.7,554486.2,44885.7,947385.2,980958.1,189900.3,221385.8,521623.1,193778.6,178476.6,219976.7
2020/04/15,6444787.1,563882.5,45640.0,933562.2,980419.5,189619.3,219748.3,528874.9,203611.6,187422.3,230540.3
2020/04/16,6475160.2,587972.6,45801.8,953136.3,975038.7,193451.2,230065.8,548079.0,213241.8,196155.8,240820.2
2020/04/17,6772336.7,617149.5,50145.3,919287.7,1089051.1,200534.6,231707.0,566137.6,222631.8,205132.8,250834.2
2020/04/18,6289941.3,628806.0,55180.6,950510.9,935306.1,255021.1,229402.0,647216.1,231773.6,213201.1,260466.1
2020/04/19,6258136.9,515211.4,45296.7,827218.3,895694.1,387601.3,193608.6,679370.7,240832.9,221316.2,269994.9
2020/04/20,6843182.9,580109.6,42770.8,998758.1,1021551.6,217940.7,236963.2,595276.1,249970.8,229044.8,279551.4
2020/04/21,6676169.1,554486.2,42818.7,947385.2,1013812.2,189900.3,221385.8,521623.1,258880.0,236440.8,288889.3
2020/04/22,7142468.8,563882.5,50556.5,933562.2,1139712.7,189619.3,219748.3,528874.9,267473.7,243489.2,297828.9
2020/04/23,7208115.9,587972.6,50465.4,953136.3,1146036.9,193451.2,230065.8,548079.0,275878.4,250883.9,306529.4
2020/04/24,6973079.1,617149.5,48882.7,919287.7,1130977.3,200534.6,231707.0,566137.6,284099.5,257621.0,315030.2
2020/04/25,7717394.5,628806.0,62709.6,950510.9,1248024.3,255021.1,229402.0,647216.1,292137.0,264127.5,323320.9
2020/04/26,5792118.7,515211.4,45784.3,827218.3,776479.4,387601.3,193608.6,679370.7,300056.3,270547.0,331443.6
2020/04/27,7202338.9,580109.6,47977.1,998758.1,1059792.3,217940.7,236963.2,595276.1,307990.7,276978.7,339584.7
2020/04/28,7801411.6,554486.2,50147.0,947385.2,1230832.5,189900.3,221385.8,521623.1,315853.8,283322.3,347590.9
2020/04/29,7204726.2,563882.5,49104.7,933562.2,1092685.5,189619.3,219748.3,528874.9,323543.8,289536.7,355419.2
2020/04/30,6945373.1,587972.6,46125.7,953136.3,1025224.0,193451.2,230065.8,548079.0,331039.1,295518.7,363031.3
2020/05/01,7829364.6,617149.5,60543.9,919287.7,1283555.4,200534.6,231707.0,566137.6,338412.8,301443.2,370712.8
2020/05/02,8160365.0,628806.0,65619.0,950510.9,1288887.1,255021.1,229402.0,647216.1,345635.4,307208.7,378365.8
2020/05/03,,,,,,,,,352816.6,312993.0,385962.7
2020/05/04,,,,,,,,,360045.0,318790.6,394256.9
2020/05/05,,,,,,,,,367039.7,324365.6,402325.2
2020/05/06,,,,,,,,,373902.3,329909.7,409787.5
2020/05/07,,,,,,,,,380652.1,335249.5,417267.2
2020/05/08,,,,,,,,,387191.9,340438.6,424789.3
2020/05/09,,,,,,,,,393575.9,345525.4,432094.8
