date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11815794.7,492516.6,146015.8,827218.3,2679322.2,349562.8,193608.6,679370.7,3.8,0.3,12.7
2020/03/09,14067718.7,555939.5,104929.9,998758.1,2747085.4,202508.0,236963.2,595276.1,88.5,12.9,277.6
2020/03/10,13320692.3,531385.2,100932.4,947385.2,2627834.0,201275.7,221385.8,521623.1,169.8,25.4,524.6
2020/03/11,13265160.2,529369.8,102818.8,933562.2,2660499.1,196471.0,219748.3,528874.9,258.4,41.0,787.4
2020/03/12,12979126.0,512618.4,111260.7,953136.3,2632468.6,189123.5,230065.8,548079.0,362.6,59.8,1081.4
2020/03/13,13642042.7,577695.6,130286.0,919287.7,2974918.1,205293.0,231707.0,566137.6,495.5,87.8,1436.9
2020/03/14,11335688.9,480013.9,142376.5,950510.9,2569624.3,192215.6,229402.0,647216.1,676.4,129.3,1886.9
2020/03/15,9398926.2,368649.7,109029.3,827218.3,2015981.9,221744.8,193608.6,679370.7,928.1,194.3,2466.1
2020/03/16,9766978.3,376145.9,90558.5,998758.1,1950894.7,152333.5,236963.2,595276.1,1285.8,307.3,3228.4
2020/03/17,8894544.3,327744.1,75307.8,947385.2,1735678.0,147610.5,221385.8,521623.1,1802.0,493.0,4224.2
2020/03/18,8875208.7,324675.7,72917.2,933562.2,1697618.7,146159.9,219748.3,528874.9,2550.4,797.9,5545.3
2020/03/19,8363076.4,294174.3,64192.9,953136.3,1579539.1,140195.6,230065.8,548079.0,3613.4,1261.3,7303.2
2020/03/20,7721957.7,259310.2,50801.7,919287.7,1433777.0,132949.5,231707.0,566137.6,5078.6,1991.6,9542.4
2020/03/21,6312536.1,185267.0,42098.0,950510.9,1079765.7,113656.6,229402.0,647216.1,7063.1,3037.0,12351.3
2020/03/22,5985404.2,192936.0,48551.4,827218.3,998374.9,116868.6,193608.6,679370.7,9662.2,4532.8,15829.0
2020/03/23,6327981.3,194404.9,34614.2,998758.1,1031217.8,105204.3,236963.2,595276.1,12880.8,6529.1,19922.9
2020/03/24,6936962.9,239989.9,42067.1,947385.2,1197841.6,124361.0,221385.8,521623.1,16660.3,9087.0,24503.4
2020/03/25,7287543.9,253661.2,44074.8,933562.2,1282530.0,135779.8,219748.3,528874.9,20959.2,12195.6,29517.9
2020/03/26,6934075.1,245090.7,41596.0,953136.3,1181649.9,119785.3,230065.8,548079.0,25766.7,15912.3,35008.5
2020/03/27,7025457.1,260616.6,43552.1,919287.7,1233830.1,123602.8,231707.0,566137.6,31129.0,20266.4,41045.5
2020/03/28,5766006.4,206660.6,50561.7,950510.9,955026.7,95596.2,229402.0,647216.1,36969.1,25240.6,47488.0
2020/03/29,5121010.0,165715.4,41315.0,827218.3,810563.0,93198.6,193608.6,679370.7,43208.3,30771.4,54264.5
2020/03/30,6535976.2,211471.8,38917.1,998758.1,1063937.7,112083.6,236963.2,595276.1,49690.1,36647.1,61221.4
2020/03/31,6283023.3,224196.1,39033.3,947385.2,1037366.7,109424.8,221385.8,521623.1,56470.6,43006.2,68744.4
2020/04/01,6585914.4,235089.4,41695.3,933562.2,1091166.3,115268.2,219748.3,528874.9,63564.6,49812.5,76343.9
2020/04/02,6444546.2,230191.1,42804.7,953136.3,1052175.1,110495.0,230065.8,548079.0,71146.3,57111.9,84676.0
2020/04/03,5915536.0,236154.4,46847.2,919287.7,993777.5,83669.5,231707.0,566137.6,79126.6,64620.8,93836.7
2020/04/04,5999182.9,241736.6,56522.2,950510.9,958515.3,84517.1,229402.0,647216.1,87420.4,72335.7,102852.6
2020/04/05,5160843.2,179268.8,42427.2,827218.3,781214.3,84292.1,193608.6,679370.7,95882.7,80645.3,112356.5
2020/04/06,6177004.8,216071.0,42998.7,998758.1,952408.0,90612.5,236963.2,595276.1,104272.0,89109.8,121738.2
2020/04/07,6031388.5,221022.9,43150.8,947385.2,946378.7,92100.4,221385.8,521623.1,112700.8,97601.8,131063.6
2020/04/08,5896906.5,211071.9,44623.5,933562.2,933518.3,91382.9,219748.3,528874.9,121302.3,106246.1,140514.0
2020/04/09,5604606.2,199959.0,44699.5,953136.3,868129.3,83567.3,230065.8,548079.0,130000.2,114995.9,150090.4
2020/04/10,5808515.1,219690.3,55945.7,919287.7,962913.6,83513.4,231707.0,566137.6,138825.0,123910.9,159654.7
2020/04/11,6035362.9,247481.6,62406.4,950510.9,966449.8,90018.4,229402.0,647216.1,147537.0,132782.7,168947.5
2020/04/12,4634864.8,140211.0,7272.9,827218.3,686356.3,81683.4,193608.6,679370.7,156065.3,141360.2,178050.3
2020/04/13,4980819.2,151992.2,30104.3,998758.1,706288.2,70490.5,236963.2,595276.1,164439.6,149725.7,187290.7
2020/04/14,6024009.8,237116.5,44885.7,947385.2,980958.1,93291.0,221385.8,521623.1,172682.7,158002.6,196270.8
2020/04/15,6023110.0,240233.3,45640.0,933562.2,980419.5,91591.5,219748.3,528874.9,180850.1,165199.2,205042.6
2020/04/16,6025324.9,235635.7,45801.8,953136.3,975038.7,95952.8,230065.8,548079.0,188899.6,172458.7,213615.3
2020/04/17,6318172.5,264743.2,50145.3,919287.7,1089051.1,98776.6,231707.0,566137.6,196771.2,179223.3,221957.5
2020/04/18,5721293.6,229864.9,55180.6,950510.9,935306.1,85314.6,229402.0,647216.1,204437.9,185665.6,230105.3
2020/04/19,5672372.9,220842.5,45296.7,827218.3,895694.1,96206.1,193608.6,679370.7,211995.4,191932.5,238068.2
2020/04/20,6369982.8,222536.7,42770.8,998758.1,1021551.6,102313.5,236963.2,595276.1,219441.2,198088.9,245904.2
2020/04/21,6258538.9,222119.1,42818.7,947385.2,1013812.2,104637.2,221385.8,521623.1,226620.1,204060.7,253455.9
2020/04/22,6765138.0,264593.8,50556.5,933562.2,1139712.7,111577.3,219748.3,528874.9,233591.8,209814.0,260720.4
2020/04/23,6796195.6,258307.6,50465.4,953136.3,1146036.9,111196.0,230065.8,548079.0,240487.7,215477.3,267888.3
2020/04/24,6534742.3,271389.4,48882.7,919287.7,1130977.3,107957.9,231707.0,566137.6,247279.9,220995.8,274941.4
2020/04/25,7276859.4,320537.4,62709.6,950510.9,1248024.3,122754.6,229402.0,647216.1,253961.3,226420.8,281872.3
2020/04/26,5158503.6,183522.6,45784.3,827218.3,776479.4,85675.0,193608.6,679370.7,260530.3,231704.4,288656.1
2020/04/27,6745130.1,237548.4,47977.1,998758.1,1059792.3,103293.2,236963.2,595276.1,266967.5,236805.5,295281.5
2020/04/28,7476415.8,291932.9,50147.0,947385.2,1230832.5,127457.7,221385.8,521623.1,273338.2,241791.3,301820.6
2020/04/29,6815267.9,252758.8,49104.7,933562.2,1092685.5,111284.7,219748.3,528874.9,279643.2,246733.9,308265.8
2020/04/30,6508357.1,241233.1,46125.7,953136.3,1025224.0,103174.6,230065.8,548079.0,285865.5,251568.9,314590.5
2020/05/01,7440951.2,307128.4,60543.9,919287.7,1283555.4,122142.3,231707.0,566137.6,292049.9,256348.9,320950.6
2020/05/02,7747516.2,338882.6,65619.0,950510.9,1288887.1,132095.7,229402.0,647216.1,298154.8,261043.6,327170.3
2020/05/03,,,,,,,,,304250.7,265711.6,333256.4
2020/05/04,,,,,,,,,310301.9,270378.2,339242.6
2020/05/05,,,,,,,,,316120.5,274814.6,345031.0
2020/05/06,,,,,,,,,321919.7,279215.1,350840.1
2020/05/07,,,,,,,,,327711.9,283620.1,356515.2
2020/05/08,,,,,,,,,333374.4,287961.6,362842.5
2020/05/09,,,,,,,,,338953.7,292212.9,368876.3
