date,mobility_overall,mobility_limited-service_restaurants,mobility_department_stores,mobility_fitness_centers,mobility_full-service_restaurants,mobility_religious_organizations,mobility_pharmacies_&_drug_stores,mobility_grocery_stores,cases_overall_mean,cases_overall_2.5,cases_overall_97.5
2020/03/01,12348691.1,515211.4,167457.9,827218.3,2847691.0,387601.3,193608.6,679370.7,,,
2020/03/02,14512168.6,580109.6,111918.9,998758.1,2850318.5,217940.7,236963.2,595276.1,,,
2020/03/03,13396651.3,554486.2,104134.0,947385.2,2668761.2,189900.3,221385.8,521623.1,,,
2020/03/04,13380547.9,563882.5,103903.2,933562.2,2698980.2,189619.3,219748.3,528874.9,,,
2020/03/05,14080481.4,587972.6,111207.1,953136.3,2853511.0,193451.2,230065.8,548079.0,,,
2020/03/06,14073485.8,617149.5,118247.1,919287.7,3074067.4,200534.6,231707.0,566137.6,,,
2020/03/07,13906565.6,628806.0,189595.5,950510.9,3303407.2,255021.1,229402.0,647216.1,,,
2020/03/08,11853833.3,492516.6,146015.8,827218.3,2679322.2,387601.3,193608.6,679370.7,2.5,0.3,6.7
2020/03/09,14083151.4,555939.5,104929.9,998758.1,2747085.4,217940.7,236963.2,595276.1,58.0,12.5,141.2
2020/03/10,13309316.9,531385.2,100932.4,947385.2,2627834.0,189900.3,221385.8,521623.1,112.3,24.8,271.0
2020/03/11,13258308.6,529369.8,102818.8,933562.2,2660499.1,189619.3,219748.3,528874.9,173.0,39.8,410.2
2020/03/12,12983453.7,512618.4,111260.7,953136.3,2632468.6,193451.2,230065.8,548079.0,246.6,59.5,574.1
2020/03/13,13637284.3,577695.6,130286.0,919287.7,2974918.1,200534.6,231707.0,566137.6,344.5,87.5,787.2
2020/03/14,11398494.3,480013.9,142376.5,950510.9,2569624.3,255021.1,229402.0,647216.1,483.4,128.2,1063.4
2020/03/15,9564782.7,368649.7,109029.3,827218.3,2015981.9,387601.3,193608.6,679370.7,685.0,191.9,1439.5
2020/03/16,9832585.5,376145.9,90558.5,998758.1,1950894.7,217940.7,236963.2,595276.1,983.6,300.9,1971.7
2020/03/17,8936834.1,327744.1,75307.8,947385.2,1735678.0,189900.3,221385.8,521623.1,1432.5,468.7,2678.0
2020/03/18,8918668.2,324675.7,72917.2,933562.2,1697618.7,189619.3,219748.3,528874.9,2106.6,745.1,3688.8
2020/03/19,8416332.0,294174.3,64192.9,953136.3,1579539.1,193451.2,230065.8,548079.0,3088.8,1211.2,5040.1
2020/03/20,7789542.9,259310.2,50801.7,919287.7,1433777.0,200534.6,231707.0,566137.6,4475.6,1902.6,6872.6
2020/03/21,6453900.5,185267.0,42098.0,950510.9,1079765.7,255021.1,229402.0,647216.1,6388.5,2939.6,9286.1
2020/03/22,6256136.9,192936.0,48551.4,827218.3,998374.9,387601.3,193608.6,679370.7,8935.2,4372.2,12384.1
2020/03/23,6440717.8,194404.9,34614.2,998758.1,1031217.8,217940.7,236963.2,595276.1,12176.0,6341.0,16131.1
2020/03/24,7002502.1,239989.9,42067.1,947385.2,1197841.6,189900.3,221385.8,521623.1,16038.8,8853.2,20574.6
2020/03/25,7341383.5,253661.2,44074.8,933562.2,1282530.0,189619.3,219748.3,528874.9,20450.6,11952.0,25798.0
2020/03/26,7007740.9,245090.7,41596.0,953136.3,1181649.9,193451.2,230065.8,548079.0,25401.8,15606.4,31808.9
2020/03/27,7102388.9,260616.6,43552.1,919287.7,1233830.1,200534.6,231707.0,566137.6,30937.2,19949.0,38458.0
2020/03/28,5925431.3,206660.6,50561.7,950510.9,955026.7,255021.1,229402.0,647216.1,36986.2,24903.3,45617.8
2020/03/29,5415412.8,165715.4,41315.0,827218.3,810563.0,387601.3,193608.6,679370.7,43504.1,30476.6,53259.1
2020/03/30,6641833.3,211471.8,38917.1,998758.1,1063937.7,217940.7,236963.2,595276.1,50460.9,36666.8,61386.2
2020/03/31,6363498.7,224196.1,39033.3,947385.2,1037366.7,189900.3,221385.8,521623.1,57828.3,43431.4,69944.9
2020/04/01,6660265.6,235089.4,41695.3,933562.2,1091166.3,189619.3,219748.3,528874.9,65519.8,50709.3,78836.2
2020/04/02,6527502.3,230191.1,42804.7,953136.3,1052175.1,193451.2,230065.8,548079.0,73688.4,58631.2,88123.0
2020/04/03,6032401.1,236154.4,46847.2,919287.7,993777.5,200534.6,231707.0,566137.6,82264.8,67172.0,97721.8
2020/04/04,6169686.9,241736.6,56522.2,950510.9,958515.3,255021.1,229402.0,647216.1,91164.7,76223.3,107591.4
2020/04/05,5464152.4,179268.8,42427.2,827218.3,781214.3,387601.3,193608.6,679370.7,100280.4,85649.4,117707.0
2020/04/06,6304333.1,216071.0,42998.7,998758.1,952408.0,217940.7,236963.2,595276.1,109551.9,95039.7,128045.9
2020/04/07,6129188.4,221022.9,43150.8,947385.2,946378.7,189900.3,221385.8,521623.1,118962.8,104535.8,138468.3
2020/04/08,5995143.0,211071.9,44623.5,933562.2,933518.3,189619.3,219748.3,528874.9,128488.6,114469.3,148973.1
2020/04/09,5714490.0,199959.0,44699.5,953136.3,868129.3,193451.2,230065.8,548079.0,138039.4,124398.2,159469.0
2020/04/10,5925536.3,219690.3,55945.7,919287.7,962913.6,200534.6,231707.0,566137.6,147679.2,134665.1,169952.2
2020/04/11,6200365.7,247481.6,62406.4,950510.9,966449.8,255021.1,229402.0,647216.1,157173.1,144169.0,180261.7
2020/04/12,4940782.8,140211.0,7272.9,827218.3,686356.3,387601.3,193608.6,679370.7,166508.3,152968.2,190400.5
2020/04/13,5128269.5,151992.2,30104.3,998758.1,706288.2,217940.7,236963.2,595276.1,175920.8,161979.5,200594.5
2020/04/14,6120619.0,237116.5,44885.7,947385.2,980958.1,189900.3,221385.8,521623.1,185274.4,170233.1,210758.6
2020/04/15,6121137.9,240233.3,45640.0,933562.2,980419.5,189619.3,219748.3,528874.9,194462.4,178918.0,220752.7
2020/04/16,6122823.2,235635.7,45801.8,953136.3,975038.7,193451.2,230065.8,548079.0,203438.2,186894.8,230494.3
2020/04/17,6419930.5,264743.2,50145.3,919287.7,1089051.1,200534.6,231707.0,566137.6,212160.1,194552.8,239907.4
2020/04/18,5891000.1,229864.9,55180.6,950510.9,935306.1,255021.1,229402.0,647216.1,220621.2,202029.7,248926.4
2020/04/19,5963768.1,220842.5,45296.7,827218.3,895694.1,387601.3,193608.6,679370.7,228970.4,209124.7,257829.7
2020/04/20,6485610.0,222536.7,42770.8,998758.1,1021551.6,217940.7,236963.2,595276.1,237392.2,216338.9,266732.8
2020/04/21,6343802.0,222119.1,42818.7,947385.2,1013812.2,189900.3,221385.8,521623.1,245577.8,223276.5,275394.7
2020/04/22,6843180.1,264593.8,50556.5,933562.2,1139712.7,189619.3,219748.3,528874.9,253439.9,229886.1,283762.4
2020/04/23,6878450.8,258307.6,50465.4,953136.3,1146036.9,193451.2,230065.8,548079.0,261128.6,236337.8,291930.5
2020/04/24,6627319.0,271389.4,48882.7,919287.7,1130977.3,200534.6,231707.0,566137.6,268637.2,242565.3,299909.3
2020/04/25,7409125.9,320537.4,62709.6,950510.9,1248024.3,255021.1,229402.0,647216.1,275970.6,248666.4,307685.5
2020/04/26,5460430.0,183522.6,45784.3,827218.3,776479.4,387601.3,193608.6,679370.7,283177.1,254611.1,315264.9
2020/04/27,6859777.7,237548.4,47977.1,998758.1,1059792.3,217940.7,236963.2,595276.1,290394.4,260560.6,322823.3
2020/04/28,7538858.3,291932.9,50147.0,947385.2,1230832.5,189900.3,221385.8,521623.1,297567.9,266535.9,330296.0
2020/04/29,6893602.5,252758.8,49104.7,933562.2,1092685.5,189619.3,219748.3,528874.9,304584.7,272283.3,337562.3
2020/04/30,6598633.7,241233.1,46125.7,953136.3,1025224.0,193451.2,230065.8,548079.0,311422.3,277843.2,344662.9
2020/05/01,7519343.5,307128.4,60543.9,919287.7,1283555.4,200534.6,231707.0,566137.6,318151.7,283325.6,351600.7
2020/05/02,7870441.6,338882.6,65619.0,950510.9,1288887.1,255021.1,229402.0,647216.1,324737.1,288690.0,358400.4
2020/05/03,,,,,,,,,331294.9,294024.2,365214.6
2020/05/04,,,,,,,,,337910.2,299436.2,372489.7
2020/05/05,,,,,,,,,344299.5,304643.7,379255.8
2020/05/06,,,,,,,,,350587.1,309799.8,386444.8
2020/05/07,,,,,,,,,356788.3,314870.3,393824.6
2020/05/08,,,,,,,,,362785.7,319728.5,400382.2
2020/05/09,,,,,,,,,368633.6,324490.5,406998.3
